"Convolvulus_arvensis_E2__P_1"	"Convolvulus_arvensis_E2__P_2"	"Convolvulus_arvensis_E2__P_3"	"Convolvulus_arvensis_E2__P_4"	"Convolvulus_arvensis_E2__P_5"	"Convolvulus_arvensis_E2__P_6"	"Convolvulus_arvensis_E2__P_7"	"Convolvulus_arvensis_E2__P_8"	"Convolvulus_arvensis_E2__P_9"	"Helminthia_echioides_E2__P_1"	"Helminthia_echioides_E2__P_2"	"Helminthia_echioides_E2__P_3"	"Helminthia_echioides_E2__P_4"	"Helminthia_echioides_E2__P_5"	"Centaurea_nigra_E2__P_1"	"Centaurea_nigra_E2__P_2"	"Centaurea_nigra_E2__P_3"	"Centaurea_nigra_E2__P_4"	"Rubus_caesius_E2__P_1"	"Rubus_caesius_E2__P_2"	"Rubus_caesius_E2__P_3"	"Scabiosa_columbaria_E2__P_1"	"Scabiosa_columbaria_E2__P_2"	"Scabiosa_columbaria_E2__P_3"	"Scabiosa_columbaria_E2__P_4"	"Oenothera_rosea_E2__P_1"	"Oenothera_rosea_E2__P_2"	"Oenothera_rosea_E2__P_3"	"Colchicum_autumnale_E2__P_1"	"Colchicum_autumnale_E2__P_2"	"Colchicum_autumnale_E2__P_3"	"Colchicum_autumnale_E2__P_4"	"Convolvulus_sepium_E2__P_1"	"Convolvulus_sepium_E2__P_2"	"Reynoutria_japonica_E2__P_1"	"Reynoutria_japonica_E2__P_2"	"Reynoutria_japonica_E2__P_3"	"Reynoutria_japonica_E2__P_4"	"Reynoutria_japonica_E2__P_5"	"Reynoutria_japonica_E2__P_6"	"Reynoutria_japonica_E2__P_7"	"Reynoutria_japonica_E2__P_8"
1.2	1.3	0.69	1.25	1.73	1.52	2.15	2.23	8.85	1.24	3.96	16.03	15.42	12.64	0.72	0.78	1.65	1.73	1.26	1.6	1.32	3.33	1.37	1.68	1.2	10.53	3.94	1.1	2.39	6.35	3.06	7.72	3.64	2.15	2.8	1.11	4.01	4.64	3.12	3.22	5.9	1.71
0.59	0.49	0.23	0.59	1.26	1.22	1.56	1.9	8.57	0.57	3.25	15.64	15.17	11.97	0.15	0.14	1.05	1.04	0.64	0.97	0.93	2.91	0.9	1.16	0.7	9.93	3.27	0.49	1.78	6	2.49	7.29	3.1	1.55	2.21	0.46	3.5	4.32	2.52	2.99	5.38	1.19
0.27	0.34	-0.06	0.27	0.82	0.85	1.43	1.58	8.27	0.28	3.03	15.36	14.6	11.74	-0.27	-0.16	0.92	0.82	0.25	0.55	0.54	2.52	0.55	0.69	0.28	10.07	3.01	0.11	1.56	5.52	2.35	7.17	3.06	1.34	1.84	0.08	3.33	3.9	2.04	2.44	5.06	0.74
0.51	0.42	-0.09	0.44	0.98	0.9	1.51	1.73	8.62	0.13	3.31	15.2	14.35	11.78	0.04	-0.06	0.95	0.91	0.47	0.83	0.68	2.63	0.76	1.01	0.42	10.14	3.17	0.43	1.72	5.65	2.39	7.07	3.1	1.51	2.12	0.31	3.82	3.84	2.5	2.66	5.27	1.07
0.85	0.92	0.44	0.81	1.3	1.17	1.78	1.91	8.87	0.73	3.46	14.98	14.48	11.6	0.36	0.32	1.18	1.17	0.8	1.11	0.9	2.99	0.98	1.19	0.79	10.38	3.56	0.6	1.85	6.04	2.79	7.43	3.2	1.62	2.48	0.62	3.9	4.31	2.42	2.93	5.71	1.37
0.58	0.69	0.28	0.62	1.07	1.15	1.72	1.87	9.1	0.71	3.31	15.12	14.06	11.38	0.39	0.24	1.31	1.23	0.65	1.09	0.92	2.91	1.06	1.31	0.78	10.56	3.5	0.6	1.91	6	2.71	7.52	3.25	1.67	2.52	0.46	3.83	4.16	2.6	2.87	5.76	1.26
0.76	0.86	0.38	0.8	1.24	1.4	1.88	2.12	9.17	0.77	3.35	14.87	14.02	11.65	0.33	0.5	1.33	1.26	0.77	1.2	1.07	3.2	1.01	1.26	0.91	10.7	3.73	0.82	2.07	6.12	2.68	7.66	3.47	1.84	2.39	0.72	3.88	4.15	2.61	3	5.77	1.28
0.6	0.57	0.04	0.84	1.16	1.18	1.64	2.06	9.06	0.59	3.03	14.19	13.4	11.22	0.12	0.14	1.05	1.23	0.55	0.99	0.76	2.84	0.98	1.14	0.5	10.29	3.45	0.45	1.99	5.84	2.45	7.37	3.21	1.61	2.14	0.48	3.71	4.1	2.46	2.9	5.46	1.21
0.82	0.87	0.35	0.68	1.5	1.23	1.77	2.13	9.3	0.77	3.34	14.11	13.44	10.95	0.22	0.48	1.24	1.19	0.75	1.3	1.06	3	1.08	1.32	0.67	10.65	3.59	0.71	1.95	5.94	2.57	7.26	3.39	1.86	2.33	0.65	3.88	4.12	2.45	3.03	5.63	1.28
0.67	0.53	0.11	0.46	1.07	1	1.57	1.93	9.29	0.43	2.93	13.89	13.36	10.77	0.07	0.24	1.05	1.06	0.58	0.92	0.83	2.77	0.87	1.04	0.57	10.39	3.49	0.43	1.73	5.69	2.26	7.01	3.36	1.62	2.25	0.38	3.71	3.98	2.36	2.85	5.54	1.19
0.76	0.54	0.08	0.55	1.13	1.02	1.65	2.28	9.47	0.72	2.98	13.98	13.33	10.54	0.11	0.16	1.12	1.12	0.48	1.01	0.86	2.82	0.8	0.99	0.53	10.56	3.5	0.31	1.79	5.67	2.38	7.07	3.36	1.5	2.18	0.39	3.56	4.05	2.4	2.88	5.53	1.17
1.21	1.36	0.77	1.15	1.73	1.65	2.19	2.8	10.16	1.2	3.52	14.28	13.84	11.01	0.75	0.9	1.82	1.9	1.16	1.6	1.37	3.44	1.51	1.73	1.25	11.18	4.25	1.04	2.48	6.36	2.94	7.68	4.06	2.31	2.83	1.1	4.41	4.66	2.99	3.55	6.39	1.85
0.84	1.07	0.48	1.13	1.64	1.52	2.05	2.87	10.14	1.08	3.39	13.94	13.5	10.78	0.74	0.57	1.45	1.69	1.12	1.52	1.36	3.13	1.12	1.58	1	11.61	4.26	0.97	2.45	6.39	2.97	7.69	4.07	2.31	2.67	0.82	4.37	4.67	2.79	3.42	6.25	1.44
1.23	1.09	0.62	1.07	1.48	1.4	2.02	2.88	10.66	0.9	3.5	14.14	13.53	10.88	0.56	0.54	1.39	1.5	0.96	1.49	1.51	3.26	1.31	1.62	0.89	11.58	4.31	0.97	2.72	6.36	3.09	7.73	3.92	2.2	2.64	0.8	4.52	4.45	2.97	3.54	6.4	1.68
1.04	1.01	0.46	1.07	1.39	1.38	1.92	2.58	10.42	0.96	3.22	13.55	13.14	10.64	0.49	0.54	1.47	1.49	1	1.39	1.22	3.26	1.08	1.32	0.9	11.52	4.16	0.86	2.45	6.18	2.96	7.72	4.01	2.3	2.57	0.58	4.25	4.52	2.83	3.2	6.32	1.6
0.42	0.45	-0.07	0.39	0.76	0.91	1.37	2.39	10.04	0.32	2.63	13.04	12.28	9.87	-0.15	-0.09	0.94	0.9	0.5	0.72	0.75	2.36	0.52	0.94	0.33	11.04	3.88	0.26	1.96	5.72	2.39	7.17	3.63	1.58	2.13	0.23	3.76	3.75	2.36	3.01	5.84	1.02
0.35	0.34	-0.21	0.23	0.89	0.52	1.32	2.01	10.05	0.25	2.66	12.94	12.11	9.75	-0.25	-0.36	0.87	0.82	0.26	0.63	0.58	2.34	0.42	0.74	0.24	11.26	3.76	0.16	1.9	5.79	2.19	6.81	3.62	1.55	1.85	0.04	3.69	3.85	2.28	2.78	5.86	1.01
0.79	0.71	0.14	0.72	1.19	1.14	1.77	2.72	10.85	0.64	3.03	13.07	12.5	9.85	0.15	0.26	1.43	1.38	0.75	1.24	1.14	2.93	0.94	1.1	0.67	11.74	4.21	0.69	2.32	6	2.64	7.59	3.95	2.14	2.29	0.6	4.2	4.19	2.58	3.23	6.15	1.45
1.16	1.14	0.55	1.06	1.5	1.41	2.06	2.94	10.68	0.82	3.11	12.78	12.26	9.78	0.39	0.6	1.51	1.56	0.99	1.38	1.42	3.15	1.2	1.44	0.94	11.79	4.36	0.84	2.62	6.19	2.99	7.55	4.43	2.39	2.61	0.8	4.32	4.66	3.05	3.57	6.47	1.75
0.83	0.94	0.51	0.94	1.38	1.41	1.95	3.14	10.94	0.83	3.02	12.94	12.43	9.88	0.33	0.36	1.49	1.51	0.92	1.31	1.35	2.96	1.17	1.35	0.82	12.19	4.5	0.69	2.59	6.18	3.04	7.76	4.17	2.27	2.43	0.69	4.33	4.62	2.79	3.4	6.41	1.79
0.62	0.62	-0.16	0.64	1.02	0.98	1.49	2.72	11.06	0.53	2.67	12.37	12.11	9.4	0.02	-0.04	1.22	1.25	0.57	1.07	0.9	2.64	0.7	0.86	0.44	12.07	4.26	0.48	2.2	5.93	2.44	7.3	4.04	2.06	2.25	0.3	4.25	4.33	2.47	3.15	6.18	1.2
0.2	0.33	-0.21	0.28	0.57	0.78	1.12	2.3	10.64	0.37	2.4	11.98	11.39	8.85	-0.43	-0.49	0.99	1.06	0.25	0.61	0.83	2.35	0.51	0.67	0.22	11.58	4.21	0.22	2.07	5.73	2.16	7.1	3.79	1.71	1.9	-0.06	3.81	3.84	2.13	2.79	5.93	1.18
0.47	0.64	0.09	0.74	0.99	1.03	1.68	2.85	11.53	0.47	2.66	12.12	11.87	9.2	0.18	0.01	1.4	1.36	0.6	1.04	1.07	2.88	0.84	1.09	0.47	12.55	4.45	0.5	2.56	6.19	2.66	7.72	4.41	2.24	2.37	0.37	4.36	4.43	2.7	3.28	6.61	1.5
0.83	0.84	0.26	0.8	1.23	1.2	1.86	2.89	11.81	0.77	2.82	12.25	11.4	9.39	0.24	0.17	1.37	1.34	0.79	1.26	1.24	3.04	0.92	1.13	0.75	12.48	4.72	0.69	2.44	6.36	2.82	7.8	4.59	2.45	2.67	0.46	4.47	4.58	2.61	3.52	6.48	1.68
0.56	0.59	0.1	0.76	1.11	1.05	1.64	3.07	11.87	0.49	2.67	11.5	11.18	8.81	0.19	-0.02	1.26	1.34	0.68	1.18	1.18	2.86	0.63	0.89	0.5	12.42	4.51	0.63	2.65	6.06	2.52	7.69	4.4	2.32	2.29	0.43	4.38	4.24	2.72	3.3	6.56	1.55
0.89	0.87	0.22	0.96	1.45	1.21	2.02	3.36	12.29	0.86	2.85	11.61	11.19	9.02	0.25	0.36	1.57	1.51	1.06	1.36	1.41	3.09	0.98	1.32	0.71	12.79	4.84	0.68	2.85	6.67	2.75	7.84	4.75	2.64	2.57	0.63	4.67	4.67	2.94	3.46	6.77	1.87
0.24	0.24	-0.51	0.12	0.63	0.57	1.19	2.75	11.71	0.09	2.09	10.76	10.35	8.11	-0.4	-0.3	0.78	0.95	0.38	0.69	0.69	2.36	0.25	0.54	0.13	12.21	4.39	0	2.15	5.86	2.06	7.23	4.08	1.86	1.96	-0.17	3.91	3.83	2.11	2.87	5.94	1.26
0.91	0.69	0.13	0.93	1.07	1.15	1.75	3.24	12.35	0.64	2.69	11.29	10.7	8.61	0.17	0.21	1.49	1.44	0.69	1.2	1.18	3	0.93	1.16	0.54	12.83	4.94	0.66	2.76	6.28	2.58	7.83	4.81	2.35	2.22	0.34	4.58	4.53	2.69	3.33	6.71	1.62
1.02	0.83	0.25	1.03	1.26	1.29	1.9	3.52	12.32	0.98	2.62	11.06	10.51	8.39	0.34	0.4	1.59	1.65	1.05	1.45	1.51	3.05	1.11	1.26	0.81	12.82	5.08	0.8	2.96	6.44	2.64	7.73	5.01	2.82	2.51	0.67	4.62	4.64	2.79	3.71	6.81	1.73
0.58	0.79	0.14	0.78	1.09	0.88	1.73	3.32	12.27	0.68	2.37	10.48	9.9	7.9	0.15	0.08	1.52	1.41	0.93	1.25	1.31	2.89	0.83	1.18	0.64	12.69	4.99	0.71	2.83	6.41	2.55	7.66	4.87	2.51	2.32	0.49	4.67	4.36	2.73	3.49	6.55	1.81
0.82	0.86	0.22	1.04	1.26	1.15	1.98	3.59	12.8	0.82	2.67	10.36	10.02	7.98	0.28	0.26	1.66	1.55	1	1.46	1.35	2.85	0.99	1.26	0.7	13.31	5.17	0.75	3.23	6.56	2.84	7.89	5.21	2.77	2.54	0.58	4.85	4.68	2.9	3.8	6.86	1.91
1.07	1.12	0.49	1.34	1.44	1.48	2.13	3.85	13.29	1.09	2.84	10.52	10.27	8.05	0.41	0.56	1.86	1.88	1.33	1.68	1.77	3.08	1.11	1.42	0.89	13.61	5.42	0.99	3.33	6.82	2.9	8.14	5.6	2.96	2.63	0.75	4.94	4.79	3.01	3.95	7.26	2.14
0.9	0.89	0.2	1.01	1.33	1.18	1.83	3.69	13.43	0.62	2.54	10.16	9.62	7.73	0.13	0.2	1.7	1.81	0.99	1.39	1.51	2.95	0.97	1.18	0.8	13.57	5.4	0.66	3.34	6.46	2.9	8.13	5.43	2.77	2.63	0.57	4.82	4.59	2.95	3.76	7.01	1.85
0.34	0.38	-0.43	0.59	0.82	0.54	1.53	3.19	13.03	0.2	1.91	9.18	9.03	7.18	-0.27	-0.38	1.02	1.1	0.35	0.97	0.98	2.42	0.23	0.64	0.23	13.19	5	0.29	2.9	6.33	2.2	7.51	5.01	2.53	1.95	-0.01	4.27	4.15	2.45	3.26	6.56	1.41
0.83	0.88	0.22	1.03	1.33	1.17	1.87	3.95	13.78	0.69	2.41	9.65	9.43	7.48	0.12	0.16	1.63	1.73	1.1	1.52	1.54	2.9	0.81	1.09	0.65	13.91	5.46	0.64	3.48	6.96	2.63	8.22	5.62	3.14	2.51	0.41	4.83	4.8	3.03	3.69	6.97	1.97
1.04	1.02	0.4	1.31	1.56	1.36	2.16	4.39	14.09	0.84	2.63	9.63	9.25	7.58	0.38	0.4	2	1.96	1.19	1.58	1.72	3.16	1.17	1.3	1.02	14.33	5.69	1.01	3.92	6.86	3	8.34	6.1	3.36	2.71	0.71	5.08	5.06	3.05	4.09	7.48	2.21
1.15	1.09	0.47	1.31	1.45	1.34	2.15	4.15	14.18	0.89	2.43	9.45	8.99	7.28	0.41	0.41	1.98	2.06	1.26	1.75	1.71	2.99	1.04	1.29	0.81	14.26	5.75	1	3.89	7.06	2.8	8.5	6.08	3.25	2.78	0.7	5	5.05	3.16	3.96	7.49	2.06
1.01	0.98	0.25	1.25	1.42	1.09	1.93	4.29	14.43	0.83	2.33	9.25	8.95	6.96	0.27	0.35	1.84	1.97	1.19	1.66	1.67	3.07	1.09	1.11	0.7	14.55	5.91	0.87	3.93	7.11	2.9	8.26	6.39	3.32	2.62	0.65	5.17	4.87	3.06	4.07	7.24	2.09
0.2	0.41	-0.48	0.55	0.59	0.56	1.17	3.51	13.49	-0.01	1.65	8.17	7.75	5.84	-0.59	-0.61	1.03	1.11	0.33	1.08	1.07	2.22	0.27	0.32	-0.12	13.95	5.47	0.13	3.2	6.13	2.16	7.59	5.66	2.58	1.82	-0.23	4.24	4.12	2.24	3.24	6.44	1.22
0.76	0.86	0.07	1.26	1.16	1.24	1.85	4.29	14.81	0.54	2.14	8.59	8.5	6.75	0.01	0.09	1.79	1.93	1.15	1.53	1.59	2.97	0.88	0.95	0.6	15.11	6.12	0.94	4.09	7.13	2.93	8.72	6.5	3.43	2.67	0.38	5.14	4.99	2.85	3.89	7.63	2.1
0.38	0.58	-0.26	0.7	0.73	0.55	1.59	3.98	14.83	0.19	1.56	8.07	7.78	6.11	-0.37	-0.27	1.45	1.49	0.73	1.29	1.11	2.57	0.48	0.55	0.19	15.03	5.84	0.32	3.87	6.98	2.46	8.22	6.39	2.96	2.25	0.07	4.74	4.62	2.61	3.46	7.14	1.7
1.02	0.92	0.24	1.26	1.28	1.28	1.91	4.5	15.5	0.76	2.09	8.34	8.35	6.36	0.24	0.11	1.87	2.01	1.26	1.77	1.49	2.84	0.8	1.06	0.59	15.79	6.31	0.78	4.59	7.39	2.81	8.78	7.24	3.47	2.64	0.73	5.39	5.19	3.11	4.15	7.73	2.25
0.74	0.79	-0.19	1.16	1.09	0.91	1.75	4.44	14.93	0.57	1.95	7.95	7.66	5.89	-0.14	0.03	1.7	1.89	1.08	1.58	1.37	2.72	0.68	0.91	0.64	15.42	6.4	0.61	4.44	7.44	2.52	8.45	6.95	3.5	2.53	0.37	5.23	4.8	2.88	3.92	7.38	1.91
1.02	0.95	0.09	1.53	1.22	1.08	1.98	4.59	15.67	0.54	1.92	7.85	7.62	6.03	0.08	0.09	1.87	2.15	1.09	1.77	1.58	2.93	0.92	1	0.68	16	6.65	0.93	4.71	7.6	2.82	8.94	7.39	3.88	2.69	0.44	5.4	5.12	3.18	4.04	7.84	2.33
0.73	0.74	0.01	1.07	0.92	1.03	1.7	4.59	16.14	0.45	1.62	7.52	7.24	5.61	-0.16	-0.11	1.86	1.82	1.01	1.62	1.4	2.51	0.6	0.76	0.56	15.93	6.41	0.67	4.76	7.78	2.62	8.94	7.34	3.73	2.31	0.26	5.32	4.84	2.91	3.9	7.6	2.03
1.11	1.18	0.07	1.46	1.4	1.08	2.12	4.83	16.22	0.64	1.91	7.6	7.03	5.71	0.13	0.1	1.97	2.1	1.4	1.92	1.68	3.01	0.86	0.98	0.83	15.88	6.62	0.93	5.21	8.02	2.9	9.18	7.6	3.98	2.78	0.53	5.49	5.04	3.16	4.15	7.74	2.35
1.05	1.12	0.05	1.49	1.33	1.21	2.08	4.72	15.98	0.51	1.81	7.27	6.82	5.56	0.08	0.11	2.1	2.05	1.26	1.98	1.8	2.89	0.89	0.98	0.64	15.67	6.57	0.87	5.05	7.76	2.75	8.86	7.66	3.92	2.73	0.57	5.33	4.92	3.15	4.16	7.75	2.32
1.04	1.18	0.35	1.76	1.39	1.31	2.13	4.99	16.13	0.71	1.95	7.1	6.73	5.45	0.23	0.33	2.24	2.11	1.53	2.05	1.74	2.95	0.97	1.06	0.85	15.55	6.62	1.03	5.06	7.91	2.79	8.64	7.9	3.97	2.69	0.7	5.5	5.08	3.22	4.2	7.69	2.45
1.09	1.22	0.2	1.59	1.22	1.15	2.1	5.02	16.48	0.61	1.77	7.01	6.77	5.1	0.1	0.18	2.23	2.17	1.34	1.81	1.52	2.87	0.86	1.09	0.67	15.72	6.73	1.04	5.1	7.85	2.67	8.78	7.82	3.97	2.67	0.58	5.34	5.15	3.16	4.09	7.56	2.27
0.79	0.87	-0.25	1.29	0.89	0.73	1.69	4.74	16.4	0.09	1.31	6.51	6.13	4.77	-0.22	-0.32	1.75	1.89	0.98	1.66	1.32	2.47	0.39	0.6	0.29	16	6.61	0.49	5.08	7.72	2.42	8.65	7.97	3.89	2.15	0.27	5.07	4.8	2.71	3.73	7.37	1.91
1.32	1.61	0.45	2	1.48	1.39	2.49	5.34	17.35	0.8	1.97	7.01	6.69	5.33	0.35	0.26	2.52	2.54	1.67	2.24	1.85	3.26	1.1	1.2	0.86	16.49	7.46	1.3	5.96	8.35	3.14	9.33	8.81	4.54	2.82	0.81	5.85	5.53	3.45	4.46	8.15	2.65
1.38	1.43	0.37	1.9	1.44	1.51	2.36	5.5	17.33	0.69	1.79	6.82	6.51	5.09	0.27	0.36	2.41	2.53	1.77	2.33	1.92	3.06	1.03	1.2	0.95	16.95	7.44	1.21	6.24	8.45	3.02	9.46	9.13	4.67	2.84	0.74	5.64	5.64	3.5	4.61	8.27	2.72
1.55	1.59	0.44	2.23	1.73	1.5	2.79	5.81	17.97	0.98	2.12	6.92	6.57	5.15	0.39	0.53	2.73	2.69	1.9	2.51	2.02	3.42	1.13	1.5	1.13	17.22	7.88	1.43	6.84	9.23	3.41	10	9.94	5.16	3.13	1	6.02	5.79	3.62	4.86	8.57	2.89
1.61	1.74	0.5	2.22	1.65	1.55	2.83	5.87	17.96	0.93	2.01	6.82	6.29	5.06	0.28	0.5	2.82	2.92	1.85	2.59	2.04	3.26	1.17	1.35	0.93	17.3	7.82	1.39	6.88	9.26	3.39	9.97	10.01	5.11	3.14	0.95	5.71	5.88	3.68	4.71	8.53	2.8
1.75	1.79	0.55	2.5	1.66	1.8	2.83	6.3	18.2	1.1	2.07	6.64	6.49	5.1	0.55	0.72	2.89	2.91	2.05	2.69	2.24	3.48	1.4	1.4	1.28	17.55	8.1	1.5	7.01	9.48	3.62	10.34	10.35	5.27	3.26	1.17	6.17	5.95	3.89	4.74	8.49	3.03
1.41	1.67	0.29	2.4	1.62	1.41	2.5	5.82	18.36	0.71	1.74	6.22	6.11	4.58	0.18	0.46	2.87	2.82	1.97	2.52	2.01	3.21	0.98	1.27	0.88	17.63	7.93	1.38	6.9	9	3.22	9.92	10.1	5.18	2.94	0.85	5.85	5.74	3.52	4.61	8.28	2.73
1.62	1.65	0.38	2.49	1.78	1.51	2.85	5.94	18.84	0.78	1.86	6.38	6.17	4.74	0.45	0.39	2.85	3.06	2.09	2.72	2.1	3.25	1.23	1.41	1.05	17.83	8.13	1.44	7.21	9.38	3.52	9.91	10.57	5.49	3.12	1.04	5.92	6.07	3.76	4.75	8.59	2.93
1.22	1.31	0	2.02	1.14	1.19	2.6	5.68	18.51	0.36	1.48	5.82	5.59	4.13	0	-0.06	2.5	2.53	1.74	2.35	1.55	2.7	0.72	1.01	0.65	17.95	8.06	0.96	7.05	9.25	2.93	9.83	10.48	5.14	2.79	0.67	5.84	5.76	3.34	4.27	8.07	2.57
1.42	1.71	0.27	2.43	1.46	1.28	2.74	6.1	19.49	0.55	1.51	6	5.96	4.39	0.3	0.17	2.92	2.92	2.06	2.71	2	3.03	1.06	1.15	0.86	18.58	8.52	1.42	7.8	9.8	3.19	10.29	11.47	5.44	2.98	0.9	6.02	6.16	3.77	4.74	8.48	2.82
2.01	1.97	0.5	2.86	1.72	1.66	3.12	6.47	20.07	0.97	1.7	6.21	6.13	4.8	0.48	0.5	3.23	3.41	2.21	3.2	2.17	3.56	1.27	1.56	1.12	19.37	8.98	1.61	8.36	10.29	3.62	10.84	12.05	6.16	3.35	1.1	6.36	6.59	3.96	5.04	8.73	3.15
2.02	2.06	0.6	3.15	1.79	1.88	3.15	6.64	20.22	0.87	1.96	6.37	5.93	4.73	0.47	0.56	3.38	3.36	2.56	3.39	2.09	3.57	1.27	1.55	1.03	19.68	9.39	1.86	8.64	10.78	3.82	11.12	12.56	6.32	3.57	1.24	6.42	6.75	4.32	5.16	9.21	3.4
1.94	1.76	0.11	2.75	1.65	1.25	2.89	6.44	20.17	0.51	1.52	5.64	5.5	4.18	0.1	0.22	3.13	3.14	2.21	3.14	2.02	3.1	1.01	1.15	0.75	19.46	8.97	1.53	8.49	10.4	3.59	11.01	12.67	6.07	3.22	0.9	5.94	6.44	3.83	4.84	8.76	3.03
1.82	2.06	0.22	2.78	1.5	1.49	3.02	6.63	20.48	0.44	1.54	5.64	5.61	4.1	0.29	0.24	3.21	3.17	2.39	3.08	1.93	3.14	0.94	1.15	0.79	19.58	9.27	1.61	8.79	10.7	3.56	10.91	12.92	6.21	3.16	1.04	5.99	6.42	4.09	4.71	8.83	3.02
2.07	2.26	0.54	3.12	1.87	1.65	3.25	6.92	21.05	0.66	1.72	5.86	5.78	4.2	0.41	0.5	3.29	3.39	2.63	3.54	2.06	3.43	1.16	1.22	1.12	19.94	9.54	1.84	9.49	11.24	3.7	11.42	13.42	6.61	3.24	1.22	6.24	6.89	4.12	5.03	9.06	3.19
2.16	2.19	0.34	3.19	1.82	1.8	3.28	6.86	21.23	0.7	1.77	5.75	5.53	4.22	0.4	0.42	3.58	3.46	2.67	3.43	1.99	3.45	1.1	1.3	1.07	19.9	9.54	1.93	9.62	11.31	3.74	11.42	13.64	6.92	3.49	1.25	6.39	6.95	4.21	5.09	9.09	3.3
2.44	2.54	0.44	3.53	2.04	1.95	3.56	7.41	21.78	0.94	1.84	5.87	5.7	4.26	0.34	0.72	3.72	3.78	3.02	3.81	2.16	3.63	1.32	1.63	1.18	20.65	9.82	2.04	10.42	11.83	4.11	12.03	14.36	7.16	3.47	1.47	6.53	7.27	4.51	5.34	9.47	3.49
2.81	2.84	0.6	3.95	2.26	2.14	4.01	7.79	22.06	1.06	1.96	5.88	5.78	4.52	0.69	0.85	3.97	4.18	3.35	4.15	2.57	3.83	1.52	1.86	1.3	21.12	10.31	2.4	10.69	12.19	4.32	12.32	14.72	7.54	3.82	1.54	6.92	7.41	4.62	5.75	9.6	3.72
2.52	2.44	0.51	3.52	1.82	1.74	3.58	7.28	22.04	0.82	1.56	5.5	5.44	4.09	0.37	0.49	3.77	3.88	2.79	3.67	2.05	3.42	1.1	1.51	0.98	20.47	9.93	1.96	10.38	12.09	4.04	11.9	14.96	7.55	3.5	1.19	6.3	7.14	4.28	5.11	9.16	3.53
2.86	2.89	0.65	4.13	2.32	2.07	3.95	7.72	22.45	1.15	1.9	5.86	5.75	4.44	0.7	0.79	4.04	4.15	3.23	4.14	2.49	3.79	1.41	1.89	1.34	21.22	10.51	2.36	11.11	12.49	4.49	12.69	15.92	7.68	3.79	1.67	6.77	7.48	4.81	5.51	9.46	3.81
2.84	2.75	0.64	4.05	2.25	2.17	4.11	7.66	22.29	0.9	1.7	5.57	5.42	4.03	0.71	0.64	4.17	4.32	3.15	4.18	2.42	3.77	1.48	1.62	1.29	21.06	10.51	2.24	11.07	12.6	4.36	12.4	15.81	7.7	3.66	1.57	6.68	7.57	4.49	5.5	9.31	3.76
3.16	3.1	0.8	4.5	2.42	2.24	4.21	7.99	23.27	1.04	2.07	5.91	5.57	4.29	0.78	0.85	4.36	4.55	3.52	4.54	2.63	3.94	1.65	1.95	1.54	21.93	10.97	2.48	11.66	13.12	4.71	12.86	16.78	8.25	3.87	1.75	7.11	7.87	4.85	5.71	9.67	3.98
3.13	3.15	0.77	4.59	2.35	2.22	4.39	7.96	22.93	1.09	1.86	5.66	5.29	4.19	0.76	0.92	4.56	4.44	3.61	4.52	2.53	3.9	1.64	1.8	1.45	21.68	10.92	2.43	11.87	13.18	4.63	12.93	16.8	8.43	3.9	1.77	6.89	7.96	4.84	5.68	9.4	4.02
3.27	3.08	0.49	4.4	2.17	2.12	4.38	8.09	23.31	0.81	1.66	5.44	5.42	4.01	0.43	0.81	4.33	4.34	3.49	4.41	2.36	3.74	1.53	1.86	1.06	22.26	10.91	2.51	12.24	13.41	4.71	12.94	17.31	8.66	3.73	1.56	6.86	7.94	4.63	5.57	9.45	3.79
3.27	3.25	0.56	4.84	2.27	2.18	4.67	8.33	23.42	0.84	1.79	5.38	5.34	3.94	0.48	0.7	4.52	4.54	3.54	4.77	2.26	3.91	1.54	1.74	1.29	22.34	10.96	2.71	12.51	13.65	4.79	13.42	18.07	8.92	3.8	1.75	6.75	7.87	4.85	5.52	9.61	3.95
3.2	3.41	0.3	4.8	2.05	2.01	4.41	8.18	23.68	0.58	1.4	5.28	5.2	3.76	0.35	0.48	4.54	4.42	3.45	4.59	2.27	3.74	1.43	1.54	0.95	22.41	11.1	2.34	12.8	13.99	4.71	13.5	18.39	8.78	3.69	1.39	6.58	7.98	4.6	5.46	9.23	3.69
3.42	3.35	0.54	4.96	1.98	2.02	4.58	8.39	24.5	0.63	1.46	5.19	5.06	3.7	0.33	0.69	4.54	4.63	3.69	4.73	2.09	3.79	1.34	1.56	1.02	23.21	11.59	2.52	13.23	14.63	4.94	13.84	19.29	9.22	3.8	1.53	6.69	8.02	4.97	5.46	9.74	3.87
3.87	3.7	0.66	5.47	2.67	2.39	5.15	8.9	24.96	0.86	1.78	5.51	5.38	3.89	0.67	0.84	5.04	5.1	4.03	5.15	2.59	4.32	1.72	1.98	1.48	23.53	11.98	2.94	14.18	14.99	5.29	14.25	20.17	9.87	4.27	2.05	7.25	8.48	5.17	5.89	9.96	4.28
3.73	3.73	0.59	5.28	2.38	2.27	5.04	8.68	24.79	0.76	1.44	5.19	5.1	3.76	0.58	0.7	4.76	4.94	3.87	5.01	2.24	4.05	1.34	1.87	1.05	23.32	11.99	2.66	14.18	15.23	5.2	14.14	20.15	9.73	3.93	1.81	6.77	8.18	5.15	5.83	9.65	3.89
