"Convolvulus_arvensis_E2__P_1"	"Convolvulus_arvensis_E2__P_2"	"Convolvulus_arvensis_E2__P_3"	"Convolvulus_arvensis_E2__P_4"	"Convolvulus_arvensis_E2__P_5"	"Convolvulus_arvensis_E2__P_6"	"Convolvulus_arvensis_E2__P_7"	"Convolvulus_arvensis_E2__P_8"	"Convolvulus_arvensis_E2__P_9"	"Helminthia_echioides_E2__P_1"	"Helminthia_echioides_E2__P_2"	"Helminthia_echioides_E2__P_3"	"Helminthia_echioides_E2__P_4"	"Helminthia_echioides_E2__P_5"	"Centaurea_nigra_E2__P_1"	"Centaurea_nigra_E2__P_2"	"Centaurea_nigra_E2__P_3"	"Centaurea_nigra_E2__P_4"	"Rubus_caesius_E2__P_1"	"Rubus_caesius_E2__P_2"	"Rubus_caesius_E2__P_3"	"Scabiosa_columbaria_E2__P_1"	"Scabiosa_columbaria_E2__P_2"	"Scabiosa_columbaria_E2__P_3"	"Scabiosa_columbaria_E2__P_4"	"Oenothera_rosea_E2__P_1"	"Oenothera_rosea_E2__P_2"	"Oenothera_rosea_E2__P_3"	"Colchicum_autumnale_E2__P_1"	"Colchicum_autumnale_E2__P_2"	"Colchicum_autumnale_E2__P_3"	"Colchicum_autumnale_E2__P_4"	"Convolvulus_sepium_E2__P_1"	"Convolvulus_sepium_E2__P_2"	"Reynoutria_japonica_E2__P_1"	"Reynoutria_japonica_E2__P_2"	"Reynoutria_japonica_E2__P_3"	"Reynoutria_japonica_E2__P_4"	"Reynoutria_japonica_E2__P_5"	"Reynoutria_japonica_E2__P_6"	"Reynoutria_japonica_E2__P_7"	"Reynoutria_japonica_E2__P_8"
14.1	11.71	97.32	-0.44	21.56	66.39	50.63	72.78	86.1	-11.9	37.17	43.37	56.05	6.1	73.85	-9.76	58.05	39.85	86.78	90.1	34.49	96.93	89.32	20.93	53.27	110.93	53.37	30.44	141.27	49.07	52.78	24.1	23.37	29.85	-58.68	39.41	76	60.2	116.1	-10.68	47.85	27.56
11.9	71.96	-62.91	35.93	52.17	9.37	46.46	-61.59	23.97	15.03	39.47	-38.47	4.07	58.25	-2.86	-29.21	14.71	38.15	-59.95	14.76	-63.33	-7.46	18.15	5.77	-20.11	11.11	-5.61	6.77	-17.78	-22.96	-40.11	47.3	45.66	67.09	-12.01	-83.39	-124.13	-2.43	-43.39	-56.46	-19.21	80.69
-82.91	-132.06	-76.46	-58.04	-102.75	-70.21	-94.92	-81.06	-36.98	-17.14	-127.3	-119.74	-39.95	-116.14	-57.88	-56.3	-61.48	-110	-27.78	-147.78	11.16	-96.35	-117.3	-116.98	-87.83	-121.8	-101.27	-91.43	-37.25	-108.47	-81.59	-122.01	-75.4	-153.02	-62.8	-39.37	-61.48	-53.23	-89.1	-185.98	-140.26	-123.33
94.8	99.84	100.72	68.4	96.8	93.52	118.88	119.36	170.64	201.92	200.48	154.32	111.12	40.72	168.48	146.56	191.2	175.44	155.12	59.44	23.28	123.12	239.92	91.92	91.2	75.68	173.28	111.36	107.52	52.32	124.96	116.32	158.64	187.2	95.76	31.36	110.56	55.2	117.44	134.8	225.68	72.08
116.42	90.23	103.54	96.42	114.59	116.08	110.99	104.07	111.8	104.91	113.25	91.76	86.14	106.6	63.94	85.7	106.46	105.68	87.27	100.44	97.67	100.36	96.42	88.16	104.74	112.08	79.62	111.7	95.6	114	103.52	107.3	75.45	70.19	78.43	117.9	94.72	110.06	109.27	83.96	96.04	105.77
57.47	64.96	58.89	47.63	51.43	45.59	64.22	59.54	50.53	63.47	65.03	61.78	56.75	45.83	76.14	67.74	44.19	82.19	41.54	56.83	59.37	42.69	47.82	42.19	55.52	72.22	56.26	62.85	62.66	57.7	50.66	46.78	68.04	64.91	36.25	64.86	55.69	72.41	66.16	61.64	72.95	63.37
244.51	-65.88	204.9	-98.63	214.51	313.53	22.35	68.24	86.86	138.82	-124.31	-149.22	-8.82	141.76	-20.78	-39.22	8.24	-19.02	-35.1	102.16	-75.88	190.78	83.33	-181.37	209.41	451.37	-110.98	25.1	298.04	38.04	-27.06	430.2	-40.59	322.35	304.9	236.86	-249.02	43.53	258.04	-198.63	90	218.63
-7.44	-0.32	18.07	-13.81	7.34	-9.07	17.16	14.04	10.49	6.41	23.89	-33.25	9.68	-10.12	11.89	-7.3	-9.29	11.7	9.47	-1.16	15.96	18.88	-3.75	3.51	15.01	13.02	-15.78	10.39	-13.63	10.99	23.57	33.06	7.44	-6.73	33.04	-19.31	-1.83	21.78	-26.04	16	9.84	-18.72
70.12	64.44	79.43	55.78	60.86	58.49	63.14	56.35	41.28	63.1	68.41	79.71	79.16	35.78	56.78	62.4	62.67	70.12	78.33	51.38	76.76	30.55	66.46	61.87	45.03	65.42	35.01	50.61	43.69	78.23	19.06	61.57	70.71	57.6	58.09	40.71	50.41	46.25	37.96	54.79	63.6	50.39
-52.42	-17.46	-64.51	-18.14	5.84	-56.19	-53.27	29.14	26.28	-13.1	-38.53	-38.02	-1.8	-20.68	-5.49	-33.27	-28.5	-26.46	-25.1	4.04	-6.22	-14.72	-22.39	-7.94	-6.25	25.43	20.59	-16.52	11.33	-7.96	1.12	-48.55	-23.1	-33.63	-56.08	-30.91	30.03	1.83	11.92	15.9	2.68	4.57
38.89	51.87	10.49	44.59	33.89	24.53	51.43	35.14	47.16	35.72	14.44	50.35	27.83	54.46	54.04	40.64	37.66	40.04	31.68	42.74	41.64	41.64	44.36	26.44	13.84	52.07	56.64	32.65	58.81	42.17	43.85	54.21	60.45	34.44	29.22	18.41	53.4	53	35.48	52.03	50.17	31.65
13.72	19.75	2.01	12.01	11.37	5.71	19.66	17.23	28.56	12.5	9.4	45.17	44.93	33.6	11.27	4.73	11.71	15.38	30.55	27.3	6.53	9.03	14.09	17.69	3.09	33.88	26.58	17.26	30.05	26.52	29.15	15.3	50.01	33.66	11.46	13.98	18.99	19.43	18.53	15.56	20.24	12.55
9.19	20.6	-7.34	22.87	12.1	2.58	10.38	21.99	41.16	-2.3	5.1	50.97	45.37	47.96	2.38	11.6	25.21	22.28	11.89	26.5	18.76	8.66	8.23	23.6	-0.55	38.85	23.66	19.43	42.49	33.44	33.09	40.96	62.97	38.06	22.83	16.13	17.05	33.02	22.83	6.31	11.49	28.33
15.08	25.07	15.38	19.03	10.4	9.47	23.46	34.14	51.96	13.25	14.01	59.42	56.14	44.54	12.39	13.41	18.78	17.7	23.8	29.25	9.2	26.79	16.41	18.6	6.45	43.13	32.75	23.69	40.53	31.69	37.33	42.54	69.22	42.37	23.72	24.01	19.41	27.67	29.09	24.9	24.03	29.77
39.18	43.57	40.89	46.14	32.41	31.99	40.78	34.31	55.85	32.21	30.26	58.91	56.55	55.34	24.1	24.96	35.14	39.92	48.31	43.43	24.24	45.32	29.72	41.35	29.27	53.35	41.29	31.63	59.52	49.36	45.19	49.92	64.57	55.49	44.52	45.85	46.52	46.26	39.02	36.45	42.33	46.43
10.77	7.48	-5.86	18.66	18.07	3.05	25.19	17.55	54.05	14.2	18.75	55.95	36.42	35.4	10.47	13.66	23.54	28.91	20.28	27.17	13.25	30.03	7.89	22.36	7	36.27	22.75	17.12	35.95	19.06	39.62	30.18	66.23	37.17	16.35	8.79	18.67	24.59	27.36	15.73	25.14	19.92
19.74	18.55	10.45	20.56	11.11	15.72	29.52	33.49	34.14	13.91	10.89	50.92	48.83	45.36	17.29	25.11	24.47	21.8	25.69	28.05	15.06	23.08	23.6	33.86	12.23	30.9	32.94	25.17	55.97	31.91	30.96	31.36	65.63	47.92	28.55	25	26.43	27.97	35.61	23.18	30.99	29.36
30.19	22.97	16.5	28.13	22.35	20.21	31.02	28.88	41.78	23.72	26.58	50.04	45.39	32.89	20.41	18.63	28.38	23.29	33.75	34.95	22.71	26.85	24.64	37.84	13.37	41.07	29.92	32.31	42.37	32.89	30.39	33.78	69.74	45.03	33.95	29.91	26.92	32.05	27.05	24	25.22	29.2
21.58	4.58	-6.18	20.12	8.08	5.09	15.39	13.42	20.13	6.95	2.99	41.8	29.35	29.55	-2.3	1.78	1.18	9.47	14.34	21.75	-0.32	2.93	2.91	9.9	7.71	32.48	20.23	16.3	31.67	30.36	17.15	8.26	53.07	28.29	6.64	16.24	16.87	12.51	27.12	7.5	10.05	12.19
19.35	12.12	-2.58	10.04	1.47	-1.08	13.67	16.6	31.8	3.59	3.37	45.31	47.06	36.73	7.77	0.06	14.21	12.46	15.78	21.33	6.27	11.02	-3.97	16.18	-4.31	33.01	18.37	5.94	33.26	32.56	15.01	35.65	68.78	34.3	13.09	26.07	20.27	16.14	29.25	2.46	23.01	16.83
26.6	24.42	16.09	28.52	18.6	20.67	31.99	28.92	44.13	20.69	22.42	46.22	36.99	36.6	23.51	17.44	19.86	28.63	22.22	37.18	20.11	22.14	19.55	26.3	20.97	27.22	33.28	26.13	29.88	38.24	31.16	38.94	55.78	45.38	27.24	26.95	28.99	28.46	33.88	25.02	23.77	28.76
47.76	49.43	45.54	52.94	41.56	42.62	60.8	55.34	63.73	51.54	45.76	69.29	66.73	64.78	43.66	48.45	49.69	51.09	52.45	54.68	47.89	49.27	53.45	54.07	37.54	67.94	62.71	49.72	73.23	62.32	56.83	60.65	79.39	66.49	47.85	50.33	47.01	59.33	52.77	50.49	49.26	55.77
31.45	41.02	34.97	33.74	34.81	32.03	42.94	40	59.13	38.71	32.65	57.53	56.51	52.6	32.23	33.82	36.5	38.93	40.5	42.48	33.6	38.67	34.91	42.45	28.1	56.9	49.31	50.17	49.67	50.43	42.96	51.26	66.65	52.9	40.2	41.48	38.91	46.75	46.78	40.16	42.91	43.74
25.04	22.51	16.53	22.38	10.27	20.64	32.33	28.58	41.52	21.09	26.18	43.78	52.81	42.91	15.35	14.76	28.82	32.49	34.84	35.33	20.88	19.7	12.82	29.97	18.25	41.79	32.71	23.86	46.45	43.67	36.75	43.5	61.52	42.2	28.7	34.31	22.9	33.83	28.2	24.34	29.93	30.18
6.8	0.79	-11.87	4.15	2.2	-12.93	5.91	-4.56	25.02	-4.28	-4.61	31.91	34.83	25.42	-10.62	-10.04	-0.61	-4.2	2.7	9.48	-7.39	2.36	-8.1	-2.7	-10.69	19.26	22.18	-4.76	18.14	14.3	1.86	21.22	44.12	20.72	10.79	-3.23	-7.64	21.76	6.61	1.67	5.18	1.55
17.95	14.84	0.29	19.03	1.42	9.35	18.72	15.93	43.23	14.62	16.38	45.2	51.28	37.31	10.52	10.41	11.18	14.83	32.65	16.78	-7.88	31.53	9.17	20.97	-1.03	47.12	26.77	23.57	32.8	22.96	37.83	30.07	66.85	36.13	25.96	17.27	14.54	29.79	30.83	17.79	20.54	14.43
20.19	22.37	4.6	20.99	16.77	6.6	21.63	19.13	36.24	14.81	16.02	31.42	36.8	20.74	9.86	17.76	17.02	18.99	14.33	19.79	9.97	19.13	8.15	21.56	9.67	35.43	22.5	27.03	28.68	34.02	23.53	33.72	45.43	27.01	27.19	15.5	22.57	27.02	19.92	24.23	21.98	25.13
36.55	36.49	28.03	36.07	37.89	30.42	39.63	41.18	50.51	34.03	39.26	58.26	57.13	46.69	39.84	38.48	37.51	42.56	38.11	41.49	31.97	33.93	31.83	43.81	28.12	52.87	44.1	35.19	55.29	50.86	49.05	45.77	61.24	54.04	41.86	38.29	38.49	51.43	40.49	43.33	35.69	40.32
27.17	26.27	17.87	38.35	17.3	16.04	28.82	27.89	47.69	20.48	17.46	48.81	40.77	38.64	21.8	23.45	29.35	25.69	30.92	39.33	28.06	25.52	24.6	32.02	13.16	48.28	36.8	26.68	40.02	31.19	34.73	39.7	69.16	46.71	36.03	34.74	32.62	32.07	36.36	25.67	31.16	28.21
11.63	28.75	10.85	33.8	5.27	10.56	29.95	23.61	41.18	23.19	16.67	48.63	54.07	31.14	6.34	7.66	2.93	32.54	28.13	25.72	8.89	8.77	12.3	24.85	14.58	41.92	39.87	20.67	37.42	46.82	19.17	41.71	61.77	52.23	21.64	20.85	17.06	27.07	21.89	17.9	14.22	32.51
22.57	31.79	19.02	25.06	19.13	11.91	30.05	18.58	44.84	23.67	13.31	54.99	41.5	45.37	18.93	18.46	23.51	30.13	31.19	32.13	19.65	20.24	14.69	34.52	20.91	31.39	42.9	30.24	41.67	41.1	38.8	43.72	69.39	47.46	24.83	23.31	29.13	34.68	32	24.39	27.4	41.06
-9.79	-1.94	-7.14	15.85	-6.46	-8.34	-0.57	6.37	26.91	-8.7	0.62	34.35	18.53	16.11	0.42	1.02	8.88	1.45	4.44	4.03	-5.06	1.24	-3.82	-0.18	-9.42	20.63	25.84	-1.16	13.47	18.72	16.12	17.94	54.66	25.37	3.7	4.41	6.84	15.2	10.78	-1.48	-0.32	10.92
30.24	28.24	15.61	30.22	17.7	18.46	35.57	26.49	41.22	29.33	25.6	44.29	40.82	38.02	22.51	25.97	24.9	23.13	35.77	39.27	28.01	24.63	25.76	27.17	30.09	45.25	34.46	30.46	39.37	36.94	29.12	34.71	64.38	38.78	28.46	30.5	33.96	30.81	32.28	28.72	29.94	31.45
36.26	42.27	30.96	42.76	34.27	36.49	39.95	46.61	55.84	40.94	35.92	57.32	62.33	59.03	35.02	39.08	41.34	43.99	38.95	46.37	37.38	39.55	29.4	46.11	26.11	54.58	56.51	43.1	53.76	57.82	43.73	51.22	73.59	53.51	46.19	41.63	43.29	47.37	53.4	38.27	46.45	48.33
32.37	18.5	7.85	13.81	8.44	7.22	24.73	28.87	56.9	19.69	4.53	49.35	55.24	40.35	4.53	6.14	27.41	20.66	27.29	33.47	26.42	24.4	15.26	9.28	3.43	51	36.22	31.8	33.24	29.07	40.81	56.96	70.98	37.11	28.5	43.72	29.43	28.6	16.66	9.64	23.22	30.6
29.56	37.37	22.18	33.74	20.16	22.85	32.93	29.31	48.58	26.39	24.84	45.28	44.01	43.62	25.07	23.29	26.73	34.01	29.16	35.23	29.86	29.32	34.84	34.96	16.28	39.62	36.48	30.89	45.79	40.11	38.18	45.1	61.01	42.18	31.22	35.07	32.81	34.47	36.06	18.15	32.58	31.26
-3.65	3.94	-15.42	8.4	-4.67	-13.54	8.27	0.17	20.32	-13.7	-9.18	23.65	16.91	16.24	-6.97	-4.56	3.13	4.12	2.48	6.77	-9.62	-2.9	-6.57	7.5	-14.71	18.9	2.36	-1.92	11.23	13.83	16.64	21.8	41.37	18.88	-2	10.13	4.76	1.14	4.25	-1.85	16.38	8.22
7.98	16.3	7.02	16.25	6.36	-0.67	5.11	12.72	23.8	7.23	-0.85	31.43	35.17	29.18	-9.38	7.93	14.59	13.52	6.52	21.13	16.28	0.09	-1.93	10	-1.47	34.03	21.91	8.87	30.94	10.66	18.78	28.51	53.01	30.8	18.87	3.27	15.15	6.97	14.55	7.51	17.82	6.84
26.75	29.74	18.76	28.54	27	23.47	32.96	32.86	46.92	27.86	26.12	52.81	43.17	38.36	30.13	27.74	28.84	21.86	35.7	32.92	31.62	30.24	26.28	33.4	20.39	42.41	37.37	26.75	34.04	40.25	39.03	41.63	58.61	40.22	27.49	30.51	39.19	33.16	36.54	24.76	37.08	36.64
19.45	26.28	11.89	22.75	13.09	14.76	32.01	26.26	35.98	12.05	17.7	37.75	38.84	38.33	8.05	17.28	17.72	18.26	23.71	26.33	14.06	17.73	21.3	32.78	11.07	43.08	30.52	19.11	33.62	34.31	38.52	32.78	51.29	34.11	18.02	26.24	25.65	34.63	28.95	20.88	33	21.9
20.43	15.12	2.79	17.45	11.54	11.21	21.59	17.37	36.76	4.49	10.3	42.06	33.01	36.05	4.03	13.26	20.59	9.41	20.71	14.03	0.08	10.92	15.74	29.58	5.01	26.04	25.25	17.3	33.08	17.69	31.22	36.14	49.35	39.9	15.51	27.24	14.7	21.95	17.23	14.33	16.42	25.92
24.66	25.69	11.29	26.76	20.94	22.95	24.33	33	48.53	25.28	20.85	56.1	46.95	40.12	22.65	23	30.94	30.29	29.85	32.47	23.28	26.69	16.35	34.23	19.43	46.41	34.7	28.93	45.57	40.46	40.14	44.73	64.52	47.68	27.75	29.14	29.41	32.5	23.74	27.37	44.35	31.55
29.46	24.76	15.71	33.02	26.05	27.49	27.72	23.82	43.51	26.53	24.36	53.41	40.03	38.91	27.24	20.29	30.92	23.98	35.78	36.54	22.42	23.48	28.1	30.96	20.87	42.75	40.34	34.18	44.1	36.37	37.86	36.3	56.69	41.69	36.94	37.94	31.62	32.98	32.02	17.35	31.2	26.98
7.45	12.3	3.26	2.68	-5.2	-3.64	8.99	5.32	26.28	-1.99	-6.72	30.49	29.05	20.59	-4.7	-7.21	12.06	0.8	9.26	12.05	-6.67	1.09	-1.56	9.19	-21.6	24.49	23.15	7.46	22.89	22.29	13.55	17.15	43.76	30.32	11.31	17.59	11.05	21.36	10.41	0.78	17.11	6.42
24.68	27.84	20.83	24.75	24.94	19.43	28.06	34.33	42.72	29.76	24.62	63.81	64.84	47.08	18.84	19.8	32.53	26.26	35.07	39.14	23.72	29.92	24.75	32.06	24.66	43.8	45.76	32.78	40.87	41.62	43.22	55.38	89.93	54.71	36.05	34.62	30.11	41.9	38.06	30.01	38.63	31.17
36.3	29.34	27.04	32.94	26.19	23.37	33.14	22.2	51.14	30.05	26.5	49.73	50.33	40.03	19.92	24.73	32.87	32.51	34.12	39.99	22.12	33.58	31.24	37.63	22.89	46.9	38.21	35.3	54.34	37.78	41.36	48.93	59.45	55.17	35.47	39.05	36.89	35.75	34.16	29.93	35.97	36.9
26.91	19.45	15.48	22.71	9.58	6.25	29.7	27.5	36.78	16.34	18.18	35.72	44.38	27.62	16.53	21.92	25.06	30.21	26.46	21.14	13.53	22.64	14.11	27.1	14.22	39.06	36.34	19.1	38.72	28.23	31.81	37.34	63.03	41.65	31.1	29.04	32.35	24.91	24.07	21.42	22.28	31.23
15.84	17	8.28	14.82	11.09	6.84	20.47	23.83	31.5	8.93	21.9	38.82	28.73	36.32	6.8	13.16	9.71	22.27	18.72	25.38	12.53	13.1	15.23	31.95	11.45	39.02	24.72	19.06	33.83	32.85	32.87	30.21	56.53	37.94	13.8	21.33	20.85	25.24	21.23	20.77	22.83	23.49
31.16	33.01	19.19	27.34	24.43	12.32	27.07	34.69	46.36	19.51	24.51	52.86	44.95	44.3	19.28	23.71	33.87	34.14	32.44	38.62	23.58	29.86	26.22	31.58	20.75	46.94	33.06	33.9	45.5	36.49	38.84	42.69	64.26	49.18	32.63	32.33	36.37	32.92	29.33	32.91	23.73	37.58
6.88	9.74	0.75	22.16	14.3	4.15	10.35	25.27	31.68	8.7	14.3	55.17	44.92	43.02	8.95	15.26	15.75	22.56	23.5	29.17	12.33	17.08	5.65	13.33	-4.31	39.06	23	18.05	44.54	33.87	31.88	34.82	73.3	22.9	19.98	24.65	10.53	39.54	23.79	13.39	24.55	33.58
32.91	25.56	14.88	32.8	26.47	33.7	38.83	36.96	49.02	34.93	38.53	59.55	53.14	45.23	29.19	28.08	31.44	34.82	36.57	36.87	30.26	36.57	25.85	35	20.91	58.38	42.55	33.71	55.28	47.7	47.16	47.86	60.79	46.71	30.53	36.78	40.87	34.5	38.12	31.21	40.87	34.16
-0.86	-2.92	-8.97	9.19	-8.47	-6.09	7.07	3.86	14.81	-3.86	-1.05	36.56	28.13	25.45	-2.51	-13.08	4.94	5.35	6.79	8.1	13.48	-5.62	-3.95	3.31	-17.92	26.51	19.42	-3.29	23	22.28	22.8	24.71	53.91	31.85	-0.95	4.81	7.13	11.54	-0.09	7.99	10.55	6.53
2.44	11.38	-9.27	-0.24	-0.81	-5.87	8.88	7.46	13.6	-2.29	-6.54	15.81	12.79	17.89	-1.79	2.2	4.93	6.98	14.23	7.09	-0.85	5.29	-5.69	7.42	-8.12	22.41	5.91	0.84	9.99	15.16	20.56	12.37	31.99	19.54	6.23	13.3	7.31	3.27	3.65	5.7	1.65	1.44
21.14	20.78	10.37	27.37	18.09	2.63	25.42	26.39	46.35	25.62	20.45	46.78	37.14	37.14	10.29	16.56	25.92	28.49	23.58	22.92	21.95	17.95	11.12	25.79	8.96	44.1	25.29	9.17	33.03	23.06	38.24	38.04	65.98	39.27	19.98	24.82	26.1	23.95	27.7	22.02	27.74	17.85
25.56	25.36	14.7	25.32	13.99	7.22	20.89	20.14	44.07	10.52	12.46	49.34	39.23	35.26	11.34	11.76	22.06	29.43	12.92	19.1	10.78	25.65	24.6	30.37	13.11	38.08	24	24.75	34.32	37.9	37.82	40.04	63.76	40.51	31.59	31.11	32.86	35.84	23.76	22.68	24.11	25.12
-4.76	-6.81	-33.5	-16.84	-21.78	-4.44	-0.3	0.44	18.78	-16.89	-8.64	36.63	24.09	26.46	-32.23	-20.18	-5.28	-17.73	1.08	13.54	-18.07	-11.9	-11.31	0.5	-19.19	34.16	8.17	-8.39	11.08	13.63	16.04	19.64	32.93	32.09	3.04	-12.9	-4.17	13.91	-6.13	-14.61	-1.63	-0.21
6.02	5.26	-5.23	5.76	-9.17	-3.63	5.39	4.58	30.67	3.1	-4.46	32.95	19.43	21.73	-4.78	7.73	12.57	-0.12	6.89	11.14	-0.68	-2.32	-0.49	6.05	-5.73	31.68	20.8	3.18	20.95	21.07	25.37	13.61	51.22	20.26	9.12	11.57	-3.44	27.84	8.14	-0.69	5.01	-2.89
40.42	28.64	23.68	32.95	28.1	29.38	34.3	38.85	53.09	30.3	24.26	43.98	47.65	46.26	23.03	28.93	33.61	25.28	28.3	35.07	30.1	39.43	30.65	37.91	19.38	52.78	34.18	27.09	52.62	53.53	46.76	36.35	63.02	45.57	29.81	29.75	26.81	43.2	32.68	30.01	39.67	36.48
