"Colchicum_autumnale_M2__P_1"	"Colchicum_autumnale_M2__P_2"	"Colchicum_autumnale_M2__P_3"	"Colchicum_autumnale_M2__P_4"	"Colchicum_autumnale_M2__P_5"	"Colchicum_autumnale_M2__P_6"	"Colchicum_autumnale_M2__P_7"	"Colchicum_autumnale_M2__P_8"	"Colchicum_autumnale_M2__P_9"	"Colchicum_autumnale_M2__P_10"	"Colchicum_autumnale_M2__P_11"	"Colchicum_autumnale_M2__P_12"	"Colchicum_autumnale_M2__P_13"	"Colchicum_autumnale_M2__P_14"	"Colchicum_autumnale_M2__P_15"	"Colchicum_autumnale_M2__P_16"	"Filipendula_ulmaria_M2__P_1"	"Filipendula_ulmaria_M2__P_2"	"Filipendula_ulmaria_M2__P_3"	"Trifolium_pratense_M2__P_1"	"Trifolium_pratense_M2__P_2"	"Trifolium_pratense_M2__P_3"	"Trifolium_pratense_M2__P_4"	"Trifolium_pratense_M2__P_5"	"Trifolium_pratense_M2__P_6"	"Malva_alcea_M2__P_1"	"Malva_alcea_M2__P_2"	"Malva_alcea_M2__P_3"	"Malva_alcea_M2__P_4"	"Malva_alcea_M2__P_5"	"Malva_alcea_M2__P_6"	"Malva_alcea_M2__P_7"
1.38	1.2	1.85	1.98	1.53	1.37	3.52	2.14	8.99	1.09	1.54	3.46	0.78	1.17	1.98	2.05	1.29	2.11	5.21	1.38	2.16	11.08	0.97	4.76	4.83	3.63	4.21	3.68	6.19	3.55	2.42	8.36
0.9	0.72	0.65	1.36	0.81	0.7	3.31	1.14	7.84	1.45	1.48	3.05	0.28	0.89	1.2	1.72	0.74	1.21	5.37	1.19	1.95	11.31	0.73	4.25	4.15	3.49	3.14	3	5.03	2.96	1.53	7.55
1.07	1.14	1.07	2.21	0.94	0.89	3.49	1.53	8.42	1.77	0.99	3.38	0.54	1.16	1.9	1.79	1.41	1.79	5.18	1.07	1.93	11.69	0.93	4.89	4.21	2.95	4.13	3.4	5.33	3.4	2.19	7.88
1.5	1.48	1.68	2.36	2.01	1.66	3.71	2.33	8.83	1.48	1.09	3.4	1.13	1.87	2.28	2.02	1.89	1.85	5.47	1.75	2.5	11.86	1.36	5.45	4.6	3.93	4.55	3.58	5.67	3.77	2.96	8.54
0.74	0.78	0.37	1.37	1.53	0.87	3.24	1.17	8.31	0.28	0.49	2.58	-0.02	1.42	1.61	1.64	0.83	0.99	5.17	0.63	1.66	10.76	0.82	4.66	3.69	2.49	3.6	2.59	5.47	2.68	1.88	7.63
0.79	1.17	0.81	1.83	1.07	0.54	3.42	1.14	8.36	0.86	1.01	3.32	0.55	1.03	2.45	2.08	0.98	1.34	5.35	1.71	1.91	11.09	0.73	4.8	4.35	3.24	3.92	3.55	5.45	3.07	2.33	7.52
0.69	0.69	0.95	1.36	1.32	0.68	2.92	1.41	8.4	0.52	0.38	2.81	0.02	0.86	1.65	1.38	0.61	0.92	5.18	0.82	1.78	11.24	0.46	4.63	3.66	3.05	3.9	3.4	5.69	3.44	2.26	7.61
0.85	0.7	1.26	2.09	1.34	0.68	3.86	2.02	8.31	0.6	1.07	3.03	0.7	1.26	1.85	1.98	1.22	1.93	5.22	1.32	2.04	11.18	1.4	4.7	4.46	3.3	4.31	3.65	5.46	3.27	2.71	8.02
0.92	0.69	0.3	2.12	1.56	0.79	2.94	1.29	8.34	0.6	0.44	2.76	0.47	1.35	1.58	1.75	0.75	1.39	5.17	1.03	2.49	10.96	0.33	5.01	3.78	3.69	3.63	3.66	5.57	3.25	2.4	7.54
0.77	1.59	1.35	2.39	1.68	1.93	3.5	1.7	8.96	1.48	1.15	3.65	1.07	1.77	2.29	2.47	1.07	1.63	5.88	1.86	2.42	11.73	0.95	4.87	4.64	3.41	4.89	3.96	5.98	3.67	2.43	8.33
1.05	1.34	1.44	2.4	1.66	1.18	4.05	1.94	8.74	1.37	1.03	3.92	0.91	1.44	2.12	2.02	1.52	1.67	5.79	1.71	2.27	12.01	1.33	5.23	4.52	4.28	4.98	4.23	5.72	4.24	2.57	8.23
0.96	1.15	0.91	1.99	1.87	1.23	3.4	2.17	8.82	1.23	1.05	3.65	0.82	1.09	1.47	2.23	1.25	0.67	6.06	1.78	2.34	11.43	1.17	5.2	4.64	3.61	4.88	3.74	5.85	3.71	2.92	8.42
1.63	1.52	1.45	2.05	2.49	0.98	3.27	2.61	9.53	1.32	1.71	3.73	0.99	1.94	2.68	2.69	1.32	2.17	6.02	1.52	2.82	11.72	0.92	5.5	4.78	4.13	4.74	4.4	6.54	4.05	2.81	8.5
0.71	0.59	1.08	1.15	1.06	0.94	2.91	1.33	7.72	0.57	0.59	3.11	0.19	1.23	1.43	1.69	0.74	1.69	4.84	1	1.8	10.87	0.58	4.54	3.69	3.16	3.72	3.72	5.9	3.38	2.37	8.05
1.03	1.07	1	1.79	1.34	0.95	3.21	1.57	7.78	1.15	0.92	3.21	0.29	1.09	1.45	2.23	1.23	1.61	5.54	1.25	2.12	11.05	1.16	4.52	4.19	3.56	4.66	3.84	5.79	3.7	2.57	8.82
1.11	0.85	0.39	1.54	1.13	1.74	2.98	1.07	8.07	1.05	0.78	2.9	0.7	1.25	1.45	1.57	1.28	1.27	5.37	0.81	1.43	11.62	0.82	5.13	4.21	3.79	4.15	3.57	5.86	4.38	2.71	8.26
0.57	0.93	0.61	1.67	1.74	0.95	3.35	2.1	8.36	1.24	0.76	2.76	0.47	1.03	1.79	1.16	1.31	1.48	5.19	1.35	1.97	11.21	0.85	4.49	4.04	3.57	4.67	3.9	5.73	3.95	2.32	8.04
0.61	1.14	1.57	1.72	1.46	1.33	3.01	1.29	8.13	1.08	0.78	3.29	0.79	1.04	1.72	1.79	0.87	1.42	5.57	1.4	1.94	11.03	0.54	4.76	4.03	4.08	4.66	3.89	5.73	3.4	2.6	8.12
0.85	0.82	0.9	1.57	1.26	0.62	3.38	1.46	8.45	0.71	0.7	3.38	0.74	1.22	1.44	1.25	1.28	0.85	5.28	1.87	2	10.97	0.4	4.47	4.02	3.95	5.02	4.21	5.62	4.18	2.77	7.98
1.25	1.5	1.14	1.75	1.59	1.02	2.68	1.41	8.36	0.73	0.99	3.09	0.62	0.7	2.04	1.47	1.04	1.54	5.52	1.19	1.82	10.8	0.55	4.57	4.23	3.91	5.26	4.49	6.12	3.99	2.97	7.87
1.29	1.42	0.79	1.89	1.56	1.4	3.52	1.8	8.73	0.89	0.89	3.41	0.82	1.22	2.13	2.05	1.15	1.42	5.87	1.34	2.29	11.57	1.03	4.77	3.57	4.37	4.67	4.1	6.4	4	3.07	8.26
0.92	0.7	1.05	1.51	1.49	0.93	3.46	1.13	8.12	1.61	1.01	3.51	0.13	1.71	2.59	1.79	1.56	1.85	5.11	1.02	2.2	10.85	0.75	4.84	4.35	3.94	5.13	3.94	5.97	4.41	2.76	8.54
0.89	0.8	0.83	1.73	1.85	0.84	3.22	1.83	8.28	1.22	1.74	2.76	0.95	1.22	1.83	1.96	1.08	2.04	5.45	1.52	2.41	11.28	0.86	4.75	4.3	4.49	5.09	4.23	6.59	4.39	3.36	9.03
0.51	0.76	1.19	1.62	0.99	0.62	3.21	1.68	8.03	0.77	0.63	2.83	0.92	1.08	2.15	1.46	0.54	1.42	5.24	0.94	2.06	11.34	0.73	4.55	3.92	4.14	5.26	4.58	6.08	3.93	2.98	7.85
0.34	0.86	0.32	1.5	0.96	0.95	3.26	1.64	8.26	0.91	0.76	3.26	0.6	1.26	1.32	1.26	0.71	1.98	5.42	0.96	2.21	10.93	0.73	4.32	3.74	3.75	4.94	4.12	6.69	4.14	2.9	7.6
0.79	1.35	1	1.38	1.8	1.05	3.43	1.54	8.06	1.35	0.78	2.86	0.72	1.58	1.79	1.05	0.87	0.93	5.17	1.55	2.04	11.09	0.77	4.46	3.84	4.31	5.05	4.13	6.43	4.27	2.99	8.25
0.98	0.84	0.69	1.46	1.5	0.86	3.06	1.51	8.12	0.6	0.61	2.8	0.45	1.39	1.71	1.37	0.72	1.11	5.28	1.24	2.43	11.95	0.65	4.84	3.91	4.89	5.46	4.58	6.85	4.72	3.38	9.02
1.03	0.94	0.8	1.47	1.31	0.93	3.08	1.75	8.52	0.69	0.15	2.64	0.58	0.84	1.76	1.58	0.88	1.17	5.23	1.53	2.48	11.35	0.49	4.47	4.15	4.88	5.44	4.18	7.23	5.14	3.67	8.61
0.52	0.66	0.45	1.24	1.04	0.22	2.88	1.22	8.36	0.72	0.48	2.63	0.32	0.74	1.44	1.06	1.03	0.82	5.22	0.88	1.84	10.66	0.33	4.32	3.95	4.6	5.39	4.21	6.54	4.17	3.24	8.16
2.02	1.31	1.23	2.24	1.54	1.17	3.81	2.05	8.29	1.33	1.59	4.1	0.83	1.43	1.52	2.05	1.23	1.56	5.3	1.4	2.73	11.22	1.25	4.83	4.07	5.39	5.66	5.58	7.58	4.88	3.59	8.65
1.01	1.27	1.04	1.85	1.62	1.07	3.52	1.68	9.16	1.11	0.96	3.25	0.72	0.91	1.65	1.97	1.13	1.53	5.47	1.49	2.09	11.36	1.08	4.87	3.79	5.38	5.84	5.11	7.29	5.4	3.57	9.48
1.14	1.28	1.19	1.82	1.67	1.33	3.41	1.73	8.81	1.43	1.17	3.43	0.92	1.61	2.09	1.94	1.6	1.71	5.9	2.07	2.15	11.77	0.89	6.05	4.33	5.5	6.41	5.29	7.39	5.37	3.95	9.35
1.28	1.25	1.03	1.74	1.27	0.99	2.84	1.38	7.88	0.81	0.85	3.25	0.66	0.82	1.83	1.57	1.27	1.61	5.37	0.89	2.17	10.72	1.22	4.68	3.88	5.53	5.14	5.07	7.44	5.16	3.38	9
0.91	0.9	0.82	1.77	1.76	1.2	3.05	1.67	7.88	1.26	1.26	3.56	0.96	0.9	2.64	2.04	1.13	1.42	6.29	1.64	2.03	11.47	0.78	4.72	4.3	5.38	6.53	5.56	7.49	5.78	3.88	9.06
1.08	1.34	0.87	1.94	1.73	1.03	3.42	1.26	8.22	0.95	0.85	2.96	0.1	1.23	2.34	1.58	1.55	1.19	5.7	1.7	2.38	11.06	1.01	4.63	4.07	5.89	6.59	5.74	7.76	5.46	4.11	9.12
0.87	1.2	1.14	1.54	1.11	1.53	3.78	1.29	8.88	1.21	1.42	3.54	0.28	1.4	1.79	1.43	1.05	1.23	5.82	1.25	2.28	11.15	1.03	4.79	4.54	5.87	6.37	5.66	7.8	5.59	3.91	9.31
0.64	0.56	0.39	1.77	1.07	0.82	2.8	1.6	8.01	1.03	0.68	2.33	0.19	0.54	1.44	1.35	0.62	1.25	5.44	0.81	1.59	10.65	0.24	4.47	3.35	6.16	6.43	5.39	7.39	5.52	3.69	9.05
0.97	0.36	0.34	1.39	0.95	0.9	2.97	1.51	8.32	0.85	0.95	2.92	0.3	0.94	1.62	1.4	0.85	1.18	5.45	0.99	2.01	10.87	0.61	4.69	3.99	5.71	6.67	5.36	7.77	5.48	3.33	9.61
1.46	1.15	1.94	1.73	1.7	1.72	3.86	2.27	8.54	1.36	1.42	3.11	1.07	1.75	2.64	2.12	1.75	2.04	5.86	2	2.15	11.67	1.2	6.26	4.93	6.41	7.97	6.32	8.66	6.48	4.61	9.76
0.79	0.74	0.22	1.3	1.12	0.41	3.2	0.89	8.24	1.07	0.74	2.75	0.61	0.97	1.29	1.3	0.94	1.07	5.52	1.19	2.11	10.94	0.54	5.03	3.94	6.01	6.94	5.66	7.92	5.87	4.19	9.71
0.77	1.04	0.69	1.89	1.15	1.31	2.66	1.73	8.11	1.02	0.76	3.11	0.68	1.11	1.33	1.71	1.19	1.78	5.47	1.44	2.43	11.26	0.72	4.72	4.06	6.21	6.63	5.77	7.66	6.47	4.69	10.11
0.49	1.57	1.37	2.39	1.7	1.04	3.49	1.83	8.73	0.82	1.02	3.03	0.64	1.02	1.4	1.73	0.86	1.28	5.33	1.26	2.05	11.23	0.86	4.96	4.13	6.39	7.37	6.12	8.61	6.62	4.68	9.96
0.68	0.81	1.06	1.67	1.7	1.27	2.55	1.68	8.28	0.58	0.33	2.39	0.55	1.16	1.76	1.27	1.03	0.76	5.69	1.29	2.19	10.83	0.38	4.7	3.83	6.29	6.79	6.3	8.28	6.66	4.22	9.63
0.81	1.16	1.46	1.91	1.35	0.86	3.15	1.9	8.77	0.97	0.64	3.7	1.06	2.1	1.76	1.8	1.42	1.2	5.93	1.3	2.13	11.05	0.84	5.06	4.11	6.44	7.54	6.66	8.3	7.13	4.98	9.65
0.3	0.94	0.72	1.41	1.14	0.86	2.83	1.55	8.14	0.65	0.8	2.62	0.21	1.2	1.74	1.78	1.2	1.46	5.58	1.54	2.08	11.49	0.47	4.97	3.45	6.76	7.59	6.49	8.46	6.84	4.78	10.33
1.49	1.27	1.16	1.74	1.13	1.42	2.77	1.9	8.67	1.34	1.14	3.15	1.22	1.49	1.92	2.15	1.76	1.45	6.07	1.49	2.48	11.27	1.45	5.23	4.44	7.28	8.28	6.92	8.68	7.37	5.48	10.32
1.02	0.77	1.23	1.34	1.35	1.28	3.18	1.08	8.34	0.71	1.05	2.81	0.07	0.88	2	1.6	0.67	1.53	5.4	1.5	1.83	10.59	0.58	5.19	4.23	7.13	8	6.55	8.68	7.44	5.06	9.93
0.55	0.87	0.95	0.88	0.83	0.61	2.96	1.69	8.14	1.12	0.84	2.73	0.47	1	1.6	1.71	1.05	1.6	5.84	0.96	1.89	11.33	0.59	4.92	3.7	7.07	7.84	6.79	8.94	7.55	4.89	9.93
0.31	0.88	0.68	1.11	1.1	1.1	2.91	1.32	8.39	0.83	0.82	2.33	0.43	0.76	1.73	1.92	1.16	1.31	5.42	1.21	2.12	10.63	0.89	4.88	3.7	7.58	8.28	6.57	8.99	6.83	5.35	10.34
1.47	1.24	1.02	2.24	1.12	1.15	3.45	2.1	7.87	0.76	1.21	3.34	0.93	1.42	2.09	1.62	0.96	2.07	5.85	1.58	2.34	11.03	1.14	5.38	3.81	7.44	8.86	7.44	8.95	7.52	6.23	10.11
1.28	1.08	1.28	1.98	1.31	1.41	3.37	1.59	8.25	1.35	0.83	3.25	0.81	1.5	2.05	1.61	0.89	1.64	5.49	1.48	2.45	11.01	0.84	4.98	3.99	8.12	9	7.3	9.08	7.87	5.54	10.84
0.42	0.49	0.74	1.32	1.01	0.73	2.78	1.6	7.56	0.78	0.74	3.03	0.24	1.02	1.45	1.51	0.52	1.18	5.58	0.81	2.23	10.28	0.31	4.85	4.04	7.56	8.58	7.29	9.63	7.67	6.07	10.26
0.45	0.64	0.88	1.45	1.19	0.89	3.17	1.69	7.64	1.16	0.86	2.6	0.37	0.92	1.38	1.03	1.03	1.32	5.54	1.99	2.01	11.28	0.82	4.96	3.77	8.23	8.99	7.42	9.33	8.51	5.67	10.66
1.08	0.83	0.77	1.15	1.06	0.57	3.23	1.4	7.81	0.81	0.88	2.92	0.74	1.07	1.62	1	0.89	1	5.52	1.39	2.32	10.72	0.99	4.81	4	8	9.04	7.57	9.25	8.05	5.95	10.82
0.88	1.17	0.82	1.67	1.15	1.23	3.59	1.84	8.09	1.2	1.13	3.09	0.7	1.16	1.95	1.56	1.45	1.84	5.81	1.18	2.36	10.84	1.21	5.19	3.84	8.38	9.4	7.73	10.01	8.86	6.23	11.13
1.02	0.94	0.77	1.76	1.27	0.96	3.12	2.25	7.91	0.91	1.09	2.6	0.41	1.32	1.66	1.36	1.07	1.53	5.46	1.26	2.29	11.26	1.28	4.53	4.17	8.56	9.2	8.1	9.94	8.72	6.05	10.96
0.35	0.91	0.21	1.25	1.22	0.55	2.93	1.19	7.48	0.79	0.67	2.71	0.18	0.83	0.97	1.08	0.71	0.98	5.35	0.98	1.82	10.29	0.18	4.57	3.62	8.26	9.32	7.93	9.65	7.93	5.95	10.61
0.8	0.97	0.92	1.27	1.34	1.15	3.06	2.13	7.5	0.95	0.9	2.99	0.68	0.6	1.39	1.7	1.12	1.11	5.69	1.63	1.93	10.75	0.62	4.94	4.26	9.15	9.34	8.2	10.25	8.82	6.68	10.95
0.48	0.32	0.22	1.11	0.98	0.43	2.95	1.43	6.99	0.73	0.74	2.16	0.48	0.45	1.38	1.13	0.94	1.41	5.37	0.9	1.65	10.65	0.27	4.32	3.29	8.5	9.65	8.05	10	8.71	5.85	11.34
0.92	1.66	0.84	1.4	1.16	0.91	3.55	1.84	7.69	1.36	1.01	2.68	0.9	1.05	1.43	1.41	0.88	1.48	5.78	1.55	2.49	10.43	0.86	4.78	3.84	9.28	10.02	8.97	10.43	9.15	6.49	11.63
0.78	0.81	1.24	1.67	1.08	0.78	3.16	1.73	7.71	0.98	0.96	2.8	0.4	1.2	1.46	1.5	1.35	1.79	6.01	1.42	2.05	11.03	0.9	5.26	3.72	9.81	10.52	8.7	10.77	9.75	6.91	11.34
0.76	0.92	0.68	1.42	1.26	0.97	3.05	1.58	7.82	0.82	0.9	2.66	0.56	1.47	1.54	1.39	0.61	1.24	5.77	1.09	2.14	10.28	0.52	4.97	3.81	9.96	10.95	8.86	11.14	9.74	7.1	12.09
0.91	1.12	1.23	1.79	1.34	1.14	3.48	1.88	7.65	1.15	1.16	2.88	0.81	0.88	1.44	1.46	1.19	1.49	5.9	1.49	2.15	10.86	0.76	5.37	4.32	10.1	11.06	9.12	11.23	10.24	6.82	12.74
0.76	0.9	0.84	1.68	1.21	1.21	3.18	1.67	7.71	0.9	0.86	2.73	1.18	0.96	1.89	1.28	0.72	1.24	5.85	1.02	2.08	10.79	0.89	5.19	3.62	10.22	11.36	9.2	11.37	10.07	7.29	12.36
1.23	1.12	0.74	1.39	1.21	1.12	3.55	1.86	7.88	0.69	0.9	2.55	0.86	1.04	1.75	1.64	1.21	1.51	5.86	1.4	2.22	10.85	1	5.19	3.76	10.57	10.87	9.45	11.68	10.8	7.73	12.15
1.25	1.14	0.89	1.48	0.99	0.74	3.38	1.76	7.17	0.85	1.35	2.7	0.88	1.13	1.51	1.86	1.18	1.12	5.37	1.24	1.93	10.56	0.96	5.03	3.69	10.75	11.28	9.39	11.85	10.59	7.43	12.03
0.82	0.31	0.43	1.53	0.73	0.64	3.06	1.59	7.39	0.71	1.01	2.33	0.22	0.68	1.39	1.27	0.59	1.43	5.68	0.93	2.1	10.6	0.36	4.82	3.55	10.37	11.21	9.42	11.59	10.66	7.5	11.83
0.96	0.9	0.97	1.5	0.89	1.01	3.07	1.4	6.84	0.81	0.91	2.22	0.51	0.71	1.49	1.2	0.88	1.24	5.27	1.21	2.17	10.11	0.73	5.34	3.66	10.99	11.66	9.53	11.58	10.55	7.76	12.29
0.51	0.82	0.67	1.2	1.01	0.89	3.19	1.91	7.09	0.75	0.55	2.75	0.59	0.87	1.52	1.3	0.68	1.46	5.59	1.33	2.24	10.32	0.82	4.95	3.78	11.51	12.19	9.53	12.04	10.69	7.83	12.64
0.83	0.72	0.8	0.96	0.79	0.9	3.12	1.65	6.81	0.66	0.69	2.35	0.29	0.81	1.26	0.99	0.77	1.49	5.15	1.19	2.28	10.01	0.39	4.58	3.84	10.76	11.67	9.65	11.51	10.75	7.7	12.57
0.51	0.53	0.8	1.12	0.9	0.65	3.25	1.86	6.9	0.67	0.82	2.07	0.26	0.82	1.28	1.05	0.78	1.45	5.27	1.15	2.08	10.4	0.72	4.66	3.62	11.55	11.93	9.9	11.93	11.25	7.89	12.63
0.68	1.03	0.52	0.79	0.54	0.57	2.89	2.01	6.77	0.51	0.91	2.31	0.28	0.41	0.88	0.83	0.47	1.13	4.95	1.09	1.93	10.44	0.33	4.78	3.45	11.71	12.43	9.96	11.96	11.48	8.25	12.74
0.76	0.59	0.74	1.04	0.83	0.59	2.99	1.81	7.59	0.71	0.53	2.27	0.28	0.87	1.28	1.23	0.57	1.33	5.45	1.3	2.17	10.45	0.6	5.23	3.44	11.79	13.02	10.73	12.75	12.1	8.61	13.29
0.59	0.68	0.32	1.11	0.89	0.72	2.81	1.73	7.56	0.47	0.78	2.41	0.45	0.91	1.49	1.24	0.65	1.02	5.35	1.35	2.13	10.04	0.28	5.05	3.69	12.55	13.31	10.87	12.92	12.22	8.31	13.38
0.88	0.52	0.41	1.29	1.04	0.73	3.03	1.61	8.07	0.67	0.73	2.4	0.42	0.95	1.14	1.54	0.72	1.09	5.61	1.2	1.92	10.32	0.57	5.4	4.06	12.95	13.8	11.93	13.67	12.41	8.62	13.86
0.27	0.85	0.65	0.99	0.87	0.87	3.03	1.59	7.44	0.58	0.65	2.49	-0.02	0.49	1.44	1.32	0.71	1.3	5.81	1.21	2.03	10.34	0.2	5.31	3.49	13.41	14.08	11.76	13.67	12.82	9.04	13.9
-0.09	0.48	0.11	0.92	0.57	0.25	3.12	1.35	7.18	0.48	0.58	2.26	0.5	0.36	0.92	0.9	0.49	1.03	5.48	0.95	1.46	10.19	0.41	5.07	3.43	12.74	13.66	11.28	13.54	13.04	9.4	13.69
0.78	0.75	0.86	1.57	0.82	0.94	2.8	1.86	7.73	1.2	0.65	2.61	0.54	1.05	1.12	1.22	0.95	1.16	5.91	1.37	2.24	10.64	0.56	5.59	3.98	13.54	14.73	12.35	14.35	13.91	9.86	13.83
0.43	0.36	0.1	1.02	0.66	0.76	2.47	1.25	7.07	0.41	0.36	2.11	0.56	0.32	1.01	0.9	0.61	0.93	5.48	0.84	1.82	9.86	0.1	5.09	3.94	13.27	14.45	12.13	14.52	13.09	9.56	14.18
0.59	0.38	0.3	0.85	0.79	0.7	2.54	1.63	7.43	0.48	0.25	2.35	0.32	0.63	1.19	1.06	0.42	1.04	5.24	1.2	1.91	10.22	0.7	5.55	3.71	13.76	14.53	12.88	14.71	14.11	9.53	14.99
0.65	0.85	0.09	1.04	1.08	0.84	3.03	1.5	7.84	1.05	0.46	2.58	-0.19	0.92	1.44	1.05	0.48	1.72	5.85	0.96	2.11	9.96	0.45	5.98	3.94	14.28	15.17	12.5	15.52	14.3	10.12	14.95
0.57	0.73	0.51	1.41	1.59	0.92	3.28	1.78	7.89	0.77	0.68	2.94	0.79	0.78	1.86	1.23	0.97	1.45	6.31	1.29	1.93	10.43	0.38	5.8	4.13	14.61	15.55	13.02	15.19	14.56	10.46	15.21
0.11	0.91	0.65	1.26	1.1	1.17	3.23	1.43	7.53	0.75	0.72	2.7	0.4	1.06	1	1.09	1.01	1.16	6.35	1.08	1.84	10.35	0.21	5.83	4.03	15.21	15.87	13.41	15.7	15.47	11.05	15.56
0.42	0.77	0.5	1.51	0.94	1.19	3.6	1.83	8.07	0.77	1.15	2.51	0.26	0.91	1.9	1.52	0.79	1.27	5.68	1.3	1.89	10.65	0.53	6.13	3.98	15.11	16.05	13.69	16.09	15.51	10.84	15.5
0.98	0.7	1.06	1.23	1.26	0.98	3.26	1.67	7.81	0.83	0.64	2.86	0.6	0.96	1.43	1.14	0.94	1.43	5.73	1.36	2.24	10.31	0.26	5.41	3.79	15.43	16.66	13.91	16.23	15.69	11.48	15.18
1.06	0.9	0.67	1.3	1.08	1.22	2.94	2.14	7.27	0.8	0.73	2.65	0.48	0.88	1.54	1.21	0.84	1.07	5.99	1.45	2.47	10.64	0.79	6.01	4.1	15.99	16.89	13.93	16.17	16.42	11.51	16
0.49	0.7	0.78	1.33	1.05	0.74	3.27	1.72	7.73	0.6	0.54	3.16	0.32	1.29	1.42	1.32	0.91	1.59	5.88	1.4	2	10.48	0.74	5.62	3.75	16.33	17.25	14.24	16.62	16.43	11.47	16.38
0.66	0.98	0.68	1.7	1.18	1.03	3.21	1.64	7.33	0.56	0.89	2.85	0.5	0.98	1.53	1.42	1.18	1.19	5.79	1.28	1.95	10.47	0.96	6.05	4.32	16.07	17.58	14.96	17.45	16.82	11.66	16.42
0.28	0.28	0.72	0.84	0.69	0.69	3.18	1.39	8.05	0.31	0.23	2.54	0.29	0.87	1.52	1.07	0.96	1.21	5.93	0.98	2.06	10.07	0.13	5.91	3.24	16.84	17.75	14.83	17.3	16.8	12.26	17
0.91	0.69	0.87	1.65	1.16	1.04	3.17	1.63	8.11	0.73	0.54	2.92	0.44	0.73	1.83	1.73	1.21	1.13	6.56	1.28	2.58	10.55	0.7	6.44	3.93	16.67	17.82	14.83	17.38	17.04	12.52	16.58
0.42	0.77	0.57	0.9	0.87	0.82	2.82	1.26	7.78	0.22	0.55	2.23	0.39	0.71	1.83	1.76	0.92	1.12	5.74	0.91	1.76	10.27	0.84	6.44	3.4	17.16	18.21	15.81	18	17.61	12.75	16.88
0.88	0.71	1.06	1.93	1.41	1.01	2.86	1.77	7.79	1.33	0.78	3.04	0.24	1.07	1.75	1.13	1.23	1.25	6.28	1.2	2.11	10.26	0.88	6.26	4.02	17.33	18.66	15.45	18.2	18.27	13.12	17.45
0.72	0.88	0.82	1.64	1.05	0.78	3.44	1.73	7.96	0.81	0.45	2.55	0.4	0.81	1.48	1.67	0.77	1.05	6.02	1.12	2.26	10.66	0.73	6.02	3.7	18.03	18.54	15.94	18.67	18.57	12.86	17.59
1.16	1.33	1.1	2.01	0.76	1.28	3.39	1.9	8.07	1.07	0.67	3.39	0.58	1.05	2.02	1.98	1.37	1.42	5.85	1.44	1.87	10.64	0.89	6.34	3.77	18.67	19.52	16.6	18.55	18.72	12.75	17.87
0.59	0.55	0.92	1.6	0.99	1.19	3.05	1.66	7.65	0.61	0.5	3.02	0.3	0.8	1.59	0.95	0.93	1.41	5.84	1.12	2.04	9.92	0.65	6.21	4.14	18.32	19.44	15.89	18.24	19.07	13.08	17.72
0.76	1.09	0.7	1.55	1.03	1.06	3.28	1.7	7.53	0.27	0.63	2.89	0.7	0.92	1.91	1.78	1.02	1.34	5.97	1.3	1.64	10.34	0.88	6.53	3.64	18.66	19.48	16.38	18.94	18.69	13.75	17.53
0.95	0.63	0.66	1.55	1.33	1.09	3.58	1.62	7.87	0.67	1.17	2.8	0.76	1.47	2.25	1.79	0.92	1.42	5.99	1.43	2.22	9.96	0.61	6.49	4.07	18.83	19.71	16.74	19.21	19.71	14.24	18.23
0.84	0.54	0.61	1.39	1.1	0.78	3.48	1.59	7.39	0.76	0.88	2.73	0.57	1.07	1.43	1.31	0.85	1.02	6.05	1.2	2.03	10.24	0.31	6.36	3.85	19.14	20.33	16.74	19.83	19.66	14.13	18.5
1.1	1.24	0.86	1.89	1.69	1.28	3.56	1.96	8.21	0.7	1.38	3.16	1.27	1.38	1.96	1.78	1.41	1.77	6.86	1.64	2.64	10.28	1	7.13	4.1	19.95	20.56	18.24	20.63	21.18	14.76	19.34
0.39	0.63	0.76	1.1	1.11	0.8	2.72	1.34	7.64	0.87	0.49	2.52	0.13	0.77	1.22	0.71	0.6	1.16	6.4	1.18	1.75	10.22	0.51	6.46	3.51	20.31	20.86	17.78	20.2	20.66	14.32	18.68
0.86	0.87	0.44	1.43	1.51	1.25	3.15	1.73	8.3	1.05	0.85	2.66	0.79	0.79	1.73	1.71	1.15	1.14	6.54	1.26	2.17	10.59	0.77	6.53	4.11	20.49	21.69	18.3	20.54	21.46	15.14	19.4
0.35	0.58	0.74	1.32	1.19	0.87	2.93	2.03	8.26	0.81	0.84	2.84	0.5	0.76	1.92	1.51	0.97	1.29	6.73	0.96	2.07	10.58	0.5	6.93	3.91	20.73	22.03	18.51	20.9	21.66	14.72	20.06
0.87	1.33	0.91	1.8	1.61	0.8	3.45	1.36	8.08	1.28	1.05	2.93	0.62	1.68	1.95	1.23	1.02	1.4	6.64	1.62	2.12	10.51	0.53	7.18	4.09	21.18	21.81	18.61	21.81	22.62	15.6	20.41
0.78	0.78	0.59	1.42	0.82	1.04	2.73	1.51	7.91	0.98	0.72	2.73	0.39	1.03	1.77	1.09	0.94	1.17	5.8	1.13	2.06	10.18	0.53	6.94	4.48	21.64	22.45	18.76	21.97	22.12	15.26	21.33
