"Colchicum_autumnale_M2__P_1"	"Colchicum_autumnale_M2__P_2"	"Colchicum_autumnale_M2__P_3"	"Colchicum_autumnale_M2__P_4"	"Colchicum_autumnale_M2__P_5"	"Colchicum_autumnale_M2__P_6"	"Colchicum_autumnale_M2__P_7"	"Colchicum_autumnale_M2__P_8"	"Colchicum_autumnale_M2__P_9"	"Colchicum_autumnale_M2__P_10"	"Colchicum_autumnale_M2__P_11"	"Colchicum_autumnale_M2__P_12"	"Colchicum_autumnale_M2__P_13"	"Colchicum_autumnale_M2__P_14"	"Colchicum_autumnale_M2__P_15"	"Colchicum_autumnale_M2__P_16"	"Filipendula_ulmaria_M2__P_1"	"Filipendula_ulmaria_M2__P_2"	"Filipendula_ulmaria_M2__P_3"	"Trifolium_pratense_M2__P_1"	"Trifolium_pratense_M2__P_2"	"Trifolium_pratense_M2__P_3"	"Trifolium_pratense_M2__P_4"	"Trifolium_pratense_M2__P_5"	"Trifolium_pratense_M2__P_6"	"Malva_alcea_M2__P_1"	"Malva_alcea_M2__P_2"	"Malva_alcea_M2__P_3"	"Malva_alcea_M2__P_4"	"Malva_alcea_M2__P_5"	"Malva_alcea_M2__P_6"	"Malva_alcea_M2__P_7"
49.16	-27.72	195.4	-55.71	143.45	179.94	109.89	159.19	64.21	177.44	145.13	70.61	58.77	212.12	231.75	-15.32	163.37	194.57	153.48	120.06	205.29	181.06	145.82	93.31	-57.38	93.87	352.23	51.67	56.82	136.91	43.18	297.08
-1933.87	-1559.68	327.42	-954.84	-3190.32	-1941.94	-3733.87	-2956.45	-2456.45	-2641.94	-2448.39	-937.1	-3396.77	-2291.94	-2219.35	-1261.29	-1333.87	-1617.74	-312.9	74.19	-1312.9	-1774.19	-3033.87	-2712.9	-2470.97	-1183.87	-540.32	443.55	-2722.58	-1924.19	-816.13	214.52
153.31	-78.37	6.97	-11.35	-48.46	-25.06	76.24	-40.78	31.8	80.61	4.02	39.13	65.01	28.72	-117.26	113.71	-114.78	55.44	-30.5	71.63	53.19	142.32	61.35	71.63	36.41	-96.22	5.79	70.33	-55.79	263.71	70.69	13.83
1054	-690	-598	416	-844	328	-3562	-846	-1786	-3060	-132	-310	-268	-3046	896	-1380	-4234	-1194	-1628	-1372	924	-1448	3186	-1436	-680	476	-1922	1082	-1776	-718	-620	2262
152.33	-85.8	197.08	-146.3	-275.1	165.76	-190.86	157.39	209.14	175.49	-34.63	-64.4	-66.54	-6.81	-295.72	-12.84	39.49	36.38	-74.32	-282.88	-177.82	-28.79	-107.2	-102.33	-22.57	-152.92	158.56	130.16	7.78	-79.18	-26.07	-231.32
32.86	7.18	39.01	78.36	49.97	19.99	28.76	30.41	61.32	32.1	62.54	82.96	60.03	52.51	58.24	11.18	47.29	0.17	70.35	62.94	40.3	22.37	48.94	36.47	63.67	9.6	56.68	11.75	98.21	66.94	63.73	37.23
13.69	60.67	58.17	75.47	63.15	26.27	28.44	17.33	88.59	59.16	35.49	89.32	17.82	30.44	60.27	44.86	45.41	29.71	59.99	46.06	4.08	45.65	60.13	43.53	12.73	42.07	47.37	31.2	36.34	67.47	22.63	31.23
15.67	17.36	23.84	55.85	54.12	19.26	-2.97	-12.45	102.44	23.51	-9.78	74.47	13.92	22.77	72.42	77.68	27.1	13.6	2.42	28.19	12.93	47.95	23.46	14.69	-0.84	20.91	13.83	27.68	32.37	65.19	47.07	38.45
64.07	77.03	63.34	97.6	96.19	45.06	33.95	34.9	103.03	41.67	15.9	120.07	52.57	48.25	104.92	122.65	78.78	64.14	69.81	35.65	45.18	58.03	28.19	99.7	27.22	73.54	91.21	59.23	83.11	72.72	80.63	57.74
1.75	51.6	46.81	97.28	64.64	60.28	45.64	27.4	102.05	10.22	5.56	103.04	14.27	69.75	104.53	63.17	69.79	-0.93	43.08	26.18	6.6	16.3	26.37	17.21	-4.4	54.89	66.95	53.54	83.31	19.47	57.05	41.16
