"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
35.82	60.04	25.16	15.82	17.58	16.72	14.73	0.81	22.83	40.24	17.67	13.19	3.34	13.21	25.55	1.56	14.35	-4.8	41.63	35.08	16.85	36.36
31.45	36.23	35.42	26.1	27.82	36.56	18.61	24.93	29.27	26.56	20.71	21.88	27.54	39.72	27.34	6.43	13.91	25.77	49.73	57.71	30.25	13.2
20.44	20.58	24.23	25.56	23.02	11.39	-0.57	17.41	42.14	20.59	22.49	8.92	-6.77	15.72	17.88	17.12	6.76	4.66	21.68	44.82	6.82	26.04
2.46	28.14	-3.23	30.87	16.28	16.1	12.38	22.29	26.75	18.17	5.96	-8.59	-9.75	6.59	20.98	-4.75	17.92	-6.59	35.66	36.09	27.56	18.58
45.06	39.85	27.54	47.44	23.05	25.92	5.53	35.52	29.54	23.49	25.42	7.46	26.53	15.12	26.71	0.21	23.45	8.54	31.25	36.27	27.6	11.59
15.02	46.47	42.74	30.92	27.38	31.8	36.62	25.47	27.82	41.9	33.95	25.51	34.35	28.51	33.64	17.28	14.05	20.77	47.47	51.73	42.79	36.99
39.07	27.04	22.83	38.95	25.69	24.26	20.7	15.91	29.22	17.61	39.71	10.33	17.99	28.12	27.6	21.44	21.38	9.8	48.39	42.62	24.88	24.88
22.48	37	21.46	38.44	7.21	14.7	31.78	28.91	31.41	22.62	33.24	16.06	6.94	20.74	30.48	19.1	23.88	22.99	50.4	28.94	38.52	21.33
37.72	44.35	30.01	33.17	25.52	25.54	7.32	33.01	27.51	31.32	45.76	24.63	21.64	33.7	25.45	31.5	24.29	34.97	47.32	51.48	41.51	21.48
39.69	34.28	32.28	32.97	40.27	24.76	20.36	23.33	35.9	51.61	22.83	37.48	21.09	31.24	45.37	18.78	31.39	16.07	48.5	41.75	16.8	42.87
15.17	45.07	38.62	44.31	22.78	31.04	18.32	14.57	23.35	16.49	48.7	-0.7	15.36	20.82	24.96	47.86	-1.64	16.93	57.35	37.49	36.4	15.58
49.41	26.6	20.34	32.33	20.93	10.02	15.89	28.47	33.7	19.54	36.23	27.45	24.7	49.34	22.55	-7.25	18.2	21.88	50.56	38.16	45.94	39.07
36.36	33.07	32.09	30.16	20.44	33.01	-7.59	18	5.52	27.57	27.73	10.82	32.34	18.82	19.98	12.77	8.33	28.32	25.79	16.32	31.2	22.07
44.61	56.68	17.53	42.6	16.43	17.5	27.41	43.44	3.36	25.32	9.59	23.83	35.58	33.05	13.2	19.07	10	35.35	33.82	40.76	20.31	12.58
