"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
4.21	22.52	12	16.74	10.94	13.39	5.01	7.25	9.48	8.79	15.43	2.81	4.07	7.96	4.18	4.5	0.88	2.51	9.99	10.69	9.73	6.49
4.22	21.93	12	16.43	10.76	13.35	5.01	7.05	9.69	8.43	15.5	2.74	4.2	7.76	3.86	4.22	0.54	2.56	10.03	10.56	9.58	5.88
4.25	21.67	11.55	16.61	10.43	13.41	5.05	7.05	9.85	8.99	15.74	2.75	4.06	8.37	4.47	4.13	0.43	2.55	10.35	10.63	9.78	6.34
4.24	21.51	11.91	16.38	10.25	13.29	4.51	6.82	10.21	9.21	15.9	2.92	3.95	8.23	4.17	4.54	0.69	2.36	10.62	10.77	10.5	6.73
4.16	22.04	11.8	16.55	10.63	13.2	4.9	6.71	10.28	9.36	16	3.2	4.45	8.32	4.27	4.7	0.4	2.63	11.24	11.29	10.55	6.66
4.43	21.67	11.98	16.73	10.49	13.31	4.89	6.8	10.56	9.7	15.94	2.92	4.3	8.07	4.09	4.69	0.21	2.61	11.55	11.17	10.66	6.36
4.45	22.04	11.88	16.65	10.5	13.43	5.33	6.78	10.96	9.87	16.19	3.15	4.65	8.88	4.41	4.64	0.59	2.58	12.42	12.22	11.43	6.79
4.41	21.73	11.6	16.76	10.67	13.34	5.39	6.62	10.87	10.13	16.47	3.12	4.92	8.44	4.26	5.01	0.67	2.68	12.37	12.54	11.72	7.43
4.19	22.1	11.73	16.69	10.36	13.57	5.09	6.7	11.2	10.52	17.1	3.22	5	8.47	4.59	4.96	0.44	2.91	12.66	13.04	12.1	7.41
4.8	21.8	11.57	16.55	10.79	13.81	5.19	7.02	11.56	10.72	17.08	3.53	4.95	9.16	4.86	5.23	0.77	3.17	13.55	12.92	12.76	7.65
4.71	21.84	11.8	16.79	10.57	13.69	5.45	6.69	11.74	10.74	17.08	3.82	5.42	9.42	4.97	5.41	0.72	3.36	13.5	13.23	13.27	7.85
4.79	21.64	11.54	16.94	10.05	13.88	5.41	6.79	11.79	11.21	17.45	3.8	5.48	9.18	4.95	5.76	0.69	3.18	13.84	14.11	12.79	8.06
4.52	21.42	11.6	16.46	9.99	13.95	5.2	6.54	11.85	11.19	17.72	3.62	5.83	8.87	4.63	5.16	0.83	3.17	14.51	14.41	13.25	8.25
4.77	21.6	11.81	16.68	10.12	13.84	5.38	6.64	12.41	11.67	17.66	3.89	5.81	9.66	4.77	5.76	0.71	3.24	14.73	14.84	13.79	8.33
4.69	21.12	11.47	16.88	9.76	13.96	5.23	6.66	12.5	11.68	18.01	3.86	5.68	9.81	5.29	5.79	0.58	3.48	15.08	15.02	14.08	8.64
4.79	21.5	11.71	16.72	9.68	13.45	5.49	6.55	12.64	11.91	18.05	3.74	5.83	9.69	4.87	5.97	0.48	3.56	15.23	15.1	14.43	8.99
4.73	21.48	11.48	16.75	9.46	13.75	5.18	6.67	12.5	12.11	18	4.02	5.94	10.07	4.92	5.92	0.56	3.44	15.32	15.48	14.83	8.83
4.51	21.19	11.64	16.51	9.56	13.49	5.12	6.62	13	12.1	18	4.17	6.06	9.87	5.35	5.9	0.41	3.54	15.87	15.73	14.75	9.09
5	21.07	11.33	17.03	9.68	14	5.14	6.7	13.25	12.53	18.58	4.42	6.47	10.06	5.59	6.4	0.82	4.1	16.1	15.93	15.52	9.19
4.78	21.02	11.38	16.58	9.66	13.99	4.99	6.16	13.39	12.67	18.39	4.43	6.51	10.15	5.34	6.17	0.74	3.68	16.45	16.32	15.58	9.22
5	20.9	11.48	16.77	9.66	13.83	5.42	6.56	13.51	13.05	18.13	4.81	6.77	9.67	5.27	6.29	0.41	3.68	16.78	16.59	15.81	9.56
5.06	21.04	11.28	16.91	9.4	13.88	5.36	6.49	13.99	13.23	18.53	4.4	6.77	10.31	5.42	6.22	0.83	3.72	17.75	17.25	16.06	9.92
5.19	21.23	11.54	17.07	10.03	14.53	5.68	6.75	14.11	13.65	18.98	4.65	7.06	10.35	5.7	6.32	0.82	4	18.36	17.87	17.2	9.98
5.27	21.07	11.17	16.94	9.74	13.78	5.79	6.68	14.39	14	19.02	4.94	7.24	10.1	5.84	6.75	0.66	4.12	18.55	17.66	17.12	10.09
4.87	20.66	11.33	16.73	9.95	13.75	5.71	6.63	14.58	13.87	19.14	4.86	7.15	10.66	5.83	6.96	0.93	4.44	19.26	18.17	17.79	10.24
5.41	20.82	10.97	16.87	9.81	14.16	5.56	6.07	14.7	14.11	19.07	4.67	7.24	10.03	5.9	6.73	0.5	4.16	19.27	18.33	17.49	10.43
5.32	20.95	10.88	17.02	9.81	14.05	5.58	6.41	15.62	14.75	19.36	5.04	7.44	10.7	6.15	6.38	0.59	4.08	20.12	18.94	18.44	10.78
5.22	20.93	11.25	17.05	9.85	14.5	5.66	6.84	15.59	14.65	19.56	5.38	7.7	10.78	6.05	7.05	0.69	4.34	20.29	19.27	18.77	11.15
5.23	20.66	11.01	16.99	9.8	13.94	5.95	5.98	15.46	15.35	19.55	5.4	7.76	10.86	6.15	7.27	0.94	4.7	20.75	19.95	19.26	11.42
5.54	20.66	10.98	16.84	9.79	14.13	5.84	6.12	15.75	15.38	19.99	5.4	8.29	11.23	6.17	7	0.82	4.46	21.47	20.32	19.22	11.34
5.22	20.54	11.17	16.81	9.41	14.31	5.91	6.3	15.63	15.23	20	5.4	7.93	11.18	6.2	7.43	0.75	4.59	21.34	20.7	19.52	11.49
5.26	20.65	10.76	16.92	9.31	14.09	5.76	6.16	16.06	15.51	20.14	5.52	8.39	11.33	6.42	7.22	0.78	4.84	21.42	20.69	19.89	11.72
5.33	20.42	10.69	16.74	8.99	13.91	5.83	5.92	16.24	15.67	20.27	5.71	8.1	11.3	6.33	7.28	0.93	4.94	21.72	21.11	20.1	12.14
5.46	20.31	10.56	16.67	9.05	14.2	6.03	5.92	16.57	15.95	20.15	6.03	8.32	11.7	6.44	7.31	1	5.05	22.24	21.24	20.65	12.11
5.16	20.1	10.19	16.48	8.82	13.97	5.83	5.81	16.29	15.64	20.11	5.92	8.58	11.38	6.39	7.61	0.68	5.06	21.88	21.69	20.49	12.29
5.38	20.38	10.52	16.85	9	14.21	5.99	6	16.73	16.35	20.4	6.06	8.92	11.58	6.58	7.52	0.83	5.05	22.89	22.05	20.96	12.17
5.87	20.6	10.47	17.02	9.01	14.32	6.41	6.26	17.01	16.66	20.49	6.17	8.89	11.61	6.95	7.91	1.2	5.36	23.72	22.23	21.45	12.55
5.09	20.35	10.29	16.73	8.77	14.32	5.96	5.56	17.41	16.96	21.06	6.31	8.84	11.73	7.04	7.72	0.7	5.32	23.7	22.8	21.37	12.42
5.39	19.87	10.01	16.3	8.3	14.29	5.97	5.93	17.45	16.85	20.63	6.16	9	11.52	6.72	7.8	0.83	5.28	23.92	22.22	22.01	12.41
5.77	20.59	10.31	16.93	8.41	14.41	6	5.82	17.8	16.83	21.1	6.57	9.23	11.81	6.8	7.88	0.91	5.75	24.86	23.16	22.53	12.86
5.42	20.29	9.84	16.85	8.31	13.8	5.92	5.59	17.9	17.1	21.42	6.75	9.37	11.85	6.89	7.89	0.64	5.17	25.33	23.73	22.34	13.18
5.84	19.92	10.16	17.18	8.45	14.07	6.39	5.87	17.78	17.18	20.82	6.7	9.69	11.9	7.05	8.16	1.21	5.57	25.29	23.82	22.47	13.42
5.58	19.6	9.69	16.73	8.09	14.07	6.1	5.55	17.88	17.33	21.53	6.55	9.33	11.88	6.74	7.92	0.56	5.76	25.69	24.09	23.21	12.87
5.57	19.87	9.83	16.73	8.07	14.35	6.04	5.42	17.85	17.27	21.11	6.77	9.4	12.36	7.24	8.41	0.92	5.73	25.64	24.44	23.48	13.62
5.76	19.64	9.21	16.56	7.97	14.08	6.32	5.25	18.02	17.5	21.01	6.93	9.4	11.75	6.99	8.05	0.98	5.52	26.07	24.59	23.64	13.91
5.75	19.66	9.11	16.34	7.72	14.01	6.24	4.88	18.28	17.57	21.39	6.8	9.72	12.22	6.91	8.26	0.82	5.68	25.84	24.72	23.28	13.65
5.52	19.47	9.14	16.19	7.82	14.32	5.95	5.25	18.24	17.79	21.17	6.88	9.74	12.13	7.09	8.3	0.89	5.9	25.78	24.97	23.37	13.64
5.72	19.83	9.82	16.5	7.61	13.85	6.38	5.21	18.29	17.92	21.1	7.15	9.79	12.54	7.49	8.43	0.84	5.91	26.36	25.39	24.38	14.03
5.53	19.35	9.1	16.42	7.32	14.13	5.91	5.04	18.74	17.76	21.59	7.31	9.47	12.31	7.1	8.53	0.79	5.89	26.42	25.1	24.45	14.26
5.75	19.42	9.3	16.84	7.44	14.06	6.11	5.03	18.6	18.03	21.77	7.08	9.89	12.49	7.67	8.83	0.99	5.78	26.71	25.33	24.37	14.17
5.69	19.33	8.93	16.19	7.19	13.82	6.08	5.03	18.42	17.85	21.19	7.24	10.13	12.33	7.18	8.56	0.85	5.81	26.44	25.7	24.34	14.19
5.62	18.72	8.7	16.08	6.71	13.77	5.99	4.96	18.59	17.94	21.1	7.11	10.03	12.31	7.01	8.33	0.87	5.94	26.73	25.44	24.88	14.19
5.6	19.22	8.73	16.33	6.73	13.76	6	4.81	18.68	17.95	21.3	7.17	10.07	12.44	7.41	8.42	0.78	6.06	26.63	26.03	25.12	14.28
5.9	18.95	8.72	16.16	6.61	13.79	6.05	4.63	18.52	18.07	21.45	7.4	10.13	12.61	7.24	8.66	0.83	6.15	26.84	26.16	25.09	14.28
5.74	19.27	8.81	16.6	6.57	13.86	6.13	4.78	18.94	18.37	21.52	7.5	10.4	12.79	7.6	8.61	0.72	6.1	26.89	26.38	25.44	14.79
5.64	18.68	8.87	16.29	6.26	13.19	5.97	4.76	18.7	17.94	21.25	7.29	10.21	12.4	7.41	8.53	0.81	6.12	27.05	26.3	25.01	14.56
5.89	18.55	8.61	16.1	6.37	13.61	6.31	4.91	18.94	18.3	21.21	7.66	10.14	12.68	7.43	8.8	0.95	6.22	26.93	26.55	25.42	14.55
5.69	18.71	8.44	16.16	6.09	13.6	6.41	4.72	18.78	18.32	21.32	7.75	10.25	12.49	7.29	8.72	0.91	6.07	27.06	26.52	25.39	14.71
5.85	18.75	8.47	16.22	6.26	13.8	6.21	4.7	19.15	18.4	21.3	7.7	10.59	12.68	7.54	8.92	0.95	6.21	27.13	26.97	25.43	14.81
5.81	18.31	8.45	16.35	6.2	13.65	6.34	4.72	19.09	18.43	21.43	7.8	10.66	12.72	7.55	8.87	0.89	6.43	27.25	26.89	26	14.71
5.84	18.12	8.24	16.02	5.94	13.4	6.16	4.44	19.14	18.46	21.27	7.73	10.58	12.5	7.38	8.99	0.82	6.41	27.53	27.07	25.82	14.91
5.76	18.51	8.09	15.84	5.78	13.52	6.1	4.34	19.31	18.74	21.57	7.81	10.37	12.7	7.32	8.86	0.65	6.2	27.57	27.36	26.08	14.92
5.82	18.25	8.2	15.73	5.75	13.44	6.15	4.51	19.13	18.35	21.3	7.78	10.51	12.73	7.35	8.82	0.83	6.31	27.26	26.98	26.23	14.69
5.73	18.16	8.14	15.9	5.93	13.26	6.13	4.39	19.01	18.56	21.5	7.78	10.5	12.85	7.6	8.75	0.84	6.4	27.72	27.38	26.18	14.97
5.89	18.2	8.05	15.94	5.68	13.46	6.29	4.46	19.33	18.69	21.72	7.88	10.65	12.85	7.8	9.06	0.9	6.37	27.63	27.25	26.34	15.18
6.11	18.44	8.25	16.25	5.91	13.76	6.57	4.52	19.54	18.98	21.78	7.9	10.96	12.75	7.67	9.12	0.99	6.55	28.17	27.71	26.55	15.21
5.88	18.37	7.95	16.1	5.76	13.38	6.3	4.39	19.63	19.12	21.49	7.82	10.71	12.56	7.4	8.98	0.8	6.55	28.62	27.82	26.42	15.06
6.11	18.48	7.99	16.09	6.01	13.97	6.64	4.54	19.93	19.6	21.61	8.27	10.92	12.75	7.67	9.16	0.94	6.52	29.26	28.31	26.69	15.28
6.13	18.51	7.96	16.15	5.77	13.92	6.55	4.47	19.97	19.32	21.89	8.06	10.85	12.84	7.68	9.18	0.88	6.61	29.26	28.24	26.9	15.37
5.89	18.23	7.8	16.02	5.76	13.49	6.59	4.47	20	19.17	21.67	7.93	10.89	12.73	7.71	9.18	0.77	6.74	28.67	27.92	27.06	15.35
5.89	18.22	8.02	15.94	5.68	13.44	6.41	4.51	19.83	19.11	21.51	8.1	10.75	13.03	7.74	9.22	0.86	6.65	28.45	28.46	27.18	15.39
6.08	17.95	7.91	15.88	5.65	13.51	6.35	4.57	20.17	19.29	21.82	8.09	10.89	13.18	7.63	9.25	0.89	6.56	28.7	28.35	27.24	15.8
6.01	18.31	7.96	15.94	5.63	13.38	6.31	4.44	19.88	19.12	21.53	8.18	10.8	13	7.58	8.98	0.95	6.65	28.46	28.15	27.4	15.45
6.06	18.26	7.94	16.05	5.64	13.38	6.45	4.48	20.12	19.38	21.58	8.14	10.91	12.83	7.73	9.25	0.94	6.68	28.82	28.38	27.2	15.56
6.06	18.21	8.1	16.13	5.66	13.58	6.51	4.51	20.15	19.43	21.86	8.41	10.98	12.89	7.82	9.32	0.92	6.81	29.17	28.56	27.28	15.5
6.11	18.14	7.88	16.25	5.93	13.71	6.68	4.53	20.32	19.91	21.92	8.31	11.06	12.78	7.87	9.46	0.86	6.75	29.56	28.7	27.38	15.54
6.28	18.36	8.26	16.57	6.15	13.85	6.76	4.68	20.55	20.11	22.13	8.28	11.35	12.84	8.15	9.56	1.06	6.8	29.81	28.99	27.53	15.73
6.19	18.2	7.95	16.43	6	14.07	6.92	4.62	20.59	19.98	22.11	8.38	11.35	12.86	7.92	9.52	0.87	6.81	30.45	29	27.79	16.12
6.26	18.45	8.25	16.3	6.32	13.98	7.03	4.68	20.94	20.29	22	8.62	11.52	12.86	7.85	9.62	0.94	6.93	30.77	29.26	27.94	16.24
6.34	18.2	7.99	16.34	6.13	14.17	6.71	4.48	21.3	20.48	22.18	8.61	11.47	12.53	7.91	9.57	0.72	6.93	30.95	29.23	28.13	16.19
6.51	18.57	8.11	16.61	6.49	13.92	7.11	4.77	21.38	20.65	22.33	8.89	11.66	12.91	8.08	9.7	1.02	7.11	31.15	29.48	28.56	16.2
6.34	18.16	8.08	16.49	6.31	13.97	7.01	4.59	21.49	20.26	22.04	8.6	11.65	13.12	8.07	9.63	0.96	6.89	31.77	29.43	28.63	15.97
6.76	18.97	8.58	16.39	6.74	14.31	7.13	4.96	21.79	20.84	22.68	9.05	11.75	13.18	8.51	10	1.13	7.46	32.2	29.98	29.09	16.4
6.57	18.37	8.41	16.47	6.5	14.28	7.16	5.03	21.97	20.73	22.47	8.89	11.98	13.28	8.52	9.9	1.26	7.5	32.05	30.15	29.09	16.47
6.27	18.49	8.36	16.46	6.43	13.87	7.2	4.74	21.88	20.92	22.51	8.77	11.64	12.95	8.43	9.75	0.91	7.16	31.88	30	28.74	16.39
6.45	18.8	8.54	16.77	6.54	14.15	7.02	4.89	21.89	21.5	22.52	9.06	12.2	13.27	8.53	9.76	0.98	7.12	32.33	30.22	29.26	16.62
6.61	18.51	8.57	16.62	6.61	14.09	7.1	4.91	21.54	20.8	22.7	9.06	11.77	13.18	8.32	9.89	0.98	7.17	31.57	30.46	29.28	16.53
6.66	18.47	8.3	16.61	6.65	13.89	7.09	5.03	21.74	20.71	22.59	9.25	11.83	13.36	8.27	9.86	1.03	7.23	31.81	30.3	28.89	16.69
6.33	18.34	8.35	16.46	6.66	13.82	7.25	4.73	21.56	20.7	22.62	8.99	11.81	13.25	8.25	9.88	0.93	7.2	32.18	30.26	29.03	16.88
6.3	18.37	8.11	16.34	6.18	13.95	6.91	4.65	21.77	20.64	22.29	8.93	11.92	13.07	8.17	9.75	0.75	7.08	31.98	30.33	29.11	16.63
6.55	18.59	8.68	16.76	6.61	14.4	7.3	5.37	22.01	21.39	23.12	9.39	11.81	13.3	8.52	10.17	1.2	7.8	32.76	31	29.53	17.24
6.28	18.29	8.3	16.87	6.42	14.23	6.96	4.84	22.18	20.9	22.48	8.98	11.78	13.25	8.38	9.66	0.85	7.3	32.05	30.24	29.17	16.65
6.22	18.19	8.58	16.47	6.31	14.08	7.09	5.1	22.32	20.98	22.64	9.3	11.92	13.39	8.39	10.11	0.88	7.09	32.41	30.7	29.68	16.92
6.21	18.42	8.5	16.59	6.68	14.17	6.82	4.79	21.77	21.28	22.9	9.18	11.98	13.45	8.45	9.84	0.96	7.35	32.34	30.59	29.34	16.99
6.59	18.39	8.43	16.65	6.66	14.26	7.26	4.92	21.96	21.01	22.91	9.5	11.91	13.67	8.55	10.08	1.08	7.42	31.95	30.75	29.19	16.91
6.49	18	8.53	16.25	6.52	13.85	7.04	5.06	21.59	20.75	22.4	9.18	11.76	13.59	8.28	10.02	1.05	7.24	31.81	30.43	29.38	16.77
6.07	18.11	8.59	16.38	6.44	13.64	7.06	5.02	21.68	20.97	22.3	9.24	11.73	13.46	8.23	10	0.98	7.25	31.59	30.46	29.1	16.83
5.99	17.79	8.58	16.48	6.36	13.47	6.76	4.92	21.24	20.71	22.31	9.03	11.55	13.15	8.17	9.72	0.92	7.22	31.52	30.09	29.09	16.49
6.16	17.91	8.41	16.16	6.49	13.5	6.87	4.98	21.79	20.46	22.17	9.23	11.66	13.44	8.14	9.82	0.96	7.22	31.54	30.16	29.02	16.53
6.4	18.08	8.8	16.56	6.49	13.86	7.07	5.08	21.86	20.92	22.37	9.26	11.83	13.37	8.37	9.82	1.16	7.58	32.24	30.58	29.52	17.24
6.29	17.88	8.3	16.16	6.41	14.16	7.19	4.92	21.89	21.15	22.38	9.11	11.85	13.21	8.41	9.93	1.03	7.34	32.05	30.48	29.41	16.85
6.32	18.08	8.45	16.4	6.67	14.03	7.42	5.04	22.36	21.22	22.31	9.19	12.08	13.08	8.46	10.27	0.91	7.62	32.82	30.64	29.48	17.03
6.32	18.08	8.34	16.43	6.47	14.1	7.19	4.91	22.11	21.58	22.53	9.07	12.23	13.03	8.31	10.11	0.92	7.25	32.65	30.68	29.69	17.06
6.24	17.92	8.59	16.32	6.44	14.16	7.24	4.99	22.62	21.8	22.71	9.29	12.09	13.21	8.51	10.06	0.83	7.49	33.39	30.67	29.67	17.09
6.37	18.31	8.3	16.28	6.3	14.17	7.11	4.93	22.32	21.71	22.67	9.5	12.2	13.19	8.52	10.16	0.8	7.58	33.02	30.8	29.7	17.09
6.31	18.22	8.3	16.33	6.16	13.9	7.05	4.76	22.47	21.53	22.85	9.27	11.99	13.32	8.48	10.33	0.83	7.32	33.2	30.53	29.46	17.24
6.64	18.24	8.39	16.35	6.24	14	7.44	5.09	22.43	21.62	22.77	9.59	12.11	13.32	8.63	10.01	1.05	7.8	32.89	31.22	29.91	17.26
6.55	18	8.18	16.52	6.31	13.85	7.39	4.99	22.62	21.64	22.53	9.42	12.01	13.25	8.4	10.12	0.87	7.63	32.61	30.72	29.86	16.7
6.34	17.95	8.37	16.66	6.36	13.76	7.17	4.91	22.68	21.51	22.81	9.48	11.95	13.25	8.7	9.98	1.14	7.68	32.98	30.88	29.35	17.13
6.35	18.18	8.13	16.38	6.12	14.13	7.21	4.83	22.6	21.96	23.15	9.81	11.82	13.53	8.56	10.17	0.98	7.62	32.8	30.81	29.8	17.33
6.21	18.07	7.73	16.29	5.94	13.63	6.88	4.46	21.96	21.15	22.61	9.04	11.92	13.27	8.27	9.73	0.74	7.33	32.67	30.92	29.96	17.01
6.38	18.33	7.63	16.37	5.93	13.71	7.07	4.57	22.35	21.04	22.49	9.31	11.97	13.39	8.36	9.87	0.98	7.45	32.54	31.24	29.52	16.87
6.34	18.08	7.78	16.28	5.71	13.77	7	4.62	22.23	21.34	22.41	9.45	11.88	13.52	8.43	9.93	0.82	7.61	32.39	31.45	30.04	17.22
6.31	18.18	7.94	16.07	5.71	13.62	7.1	4.4	22.24	21.4	22.34	9.33	12.03	13.49	8.46	10.18	0.94	7.59	32.1	31	29.47	17.07
6.41	18	7.55	16.24	5.42	13.65	7.14	4.48	21.95	21.19	22.66	9.49	11.99	13.48	8.48	10.05	0.95	7.62	31.86	31	29.82	17.32
6.32	17.83	7.26	16.29	5.23	13.57	7.03	4.46	21.8	21.04	22.09	9.22	11.84	13.36	8.38	9.94	0.77	7.44	31.67	30.76	29.23	17.07
6.38	17.79	7.51	16.18	5.3	13.49	7.1	4.29	21.95	21.05	22.31	9.29	11.96	13.45	8.23	10.09	0.87	7.58	31.96	30.7	29.5	17.22
6.32	18.01	7.45	16.41	5.29	13.8	7.03	4.44	22.35	21.13	22.56	9.33	12.03	13.5	8.34	9.95	0.86	7.51	32.17	30.92	29.78	17.24
6.34	17.95	7.34	16.33	5.23	13.49	7.18	4.33	22.27	21.23	22.05	9.33	11.91	13.19	8.42	10.15	0.89	7.54	31.56	30.84	29.42	17.12
6.47	18.05	7.11	16.05	4.99	13.68	7.26	4.25	22.17	21.21	22.23	9.07	11.82	13.33	8.22	9.99	0.94	7.46	32.11	30.68	29.54	17.04
6.57	18.02	7.08	16.11	5.1	13.84	7.5	4.41	22.5	21.52	22.51	9.46	12.04	13.42	8.62	10.22	0.95	7.48	32.28	30.97	29.78	17.13
6.69	18.28	7.05	16.46	5.27	14.1	7.45	4.26	22.72	21.49	22.68	9.54	12.03	13.39	8.62	10.3	1.07	7.73	33.01	30.98	29.76	17.4
6.53	18.27	6.95	16.12	5.25	14.07	7.67	3.91	22.56	22.05	22.81	9.19	12.09	13.05	8.38	10.14	0.74	7.58	32.98	30.88	29.58	17.13
6.59	18.57	6.92	16.46	5.02	14.31	7.61	4.22	22.74	21.98	22.68	9.54	12.16	13.22	8.34	10.38	0.9	7.43	33.05	31.06	29.66	17.38
6.51	18.77	6.99	16.54	5.08	14.05	7.43	4.05	22.65	21.82	22.75	9.34	12.15	13.13	8.45	10.24	0.76	7.49	33.2	31.2	29.71	17.44
7	18.39	6.95	16.48	4.99	14.13	7.7	4.13	23.01	22	22.9	9.85	12.28	13.46	8.46	10.47	0.97	7.78	33.59	31.3	30.21	17.39
6.74	18.63	6.74	16.32	4.91	14.11	7.65	3.88	22.93	21.97	22.44	9.39	12.16	13.24	8.55	10.26	0.94	7.59	32.93	31.25	30.29	17.29
6.81	18.41	6.45	16.4	4.75	13.83	7.37	3.96	22.67	21.5	22.55	9.31	12.06	13.3	8.61	10.26	0.97	7.48	33.06	30.72	29.98	17.34
6.73	18.42	6.52	16.24	4.55	14.02	7.68	3.85	22.7	21.51	22.57	9.4	11.89	13.61	8.59	10.08	1.02	7.77	32.71	31.1	30.34	17.39
6.95	18.63	6.75	16.24	4.79	13.89	7.52	3.94	22.19	21.48	22.55	9.61	11.75	13.6	8.49	10.09	1.07	7.82	32.37	30.93	29.8	17.21
6.74	18.6	6.55	16.22	4.59	13.86	7.5	3.99	22.39	21.54	22.45	9.63	11.93	13.76	8.36	10.07	0.99	7.68	32.08	30.64	29.46	17.29
7.02	18.41	6.5	16.4	4.31	13.91	7.51	3.7	22.43	21.55	22.45	9.35	11.89	13.6	8.42	10.09	0.79	7.68	32.1	30.83	29.61	17.35
6.88	18.25	6.48	16.07	4.37	13.57	7.41	3.85	22.34	21.14	22.39	9.32	11.89	13.57	8.49	9.92	0.89	7.59	31.53	30.51	29.29	17.12
6.79	18.58	6.51	16.3	4.21	13.75	7.45	3.68	21.97	21.09	22.31	9.22	11.52	13.46	8.38	10.01	0.85	7.47	31.5	30.53	29.23	17.05
6.96	18.47	6.45	16.19	4.5	13.74	7.51	3.85	21.98	21.25	22.23	9.38	11.77	13.31	8.48	10.08	0.94	7.45	31.42	30.58	29.32	17.12
7.12	18.41	6.49	16.55	4.31	13.85	7.68	3.81	22.36	21.49	22.5	9.57	11.65	13.39	8.55	10.04	0.92	7.5	31.93	30.57	29.16	17.25
7.16	18.66	6.37	16.26	4.26	14.02	7.74	3.7	22.6	21.56	22.48	9.39	11.85	13.17	8.49	10.17	0.89	7.61	31.98	30.71	29.13	17.16
7.26	18.68	6.36	16.17	4.4	14.21	7.8	3.83	22.77	21.68	22.4	9.38	11.95	13.32	8.41	10.11	0.99	7.58	31.91	30.65	29.85	17.16
7.39	18.95	6.32	16.34	4.38	14.25	7.87	3.71	22.75	21.96	22.67	9.49	12.15	13.18	8.44	10.26	0.91	7.84	32.61	30.43	30.01	17.45
7.32	18.66	6.28	16.6	4.33	14.13	7.82	3.77	23.06	21.8	22.61	9.32	12.03	13.18	8.42	10.16	0.85	7.44	32.74	30.57	29.65	17.18
7.44	19.16	6.45	16.58	4.56	14.63	8.27	3.88	23.23	22.13	22.67	9.73	12.01	13.1	8.53	10.35	1.11	7.84	32.6	30.96	29.7	17.31
7.59	19.28	6.22	16.58	4.55	14.65	8.18	3.85	23.05	22.02	22.79	9.6	12.05	13.23	8.55	10.24	1.1	7.72	33.03	30.77	29.9	17.37
7.82	19.62	6.38	16.83	4.66	14.54	8.28	4.01	23.67	22.27	22.58	9.68	12.18	13.29	8.84	10.4	1.07	8.02	33.5	31.08	30.02	17.71
7.84	19.47	6.37	16.65	4.7	14.86	8.36	4.08	23.45	22.23	22.6	9.39	12.37	13.2	8.52	10.44	1.3	7.81	33.63	31.06	29.96	17.71
7.94	19.43	6.34	16.61	4.48	14.49	8.21	3.81	23.53	22.6	23.14	9.56	12.15	13.07	8.81	10.04	0.83	7.68	33.52	31.18	29.72	17.4
7.89	19.36	6.41	16.76	4.57	14.89	8.42	3.82	23.2	22.36	22.94	9.57	12.19	13.26	8.6	10.09	1	7.74	33.75	31.07	30.01	17.09
8.04	19.89	6.77	17.2	4.9	14.93	8.61	4.26	23.24	22.53	22.89	9.77	12.15	13.43	8.92	10.35	1.1	7.8	34.21	31.31	30.26	17.66
8.15	19.77	6.61	17.1	4.68	14.91	8.44	3.89	23.68	22.09	23.27	9.53	12.04	13.46	8.57	10.22	0.97	7.82	33.5	31.13	30.09	17.54
8.23	19.81	6.76	16.83	4.73	14.92	8.31	4.13	23.68	22.32	22.7	10	12.08	13.56	8.87	10.5	1.09	7.86	34	30.87	30.35	17.82
8.34	20.05	6.57	16.85	4.73	14.88	8.19	3.95	23.24	21.84	22.81	9.88	12.11	13.51	8.64	10.15	0.93	7.83	33.13	31.29	30.1	17.43
8.13	19.8	6.64	16.93	4.81	14.88	8.32	4.01	22.99	22.21	22.98	9.75	11.86	13.53	8.54	10.44	1.08	7.7	33.12	31.17	29.87	17.84
8.1	19.78	6.42	16.75	4.75	14.72	8.17	4.32	22.79	21.9	22.75	9.57	11.91	13.61	8.56	10.1	0.9	7.98	32.42	31.07	29.78	17.34
8.5	19.88	6.84	17.1	4.89	15.25	8.56	4.3	23.11	22.22	22.9	9.84	12.03	13.54	8.67	10.56	0.99	7.84	32.98	30.79	29.89	17.48
8.16	20.09	6.73	16.87	4.69	15.17	8.46	3.99	23.35	22.17	22.8	9.47	11.74	12.92	8.32	10.15	0.89	7.5	33.26	30.59	29.26	17.16
8.4	19.92	6.76	17.03	5.09	15.19	8.56	4.17	23.48	22.18	23.16	9.38	11.72	13.36	8.58	10.16	0.97	7.67	33.08	30.7	29.5	17.73
