"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
64.43	46.22	58.04	35.91
63.86	46.2	57.96	35.52
62.7	45.14	56.54	35
60.18	43.55	54.67	33.64
58.48	42.63	53.82	33.45
58.07	42.08	53.16	32.85
58.97	42.9	54.24	33.61
60.67	43.55	55.04	34.02
61.25	44.42	56.52	34.08
62.43	44.83	56.67	34.15
62.77	45.43	57.41	33.86
62.45	45	56.88	33.93
62.14	45.05	57.03	33.91
61.4	44.64	56.48	33.58
60.87	44.17	55.89	33.5
60.57	44.17	55.48	33.27
59.64	43.57	54.78	32.76
58.57	42.76	53.99	32.01
57.71	42.01	53.37	31.9
56.66	41.74	52.7	31.33
56.41	40.75	52.45	31.16
56.19	41.37	52.4	31
56.47	41.05	52.49	31.2
57.29	41.58	52.74	30.88
56.83	41.38	52.38	30.82
55.91	40.97	52.38	30.75
56.21	41.43	52.23	30.26
55.94	40.77	51.78	30.32
55.71	40.78	51.94	30.73
55.99	40.73	51.99	30.09
55.66	40.74	51.37	29.79
54.96	40.19	51.48	29.82
54.9	40.28	51.51	29.47
54.65	40.4	51.02	29.69
54.43	40.64	51.04	29.01
54.65	39.86	50.7	28.81
53.71	39.74	50.45	28.71
53.47	39.47	49.83	28.17
52.94	39.15	50.12	28.35
52.38	38.57	48.68	27.8
51.81	38.13	48.48	27.71
51.7	37.95	48.68	27.16
51.36	37.89	48.28	27.24
51.04	37.88	47.85	27.09
51.16	37.5	47.68	26.99
50.66	37.35	47.71	26.9
50.2	37.33	47.23	26.49
50.49	36.82	47.39	26.28
49.93	37.24	47.14	26.31
49.54	36.84	46.28	25.82
48.97	36.49	46.6	25.64
48.57	35.91	45.58	25.29
47.63	34.92	44.62	25
47.06	34.9	44.62	24.71
47.31	35.01	45.11	24.5
46.79	34.6	44.33	24.16
46.96	34.48	44.76	23.99
46.81	34.69	44.36	24.19
46.44	34.66	44.28	23.92
46.59	34.26	43.84	23.82
45.56	34.04	43.17	23.43
46.02	33.92	42.99	23.61
45.6	33.6	42.88	23.3
45.07	33.17	42.98	22.83
44.53	32.99	42.21	22.55
44.58	33.42	42.41	22.86
44.5	32.69	42.13	22.32
44.12	32.74	42.04	22.54
44.4	33.21	42.37	22.48
43.62	32.46	41.81	22.29
43.76	32.82	41.69	22.38
43.72	32.22	41.63	22.44
43.02	31.8	41.21	22
43.28	31.55	40.75	21.83
42.48	31.54	40.54	21.5
42.08	31.02	40.18	21.2
41.9	31.11	39.8	20.82
41.17	30.56	39.46	20.77
40.57	29.98	38.64	20.61
40.36	29.85	38.79	20.51
39.75	29.47	38.35	20.27
39.18	28.76	37.24	19.8
38.8	28.51	37.06	19.51
38.73	28.96	37.16	19.56
38.45	28.46	37.35	19.2
39.53	28.81	37.49	19.83
39.26	29.11	37.54	19.61
39.2	29.12	37.47	19.47
39.07	28.69	37.59	19.08
39.31	28.55	37.36	19.23
38.84	28.5	36.98	19.1
38.77	28.58	36.71	19.23
38.87	28.05	36.86	18.94
38.81	27.8	36.62	18.91
38.17	27.82	36.08	18.41
38.12	27.76	36.25	18.71
37.46	27.41	36.57	18.68
37.27	27.19	35.78	18.12
37.07	26.97	35.29	18.14
36.78	26.68	34.95	17.99
35.74	26.4	34.08	17.69
35.19	25.58	33.85	17.31
34.14	24.87	33.11	16.94
34.26	24.74	32.81	16.9
34.45	25.08	33.03	17.3
34.65	25.04	33.31	16.99
34.81	25.25	33.52	16.99
34.31	24.64	32.78	16.77
33.71	24.1	32.32	16.54
32.57	23.15	31.14	15.95
31.74	22.79	30.45	15.86
31.67	22.83	30.6	15.78
32.58	23.51	31.37	16.24
33.15	23.84	32.1	16.47
33.87	24.14	32.29	16.47
34.31	24.33	32.75	16.47
33.88	24.15	32.55	16.26
34.06	24.24	32.56	16.2
33.73	24.11	32.64	16.24
33.87	24.24	32.41	16.36
33.59	23.68	31.98	16.06
33.02	23.43	31.71	16
32.12	22.78	31.12	15.91
31.61	22.24	30.41	15.62
30.56	21.7	29.53	15.21
30.62	21.52	30.01	15.29
31.31	21.78	30.36	15.61
31.92	22.61	30.79	15.72
32.69	22.65	31.14	15.95
32.8	22.96	31.61	16.02
33.07	22.71	31.36	15.97
32.96	22.48	31.2	15.85
32.23	22.37	31.13	15.72
31.49	21.95	30.24	15.59
30.8	21.31	29.75	15.39
30.49	21.22	29.52	15.11
31.45	21.55	30.21	15.58
31.59	21.8	30.54	15.6
32.15	21.98	30.71	15.63
32.74	22	31.1	15.98
32.72	22.04	31.53	16.08
32.42	21.73	31.03	15.94
31.72	21.98	30.82	15.64
31.72	21.67	30.62	15.61
31.06	21.15	30.11	15.56
30.34	20.46	29.33	15.08
29.59	19.86	28.51	15.02
28.84	19.36	27.86	14.69
28.66	19.39	28.15	14.9
28.92	19.71	28.54	14.94
30.06	20.37	29.09	15.1
30.84	20.57	29.82	15.32
30.93	20.91	29.94	15.43
30.58	20.54	29.68	15.23
30.57	20.5	29.68	15.16
31.1	20.55	30.12	15.61
31.39	20.73	30.34	15.68
31.54	20.74	30.5	15.75
31.53	20.79	30.52	15.88
31.23	20.64	30.32	15.74
31.06	20.29	29.89	15.45
30.4	19.97	29.37	15.56
30.13	20.05	29.87	15.52
29.91	20.03	29.41	15.44
30.28	19.99	29.21	15.65
30.32	19.68	29.47	15.6
31.01	20.17	29.83	15.88
31.68	20.59	31.02	16.5
31.78	20.67	30.72	15.9
31.92	20.91	31.02	16.2
31.93	20.63	30.77	16.36
32.34	20.56	31.56	16.67
31.97	21	31.1	16.43
31.86	20.58	31.75	16.53
32.22	20.09	30.97	16.52
32.17	21.13	31.44	16.54
31.66	20.31	31.02	16.16
31.98	20.57	31.7	16.31
31.76	20	30.61	16.58
31.59	20.06	30.35	16.27
31.19	20.16	30.31	16.3
30.71	19.71	30.12	16.59
30.59	19.61	30.18	16.21
31.1	20.02	30.62	17.06
31.63	20.21	30.98	16.83
31.59	19.92	31.34	16.9
31.85	20.31	31.42	16.72
32.51	20.31	31.27	16.7
31.81	20.4	31.64	17.16
32.53	20.29	31.68	16.94
32.48	20.53	31.91	17.38
33.24	20.51	32.3	17.63
31.94	20.16	31.4	17.11
31.94	19.72	31.48	16.83
31.86	19.96	31.77	17.24
33.06	20.36	31.63	17.14
32.61	20.21	32.39	17.45
32.73	20.3	32.45	17.55
32.65	20.29	32.67	17.38
32.27	20.11	32.3	17.36
32.38	19.76	32.53	17.29
32.69	20.05	32.62	17.3
32.91	20.56	32.72	17.99
33.1	20.37	32.21	17.88
32.62	20.73	32.48	18.23
32.65	19.83	32.32	17.2
31.98	19.99	32	17.86
31.91	19.59	31.68	17.44
32.91	20.13	31.77	17.84
33.38	20.47	32.53	18.07
33.33	20.21	32.74	18.25
33.34	20.63	33.24	18.78
33.52	20.09	32.67	18.63
33.34	20	32.12	18.21
33	20.62	32.73	18.71
32.77	20.25	32.71	18.35
32.97	20	32.89	18.45
32.86	19.96	32.53	18.39
32.77	20.2	32.54	18.48
32.68	19.99	32.25	18.09
32.74	19.64	32.08	18.49
31.84	19.48	32.08	18.31
32.56	19.5	32.5	18.65
33.24	19.96	32.9	18.53
33.73	20.02	33.45	19.21
34.46	20.61	34.04	19.5
34.51	20.28	33.89	18.98
34.43	20.76	34.06	18.98
34.35	20.5	33.47	19.27
34.48	20.38	34.12	19.8
33.81	20.48	34.3	19.7
34.45	20.47	34.08	19.66
34.65	20.12	34.25	19.76
34.63	20.56	34.41	19.86
34.28	20.34	34.15	19.87
34.75	20.22	34.64	20.03
34.33	20.85	33.92	19.86
34.36	20.42	33.53	19.7
34.09	20.18	33.99	19.8
34.77	20.61	34.6	20.43
34.85	20.89	34.53	20.57
35.83	21.5	35.2	20.91
36.1	21.52	35.35	21.68
36.2	21.4	35.77	20.99
36.39	21.27	35.76	21.56
36.01	21.57	35.62	21.21
35.64	21.75	35.55	21.26
36.42	21.86	36.45	21.5
36.7	21.99	36.48	21.89
38.05	21.62	36.97	22.68
38.15	22.35	37.45	22.54
38.22	22.58	37.7	22.6
38.25	22.69	38.02	22.82
38.99	23.18	38.05	22.98
39.05	23.11	38.68	23.57
39.49	23.64	38.97	24.01
40.64	23.88	39.57	23.84
40.64	24.01	39.77	24
40.74	23.94	39.26	24.08
41.02	24.88	40.51	24.83
41.7	24.63	40.51	24.39
41.71	24.31	40.58	24.4
42.07	25.08	41.61	25.09
41.72	25.24	41.46	25.28
42.74	25.82	41.62	25.37
42.44	25.61	42.09	26.12
42.74	25.69	41.9	26.33
43.84	26.06	42.78	26.64
43.73	25.55	42.45	26.59
45	26.96	43.32	26.57
45.13	26.75	44.03	27.04
44.99	27.33	43.97	27.55
46.21	27.42	44.53	27.35
45.78	27.48	44.91	28.21
46.74	27.46	44.66	28.42
46.96	27.64	44.96	28.74
47.04	27.86	45.44	28.63
46.7	28.1	45.94	28.68
46.87	28.63	45.89	29.25
47.96	28.87	46.49	29.21
47.14	27.89	46.49	29.13
48.45	29.25	47.32	30.63
49.77	29.38	47.7	31.1
49.23	30.39	47.61	29.75
50.18	29.78	47.7	31.15
50.28	30.49	48.24	31.1
50.26	30.31	48.6	31.91
50.78	31.14	48.67	32.52
50.93	30.71	49.17	31.34
51.54	31.02	49.67	32.02
51.95	31.33	49.51	31.89
52.31	31.81	49.93	33.16
52.79	32.1	51	33
53.26	32.02	51.13	33.6
53.66	32.64	50.64	33.33
55.06	33.25	51.01	34.1
54.96	33.52	51.94	34.38
55.88	34.04	52.27	34.75
56.67	33.71	53.08	35.24
56.73	34.48	53.55	35.41
57.13	35.14	54.02	35.74
57.25	35.03	53.64	35.73
57.22	34.98	54.62	37.07
57.88	34.32	53.64	35.88
58.35	35.71	55.76	36.55
59.49	36.79	56.32	37.75
60.83	36.63	55.56	37.91
58.82	36.17	55.37	37.14
59.77	36.85	54.93	37.54
60.46	36.95	55.75	38.61
59.85	36.2	55.14	37.59
59.32	36.48	55.63	37.71
60.5	37.27	55.84	38.58
61.99	37.79	57.1	39.05
62.72	38.92	58.62	40.25
64.74	40.25	58.78	40.76
66.26	40.74	60.42	41.02
66.38	40.96	59.85	41.32
67.41	41.7	61.71	42.58
68.21	41.41	61.74	42.69
69.02	43.24	62.84	43.44
68.29	42.27	62.52	43.1
68.91	43.4	62.9	44.41
69.9	43.19	62.84	43.9
69.2	43.76	63.48	43.46
69.85	42.89	63.14	44.18
70.12	44.55	64.07	44.77
69.77	43.96	63.19	44.31
70.99	43.84	64.02	45.67
70.04	42.79	63.08	44.47
70.77	44.55	63.41	44.86
71.97	44.56	65.23	46.06
71.8	44.71	63.88	45.38
71.92	44.77	63.77	46.11
71.86	45.12	64.43	45.54
73.25	45.58	65.66	47.01
74.89	47.59	67.64	48.75
76.17	48.38	67.57	48.05
77.7	49.02	68.28	49.17
78.16	49.54	69.47	49.81
79.48	50.66	70.94	50.02
79.78	50.55	69.88	50.87
79.93	50.81	70.95	50.69
80.88	51.26	70.05	50.49
80.76	51.99	70.88	50.34
81.14	51.18	70.78	51.37
78.98	49.9	69.95	51.08
79.11	50.59	70.73	51.1
80.25	51.16	70.29	51.06
80.94	51.39	70.23	51.71
82.35	52.16	72.13	52.57
84	53.56	72.64	53.28
85.28	54.87	74.2	54.42
85.92	54.65	74.69	54.39
86.53	55.35	75.29	54.61
87.05	56.19	75.43	54.71
87.36	56.9	76.59	54.83
89.16	57.25	77.12	55.17
89.95	58.36	78.29	56.72
89.48	58.41	77.01	56.4
89.98	56.93	77.21	56.01
90.16	57.79	77.84	56.45
91.75	59.18	79.43	57.96
91.73	59.2	79.8	57.95
93.11	59.82	79.78	58.56
92.62	60.38	79.63	58.33
93.75	60.06	80.81	59.11
93.56	59.41	80.5	58.9
94.66	60.93	80.79	59.32
94.39	61.49	81.97	60.33
95.39	62.24	82.25	60.79
96.25	63.27	80.98	60.21
95.62	61.1	81.15	59.62
96.49	62.85	82.42	61.29
96.66	63.25	81.43	61.99
96.51	63.74	82.04	60.85
97.11	63.93	83.12	62.45
97.1	64.87	83.58	62.06
96.56	63.61	81.19	60.86
97.37	64.49	83.59	62.52
99.48	65.68	84.82	62.88
100.18	66.44	85.54	64.64
100.32	65.19	84.48	63.51
99.16	64.52	84.21	63.5
101.28	66.56	85.08	64.53
102.39	66.09	85.18	63.98
101.05	66.17	85.1	64.47
101.27	66.2	85.45	63.92
102.98	68.32	86.82	65.44
103.14	67.19	85.42	64.61
102.99	68.07	87.14	64.65
102.25	66.54	85.82	64.75
103.16	67.54	87.14	64.64
102.38	67.33	86.02	65.07
103.06	68.33	87.05	66.12
102.84	67.73	87.1	65.71
101.73	66.57	85.09	65.83
103.65	67.94	86.37	65.8
99.55	66.4	84.66	64.23
101.2	66.67	85	64.94
101.33	66.66	86.27	66.4
102.12	66.9	85.38	65.09
102.31	67.42	85.55	65.5
104.01	68.43	86.13	66.63
104.79	68.85	87.52	66.31
106.6	70.21	88.24	66.66
106.95	70.66	89.3	67.68
104.97	70.49	87.76	67.72
106.19	70.31	89.33	68.6
105.88	70.14	88.72	68.29
107.22	69.8	89.83	68.06
106.8	70.44	88.82	68.21
108.86	71.09	89.11	67.78
108.28	71.48	89.28	69.13
109.09	72.82	91.77	70.58
109.47	71.95	92.13	69.53
108.25	71.45	89.64	68.95
108.93	72.18	91.05	70.07
109.92	72.46	90.28	70.34
108.93	71.67	90.9	68.37
106.55	69.94	88.64	69.22
107.73	71.51	90.28	68.62
108	71.24	90.5	69.85
106.63	71.24	89.41	68.78
109.04	71.36	90.58	69.67
108.66	72.31	91.09	70.55
110.09	73.81	91.32	70.11
111.03	73.34	90.9	71.17
110.14	72.97	90.11	71.3
111.12	73.06	92.31	71.47
111.08	74.09	93.11	72.26
109.41	72.18	91.07	70.97
112.38	73.47	93.03	72.12
110.25	75.39	92.57	72.62
111.35	73.4	91.71	71.01
112.93	75.21	93.07	73.46
112.48	75.39	92.99	73.08
113.67	75.61	95.74	73.55
113.26	74.29	92.83	73.03
115.42	76.89	95.34	72.68
114	75.39	94.36	73.88
116.15	77.31	94.97	75.15
114.04	74.45	92.24	71.64
114.81	77.16	94.05	73.05
115.51	75.3	94.13	72.85
115.87	77.59	95.52	74.07
115.23	77.63	95.76	74.82
115.19	76.82	93.95	74.01
115.18	76.92	96.05	74.5
115.06	77.39	94.33	73.66
116.82	78.16	95.53	74.31
115.09	76.31	95.4	73.96
117.03	77.85	97.69	75.56
116.99	77.5	93.9	76.04
114.9	76.25	93.79	74.04
116.79	78.73	95.36	75.23
114.88	76.82	94.23	75.11
117.99	77.48	97.62	76.29
116.64	77.73	96.2	75.86
119.27	78.63	97.89	75.77
118.57	79.42	97.16	75.87
118.21	79.75	96.74	77.93
119.72	79.19	97.19	75.42
117.86	78.36	96.16	77.08
118.79	78.11	97.68	75.87
118.29	79.95	96.93	76.81
120.46	79.81	97.57	76.96
119.23	79.25	96.7	77.47
119.21	79.62	94.84	76.35
117.5	80.07	96.21	76.44
118.65	78.51	97.12	76.77
120.44	79.44	97.94	78.19
119.61	78.86	97.12	77.36
118.57	78.5	96.32	76.75
117.8	79.46	97.2	76.7
117.88	77.72	94.27	75.31
117.93	78.27	95.94	76.73
118.57	79.7	97.07	77.55
119.26	79.99	98.05	77.57
119.17	80.37	97.07	76.71
118.55	80.28	96.14	78.02
121.67	80.03	95.7	79.1
120.91	81.04	98.48	77.43
121.95	80.98	99.12	78.35
122.08	81.13	99.25	79.17
121.91	82.07	99.02	78.37
123.39	82.19	99.86	77.94
121.53	81.77	99.43	78.65
119.65	78.68	96.78	77.24
121.15	82.49	97.81	79.03
121.54	80.4	97.97	79.94
120.47	81.46	97.28	78.84
122.77	80.77	97.87	79.38
121.01	83.07	98.64	78.58
118.38	78.88	95.33	77.63
120.09	79.1	96.11	78.93
117.45	79.23	95.35	76.26
117.18	78.4	93.94	77.73
117.07	79.4	94.54	76.87
117.41	78.58	94.43	77.58
119.09	79.36	95.49	78.4
118.83	79.73	96.62	79.19
121.41	80.89	96.91	78.93
123.22	81.49	98.87	79.59
123.5	81.18	98.46	79.13
121.99	82.85	98.89	80.18
124.54	82.85	99.74	81.25
124.68	83.43	100.78	81.96
122.28	83.29	100.72	81.79
123.57	82.89	99.32	78.89
127.93	83.7	101.91	83.27
123.52	83.3	100.04	81.07
124.93	83.63	100.02	80.13
125.71	84.49	100.43	83.01
126.2	83.94	101.94	80.65
126.68	85.07	101.4	82.35
123.54	81.94	100.01	81.94
123.93	84.29	100.39	80.74
125.45	83.86	101.53	81.28
124.62	84.52	102.11	83.55
125.61	85.14	100.13	82.2
127.88	84.76	101.92	82.09
124.93	84.73	101.51	81.42
123.96	83	102.1	80.88
125.54	85.82	100.6	82.86
123.51	84.8	100.23	81.41
123.27	83.73	97.63	80.95
126.48	84.2	102.44	84.35
123.98	83.23	100.7	81.65
123.69	83.52	98.91	81.88
124.22	83.9	99.3	84.42
126.09	85.21	102.32	82.39
126.33	85.48	102.46	82.75
125.84	83.79	102.67	82.74
124.24	83.48	101.05	82.05
127.51	85.87	102.78	84.48
125.43	84.84	100.61	83.15
129.4	86.56	102.25	84.44
125.83	86.39	102.06	83.58
128.31	85.77	102.92	84.05
127.12	86.32	104.52	85.49
127.43	84.87	103.63	84.03
128.84	85.5	104.04	84.77
130.84	86.93	104.15	85.06
126.01	86.05	103.36	82.62
124	85.36	99.35	82.39
126.46	84.24	99.32	83.8
127.51	85.02	102.65	86.45
125.1	85.66	101.55	80.94
126	85.32	102.03	83.54
127.97	86.25	102.42	83.33
122.86	85.96	101.47	82.85
124.47	84.5	100.49	82.52
126.26	85.17	102.5	83.96
124.12	84.23	99.92	81.72
124.36	83.93	101.82	83.33
125.28	85.99	100.62	83.3
122.18	83.15	98.84	82.38
125.74	84.68	101.69	82.4
122.31	82.88	98.85	81.87
124.72	83.99	99.97	84.12
122.69	84.11	96.64	81.61
122.85	84.26	97.78	81.93
120.3	82.29	97	82.08
124.73	84.02	100.19	83.37
125.02	82.62	99.54	82.94
124.68	85.42	100.62	82.78
125.6	84.68	100.93	82.02
126.72	84.88	102.02	83.17
126.97	85.21	101.2	83.18
127.5	86.31	102.21	84.73
129.25	85.72	103.07	83.51
126.89	83.88	101.17	84.72
130.67	86.51	103.57	86.4
129.19	88.32	103.77	85.5
128.75	86.6	102.56	85.22
129.37	86.78	101.4	83.59
130.31	86.36	103.76	84.66
129.03	86.96	104.43	85.64
128.88	87.41	104.58	85.41
128.79	87.58	102.2	85.11
127.73	85.73	102.22	83.53
132.97	88.37	104.66	85.78
128.57	87.45	105.17	85.58
127.21	86.76	103.94	85.19
130.45	89.12	102.68	87.7
130.64	87.07	104.95	85.31
129.11	85.73	104.2	84.62
132.4	90.75	105.26	86.79
128.93	86.15	103.18	83.16
127.95	86.43	103.62	86.08
127.96	87.36	101.93	84.98
128.03	88.31	102.7	86.21
131.07	87.53	103.72	84.91
128.3	86.82	104.99	85.57
128.03	85.55	100.54	83.48
126.55	86.6	99.76	83.79
130.19	86.94	101.59	85.42
130.37	88.98	103.78	88.11
128.54	87.78	103.59	84.52
131.02	90.25	105.23	88.73
129.6	89.39	104.99	86.36
128.01	87.16	101.41	84.65
125.13	83.89	100.1	81.19
125.43	86.47	101.17	82.33
128.45	88.25	103.54	85.15
128.19	88.04	104.66	86.56
125.39	87.57	102.2	86.19
127.11	85.14	101.01	84.71
126.89	84.35	103.49	83.5
126.82	86.69	103.84	84.95
126.4	87.57	103.38	85.11
128.56	86.7	101.55	84.8
123.86	84.84	100.76	82.77
125.26	86.69	100.98	82.58
121.87	85.12	99.72	82.52
124.48	84.68	98.96	83.25
121.81	81.05	95.62	80.66
121.12	80.1	96.74	80.22
119.24	79.99	95.52	79.89
120.16	82.24	96.88	81.98
120.69	82.97	97.75	81.87
125.33	84.43	99.51	82.89
125.02	84.56	99.34	83.47
126.44	83.88	99.7	83.67
123.73	85.07	100.49	82.69
125.08	85.25	98.58	83.68
124.98	83.62	100.51	83.15
126.6	83.94	100.26	84.63
126.66	84.17	101.99	84.57
129.55	86.23	104.9	85.62
123.14	82.76	99.14	79.98
127.43	87.23	102.48	83.62
129.24	87.27	102.64	86.25
124.8	85.01	102.41	84.49
125.85	85.8	101.72	84.75
128.87	87.04	103.1	85.84
129.53	85.96	102.92	83.83
127.84	84.93	101.58	86.19
126.26	86.46	98.92	85.55
121.7	83.13	98.44	80.66
121.29	84.8	97.46	81.27
125.01	82.08	100.25	86.28
124.48	82.37	99.9	83.5
124.93	86.34	102.88	84.87
125.77	84.4	101.08	81.08
128.81	87.02	103.6	86
127.47	85.26	102.47	85.42
123.64	84.82	98.23	83.94
123.71	83.47	98.75	83.74
127.75	84.88	103.27	84.75
123.25	85.47	102.36	84.75
130.1	89.11	105.82	84.75
128.35	86.61	102.64	85.49
127.9	86.68	100.87	86.77
125.14	84.3	99.88	85.73
125.38	87.52	102.39	84.87
124.36	85.35	99.75	83.07
127.88	86.55	101.28	84.39
129.3	87.82	101.49	85.69
126.3	86.35	101.82	82.66
124.62	84.34	100.86	83.94
123.14	84.28	99.35	80.75
126.42	86.93	101.84	83.36
125.77	85.35	101.2	82.84
125.82	85.89	103.42	85.4
127.04	85.5	101.63	81.99
122.21	84.78	97.73	84.09
125.01	86.01	99.85	84.82
122.88	84.16	101.33	84.22
126.18	83.68	100.04	84.59
121.02	81.84	99.94	83.78
124.81	83.05	102.45	84.38
119.37	82.68	97.64	80.85
124.19	83.47	98.84	81.73
126.59	87.56	102.47	87.32
130.04	85.98	100.7	84.88
126.6	84.18	99.44	80.8
127.74	84.38	102.77	85.7
123.64	83.51	101.28	82.82
129.09	85.71	101.37	84.63
122.53	85.3	99.14	81.02
128.3	85.08	105.08	86.03
129.76	86.19	99.61	85.22
123.84	84.85	98.17	83.54
125.12	84.04	100.06	82.27
123.35	85.43	100.64	83.06
124.98	87.13	99.2	87.64
124.14	86.16	99.94	84.93
127.37	86.38	101.17	86.65
127.17	85.07	101.57	85.41
121.66	84.17	98.13	82.02
126.32	88.53	104.41	84.49
127.21	85.99	101.91	84.09
129.98	89.19	102	86.78
126.34	85.14	101.59	84.79
128.39	84.36	103.12	83.79
125.52	82.86	97.1	82.71
125.75	86.9	102.35	83.75
121.73	81.91	98.34	83.95
126.68	86.21	103.61	84.56
123.56	86.03	100.46	83.72
122.25	85.4	101.49	81.19
124.43	84.39	100.5	81.15
123.15	86.6	102	83.56
122.87	83.69	98.45	81.33
126.27	83.62	102.93	85.47
124.14	85.95	103.4	84.16
126.91	87.35	105.35	85.09
124.78	86.16	101.36	81.55
125.96	86.68	100.27	82.59
127.09	86.28	103.86	82
121.07	81.17	97.84	81.41
126.05	85.07	100.69	84.32
124.13	85.04	104.69	82.7
124.63	85.45	100.22	83
126.15	86.08	102.07	83.95
119.66	84.46	99.65	81.19
124.66	85.62	103.97	83.15
122.92	80.65	99.92	82.05
128.89	90.27	104.28	85.33
128.4	85.68	107.06	86.22
126.65	85.55	100.26	84.67
124.64	83.87	100.47	84.89
126.97	87.29	104.82	86.94
124.04	84.31	100.26	83.9
126.74	86.77	101.46	85.21
120.6	86.56	100.56	83.48
125.15	82.31	98.94	82.46
122.04	84.85	98.1	81.82
126.84	85.87	100.13	86.64
124.89	85.54	103.77	86.01
125.62	81.03	99.96	83.57
122.46	83.83	100.34	80.88
124.01	84.42	102.78	82.29
119.86	83.54	96.58	83.49
122.08	87.23	100.15	85.03
128.28	84.6	103	84.15
124.36	87	101.29	84.36
125.52	83.04	97.62	87.21
123.98	84.33	99.71	84.13
124.65	84.74	101.97	83.8
126.5	83.6	101.82	83.33
126.66	84.59	101.8	82.39
127.86	86.4	104.99	87.39
128.04	88.03	104.35	87.03
127.64	85.2	106.38	85.69
126.91	84.36	99.79	83.91
127.26	87.05	105.52	86.1
121.36	80.56	99.21	83.4
127.08	86.2	99.69	84.65
128.03	85.02	99.57	84.84
127.38	87.03	103.31	86.84
125.52	85.46	101.01	85.81
126.84	86.62	102.08	82.67
131.5	85.8	103.98	87.93
126.84	82.58	98.86	83.51
122.1	83.07	101.36	83.9
123.96	82.6	103.07	82.05
125.83	83.3	101.52	86.73
124.93	83.69	102.65	82.73
121.51	83.76	99.52	81.46
119.44	81.67	97.82	81.08
117.62	84.83	95.93	76.72
129.37	84.66	104.41	83.37
127.04	85.49	102.75	84.11
125.23	86.16	104.5	85.87
124.87	83.41	100.02	83.44
122.82	83.72	102.9	88.07
124.11	90.33	105.04	85.93
124.43	87.02	101.13	84.67
127.88	89.21	100.32	83.75
127.55	88.47	100.66	84.74
126.29	92.91	102.55	85.04
127.71	84.34	101.22	84.01
131.03	86.75	103.98	83.84
123.86	85.24	97.55	85.27
128.21	86.97	103.32	85.68
123.71	82.37	96.93	84.38
126.03	84.51	100.05	84.83
123.83	80.92	98.4	77.39
127.4	86.54	101.14	89.1
130.2	87.88	103.73	82.79
122.13	84.51	98.12	82.11
127.76	87	100.39	87.29
119.13	83.02	99.98	80.83
130.42	86.19	102.81	84.23
130.42	86.05	106.48	88.81
122.23	83.06	100.77	82.95
117.82	78.66	99.63	77.45
128.77	86.12	103.32	87.06
122.82	81.74	98.76	84.28
126.23	86.41	101.55	85.62
116.84	83.09	95.04	77.15
123.04	87.25	99.06	80.77
125.06	83.05	100.81	83.11
129.46	86.41	104.96	83.27
133.81	87.77	102.31	87.96
124.59	83.77	102.62	84.42
121.11	87.58	97.56	81.41
121.13	84.32	100.06	85.71
127.96	85.97	104.14	81.52
123.94	83.7	99.86	83.69
121.28	79.56	98.56	82.32
123.96	84.24	105.03	83.33
121.98	85.82	100.73	83.32
130.76	87.06	105.08	86.19
121.72	85.66	102.38	84.04
132.81	87.23	100.94	86.93
130.48	85.84	100.82	88.24
126.4	83.77	101.91	80.17
124.56	82.88	100.2	81.27
123.02	83.57	100.98	81.75
129.65	84.32	100.23	86.36
124.33	81.46	97.87	88.32
120.16	83.23	99.53	82.15
127.44	86.42	101.75	82.81
124.22	85.82	105.39	82.89
128.97	85.22	103.06	84.43
127.89	85.52	104.02	82.45
123.05	80.43	95.91	84.87
124.76	86.6	104.9	86.04
120.8	83.32	97.63	81.72
126.62	85.59	100.75	87.38
125.8	87.97	102.15	85.36
126.74	87.68	104.66	85.21
130.73	89.26	104.26	89.73
128.4	87.78	104.55	86.44
130.61	87.88	103.95	86.91
127.37	86.29	105.23	84.47
128.98	90.99	105.37	85.42
128.3	83.04	101.63	85.85
130.04	91.78	106.14	88.41
128.91	88.54	105.8	87.13
129.98	87.59	100.68	85.75
123.51	83.8	100.58	81.43
128.33	90.16	100.13	86.09
126.92	83.89	98.36	83.77
127.48	91.56	102.36	88.46
131.59	86.72	104.19	84.98
119.83	85.04	96.79	78.23
114.68	81.65	95.82	81.68
121.23	85.52	97.17	83.44
120.42	87.33	100.91	77.8
122.07	79.28	102.34	82.13
122.28	80.06	103.19	82.8
124.06	84.74	96.88	84.25
127.67	86.88	101.08	82.25
126.02	84.69	99.53	81.71
121.7	83.06	88.66	78.82
132.85	92.98	109.06	88.51
117.62	84.72	100.23	84.35
128.82	81.76	102.53	83.81
120.2	87.14	98.77	89.95
118.21	81.57	101.06	87.59
117.37	84.05	102.98	88.81
127.91	87.98	104.89	86.83
121.36	82.07	91.55	77.46
133.52	92.89	106.2	87.72
124.11	76.05	104.89	78.04
132.12	92.91	99.97	89.03
127.2	87.87	99.67	85.25
126.94	82.79	100.03	84.22
127.09	86.94	99.07	83.34
135.82	93.3	106.89	87.75
119.23	84.2	97.12	78.9
118.62	81.02	104.23	79.76
115.49	75.34	96.85	75.87
123.86	94.06	103.21	83.18
119.89	80.58	95.66	81.51
127.47	86	104.85	90.81
121.36	80.97	98.96	84.05
117.73	81.78	96.93	78.24
131.19	86.12	98.81	82.09
