"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
20.14	2.76	7.48	7.01
21.17	3.88	8.05	7.79
20.77	4.38	9.1	8.65
21.36	4.73	9.21	9.2
20.74	3.91	9.72	8.64
20.08	3.81	8.48	7.72
21	5.07	10.06	8.54
21.36	4.51	9.5	8.11
20.61	3.69	9.47	9.05
20.38	3.82	8.12	7.53
20.79	3.97	8.11	7.76
19.89	3.21	8.86	7.84
19.91	3.4	9.47	7.58
19.84	3.38	8.01	7.15
19.45	3.57	8.23	7.34
19.16	3.29	7.84	7.74
17.75	2.65	7.18	6.87
17.52	2.47	6.99	6.94
17.2	2.55	7.15	6.59
18.09	2.58	7.19	6.86
18.56	2.75	7.37	6.91
20.13	2.85	7.97	7.53
19.98	2.97	8.55	7.77
20.54	3.22	9	7.45
20.03	3.29	8.92	7.61
18.77	3.14	8.39	8.17
19.54	3.4	8.79	8
20.26	3.6	8.98	8.11
20.54	3.8	9.13	7.7
19.8	2.82	8.25	7.52
20.81	3.75	8.81	7.32
20.49	4.08	9.13	8.3
19.36	3.16	8.25	7.46
18.96	3.73	8.45	7.36
19.8	2.88	8.98	7.32
18.91	3.26	8.16	7.31
18.23	3.04	8.25	7.22
18.78	2.94	8.39	7.4
19.26	3.78	8.69	7.21
19.65	3.14	8.15	7.33
19.45	3.59	8.51	7.25
19.49	3.64	9.03	7.61
19.22	3.48	8.44	7.13
18.85	3.61	8.3	7.85
18.73	3.18	8	6.7
18.87	3.12	8.51	7.46
18.78	3.36	8.39	7.07
18.44	3.4	8.09	7.02
18.75	3.47	8.54	6.98
17.91	2.91	7.7	6.66
18.08	3.23	8.26	7.13
18.24	2.66	7.67	7.16
18.31	2.95	8.11	7.01
18.32	3.08	8.53	7.59
18.68	3.03	8.41	6.83
19.24	3.34	8.25	7.44
19.81	3.69	8.99	7.75
19.1	3.31	9.33	7.09
18.86	3.56	9.03	7.88
19.17	3.43	9.24	7.6
18.66	3.36	8.2	7.63
18.87	2.67	9.15	6.58
18.94	2.69	8.39	7
18.72	2.7	8.56	6.65
19.17	3.14	9.78	7.73
19.51	3.61	9.21	7.8
19.21	3.15	8.99	7.3
18.69	3.09	9.21	6.92
19.41	4.01	9.66	7.28
18.86	3.25	9.24	7.43
18.83	3.33	9.34	7.45
18.63	3.8	8.87	7.25
18.81	3.12	9.87	7.33
18.81	3.39	9.52	7.48
18.88	3.27	9.3	7.58
18.01	3.26	9.69	7.15
18.15	2.92	9.28	7.55
18.54	3.34	9.39	7.3
18.09	3.17	9.39	7.13
18.48	2.91	9.75	7.07
18.53	3.44	10.13	7.42
18.37	3.3	9.64	7.26
18.81	3.74	9.82	7.34
18.34	3.27	9.87	6.67
18.32	3.22	9.75	7.4
18.1	3.47	9.52	7.48
18	3.28	9.91	7.47
17.76	3.17	9.65	7.16
17.91	2.9	9.63	7.31
18.73	3.41	10.02	7.7
18.48	3.06	10.02	7.26
18.39	3.41	9.9	7.39
19.33	3.4	10.43	7.57
