"Buddleja_davidii_C2__P_1"	"Buddleja_davidii_C2__P_2"	"Buddleja_davidii_C2__P_3"	"Buddleja_davidii_C2__P_4"	"Impatiens_glandulifera_C2__Lp_1"	"Impatiens_glandulifera_C2__Lp_2"	"Impatiens_glandulifera_C2__Pp_3"	"Impatiens_glandulifera_C2__Pp_4"	"Impatiens_glandulifera_C2__Ep_5"	"Impatiens_glandulifera_C2__Lp_6"	"Impatiens_glandulifera_C2__Lp_7"	"Impatiens_glandulifera_C2__Pp_8"	"Impatiens_glandulifera_C2__Pp_9"	"Impatiens_glandulifera_C2__Lp_10"	"Impatiens_glandulifera_C2__Lp_11"	"Impatiens_glandulifera_C2__Pp_12"	"Impatiens_glandulifera_C2__Pp_13"	"Impatiens_glandulifera_C2__Pp_14"	"Impatiens_glandulifera_C2__Lp_15"	"Impatiens_glandulifera_C2__Lp_16"	"Impatiens_glandulifera_C2__Pp_17"	"Impatiens_glandulifera_C2__Pp_18"
1.18	0.76	3.83	0.81	5.48	7.05	9.87	8.6	1.11	3.7	2.97	5.8	3.12	2.58	9.61	2.74	3.27	3.98	2.34	8.01	8.05	12.3
1.05	0.7	3.55	0.38	5.2	6.79	9.61	8.33	1	3.48	2.75	5.56	2.94	2.5	9.05	2.55	3.06	3.97	2.12	7.54	7.75	12.13
0.56	0.34	3.17	0.14	4.91	6.47	9.6	8.09	0.38	2.93	2.23	5.18	2.49	1.99	9.14	2.08	2.55	3.5	1.63	7.33	7.42	11.92
0.27	0.07	2.97	-0.06	4.83	6.25	9.32	7.92	0.56	2.96	2.06	4.9	2.35	1.92	9.09	2.05	2.51	3.57	1.7	7.12	7.52	11.72
0.63	0.6	3.39	0.15	5.2	6.89	10.01	8.19	0.81	3.1	2.53	5.34	2.82	2.26	9.16	2.26	2.85	3.83	2.07	7.52	7.59	11.96
0.11	-0.07	2.81	-0.3	4.5	6.06	9.03	7.45	0.22	2.64	2.08	4.91	2.19	1.76	8.56	1.83	2.24	3.15	1.46	6.82	7.06	11.14
0.65	0.5	3.2	0.27	4.92	6.48	9.45	7.81	0.87	3.02	2.5	5.35	2.54	2.28	9.04	2.25	2.76	3.67	1.99	7.24	7.51	11.64
0.96	0.81	3.56	0.53	5.2	6.91	9.96	8.42	1.01	3.47	2.74	5.61	3.1	2.52	9.35	2.59	3.01	4.07	2.11	7.65	8.06	12.07
0.87	0.5	3.31	0.39	5.07	6.56	9.69	8.04	0.9	3.35	2.62	5.39	2.69	2.45	8.9	2.5	2.64	4.04	2.07	7.28	7.56	11.49
0.5	0.37	3.38	0.22	4.98	6.7	9.51	8.06	0.62	3.06	2.5	5.25	2.7	2.28	8.96	2.2	2.65	3.76	2.07	7.12	7.77	11.54
0.9	0.28	3.11	0.29	5.26	6.65	9.69	8.13	0.56	3.12	2.48	5.36	2.6	2.24	9.02	2.32	2.73	3.77	1.93	7.47	7.71	11.67
0.69	0.3	3.07	0.26	4.8	6.54	9.02	7.92	0.6	3.06	2.4	5.07	2.5	2.16	8.8	2.03	2.68	3.53	1.91	7.16	7.44	11.31
0.23	-0.18	2.44	-0.29	4.41	5.91	8.87	7.64	0.2	2.74	1.79	4.68	2.09	1.64	8.72	1.65	2	3.17	1.5	7.09	6.99	11.2
0.81	0.58	3.55	0.33	5.12	6.92	9.55	8.46	0.79	3.43	2.64	5.52	2.75	2.51	9.41	2.4	2.83	4.06	2.22	7.63	7.9	12.15
1.21	0.92	3.71	0.8	5.39	7.19	10.12	8.8	1.14	3.84	3.04	5.72	3.09	2.78	9.64	2.92	2.93	4.32	2.46	8.02	8.1	12.15
0.82	0.4	3.39	0.24	5.07	6.81	9.62	8.21	0.91	3.23	2.61	5.44	2.75	2.39	9.2	2.39	2.74	3.94	2.14	7.56	7.74	11.69
0.74	0.4	3.37	0.25	5.17	6.58	9.74	8.21	0.81	3.3	2.47	5.43	2.83	2.36	9.22	2.37	2.73	3.83	2.14	7.4	7.5	11.75
0.6	0.29	3.26	0.2	5.05	6.58	9.59	8.18	0.8	2.97	2.57	5.27	2.48	2.29	9.32	2.18	2.63	3.8	1.99	7.29	7.54	11.65
0.43	0.17	3.03	0.06	4.92	6.52	9.29	7.92	0.58	2.99	2.39	5.15	2.48	1.95	8.84	2.05	2.53	3.55	1.83	7.08	7.35	11.41
0.77	0.61	3.41	0.41	5.4	6.72	9.8	8.13	1	3.36	2.76	5.46	2.75	2.42	9.09	2.43	2.92	4.03	2.25	7.18	7.76	11.37
0.58	0.37	3.03	0.25	4.95	6.5	9.39	7.86	0.53	3.08	2.39	5.14	2.54	2.26	8.91	2.1	2.72	3.73	2	7.02	7.42	11.05
0.61	0.31	3.16	0.26	4.98	6.29	9.06	7.91	0.78	3.11	2.34	5.25	2.61	2.04	8.69	2.09	2.61	3.61	1.97	6.91	7.16	10.88
0.64	0.38	3.05	0.09	4.98	6.54	9.31	7.93	0.69	2.94	2.53	5.08	2.51	2.17	8.87	2.27	2.59	3.66	2.02	7.04	7.23	11.09
0.73	0.6	3.44	0.46	5.02	6.76	9.49	8.16	1	3.37	2.84	5.49	2.9	2.33	9.29	2.5	2.99	3.9	2.28	7.58	7.67	11.59
0.7	0.38	3.18	0.25	4.91	6.57	9.23	8.13	0.6	3.25	2.65	5.23	2.71	2.4	9.27	2.35	2.82	3.73	2.08	7.68	7.45	11.89
0.6	0.19	3.19	0.13	4.76	6.65	9.44	8.18	0.64	3.22	2.65	5.36	2.53	2.19	9.29	2.16	2.62	3.59	2.07	7.57	7.46	11.82
0.17	-0.08	2.76	-0.22	4.46	6.08	9.04	7.66	0.14	2.8	2.02	5.01	2.17	1.85	9	1.69	2.38	3.25	1.81	7.27	7.25	11.25
1.05	0.57	3.53	0.69	5.5	7.3	10.03	8.69	1.09	3.67	3.11	5.83	3.15	2.54	9.92	2.6	3.19	4.21	2.66	8.17	8.3	12.57
1	0.65	3.44	0.69	5.56	7.04	10.14	8.73	1.07	3.69	2.96	5.97	3.07	2.66	9.73	2.59	3.04	4.05	2.61	8.26	8.19	12.3
0.44	0.19	3.12	0.1	4.88	6.6	9.62	8.23	0.65	3.12	2.38	5.19	2.57	2.19	9.53	2.11	2.65	3.66	2.04	7.9	7.46	11.96
0.5	0.24	2.91	-0.08	4.91	6.63	9.29	8.11	0.61	3.07	2.37	5.33	2.56	2.09	9.34	2.15	2.8	3.48	1.94	7.75	7.6	11.72
0.59	0.23	3.17	0.25	5.01	6.84	9.73	8.32	0.68	3.24	2.81	5.49	2.55	2.26	9.65	2.29	2.7	3.82	2.2	8.14	7.74	12.1
0.51	0.08	3.11	0.06	5	6.63	9.8	8.49	0.58	3.13	2.35	5.45	2.83	2.18	9.42	2.08	2.7	3.77	2.17	8.03	7.81	12.25
0.89	0.69	3.68	0.43	5.58	7.21	10.2	8.77	1.09	3.72	2.9	5.88	2.99	2.79	9.99	2.59	3.02	4.14	2.5	8.35	8.03	12.58
0.8	0.64	3.48	0.42	5.34	6.96	9.9	8.49	0.86	3.67	2.93	5.87	2.83	2.61	10.03	2.43	3.01	4.15	2.48	8.28	8	12.34
0.53	0.12	3.22	0.18	4.81	6.85	9.65	8.18	0.6	3.28	2.44	5.43	2.69	2.23	9.66	2.09	2.73	3.75	2.28	8.07	7.87	12.18
1.1	0.78	3.7	0.64	5.54	7.37	10.12	8.87	1.21	3.97	3.28	6.01	3.34	2.71	10.18	2.69	3.45	4.33	2.98	8.58	8.29	12.49
0.86	0.65	3.61	0.48	5.55	7.32	10.09	8.74	1.12	3.68	3.18	5.73	3.05	2.67	10.28	2.58	3.29	4.16	2.62	8.72	8.06	12.85
0.7	0.28	3.22	0.25	5.27	7.13	9.99	8.67	0.74	3.64	2.86	5.76	2.92	2.49	9.94	2.41	3.05	3.98	2.62	8.55	7.97	12.67
0.37	0.18	3	0.26	5.05	6.92	10.01	8.38	0.58	3.28	2.61	5.63	2.79	2.22	9.96	2.2	2.85	3.8	2.16	8.36	8.08	12.85
0.99	0.6	3.42	0.55	5.36	7.36	10.29	8.79	1.18	3.76	3.09	5.93	2.92	2.73	10.34	2.7	3.32	4.23	2.76	8.68	7.92	12.73
0.41	-0.09	3.12	-0.11	5.16	6.88	9.8	8.63	0.48	3.35	2.5	5.58	2.61	2.25	9.92	2.09	2.67	3.82	2.29	8.6	7.88	12.64
1.25	0.97	3.98	0.63	5.89	7.65	10.63	9.12	1.43	4.24	3.35	6.21	3.56	3.1	10.54	2.92	3.51	4.47	3.08	9.1	8.68	13.33
0.79	0.44	3.49	0.29	5.67	7.5	10.47	8.95	0.99	3.77	3.25	6.29	3.24	2.53	10.38	2.57	3.13	4.22	2.77	8.85	8.63	13.33
0.61	0.31	3.33	0.24	5.52	7.25	10.22	8.84	0.74	3.71	2.84	5.93	2.96	2.5	10.39	2.38	3.1	4.15	2.38	8.56	8.25	12.89
0.46	0.27	3.23	-0.06	5.38	7.12	10.3	8.85	0.76	3.54	2.82	5.88	2.93	2.54	10.23	2.41	2.88	4.09	2.6	8.49	8.12	12.87
0.62	0.48	3.31	0.27	5.55	7.1	10.45	8.76	0.82	3.62	2.97	6.04	2.99	2.62	10.39	2.47	3.23	4.06	2.43	8.56	8.5	13.08
1	0.6	3.43	0.45	5.72	7.67	10.57	9.19	1.07	3.93	3.04	6.03	3.37	2.84	10.42	2.58	3.22	4.29	2.83	9.01	8.48	13.16
0.77	0.54	3.59	0.25	5.75	7.51	10.76	9.04	0.95	3.94	3.23	6.25	3.19	2.68	10.51	2.77	3.23	4.25	2.79	8.91	8.44	13.26
0.63	0.25	3.28	0.02	5.48	7.27	10.37	8.86	0.88	3.66	3.02	5.91	2.86	2.53	10.43	2.41	3.2	4.06	2.55	8.95	8.23	13.06
0.58	0.3	3.18	0.23	5.41	7.3	10.38	8.97	0.67	3.82	3.05	6.03	3.05	2.68	10.68	2.38	3.11	4.16	2.54	9	8.58	13.31
0.67	0.34	3.32	0.12	5.59	7.22	10.51	9.25	0.87	3.7	3.09	6.16	3.19	2.78	10.68	2.48	3.25	4.25	2.99	8.85	8.41	13.41
0.51	0.33	3.25	0.29	5.44	7.48	10.55	9	0.93	3.89	3.01	6.2	3.06	2.63	10.77	2.29	3.15	4.14	2.82	9.22	8.51	13.45
1.11	0.91	3.89	0.75	6.17	8.1	11.52	10.2	1.57	4.69	3.8	6.83	3.8	3.31	11.5	3.09	3.73	4.9	3.36	10.01	9.49	14.71
0.85	0.42	3.45	0.33	5.8	7.78	10.83	9.72	1.07	4.1	3.37	6.43	3.3	2.86	10.98	2.73	3.48	4.48	3.02	9.22	8.92	13.67
0.38	0.12	2.83	-0.08	5.36	7.22	10.5	9.02	0.68	3.61	2.91	6.08	2.86	2.44	10.57	2.19	3.13	4.05	2.53	8.91	8.63	13.39
1.18	0.97	3.82	0.95	6.37	8.17	11.06	9.99	1.49	4.48	3.75	6.88	3.71	3.29	11.29	2.98	4	4.97	3.46	9.85	9.04	14.18
0.57	0.47	3.27	0.2	5.81	7.49	11.07	9.46	0.98	4.04	3.14	6.39	3.37	2.83	10.98	2.68	3.45	4.55	2.99	9.58	8.98	13.93
0.46	-0.06	2.91	-0.07	5.47	7.55	10.79	9.53	0.78	3.65	2.88	6.36	3.11	2.46	10.83	2.3	3.24	4.23	2.66	9.01	8.51	13.66
0.47	0.26	3.2	0.19	5.9	7.56	11.08	9.52	0.75	4.07	3.18	6.3	3.1	2.63	11.18	2.47	3.35	4.36	2.77	9.38	8.81	13.9
0.91	0.51	3.42	0.33	5.84	8	11.31	9.98	1.08	4.26	3.42	6.73	3.6	3.04	11.16	2.77	3.67	4.58	3.11	9.26	9.08	14.19
0.75	0.43	3.35	0.26	5.89	8.03	11.43	9.91	1.02	4.31	3.49	6.74	3.46	3.01	11.39	2.71	3.8	4.77	3.25	9.82	9.42	14.37
0.88	0.58	3.56	0.35	6.16	8.24	11.75	10.11	1.22	4.38	3.65	6.98	3.68	3.18	11.63	2.85	3.84	4.81	3.31	9.63	9.25	14.49
0.65	0.28	3.43	0.2	6.12	7.82	11.6	9.61	1.18	4.25	3.38	6.9	3.56	2.72	11.48	2.75	3.81	4.79	3.16	9.48	9.29	14.1
0.96	0.53	3.5	0.54	6.16	8.1	11.56	10.02	1.23	4.39	3.62	7.17	3.7	2.99	11.7	2.98	3.73	4.96	3.24	9.54	9.51	14.17
0.58	0.31	3.08	0.16	5.9	7.83	11.2	9.93	0.97	4.15	3.47	6.79	3.45	2.78	11.65	2.57	3.59	4.69	3.07	9.69	9.13	14.31
0.59	0.47	3.24	0.18	6.07	7.79	11.45	10.06	1.06	4.52	3.58	6.84	3.49	2.95	11.46	2.71	3.8	4.76	3.14	9.96	9.47	14.83
1.33	0.9	3.77	0.79	6.63	8.5	11.85	10.46	1.66	5.03	3.93	7.32	4.12	3.51	12.35	3.4	4.15	5.35	3.93	10.57	9.87	15.18
1.09	0.7	3.7	0.67	6.53	8.41	11.95	10.61	1.46	4.82	4.15	7.6	3.93	3.45	12.44	3.18	4.16	5.16	3.8	10.51	10.02	15.23
1.09	0.66	3.82	0.51	6.63	8.58	12.36	10.89	1.58	5.12	4	7.52	3.99	3.4	12.68	3.02	4.26	5.29	3.75	10.53	10.01	15.73
1.14	0.7	3.56	0.52	6.68	8.41	12.22	10.63	1.36	4.88	3.91	7.48	3.99	3.55	12.27	2.98	4.12	5.13	3.8	10.58	9.91	15.36
0.44	0.15	3.19	-0.15	5.89	8.07	11.81	10.1	0.8	4.57	3.5	6.93	3.38	2.91	11.74	2.51	3.71	4.63	3.11	10.23	9.43	15.07
0.27	0.03	3.15	-0.17	5.88	8.03	11.7	9.99	0.84	4.37	3.28	6.72	3.24	2.57	11.81	2.3	3.43	4.45	3.05	9.92	9.7	14.84
0.8	0.55	3.54	0.3	6.48	8.58	11.91	10.64	1.35	4.84	4.04	7.49	3.86	3.14	12.39	2.97	4.1	5.05	3.52	10.55	9.86	15.26
1.29	0.69	3.84	0.48	6.65	8.65	12.31	10.86	1.45	5.05	4.15	7.68	4.18	3.49	12.48	3.12	4.33	5.27	3.81	10.53	9.88	15.83
0.92	0.72	3.84	0.39	6.59	8.79	12.47	10.96	1.48	4.99	4.23	7.8	4.2	3.47	12.41	3	4.34	5.3	3.98	11.07	10.41	15.81
0.55	0.27	3.36	-0.01	6.51	8.75	11.95	10.48	1.06	4.73	3.82	7.46	3.85	3.18	12.58	2.64	4.02	4.99	3.57	10.7	9.87	15.72
0.33	-0.1	3.07	-0.13	6.2	8.13	11.87	10.5	0.67	4.43	3.61	7.42	3.36	2.83	12.33	2.49	3.85	4.86	3.39	10.35	9.76	15.41
0.71	0.32	3.55	0.26	6.65	8.66	12.6	11.02	1.03	5.17	3.95	7.86	4.1	3.39	12.94	2.93	4.13	5.17	3.79	10.64	10.12	16.05
0.86	0.6	3.67	0.26	6.64	9	12.87	11.1	1.35	5.22	4.22	8.01	4.04	3.43	13.02	3.18	4.25	5.48	3.86	10.86	10.17	16.44
0.64	0.46	3.55	0.05	6.7	8.72	12.62	10.93	1.13	4.89	4.1	7.96	4.27	3.34	13.07	2.9	4.09	5.18	3.88	10.77	10.16	16.25
0.99	0.65	3.69	0.38	6.92	9.06	13.07	11.45	1.47	5.35	4.49	8.31	4.34	3.72	13.36	3.29	4.55	5.62	4.17	11.4	10.64	16.52
0.26	-0.15	3.08	-0.32	6.26	8.62	12.52	10.85	0.69	4.76	3.66	7.51	3.79	2.91	12.42	2.4	3.91	5.02	3.38	10.57	9.98	15.91
0.76	0.57	3.74	0.25	6.76	9.05	12.73	11.33	1.33	5.45	4.38	7.89	4.29	3.29	13.05	2.89	4.43	5.44	3.95	11.19	10.76	16.46
1.04	0.66	3.75	0.36	6.93	9.13	13.04	11.3	1.44	5.45	4.44	8.15	4.35	3.63	13.29	3.16	4.55	5.64	4.26	11.39	10.5	16.64
0.92	0.52	3.6	0.17	6.74	8.8	12.75	11.18	1.3	5.39	4.29	7.91	4.26	3.45	12.87	3	4.44	5.31	4.02	10.9	10.31	16.36
0.96	0.58	3.63	0.42	6.94	9.23	13.29	11.59	1.49	5.69	4.34	8.42	4.44	3.64	13.32	3.13	4.64	5.55	4.26	11.48	10.57	16.77
1.31	0.85	4.12	0.62	7.29	9.54	13.51	12.01	1.8	5.96	4.74	8.7	4.59	3.87	13.74	3.47	4.92	5.81	4.65	11.76	10.87	17.24
1.14	0.76	3.95	0.29	7.08	9.35	13.44	11.62	1.52	5.79	4.69	8.44	4.62	3.67	13.54	3.1	4.74	5.63	4.35	11.54	10.96	17.23
0.59	0.08	3.3	-0.3	6.6	8.92	12.79	11.18	1.07	5.19	4.17	8.03	4.07	3.03	12.88	2.7	4.16	5.23	3.89	11.24	10.36	16.34
0.99	0.73	3.86	0.24	7.33	9.61	13.68	12.09	1.46	5.92	4.7	8.83	4.54	3.76	13.84	3.16	4.8	5.71	4.41	11.9	11.05	17.44
1.34	0.75	4.16	0.38	7.55	9.82	13.94	12.29	1.7	5.99	4.82	8.85	4.99	3.9	14.23	3.46	4.96	5.91	4.67	11.96	11.32	17.86
1.36	0.95	4.09	0.4	7.42	9.62	13.75	12.04	1.7	6.2	4.83	9.01	4.82	4	14.04	3.57	5.02	6.01	4.7	12.08	11.34	17.69
1.22	0.81	4.11	0.3	7.33	9.69	13.81	12.33	1.68	6.19	4.89	8.96	4.72	3.92	14.15	3.14	4.99	5.88	4.85	12.19	11.33	17.68
0.44	-0.04	3.22	-0.49	6.68	8.95	12.9	11.2	0.8	5.27	4.12	8.4	4.07	3.01	13.29	2.55	4.17	5.25	3.98	11.44	10.72	16.92
1.21	0.66	4.09	0.15	7.51	9.9	14.06	12.48	1.67	6.23	4.99	9.17	4.77	4.07	14.34	3.15	4.89	6.04	4.51	12.39	11.48	18.52
0.64	0.24	3.68	-0.37	7.08	9.92	13.94	12.17	1.23	5.8	4.51	8.72	4.24	3.49	14.26	2.9	4.58	5.46	4.25	12.14	11.3	17.92
1.23	0.75	4.19	0.14	7.59	10.04	14.29	12.72	1.6	6.29	5.11	9.37	5.07	4.05	14.58	3.3	5.12	6.15	4.88	12.73	11.84	18.59
1.12	0.54	4.17	0.06	7.1	9.73	13.91	12.39	1.36	6.16	4.94	9.17	4.72	3.86	14.32	3.27	5.02	6.09	4.69	12.2	11.39	17.92
1.09	0.58	4.08	0.21	7.7	10.19	14.26	12.72	1.6	6.48	5.1	9.46	4.99	3.97	14.55	3.29	5.13	6.12	4.81	12.69	11.67	18.58
1.13	0.62	4.23	-0.02	7.54	10.12	14.68	12.69	1.56	6.41	5.04	9.51	4.8	3.95	14.57	3.31	5.05	6.05	4.62	12.49	11.83	18.52
1.43	0.85	4.61	0.38	7.8	10.26	14.65	12.61	1.83	6.84	5.21	9.9	5.17	3.94	14.74	3.32	5.25	6.27	4.89	12.51	11.79	18.32
1.44	0.91	4.41	0.18	7.67	10.1	14.39	12.61	1.86	6.58	5.18	9.52	5.2	3.97	14.51	3.3	5.18	6.21	4.97	12.33	11.93	18.07
1.65	1.02	4.68	0.36	7.63	10.22	14.48	12.69	1.81	6.63	5.32	9.84	5.26	4.26	14.44	3.44	5.28	6.47	4.98	12.48	11.92	18.27
1.54	0.77	4.51	0.27	7.51	10.1	14.32	12.52	1.75	6.61	5.11	9.63	5.09	4.05	14.43	3.25	5.06	6.23	4.85	12.46	11.69	18.22
1.05	0.42	4.25	-0.32	7.21	9.91	14.24	12.41	1.39	6.48	5.01	9.37	4.73	3.68	14.42	2.99	4.86	5.89	4.8	12.52	11.52	18.46
1.78	1.23	4.94	0.45	7.9	10.68	14.48	13.04	2.07	6.99	5.82	10.2	5.47	4.29	15.27	3.45	5.49	6.4	5.35	13.21	12.1	19.02
1.83	1.16	5.02	0.33	7.91	10.58	14.84	13.26	1.96	7.22	5.57	10.07	5.37	4.32	14.97	3.55	5.52	6.65	5.19	13.09	12.21	18.76
2.18	1.39	5.25	0.62	8.25	11.01	15.02	13.4	2.24	7.4	6	10.43	5.82	4.59	15.4	3.9	5.77	6.85	5.49	13.44	12.35	19.32
2.1	1.36	5.43	0.66	8.29	10.82	15.55	13.45	2.19	7.45	5.92	10.54	5.7	4.54	15.4	3.92	5.88	6.84	5.61	13.39	12.38	19.43
2.14	1.45	5.68	0.62	8.57	11.25	15.47	13.52	2.28	7.77	6.11	10.73	5.93	4.74	15.49	3.91	5.93	6.9	5.79	13.65	12.44	19.57
2.08	1.31	5.51	0.44	7.97	10.82	15.14	13.44	2.17	7.41	5.94	10.71	5.66	4.5	15.27	3.75	5.71	6.55	5.6	13.32	12.29	19.23
2.08	1.32	5.7	0.42	8.03	11.2	15.39	13.4	2.3	7.37	6.03	10.61	5.74	4.48	15.46	3.73	5.69	6.78	5.73	13.77	12.61	19.73
1.74	0.89	5.39	0.05	7.63	10.53	14.68	13.13	1.67	7.04	5.75	10.25	5.38	4	15.14	3.3	5.34	6.38	5.4	13.68	12.23	19.24
2.16	1.22	5.94	0.27	8.23	11.16	15.28	13.72	2.02	7.63	5.99	10.84	5.47	4.47	15.62	3.66	5.74	6.68	5.78	14.16	12.46	20.37
2.32	1.59	6.32	0.65	8.37	11.52	15.87	13.95	2.21	8.04	6.41	11.26	6.05	4.82	16.26	4.11	6.03	6.98	6.06	14.43	12.88	20.44
2.51	1.65	6.48	0.75	8.35	11.56	15.93	14.19	2.34	8.12	6.47	11.18	6.02	4.84	16.1	3.86	6.2	7.12	6.24	14.77	12.91	20.73
2.21	1.38	6.17	0.36	8.17	11.21	15.52	13.8	2.14	7.8	5.99	10.67	5.82	4.37	15.97	3.54	5.84	6.88	5.91	14.25	12.68	19.85
2.27	1.38	6.35	0.42	8.3	11.3	15.53	13.68	2.09	7.96	6.28	11	5.83	4.52	16.12	3.34	5.82	6.74	6	14.08	12.74	20.34
2.56	1.57	6.69	0.61	8.51	11.4	15.7	13.78	2.34	8.02	6.56	11.09	6.08	4.65	15.96	3.66	6.18	7.08	6.12	14.36	12.8	20.45
2.63	1.59	6.69	0.54	8.32	11.34	15.59	13.99	2.26	8.03	6.56	11.28	6.1	4.7	16	3.66	5.97	6.95	6.16	14.35	12.89	20.45
2.86	1.83	7.32	0.71	8.75	11.92	16.08	14.29	2.59	8.35	6.8	11.65	6.23	4.83	16.45	4.02	6.4	7.12	6.46	14.76	13.32	20.58
3.14	2.12	7.64	0.88	9.07	12.1	15.93	14.26	2.6	8.49	6.91	11.97	6.5	5.12	16.76	4.21	6.58	7.37	6.62	14.89	13.41	20.81
2.77	1.79	7.53	0.57	8.45	11.61	15.99	14.04	2.52	8.26	6.47	11.42	6.14	4.7	16.2	3.71	6.08	7.07	6.42	14.65	13.03	20.42
3.14	2.13	7.93	0.86	8.77	12.05	16.33	14.47	2.74	8.65	7.04	11.74	6.47	5.03	16.88	4.07	6.47	7.22	6.69	15.02	13.3	20.91
3.12	2.11	7.77	0.86	8.54	11.8	15.87	14.08	2.59	8.61	6.86	11.64	6.3	5.04	16.35	4.04	6.45	7.25	6.49	14.78	13.23	20.6
3.26	2.46	8.46	1.01	9.02	12.28	16.41	14.58	2.86	8.88	7.22	12.21	6.67	5.25	16.84	4.22	6.4	7.45	7	15.43	13.43	21.19
3.31	2.44	8.41	1.07	8.76	12.14	15.89	14.52	2.93	8.41	6.99	11.99	6.4	5.2	16.6	4.19	6.51	7.33	6.9	15	13.37	20.87
3.23	2.06	8.3	0.66	8.77	12.09	16.26	14.28	2.7	8.64	7.09	11.8	6.42	5.18	16.49	3.84	6.29	7.36	6.84	15.04	13.28	20.78
3.47	2.17	8.75	0.77	8.82	11.94	15.95	14.44	2.72	8.78	6.87	12.17	6.54	5.22	16.35	4.09	6.43	7.35	6.76	15.09	13.1	21.06
3.15	2.08	8.86	0.62	8.58	12.15	16.14	14.35	2.71	8.58	6.95	11.87	6.25	4.87	16.41	3.86	6.33	6.98	6.48	15.06	13.1	20.78
3.35	2.04	8.89	0.54	8.76	12.3	16.43	14.56	2.56	8.79	7.12	12.19	6.43	4.98	16.82	3.81	6.37	7.16	6.72	15.34	13.36	21.27
3.57	2.5	9.39	0.85	8.99	12.39	16.4	14.87	3.03	9.08	7.5	12.59	6.67	5.2	16.97	4.01	6.61	7.53	7.08	15.48	13.63	21.31
3.72	2.23	9.49	0.74	8.83	12.24	16.22	14.38	2.69	8.85	7.2	12.16	6.3	5.03	16.6	3.8	6.35	7.33	6.8	15.16	13.32	20.77
3.38	1.96	9.36	0.39	8.58	12.22	16.39	14.14	2.38	8.51	7.07	12.01	6.35	4.77	16.54	3.41	6.08	6.96	6.47	15.12	13.23	20.75
3.78	2.55	10.1	0.92	9.19	12.65	16.51	14.34	3.01	9.22	7.38	12.48	6.71	5.34	16.78	4.15	6.65	7.48	6.95	15.34	13.7	21.08
4.13	2.68	10.19	1	9.21	12.58	16.78	14.51	3.22	9.39	7.66	12.68	6.86	5.53	16.93	4.01	6.81	7.53	7.11	15.33	13.56	20.95
3.95	2.71	10.17	0.95	8.8	12.33	16.37	14.39	2.92	9.08	7.45	12.45	6.68	5.27	16.51	3.97	6.51	7.28	6.79	14.96	13.39	20.52
3.9	2.46	10.31	0.85	8.91	12.04	16.16	14.2	3.03	8.94	7.34	12.17	6.44	5.13	16.41	3.83	6.48	7.2	6.9	14.97	13.11	20.2
4.07	2.58	10.33	0.71	8.73	12.28	16.12	14.27	2.76	9.04	7.41	12.2	6.55	5.15	16.33	3.85	6.29	7.14	6.96	15.13	13.36	20.63
4.07	2.71	10.81	0.88	8.97	12.47	16.55	14.62	3.02	9.35	7.71	12.4	6.73	5.17	16.6	4.07	6.56	7.34	7.12	15.45	13.4	20.84
4.16	2.8	11.1	1.05	8.99	12.62	16.32	14.48	3.02	9.39	7.64	12.5	6.78	5.34	16.8	3.96	6.58	7.35	7.4	15.51	13.56	20.89
4.23	2.68	11.44	0.8	8.85	12.4	16.14	14.28	3.05	9.22	7.73	12.2	6.48	5.21	16.66	3.76	6.44	7.23	7.03	15.41	13.33	20.68
4.25	2.8	11.39	1.06	9.01	12.36	16.05	14.39	3	9.42	7.68	12.39	6.63	5.12	16.63	3.85	6.51	7.3	7.07	15.51	13.14	20.74
3.97	2.42	11.2	0.55	8.42	12.01	15.96	14.08	2.67	8.93	7.43	11.96	6.17	4.86	16.42	3.41	6.01	6.79	6.82	15.3	13.01	20.55
4.59	2.99	12.08	1.09	9.13	12.72	16.6	14.79	3.16	9.51	7.93	12.91	6.95	5.42	16.77	4.18	6.56	7.57	7.43	16.19	13.62	21.2
4.66	2.96	12.14	1	9.01	12.71	16.25	14.83	3.15	9.59	8.07	12.7	6.71	5.35	17	3.94	6.56	7.39	7.57	16.03	13.68	21.22
4.68	3.3	12.47	1.36	9.13	12.78	16.45	14.78	3.48	9.75	8.13	12.85	6.92	5.66	16.99	4.26	6.72	7.42	7.79	16.11	13.7	21.32
4.54	3	12.58	0.87	8.71	12.47	16.22	14.33	2.93	9.32	7.85	12.57	6.36	5.21	16.8	3.75	6.36	7.13	7.34	16.09	13.29	20.94
4.81	3.13	12.83	1.18	9.13	12.86	16.93	15.1	3.31	9.67	8.17	12.97	6.8	5.4	17.06	4.08	6.71	7.53	7.69	16.38	13.69	21.54
5.06	3.17	13.42	1.26	9.17	12.65	16.41	14.49	3.38	9.71	8.11	13.02	6.83	5.33	17.02	4.1	6.68	7.31	7.7	16.18	13.61	21
4.98	3.29	13.1	1.17	9.01	12.7	16.32	14.72	3.23	9.74	8.18	13.08	6.87	5.33	16.87	4.11	6.67	7.47	7.39	15.95	13.44	21.09
5.46	3.67	13.63	1.48	9.3	13.02	16.75	14.84	3.57	10	8.55	13	7.11	5.69	17.4	4.21	7.06	7.75	7.93	16.29	13.79	20.86
5	3.09	13.35	1.07	9.08	12.64	16.42	14.43	3.25	9.7	8.26	12.75	6.8	5.32	16.73	3.87	6.43	7.13	7.51	15.77	13.17	20.47
