"Buddleja_davidii_C2__P_1"	"Buddleja_davidii_C2__P_2"	"Buddleja_davidii_C2__P_3"	"Buddleja_davidii_C2__P_4"	"Impatiens_glandulifera_C2__Lp_1"	"Impatiens_glandulifera_C2__Lp_2"	"Impatiens_glandulifera_C2__Pp_3"	"Impatiens_glandulifera_C2__Pp_4"	"Impatiens_glandulifera_C2__Ep_5"	"Impatiens_glandulifera_C2__Lp_6"	"Impatiens_glandulifera_C2__Lp_7"	"Impatiens_glandulifera_C2__Pp_8"	"Impatiens_glandulifera_C2__Pp_9"	"Impatiens_glandulifera_C2__Lp_10"	"Impatiens_glandulifera_C2__Lp_11"	"Impatiens_glandulifera_C2__Pp_12"	"Impatiens_glandulifera_C2__Pp_13"	"Impatiens_glandulifera_C2__Pp_14"	"Impatiens_glandulifera_C2__Lp_15"	"Impatiens_glandulifera_C2__Lp_16"	"Impatiens_glandulifera_C2__Pp_17"	"Impatiens_glandulifera_C2__Pp_18"
5.39	1.52	22.6	9.15	16.56	26.17	26.47	18.65	13.28	19.95	22.3	29.3	16.23	22.83	18.48	0.17	18.99	9.48	15.19	18.28	19.86	41.84
15.24	17.83	24.01	15.26	17.8	27.42	29.77	23.27	11.4	10.19	20.36	23.47	25.83	21.84	28.74	15.35	19.25	11.89	17.24	23.02	38.41	39.69
11.97	18.86	26.65	18.81	25.66	31.73	28.29	25.37	18.27	28.08	21.49	27.71	24.69	19.84	31.49	21.71	18.39	14.26	20.45	21.29	25.34	42.04
-1.58	0.14	4.21	0.27	6.63	10.06	12.47	15.33	7.24	6.51	7.81	9.31	-4.98	7.88	8.35	-0.25	2.8	-9.71	8.45	6.85	7.65	32.58
-2.2	-4.11	18.69	1.51	5.95	8.89	19.77	1.48	-7.11	6.29	7.45	14.3	3.7	-5.66	16.15	1.13	-1.01	9.22	10.09	19.87	23.53	29.45
19.07	14.46	25.92	8.32	23.41	27.29	28.74	20.71	14.6	20.82	23.3	28.74	15.69	19.69	14.74	15.1	17.51	21.35	29.72	25.84	29.03	43.53
37.96	38.09	46.84	45.06	49.86	51.22	49.17	52.57	46.18	45.22	52.73	55.31	46.76	41.56	53.33	39.98	47.65	47.95	42.98	44.09	51.24	62.37
32.74	29.49	37.47	29.18	38.2	37.93	42.47	45.97	29.8	30.36	34.67	41.22	39.2	38.14	43.51	38.9	29.08	31.5	36.27	42.12	41.45	50.5
23.48	15.6	29.56	10.63	22.17	25.54	30.24	29.57	16.76	22.84	20.79	33.11	21.59	21.27	36.38	14.68	22.8	29.07	28.59	27.35	23.96	34.6
-9.92	0.27	-7.9	-14.44	-9.29	-1.04	-8	-0.62	-11.44	-1.25	-5.59	4.58	-6.56	-7.78	4.3	-15.14	-15.36	-6.39	0.56	2.18	3.53	17.68
14.65	0.8	12.39	4.7	15.85	18.43	23.75	17.77	1.89	9.1	-0.54	30.48	5	18.13	23.94	9.79	5.8	4.94	4.86	17.49	13.36	40.52
9.27	7.84	23	10.04	19.53	14.48	19.48	19.56	10	11.78	14.69	19.92	17.95	14.52	20.34	10.4	2.37	9.43	13.51	21.87	22.08	34.23
37.63	25.48	35.92	27.72	42.11	35.89	35.8	34.5	36.37	37.6	33.53	43.3	32.45	30.18	43.8	31.11	34.17	35.42	34.33	41.27	44.59	47.91
18.46	14.6	29.57	17	25.54	20.45	26.31	25.33	19	26.68	23.3	30.8	25.22	19.59	21.27	18.62	19.27	28.53	34.45	33.82	36.84	43.04
9.56	12.52	21.42	0.32	11.41	25.75	15.61	16.57	0.37	15.91	18.97	16.32	5.95	22.61	18.29	6	15.14	12.43	21.85	24.14	12.49	27.67
9.84	13.51	31.33	-4.59	26.95	30.41	27.66	26.8	16.2	23.25	21.97	23.2	20.85	24.07	33.91	19.33	11.48	21.67	28.2	23.48	25.4	47.67
0.44	-11.59	2.65	-6.43	1.94	3.18	5.28	3.34	-5.51	-4.37	-5.55	3.91	-3.86	-5.58	7.36	-0.15	-3.83	3.94	-2.24	-2.98	-5.8	21.31
18.93	20.57	31.06	20.24	28.17	22.26	24.89	20.58	19.55	25	26.63	31.78	28.17	18.71	25.36	13.97	19.22	28.06	21.98	27.32	23.29	32.76
36.08	34.64	38.77	33.99	39.72	48.41	42.83	38.33	25.76	38.21	39.39	40.2	34.55	38.77	40.01	34.8	41.03	36.46	41.74	41.84	43.78	48.42
7.44	2.8	24.62	-1.06	19.09	17.75	25.79	20.45	10.28	14.3	8.05	27.8	12.3	-2.4	26.15	4.99	9.47	3.41	18.35	22.87	38.9	43.06
16.58	14.93	32.32	21.51	26.29	27.84	31.55	26.33	19.51	18.09	24.16	19.45	30.59	22.81	34.71	17.36	21.57	25.87	25.27	25.22	26.69	40.33
-9.65	-11.77	-8.61	-15.96	-8.44	-0.31	-3.22	-3.7	-13.04	-2.98	-3.39	12.13	-0.18	-4.28	2.2	-13.1	-0.34	-7.33	-11.33	6.07	-4.5	24.66
-6.71	4.92	10.46	2.29	8.32	2.53	-5.61	6.6	-0.32	4.1	2.07	9.58	4.23	-2.4	11.52	1.28	1.5	1.07	7.09	10.12	4.01	27.82
23.8	17.89	30.93	17.11	28.07	24.04	33.56	29.49	17.72	17.13	27.53	27.58	19.03	19.78	33.53	20.3	24.75	31.32	25.44	30.34	34.27	40.31
9.94	14.88	19.99	10.38	16.99	22.09	17.7	18.05	8.03	13.9	21.14	27.08	18.27	13.43	20.05	10.11	7.47	16.61	20.3	29.21	18.19	31.91
0.52	8.21	14.1	-10.68	17.12	10.44	15.35	11.36	5.43	12.73	15.28	13.35	19.6	5.55	14.63	3.57	6.13	15.75	9.98	15.61	10.56	27.28
11.39	18.89	24.6	14.48	25.18	33.95	17.62	32.38	13.15	20.22	21.48	25.38	25.01	22.13	23.38	17.02	17.62	22.92	21.5	29.8	23.82	38.74
25	19.65	23.65	12.57	22.02	31.14	29.71	31.12	17.1	31.85	32.12	28.3	28.77	21.97	28.55	19.8	26.2	25.64	26.65	28.78	29.9	41.49
1.66	-8.94	1.24	-4.87	9.18	4.32	5.79	14.27	-16.93	-1.32	2.89	9.31	4.35	-2.68	4.83	-1.36	-3.07	2.48	-2.33	3.25	7.27	14.31
20.01	11.7	38.59	16.57	19.76	30.76	31.14	32.09	23.44	27.94	31.59	41.85	23.76	29.24	33.61	19.91	18.75	29.38	35.19	26.82	28.69	40.65
23.96	18.22	30.45	18.32	28.1	29.55	25.5	29.22	20.6	27.01	20.57	40.59	24.78	29.68	35.29	23.96	26.74	28.22	20.82	31.29	27.57	41.1
6.81	13.75	29.11	9.87	17.19	19.86	28.69	19.23	10.78	21.35	19.68	27.03	20.15	19.22	21	18.53	7.34	16.98	11.37	25.72	21.19	26.39
13.57	12.9	24.37	5.17	14.78	16.98	15.71	10.52	5.46	12.04	9.71	25.28	17.92	8.04	17.49	7.8	10.85	17.79	10.97	32.04	20.47	27.89
23.23	18.87	33.12	16.4	25.85	31.31	31.92	25.97	14.67	26.65	29.85	39.25	26.42	25.8	31.4	9.22	24.04	33.39	24.8	30.3	32.22	42.11
-0.42	-7.8	9.78	-2.18	7.61	26.23	17.04	29.16	0.13	15.55	14.45	26.65	14.39	-3.4	20.66	3.27	-2.91	-1.47	9.85	22.24	8.21	24.22
24	30.38	35.33	27.29	30.84	30.98	30.15	34.07	21.26	28.83	30.65	38.93	27.17	31.66	44.97	29.92	27.12	33.04	31.95	34.93	35.48	46.72
-18.07	-9.57	5.15	-3.57	7.19	-0.75	1.03	-1.4	-7.41	-9.13	-10.87	6.49	1.11	9.66	10.21	-8.82	-7.97	-1.02	-0.74	13.9	-0.71	25.91
-3.95	-7.03	6.1	-6.45	-3.21	5.71	3.59	2.76	-6.49	-6.29	-3.09	-2.56	4.9	-0.67	2.93	-1.64	-9.11	-1	-1.33	5.19	3.36	15.22
8.67	8.02	25.44	5.78	18.25	22.94	17.74	29.27	7.09	10.43	23.11	26.99	26.87	9.56	14.79	10.94	15.56	3.69	11.07	23.07	24.42	31.21
15.02	10.12	29.77	1.29	13.55	9.45	19.9	24.29	7.55	19.14	18.3	30.59	17.94	7.37	19.96	12.99	10.85	22.27	14.66	18.05	22.22	30.45
-20.65	-35.71	-16.25	-15.24	-28.16	-6.83	-1.36	-4.51	-28.63	-16.63	-14.13	2.12	-16.28	-14.5	-31.35	-34.58	-41.7	-19.53	-21.37	-9.93	-9.79	-2.07
-10.8	-13.89	18.13	-10.45	2.97	3.27	4.65	4.88	-22.47	-3.3	-10.56	12.21	4.73	-2.48	6.79	-8.83	-5.54	-7.28	-0.66	0.36	-6.57	18.2
24.02	22.86	36.36	14.87	25.54	27.57	35.06	28.19	19.73	24.06	31.89	34.24	29.64	24.09	34.94	27.79	18.95	24.36	25.86	35.95	31.19	48.2
-19.64	-23.81	-7.37	-18.24	-7.94	-12.4	-5.88	-3.47	-20.88	-11.47	-10.84	-10.5	-7.94	-24.83	-3.98	-28.52	-20.1	-20.28	-17.38	-13.66	-7.48	2.03
6.85	3.44	12.7	0.93	13.16	9.65	16.76	7.73	0.72	13.15	10.59	18.18	15.3	4.86	7.76	-3.61	5.75	7.34	8.32	18.48	8.09	25.91
4.66	4.84	8.67	6.02	3.17	21.39	12.9	11.18	-0.56	11.99	2.18	18.27	7.02	-4.09	8.44	4.18	8.21	9.66	-0.1	14.9	13.74	16.5
20.97	22.54	32.26	11.18	20.15	30.63	26.4	31.13	17.44	19.61	33.6	31.74	32.94	26.66	28.46	21.06	14.14	18.71	12.26	20.08	29.7	41.77
-5.64	-14.45	15.72	-13.93	-0.23	6.04	-0.42	8.49	-9.84	-1.08	-2.53	18.93	-4.26	-10.41	5.1	-12.89	-7.19	-3.96	7.95	15.59	5.95	22.09
8.44	4.63	12.04	-4.89	8.05	11.12	9.58	16.12	-6	8.48	5.36	13.46	12.56	0.03	16.52	-2.96	9.85	1.73	11.04	12.13	7.43	17.4
15.11	10.46	34.97	10.4	21.31	27.79	28.3	29.46	17.66	15.15	28.5	32.84	18.28	34.17	29.05	26.79	23.31	24.48	23.97	37.01	29.52	44.38
15.68	9.41	26.65	11.87	21.98	16.62	19	18.5	5.46	20.26	21.44	30.79	17.45	7.6	30.74	14.77	16.08	24.16	6.04	26.24	16.95	41.23
7.51	14.69	33.47	15.9	24.03	22.27	20.56	24.13	18.59	20.74	26.24	22.51	20.33	18.81	32.33	20.64	16.52	29.31	23.53	25.44	18.24	33.17
11.93	16.33	19.19	12.31	21.52	21.65	20.37	20.45	10.73	16.88	20.83	21.54	18.88	11.41	14.9	12.15	12.59	11.65	15.86	18.01	25.71	29.44
25.29	27.84	40.38	28.86	31.69	42.56	37.58	41.22	29.63	30.61	35.54	44.26	34.91	31.22	40.84	21.83	34.62	35.45	33.33	42.27	37.72	50.99
0.61	0.5	20.18	-4.79	11.57	10.9	11.42	12.83	10.09	6.34	12.1	10.76	2.53	-4.35	13.34	0.42	3.87	3.6	11.19	18.03	12.14	29.38
10.13	2.68	17.65	2.22	14.2	18.87	16.58	-0.34	-0.48	-0.01	8.97	23.72	18.02	8.75	17.51	5.72	0.15	6.72	4.79	10.59	13.61	24.07
18.84	19.35	30.05	15.16	24.07	21.39	26.17	18.91	23.88	21.59	19.44	26.62	23.94	10.53	25.87	23.32	22.8	24.04	25.29	26.41	22.32	34.11
20.65	21.28	25.51	20.98	21.57	21.39	20.08	23.52	16.39	21.64	29.29	27.67	9.84	14.33	26.04	12.26	18.25	22.26	28.83	19.27	25.81	36.66
8.82	2.96	23.93	5.72	22.89	35.77	16.18	25.96	9.69	14.51	17.61	26.35	17.05	15.87	17.44	5.9	22.43	23.55	33.47	30.47	20.68	29.43
-7.81	-10.96	5.3	-18.52	6.01	14.86	-4.03	-1.53	-9.32	-4.9	-3.45	3.36	-2.85	-4.49	10.62	-5.13	-2.54	-2.35	0.92	-2.29	2.05	11.46
22.6	21.25	34.08	30.28	27.46	36.44	33.2	35.61	17.93	22.28	21.36	29.72	30.14	17.59	32.35	24.2	26.96	31.52	28.87	31.13	32.81	44.12
32.57	29.02	40.66	27.04	30.77	35.55	37.3	31.94	27.63	33.28	31.03	35.75	35.45	32.39	37.38	27.26	37.13	39.02	35.73	34.66	30.89	51.14
13.79	14.31	22.57	16.49	20.93	24.98	26.66	27.2	5.06	24.35	20.57	28.91	24.16	22.15	37.44	12.93	17.76	19.7	20.81	28.25	23.09	41.31
8.97	-0.92	22.44	-2.9	14.55	23.44	10.35	2.71	2.99	13.26	-5.55	14.16	14.13	11.08	9.97	-2.71	10.46	5.91	8.06	17.12	7.02	30.57
9.34	6.76	18.61	7.97	14.24	14.61	10.02	19.32	10.49	15.02	14.5	19.11	10.69	21.38	13.43	5.29	4.5	9.05	9.68	31.65	8.31	31.03
7.89	11.8	29.53	9.51	19.17	13.62	26.33	19.3	10.17	22.01	9.69	23.21	28.27	15.45	14.08	4.77	9.67	16.64	19.34	28.99	23.19	33.42
-4.47	-0.65	16.63	-6.19	1.63	16.22	18.5	0.06	-3.12	-1.4	4.72	18.03	-4.39	5.38	9.16	-7.14	2.49	16.43	10.09	17.9	10.34	27.49
38.11	29.17	42.72	28.95	35.24	43.98	43.55	34.87	38.16	43.26	37.15	41.51	35.97	35.18	43.99	33.57	39.65	36.01	38.07	39.31	45.55	49.59
14.74	16.25	25.75	18.75	20.53	20.11	30.95	25.28	10.39	22.52	17.71	33.02	27.01	19.44	33.94	10.74	18.17	26.01	26.2	28.86	21.82	31.71
1.04	-4.21	5.37	-5.07	6.83	-3.28	13.98	9.64	-5.23	5.23	2.14	15.75	7.23	10.81	24.5	-2.52	3.51	8.96	12.64	18.6	7.62	23.61
-25.63	-31.41	2.85	-16.87	-6.69	-12.03	-18.94	-29.06	-30.98	2.95	-6.12	-4.15	-3.88	-4.77	-1.57	-16.12	-28.59	-31.53	-5	-5.57	-14.31	7
18.62	7	20.15	6.09	17.03	20.42	16.91	21.71	6.51	12.84	16.93	25.5	17.12	15.12	27.55	16.37	2.98	22.57	17.26	22.47	23	33.98
19.94	16.04	30.63	18.72	29.25	32.03	29.34	28.89	16.35	24.12	26.12	35.11	27.18	24.48	27.43	17.93	17.93	20.47	28.08	30.17	20.57	36.12
6.01	2.07	13.94	7.29	15.42	16.1	21.89	17.34	1.19	12.02	7.68	13.63	10	15.68	16.58	1.93	0.12	10.43	16.19	18.81	15.73	26.41
1.28	3.89	7.82	-6.66	5.47	4.14	7.47	7.11	-1.23	11.95	4.72	6	5.84	3.09	10.64	0.33	-2	4.71	10.86	4.25	16.77	23.69
19.42	11.78	19.58	6.35	16.87	17.18	20.93	17.41	14.27	12.24	13.48	18.15	13.94	11.69	21.05	7.51	8.1	16.83	14.59	27.54	21.49	30.95
-9.36	-9.38	-1.97	-14.58	-3.89	1.31	4.03	4.33	-9.59	-10.94	0.26	0.61	-9.69	-10.61	-0.29	-9.84	-9.93	-2.7	3.51	4.11	-3.03	13.11
5.97	17.16	20.56	10.45	22.65	20.28	15.13	15.87	13	15.91	12.39	21.95	17.95	13.18	19.88	23.26	9.29	14.82	13.06	26.57	13.32	30.27
19.56	18.56	23.17	13.9	20.28	14.06	20.16	27.2	11.51	15.28	13.44	21.59	18.62	11.22	17.32	11.84	12.29	16.77	14.52	21.88	23.01	29.95
1.3	12.54	23.5	9.87	12.87	16.8	22.25	11.56	0.91	11.6	5.91	18.56	10.8	9.57	21.94	7.06	15.96	17.68	16.81	27.72	9.36	32.19
0.51	-1.84	10.24	-2.99	3.36	5.29	7.29	5.03	-1.39	4.05	-5.33	9.39	3.99	4.24	1.17	-0.66	-4.72	2	7.25	7.66	7.42	18.72
2.94	6.61	20.42	5.93	13.96	17.2	15.4	16.82	6.67	12.18	11.45	15.4	12.76	9.59	22.87	1.74	10.87	10.67	17.14	23.67	14.67	31.73
-6.3	-3.25	14.85	-1.44	-2.9	2	5.03	0.78	-4.24	0.37	4.15	11.5	1.28	-2.36	8.64	-4.51	4.06	5.49	0.67	3.74	0.16	12.66
0.09	1.7	11	-3.18	7.39	9.54	12	2.95	-4.52	4.65	0.73	11.93	6.09	1.51	14.7	2.39	5.86	1.78	2.85	8.27	5.53	21.34
