"Wavelength_A__P_"	"Impatiens_glandulifera_A__Er_1"	"Impatiens_glandulifera_A__Lr_2"	"Impatiens_glandulifera_A__Lr_3"	"Impatiens_glandulifera_A__Lr_4"	"Impatiens_glandulifera_A__Er_5"	"Cirsium_arvense_A__P_1"	"Convolvulus_sepium_A__P_1"	"Convolvulus_sepium_A__P_2"	"Convolvulus_sepium_A__P_3"	"Convolvulus_sepium_A__P_4"	"Rubus_caesius_A__P_1"	"Rubus_caesius_A__P_2"	"Saponaria_officinalis_A__P_1"	"Trifolium_repens_A__P_1"	"Trifolium_repens_A__P_2"
384.862	27.38	13.36	13.93	13.1	2.14	2.47	10.45	2.94	2.74	3.77	4.65	6.53	29.16	1.69	0.01
385.226	27.46	13.48	13.7	13.21	2.14	2.42	10.44	3.07	2.81	3.85	4.62	7	29.5	1.79	0.08
385.59	27.45	13.41	13.89	13.01	1.89	2.22	10.22	2.93	2.52	3.68	4.38	6.46	30.28	1.83	-0.03
385.954	28.31	13.89	14.08	13.6	2.5	2.62	10.37	3.41	3.11	3.99	4.63	6.98	31.15	1.75	0.21
386.318	28.08	13.81	14.14	13.91	2.15	2.57	10.52	3.46	3.25	3.81	4.75	6.86	31.79	1.84	0.14
386.682	28.11	13.91	14.43	13.73	2.22	2.71	10.19	3.47	3.11	3.89	4.62	7.02	32.3	1.67	0.15
387.046	28.18	14.44	14.42	14.24	2.51	2.76	10.58	3.56	3.49	4.08	4.98	7.42	33.32	1.91	0.25
387.41	28.83	14.31	14.83	14.48	2.46	2.86	10.6	3.61	3.67	4.16	5	7.32	34.58	1.92	0.09
387.773	29.64	14.78	15.28	14.99	2.52	3.28	11.04	4.08	3.93	4.6	5.09	7.86	35.7	1.98	0.23
388.137	29.84	15.12	15.51	15.18	2.59	3.09	10.94	4.26	3.75	4.47	5.25	7.54	36.63	1.96	0.26
388.501	30.01	14.8	15.43	15.57	2.82	3.13	11.24	4.61	4.4	4.72	5.51	8.15	37.53	2.04	0.31
388.864	30.15	15.28	15.51	15.56	2.67	3.2	11.33	4.29	4.41	4.36	5.17	8.11	38.55	1.96	0.27
389.228	30.14	15.23	15.25	15.4	2.41	3.07	11.13	4.71	4.41	4.55	5.05	8.01	38.43	1.85	0.21
389.591	30.27	15.43	15.74	15.55	2.59	3.12	10.91	4.9	4.51	4.54	5.53	8.21	39.35	1.98	-0.13
389.955	29.88	15.3	15.46	15.51	2.86	3.3	11.01	4.88	4.45	4.75	5.35	8.12	39.98	1.8	0.1
390.318	29.9	15.28	15.53	15.82	2.55	3.47	10.99	5.28	4.81	4.72	5.59	8.49	39.84	2.12	0.23
390.682	30	15.17	15.52	15.66	2.81	3.64	10.87	5.41	4.91	4.95	5.35	8.51	39.72	1.87	0.15
391.045	30.21	15.45	15.9	15.97	2.94	3.78	11.08	5.78	5.27	4.89	5.71	8.65	40.43	2.29	0.27
391.408	31.06	16.03	16.66	17.01	3.12	4.26	11.39	6.44	5.88	5.61	6.08	9.37	42.11	2.36	0.73
391.772	31.87	16.31	16.93	17.38	3.3	4.46	11.65	6.31	5.77	5.71	6.12	9.34	43.81	2.47	0.28
392.135	32.59	16.91	17.3	17.5	3.19	4.6	12.05	6.74	6.17	5.72	6.6	9.63	45.75	2.44	0.32
392.498	32.76	17.05	17.23	17.66	3.11	4.33	12.1	6.7	6.27	5.6	6.21	9.67	46.96	2.24	0.15
392.861	32.31	17.04	17.34	17.8	3.38	4.49	12.26	7.06	6.59	6.04	6.43	9.68	47.08	2.49	0.28
393.224	32.14	16.86	17.54	18.13	3.13	4.64	12.22	7.43	7	6.06	6.61	9.89	47.37	2.31	0.26
393.587	33.18	17.59	17.86	18.67	3.89	5.12	12.79	8.39	7.62	6.72	6.9	10.54	48.78	2.55	0.87
393.95	32.4	17.08	17.35	18.14	3.09	4.55	12.31	7.76	7.12	6.4	6.32	10.15	48.67	2.05	0.03
394.313	33.95	17.9	18.1	19.32	3.91	5.42	12.8	9.01	8.02	7.06	7.02	10.93	50.86	2.75	0.57
394.676	33.88	17.81	18.08	19.35	3.49	5.01	13.07	8.74	8.26	6.75	6.78	10.86	51.86	2.34	0.07
395.039	34.74	18.17	18.81	19.66	3.62	5.34	13.67	9.27	8.46	7.4	6.98	11.18	53.66	2.32	0.19
395.402	35.26	18.83	19.49	20.62	4.17	5.96	14.5	9.97	9.35	8	7.55	11.94	56.19	2.9	0.58
395.765	35.29	19.31	19.19	20.89	4.15	6.19	14.79	10.41	9.83	8.34	7.83	11.89	56.76	2.82	0.66
396.128	35.22	18.87	19.38	20.89	4.23	6.28	15.02	10.81	9.98	8.23	7.77	12.04	58.06	2.69	0.43
396.49	34.94	18.4	19.21	20.7	4	6.04	14.82	10.93	10.06	8.4	7.64	12.07	57.44	2.7	0.49
396.853	35.12	18.84	19.26	21.18	3.93	5.77	14.67	11.21	10.64	8.54	7.59	12.15	58.95	2.43	0.27
397.216	35.32	19.35	19.71	21.41	4.35	6.66	15.5	11.9	11.31	9.2	8.02	12.62	59.98	2.74	0.79
397.578	35.46	19.34	19.68	21.52	4.23	6.84	15.77	12.35	11.78	9.42	8.01	12.8	60.14	2.74	0.81
397.941	34.98	19.24	19.3	21.25	3.72	6.04	15.21	12.33	11.57	9.3	7.51	12.48	59.96	2.17	-0.06
398.304	35.39	19.05	19.61	21.57	4.07	6.63	15.85	12.77	12.21	9.76	7.99	12.79	61.22	2.47	0.16
398.666	35.79	19.52	20.09	22.14	4.28	7.08	16.68	13.83	12.84	10.13	8.52	13.51	62.14	2.81	0.39
399.029	36.15	19.88	20.01	22.65	3.78	7.01	16.5	13.96	13.36	10.39	8.22	13.35	63.75	2.43	0.05
399.391	36.55	19.69	20.53	22.8	4.35	7.07	17.17	14.7	14.12	10.92	8.38	13.74	64.48	2.4	0.42
399.753	36.71	20.11	20.34	22.91	4.25	7.07	17.53	15.04	14.49	11.15	8.61	14.05	65.85	2.29	0.26
400.116	37.61	20.72	21.08	23.83	4.98	7.9	18.67	15.96	15.55	12.24	9.24	14.44	68.29	3.07	0.5
400.478	36.94	20.21	20.48	23.3	4.21	7.46	18.26	15.98	15.59	12.18	8.7	14.06	68.45	2.39	-0.15
400.84	36.92	20.07	20.63	23.18	4.17	7.58	18.72	16.27	16.08	12.09	8.79	14.24	68.94	2.17	0.11
401.202	36.71	20.19	20.74	23.95	4.64	7.87	19.18	17.23	16.7	12.63	8.99	14.47	69.24	2.31	0.1
401.565	37.16	20.33	20.97	24.28	4.87	8.28	20.04	17.93	17.35	13.44	9.32	15.1	69.5	2.81	0.56
401.927	36.88	20.21	20.82	24.28	4.38	8.19	19.88	18.13	17.87	13.39	8.96	14.58	70.55	2.03	-0.17
402.289	37.83	21.01	21.18	24.73	4.91	8.69	21.05	19.18	19.13	14.41	9.74	15.45	70.65	2.86	0.57
402.651	37.14	20.36	20.49	24.3	4.37	8.41	20.39	19.05	18.76	14.39	9.23	15.12	70.48	2.35	-0.05
403.013	36.88	20.3	21.11	24.35	4.71	8.25	20.93	19.73	19.46	14.62	9.48	15.1	70.6	2.46	0.01
403.375	36.64	20.48	21.06	24.76	4.7	8.77	21.6	20.39	20.22	15.17	9.62	15.53	70.76	2.55	0.02
403.737	37.11	20.65	21.17	24.81	5.07	9.01	22.21	21.21	21.19	16.08	10.12	16.02	71.43	2.58	0.3
404.099	37.78	20.92	21.32	25.28	5.03	9.22	22.99	21.98	21.8	16.65	10.1	15.94	72.93	2.57	0.19
404.46	38.69	21.69	22.1	26.17	5.77	9.89	24.26	23.52	23.23	17.83	10.87	16.88	74.42	3.14	0.59
404.822	39.28	22.22	22.89	26.98	5.91	10.21	25.24	24.3	24.07	18.73	11.04	17.43	76.83	3.27	0.57
405.184	39.92	22.69	22.91	27.29	6.17	10.8	26.28	25.23	25.33	19.3	11.58	17.83	77.99	3.42	1.18
405.546	39.97	22.6	22.91	27.56	5.85	10.73	27.09	25.54	26.04	19.88	11.61	17.96	79.95	3.26	0.83
405.907	39.58	22.55	22.8	27.49	6.08	11.04	27.93	26.03	26.76	20.23	11.53	17.99	80.1	3.15	0.65
406.269	39.97	22.98	23.6	28.08	6.28	11.26	28.99	27.08	27.92	21.32	11.8	18.55	81.83	3.36	0.7
406.631	40.44	23.59	24.02	28.39	6.65	11.9	30.11	28.32	29.04	22.37	12.23	18.93	83.53	3.48	1.01
406.992	40.38	23.1	23.82	28.3	6.35	11.25	30.9	28.63	29.65	22.64	12.19	18.77	83.72	3.16	1.14
407.354	40.5	23.11	23.8	28.4	6.65	11.61	31.64	29.32	30.57	23.28	12.46	19.18	84.99	3.19	0.82
407.715	40.29	23.17	23.98	29.06	6.29	11.75	32.53	30.08	31.86	24.12	12.33	19.05	85.68	3.09	0.79
408.077	39.93	22.64	23.44	28.25	6.4	11.84	33.03	30.45	32.09	24.2	12.11	19.02	85.29	2.95	0.7
408.438	40.21	22.96	23.75	28.77	6.59	12.14	34.07	31.31	33.36	25.44	12.77	19.52	85.58	3.7	1.33
408.799	39.64	22.32	23.24	28.11	6.4	11.77	33.89	31.32	33.11	25.21	12.46	19.12	84.46	2.77	0.86
409.161	39.97	23	23.51	28.88	7.01	12.34	35.19	32.7	34.43	26.34	13.05	19.87	84.61	3.52	1.59
409.522	39.87	23.01	23.33	28.89	7.08	12.16	36.14	33.52	35.6	27.15	13.22	19.92	85.47	3.36	1.25
409.883	40.19	23.43	24.01	29.59	7.2	12.83	37.18	34.67	36.39	28.35	13.56	20.52	86.51	3.59	1.47
410.244	40.43	23.21	24.03	29.54	6.97	12.85	37.99	35.14	37.34	28.65	13.51	20.13	87.54	3.12	1.18
410.605	41.49	24.09	24.48	30.44	7.48	13.42	39.8	36.79	39.1	30.06	14.01	20.95	90.4	3.66	1.59
410.967	41.38	24.24	24.74	30.55	7.72	13.49	41.14	37.19	39.39	31.05	14.3	21.21	91.45	3.47	1.77
411.328	41.84	24.09	24.69	30.47	7.66	13.4	42.37	37.97	40.98	31.64	14.29	21.48	92.39	3.61	1.79
411.689	42.27	24.34	24.74	30.62	7.71	13.69	43.65	39.02	41.87	32.71	14.41	21.86	93.62	3.65	1.86
412.05	41.34	24.12	24.51	30.11	7.88	13.6	44.15	39.13	42.38	32.84	14.64	21.49	92.86	3.51	1.88
412.41	41.13	24.41	24.58	30.64	8.02	14.11	45.25	39.96	43.33	33.75	14.92	21.73	93.32	3.49	2.32
412.771	41.22	24.35	25	30.92	8.03	14.26	46.24	40.93	44.78	34.82	15.22	22.07	93.23	3.68	2.6
413.132	40.54	23.81	24.36	30.91	7.89	14.02	46.71	41.13	45.13	34.97	14.81	21.89	93.14	3.46	2.31
413.493	40.77	23.69	24.26	30.33	7.95	14.09	47.81	41.37	45.64	35.34	15.14	21.96	94.02	3.07	2.29
413.854	41.34	24.44	24.81	31.33	8.57	14.49	49.16	42.94	47.42	37.08	15.63	22.43	94.65	3.78	2.97
414.215	40.8	23.98	24.6	30.89	8.24	14.66	49.86	43.2	47.48	37.24	15.57	22.39	93.82	3.71	3.09
414.575	40.21	23.52	24.2	30.79	8.39	14.6	50.18	43.53	48.17	37.82	15.23	22.27	92.7	3.66	3.23
414.936	39.62	23	24.11	29.9	8.11	14.38	50.13	43.82	48.43	37.72	15.45	22.22	91.8	3.49	3.23
415.296	39.97	23.69	24.3	30.49	8.91	14.81	51.43	45.1	49.27	39.05	15.92	22.95	92.27	3.86	3.69
415.657	39.98	23.48	24.22	30.5	8.74	14.88	52.25	45.72	50.2	39.21	16.16	22.94	92.37	3.87	3.82
416.018	39.78	23.96	24.17	30.74	8.81	15.12	53.34	46.46	51.28	40.19	16.42	22.62	92.98	3.8	3.84
416.378	40.29	23.97	24.49	30.82	9.05	15.42	54.75	47.3	52.04	40.83	16.47	23.21	93.47	3.93	4.43
416.738	39.96	23.69	24.28	30.54	9.06	15.28	54.65	47.35	52.07	41.37	16.52	23.01	92.33	3.95	4.63
417.099	39.13	23.33	23.79	30.1	8.8	15.1	54.67	47.51	52.46	41.26	16.3	22.65	91.42	3.84	4.69
417.459	39.33	23.35	23.96	30.42	8.86	15.1	56.07	48.59	53.98	42.39	16.4	23.19	91.74	3.66	4.76
417.819	39.42	23.4	24.09	30.5	8.97	15.51	56.87	49.22	54.47	43.25	16.65	23.28	92.14	3.9	5.23
418.18	39.74	23.69	24.09	30.95	9.26	15.62	58.16	50.15	55.45	44.1	17.03	23.45	92.3	4.12	5.33
418.54	39.67	23.61	24.15	30.88	9.28	15.63	59.32	50.91	56.19	44.95	17.29	23.49	93.7	4.02	5.87
418.9	39.86	23.66	24.57	30.8	9.34	15.96	60.95	51.65	57.7	45.85	17.35	23.88	94.23	3.92	6.05
419.26	39.82	23.79	24.2	30.82	9.41	15.84	61.62	52.19	58.24	46.22	17.29	23.91	94.48	4.04	6.29
419.62	39.12	23.66	24.12	30.38	9.47	15.99	61.78	51.93	58.25	46.59	17.52	23.9	93.93	4.07	6.68
419.98	38.72	23.07	23.38	30.07	9.27	15.55	61.48	52.01	58.33	46.49	17.07	23.39	92.02	3.73	6.8
420.34	39.13	23.4	24.12	30.6	9.44	15.98	62.88	53.37	59.4	47.48	17.46	23.92	92.59	4.06	7.35
420.7	39.72	23.83	24.39	31.36	9.74	16.55	64.69	55.17	61.31	49.1	17.98	24.4	94.56	4.1	7.79
421.06	40.39	24.37	24.87	31.71	10.01	16.69	67.22	56.21	63.5	50.31	18.36	24.86	97.5	3.93	8.19
421.42	40.81	24.67	25.17	31.97	10.02	16.97	69.84	57.34	64.77	51.67	18.75	25.12	100.02	4.04	8.7
421.78	41.3	25.46	25.97	32.18	10.5	17.54	72.04	57.89	66	52.85	19.3	25.89	101.58	4.37	9.51
422.14	40.99	25.16	25.86	31.96	10.58	17.56	73.03	58.33	66.04	53.17	19.33	25.84	102.03	4.32	10.05
422.5	39.93	24.36	24.87	31.22	10.13	17.11	71.95	57.04	65.5	52.21	18.85	25.14	100.47	4.03	10.21
422.859	39.36	23.91	24.62	31.14	10.16	17.02	71.89	57.62	65.3	52.55	18.7	24.89	98.3	4.12	10.6
423.219	38.56	23.31	23.86	30.53	9.98	16.68	70.89	57.04	64.62	51.86	18.49	24.38	95.93	4.02	10.96
423.579	38.73	23.46	24.09	30.69	10.18	16.71	71.28	57.62	65.34	52.46	18.47	24.95	95.97	4.25	11.44
423.938	39.31	23.81	24.46	31.31	10.3	17.13	73.44	59.62	67.34	54.11	18.88	25.25	97.89	4.21	12.01
424.298	40.22	24.87	25.26	31.71	10.82	17.7	76.04	60.5	69.22	55.39	19.65	26.2	100.86	4.5	13.02
424.657	40.66	25.06	25.59	32.24	10.82	18.14	78.93	61.8	70.87	56.91	20.31	26.54	103.71	4.4	13.76
425.017	41.52	25.76	26.28	33.02	11.32	18.56	81.25	63.16	72.76	58.45	20.73	27.08	106.3	4.58	14.8
425.376	41.77	25.75	26.58	33.24	11.67	18.85	83.81	64.04	73.89	59.3	21.04	27.24	109.13	4.36	15.43
425.736	41.58	25.8	26.48	33.03	11.75	19.05	84.71	64.64	74.3	59.99	20.98	27.25	110.21	4.55	16.42
426.095	41.56	25.95	26.34	32.86	11.63	19.07	85.68	64.16	74.72	60.18	21.3	27.31	110.93	4.68	16.96
426.454	41.85	26.02	26.81	33.24	11.89	19.2	87.42	65.01	75.81	61.23	21.69	27.7	111.83	4.7	18.04
426.814	41.99	26.13	26.99	33.5	11.89	19.53	89.28	66.33	77.06	62.26	21.84	27.81	114.1	4.35	18.74
427.173	41.45	26.02	26.56	33.19	11.79	19.12	89.41	65.25	76.86	61.44	21.56	27.58	113.32	4.56	19.67
427.532	41.03	25.65	26.64	32.77	12.27	19.27	89.75	65.01	76.46	61.86	21.58	27.55	112.63	4.68	20.07
427.891	40.75	25.66	26.27	32.86	12.06	19.26	89.42	65.09	76.19	62.09	21.45	27.69	112.94	4.45	20.99
428.25	39.36	24.71	25.51	31.94	11.83	18.67	88.16	64.01	75.1	60.86	21.05	27.19	109.3	4.4	21.03
428.609	39.31	24.66	25.37	32.33	11.76	18.51	87.88	64.14	74.51	60.54	20.95	27.09	109.04	4.43	21.83
428.968	39.19	24.39	25.17	31.69	11.67	18.56	88.11	64.72	75.27	61.41	21.29	26.88	108.83	4.35	22.81
429.327	39.37	24.82	25.49	32.25	12.28	18.83	89.33	64.96	75.97	61.71	21.47	27.41	109.55	4.63	23.44
429.686	39.49	24.71	25.41	32.02	11.75	18.97	90.67	66.14	76.69	62.43	21.46	27.37	111.31	4.38	24.36
430.045	39.41	24.71	25.32	32.03	12.08	19.02	90.97	65.9	76.93	62.72	21.59	27.26	111.1	4.3	25.16
430.404	38.93	24.52	25.11	31.8	11.95	18.76	90.76	65.62	76.68	61.71	21.47	27.39	110.81	4.35	25.83
430.763	38.95	24.52	25.35	31.85	12.11	19.15	91.77	66.02	77.14	62.63	21.71	27.32	111.15	4.41	26.89
431.122	37.42	23.93	24.43	30.52	11.47	18.34	89.86	64.43	75.22	61.26	20.98	26.57	108.26	4.03	26.7
431.48	37.64	23.77	24.25	30.46	11.87	18.45	89.74	64.91	75.14	61.1	21.05	26.63	108.1	4.24	27.59
431.839	36.97	22.88	23.57	30.23	11.53	17.95	88.1	64.33	74.62	60.61	20.63	26.28	105.55	4.17	27.58
432.198	36.94	23.43	24	30.4	11.93	18.14	89.26	64.97	75.04	60.96	21.06	26.44	105.92	4.18	28.58
432.556	36.85	23.26	23.85	30.04	11.81	18.31	89.1	65.37	75.59	61.42	21.05	26.73	105.94	4.28	29.41
432.915	37.09	23.4	23.63	30.22	11.8	18.17	90.32	65.85	75.89	61.84	21.01	26.8	106.36	4.06	30.17
433.273	37.67	23.91	24.32	30.66	12.13	18.79	92.35	67.24	77.52	63.57	21.78	27.29	108.68	4.48	31.78
433.632	38.19	24.2	24.92	31.29	12.47	19.3	94.27	68.34	78.96	64.6	21.96	27.77	110.89	4.59	32.83
433.99	39.18	25.02	25.5	31.72	12.7	19.79	97.89	69.68	81.39	66.35	22.58	28.45	115.2	4.53	34.64
434.349	39.12	25.12	25.64	31.81	13.02	19.87	98.77	70.03	82.27	67.1	22.85	28.68	117.44	4.35	35.94
434.707	38.46	24.74	25.49	31.45	13.01	19.94	99.54	69.33	81.85	66.19	23.03	28.54	116.91	4.43	36.54
435.065	38.76	24.57	25.54	31.59	12.77	19.82	100.61	69.68	82.5	66.95	22.78	28.48	118.56	4.39	37.56
435.423	37.55	24.46	25	31.03	12.56	19.68	99.34	69.15	81.42	66.39	22.52	28.15	116.55	4.19	37.6
435.782	38.02	24.47	25.03	31.28	12.82	19.74	99.91	69.3	81.74	66.7	22.91	28.28	117	4.34	39.01
436.14	37.15	23.8	24.54	30.52	12.79	19.42	97.82	68.11	80.37	65.54	22.48	27.95	114.97	4.23	38.83
436.498	36.71	23.68	24.09	30.63	12.39	18.92	97.87	68.25	80.18	65.56	22.04	27.57	114.58	4.03	39.45
436.856	36.61	23.67	24.07	30.7	12.8	19.27	97.76	68.5	80.16	65.38	22.32	27.69	113.61	4.25	40.2
437.214	36.63	23.44	24.26	30.43	12.66	19.41	97.19	68.13	79.9	65.29	22.32	27.86	113.36	4.47	40.99
437.572	36.66	23.25	23.91	30.09	12.59	19.12	96.69	67.66	79.23	65.04	22.38	27.72	112.42	4.4	41.21
437.93	36.35	23.42	24.03	29.92	12.65	19.45	96.94	68.05	80.2	65.05	22.3	27.87	112.65	4.43	41.9
438.288	35.63	22.75	23.35	29.26	12.08	18.66	95.55	67.73	79.02	64.2	21.72	27.11	111.15	4	41.91
438.646	35.34	22.96	23.25	29.32	12.32	18.94	95.5	67.49	78.69	64.45	22.02	27.23	110.36	4.19	42.6
439.004	35.12	22.81	23.05	29.39	12.17	18.85	95.14	67.63	79.05	64.31	22.07	27.25	109.58	4.3	42.62
439.361	35.13	22.53	23.09	29.07	12.3	18.99	94.73	67.69	79.09	64.51	21.89	27.43	109.32	4.23	43.57
439.719	34.99	22.62	23.14	29.11	12.33	19	95.53	68.09	79.46	64.91	22.08	27.41	109.88	4.27	44.08
440.077	35.14	22.89	23.47	29.48	12.43	19.53	96.27	68.82	80.36	65.88	22.35	27.83	111.09	4.4	45.27
440.435	35.92	23.18	23.81	29.85	12.78	19.72	98.47	70.5	82.13	67.11	22.87	28.38	113.71	4.35	46.72
440.792	36.28	23.74	24.18	30.28	12.82	20.17	100.76	71.14	83.3	68.16	23.05	28.6	116.16	4.44	48.25
441.15	37.14	24.24	24.83	30.7	13.17	20.68	104.01	72.83	85.29	70.37	23.84	29.66	119.67	4.58	50.08
441.507	37.32	24.51	25.18	30.9	13.51	21	105.68	73.37	86.01	70.52	24.23	29.74	122.23	4.8	51.58
441.865	37.71	24.78	25.09	31.09	13.54	21.01	106.69	73.15	86.52	70.45	24.12	29.84	123.73	4.82	52.5
442.222	36.75	24.27	24.79	30.46	13.24	20.69	106.69	72.32	85.83	69.95	23.87	29.45	123.65	4.53	52.67
442.58	36.51	24.06	24.65	30.15	13.29	20.56	105.13	71.81	84.73	69.21	23.68	29.11	121.83	4.55	52.98
442.937	35.84	23.63	24.24	29.85	13.03	20.3	104.68	71.14	84.18	68.81	23.44	28.95	121.01	4.36	52.86
443.294	34.98	23.08	23.66	29.46	12.78	20	101.67	69.91	82.18	67.35	23.16	28.46	116.93	4.76	52.33
443.652	34.03	22.51	22.97	28.42	12.18	19.46	99.59	68.83	81.06	66.35	22.57	27.65	114.96	4.31	51.4
444.009	33.47	22.26	22.68	28.3	12.35	19.47	97.89	68.22	79.7	65.29	22.49	27.65	112.76	4.49	51.11
444.366	33.63	22.12	22.71	28.07	12.44	19.3	97	68.27	79.41	64.95	22.44	27.41	111.68	4.5	51.23
444.723	32.75	21.84	22.27	27.8	11.96	18.7	95.46	68.03	78.45	64.32	22.28	27.18	110.04	4.41	51.12
445.08	32.95	21.8	22.02	27.73	11.92	19.01	95.74	67.9	78.68	64.67	22	27.54	110.05	4.51	51.32
445.438	32.92	21.7	22.24	27.71	12.03	19.03	95.21	67.62	78.71	64.41	22.25	27.57	109.11	4.56	51.97
445.795	33.44	21.94	22.46	28.12	12.12	19.03	97.03	69.1	79.94	65.5	22.55	27.87	111.02	4.4	53.01
446.152	33.55	22.14	22.76	28.37	12.19	19.54	98.87	70.31	81.31	66.75	23.08	28.29	113.35	4.44	54.63
446.508	34.75	22.86	23.36	28.81	12.66	20.18	101.52	71.77	83.63	68.29	23.61	28.92	117.17	4.74	56.32
446.865	34.66	22.91	23.4	28.87	12.8	20.26	103.38	71.98	84.45	69.19	23.72	29.34	118.87	4.79	57.47
447.222	35.35	23.62	24.18	29.59	13.08	21.07	106.77	73.77	86.59	70.86	24.37	30.28	123.29	5.08	60.04
447.579	35.48	24.08	24.35	29.84	13.3	21.29	108.49	74.44	87.85	71.75	24.69	30.29	125.93	4.97	60.88
447.936	35.6	23.98	24.65	29.84	13.65	21.29	109.18	74.25	87.9	71.8	24.83	30.34	126.26	5.12	61.56
448.293	35.19	23.72	24.55	29.48	13.26	21.07	108.66	73.57	87.31	71.17	24.47	29.92	126.09	4.77	61.41
448.649	35.19	23.66	24.27	29.61	13.33	21.26	110.06	73.69	88.04	72.26	24.49	30.07	128.41	4.86	62.4
449.006	35.38	23.85	24.27	29.69	13.62	21.54	110.13	73.6	87.58	71.17	24.79	29.95	127.83	5.21	62.88
449.363	34.83	23.56	24.15	29.62	13.26	21.23	110.65	74.02	87.98	71.54	24.66	30.12	128.64	4.8	63.61
449.719	34.36	23.35	23.8	29.37	12.94	21.02	109.6	73.38	87.28	70.85	24.44	29.67	128.43	4.64	63.28
450.076	34.56	23.21	24.06	28.96	13.27	20.84	109.98	73.11	87.13	71.45	24.68	29.67	128.66	4.92	63.96
450.432	33.73	22.8	23.55	28.44	12.83	20.88	108.12	72.03	85.55	69.87	24.26	29.23	126.3	4.95	62.88
450.789	33.04	22.43	23.21	28.11	12.8	20.44	105.45	70.38	83.86	68.64	23.89	28.73	123.5	4.75	61.84
451.145	32.34	22.28	22.81	28.03	12.98	20.22	104.3	70.05	82.83	67.66	23.59	28.64	121.84	5.02	61.72
451.501	32.12	21.88	22.31	27.47	12.62	19.81	103.28	70.22	82.31	67.36	23.57	28.26	120.11	4.58	60.94
451.858	32.28	21.87	22.53	27.62	12.68	19.87	102.9	70.29	82.69	67.41	23.49	28.54	120.08	4.87	61.21
452.214	32.89	22.13	22.92	27.96	12.94	20.24	104.71	71.44	83.83	68.83	24.25	29.26	122.07	5	62.63
452.57	33.17	22.71	23.07	28.52	13.03	20.72	106.5	72.82	85.65	70.28	24.29	29.66	124.48	4.89	63.8
452.926	32.82	22.57	23.05	28.15	13.09	20.7	107.38	72.49	85.81	70.05	24.53	29.44	125.28	5.02	64.47
453.282	33.3	22.7	22.98	28.28	13.14	20.81	107.09	72.19	85.17	69.99	24.63	29.59	125.71	5	64.67
453.638	32.88	22.43	22.94	28.19	13.07	20.46	107.18	71.46	84.72	68.86	24.12	29.18	125.17	5.03	64.77
453.995	32.83	22.34	23.17	27.71	13.05	20.32	106.49	71.34	84.32	69.06	24.37	29.26	124.8	5.28	64.6
454.351	32.5	22.32	22.6	27.67	12.86	20.65	106.43	71.31	84.34	68.55	24.28	29.09	124.39	5.03	65.06
454.707	32.61	22.44	22.93	27.73	12.96	20.69	106.32	71.99	84.23	69.62	24.26	29.26	125	5.18	65.09
455.062	32.45	22.18	22.64	27.76	13.02	20.51	106.6	71.61	84.16	69.09	24.21	29.49	124.68	4.94	65.43
455.418	32.75	22.66	23.19	28.14	13.57	20.9	108.64	73.24	86.25	70.58	24.7	29.99	127.81	5.28	66.56
455.774	32.54	22.26	22.49	27.91	13.51	20.72	108.02	72.87	85.53	70.5	24.55	29.65	127.72	5	66.98
456.13	32.43	22.15	22.67	27.83	13.4	20.77	107.58	71.89	84.91	69.75	24.66	29.73	126.49	5.14	66.86
456.486	32.01	21.82	22.16	27.3	13.11	20.11	107.02	71.68	85.06	69.3	24.19	29.25	125.91	4.75	66.3
456.841	31.39	21.69	22.46	27.22	13.07	20.41	106.58	70.91	84.71	68.92	24.2	29.17	124.73	5.08	66.19
457.197	30.93	21.39	21.91	27.13	13.11	20.21	104.64	70.12	82.61	67.89	23.73	28.82	122.35	4.98	64.54
457.553	30.36	20.79	21.45	26.21	12.85	19.62	101.54	69.1	81.09	65.89	23.24	28.18	119.09	5.06	63.5
457.908	29.59	20.09	20.7	25.6	12.21	18.95	99.55	67.91	79.75	64.79	22.7	27.5	117	4.52	61.99
458.264	29.34	20.25	20.72	25.44	12.42	18.88	97.85	67.28	78.87	64.62	22.71	27.4	114.58	4.84	61.2
458.619	28.66	19.58	20	24.84	12.09	18.55	95.19	66.47	77.11	63.45	22.12	26.71	111.5	4.63	60.08
458.975	28.42	19.65	20.12	25.08	12.22	18.56	94.65	67.08	77.78	63.73	22.14	27.29	111.12	4.68	60.34
459.33	29.42	20.31	20.65	25.75	12.54	19	97.29	69.36	80.04	65.58	22.78	27.95	113.53	4.88	61.7
459.686	30.75	20.98	21.48	26.69	13.07	19.9	102.56	72.75	84	69.13	23.96	28.94	120.12	4.93	64.77
460.041	32.24	22.2	22.7	27.55	13.84	21.14	108.77	75.14	87.74	72.15	25.07	30.33	127.11	5.38	68.8
460.396	33.1	22.88	23.55	28.17	14.33	21.71	113.56	76.43	90.07	73.86	25.95	31.36	132.77	5.51	71.37
460.751	32.72	22.8	23.41	27.52	14.12	21.53	114.54	75.31	89.67	73.28	25.67	31.12	134.73	5.14	72.3
461.107	33.13	23.18	23.76	28.3	14.67	21.99	116.87	75.81	90.72	73.88	26.09	31.42	137.1	5.63	73.8
461.462	32.37	22.59	23.23	27.56	14.48	21.45	114.97	74.18	89.27	73.05	25.56	30.64	136.31	5.36	72.58
