"Wavelength_A__P_"	"Impatiens_glandulifera_A__Er_1"	"Impatiens_glandulifera_A__Lr_2"	"Impatiens_glandulifera_A__Lr_3"	"Impatiens_glandulifera_A__Lr_4"	"Impatiens_glandulifera_A__Er_5"	"Cirsium_arvense_A__P_1"	"Convolvulus_sepium_A__P_1"	"Convolvulus_sepium_A__P_2"	"Convolvulus_sepium_A__P_3"	"Convolvulus_sepium_A__P_4"	"Rubus_caesius_A__P_1"	"Rubus_caesius_A__P_2"	"Saponaria_officinalis_A__P_1"	"Trifolium_repens_A__P_1"	"Trifolium_repens_A__P_2"
195.309	41.1	32.24	38.61	34.2	22.72	21.61	68.49	45.88	51.94	46.69	32.73	37.61	85.45	32.9	55.66
195.692	30.28	31.14	22.02	24.83	19.13	13.28	61.13	42.64	48.95	36.97	20.29	21.13	75.56	17.18	39.85
196.075	24.48	20.97	4.71	16.18	4.85	-3.48	59.29	23.47	32.95	34.56	13.55	3.32	78.11	-7.45	35.37
196.458	26.7	17.51	18.22	26.82	7.63	14.51	64.72	27.39	48.25	26.81	10.86	8.89	80.36	-14.98	44.85
196.841	13.64	26.36	16.14	13.91	-0.95	-6.76	97.37	34.87	42.36	27.4	1.56	-6.24	79.36	-15.73	26.61
197.225	29.53	5.63	5.51	4.66	-13.59	-1.14	70.29	18.76	39.42	38.86	-3.73	3.33	58.88	-8.17	34.19
197.608	43.69	28.44	23.56	27.94	3.77	-1.08	79.45	47.89	48.88	48.75	19.58	19.78	86.5	2.34	39.87
197.991	33.94	33.78	21	26.64	2.3	23.36	80.01	42.09	55.86	45.59	19.08	22.3	101.07	4.03	49.54
198.374	23.32	10.83	12.94	19.14	7.87	6.94	45.27	24.65	38.65	42.67	17.21	8.88	74.68	-0.45	34.06
198.757	-4.82	-0.4	4.52	11.82	-16.86	-19.05	61.41	28.08	59.03	21.27	3.18	-7.24	94.5	-20.11	27.98
199.139	29.61	14.9	17.59	19.77	21.03	7.22	71.99	26.82	53.99	25.49	8.75	5	82.4	9.03	38.86
