"Campanula_persicifolia_I__P_1"	"Campanula_persicifolia_I__P_2"	"Convolvulus_sepium_I__Pr_1"	"Convolvulus_sepium_I__P_2"	"Convolvulus_sepium_I__Pr_3"	"Convolvulus_sepium_I__P_4"	"Helminthia_echioides_I__P_1"	"Helminthia_echioides_I__P_2"	"Mentha_suaveolens_I__P_1"	"Mentha_suaveolens_I__P_2"	"Mentha_suaveolens_I__P_3"	"Mentha_suaveolens_I__P_4"	"Filipendula_ulmaria_I__P_1"	"Filipendula_ulmaria_I__P_2"	"Filipendula_ulmaria_I__P_3"	"Filipendula_ulmaria_I__P_4"	"Spiraea_japonica_I__P_1"	"Spiraea_japonica_I__P_2"	"Spiraea_japonica_I__P_3"	"Spiraea_japonica_I__P_4"	"Anthriscus_sylvestris_I__P_1"	"Anthriscus_sylvestris_I__P_2"	"Anthriscus_sylvestris_I__P_3"	"Anthriscus_sylvestris_I__P_4"	"Anthriscus_sylvestris_I__P_5"	"Impatiens_glandulifera_I__Lr_1"	"Impatiens_glandulifera_I__Er_2"	"Impatiens_glandulifera_I__Lr_3"	"Impatiens_glandulifera_I__Er_4"	"Impatiens_glandulifera_I__Lb_5"	"Impatiens_glandulifera_I__Eb_6"	"Eupatorium_cannabinum_I__P_1"	"Eupatorium_cannabinum_I__P_2"	"Geranium_robertianum_I__P_1"	"Geranium_robertianum_I__P_2"	"Geranium_robertianum_I__P_3"	"Geranium_robertianum_I__P_4"	"Hypericum_perforatum_I__P_1"	"Hypericum_perforatum_I__P_2"	"Lotus_corniculatus_I__P_1"	"Lotus_corniculatus_I__P_2"	"Lotus_corniculatus_I__P_3"	"Reynoutria_japonica_I__P_1"	"Reynoutria_japonica_I__P_2"	"Buddleja_davidii_I__P_1"	"Buddleja_davidii_I__P_2"
-68.48	45.38	16.28	23.33	27.18	46.17	56.02	78.83	85.64	8.32	77.72	50.9	25.81	49.46	9	33.51	93.47	96.74	-3.69	78.56	64.44	68.45	18.63	26.1	49.07	79.58	40.42	78.99	67.01	11.48	23.23	78.56	34.58	75.89	100.88	82.68	39.41	42.28	48.71	66.36	23.75	35.66	58.79	-7.57	9.46	77.68
-73.76	-181.63	404.96	99.42	139.65	72.59	101.17	443.15	517.49	-358.89	-50.73	403.5	212.54	369.68	-1.17	526.24	582.8	26.53	681.34	-104.96	651.02	325.95	-390.38	424.49	-191.25	408.45	170.55	441.69	-141.69	275.22	-165.6	-30.32	-33.82	-62.39	82.8	450.73	44.31	256.56	7.87	657.14	496.79	297.08	99.71	118.95	325.95	159.48
132.85	-221.48	-109.45	64.23	66.7	-110.8	61.75	-14.4	-131.27	62.88	140.16	123.28	-166.59	166.93	-213.72	-75.25	55.91	-55.23	-36.11	-247.47	198.76	221.6	-13.16	75.59	134.98	76.38	-13.61	-120.02	-22.72	-34.2	18.9	270.87	-51.74	-206.3	-93.14	-15.52	58.49	84.59	272.33	-140.16	148.48	-197.41	-43.87	40.49	11.02	-36.33
-46.11	89.02	76.19	81.79	94.4	35.05	115.78	103.8	40.14	115.55	132.62	116.48	101.7	27.57	114.56	121.6	153.96	84.52	128.53	59.27	114.08	141.02	112.46	143.31	135.64	0.26	120.57	7.26	88.68	80.21	61.04	61.04	105.71	164.17	66.79	65.68	51.01	57.8	57.39	83.23	13.27	113.42	115.37	140.07	-14.67	64.76
186.63	89.82	181.97	115.01	-44.26	28.39	329.51	160.14	288.44	84.3	185.16	261.6	210.61	52.8	335.12	197.15	129.68	163.85	-103.45	199.48	245.13	106.13	36.32	129.77	220.88	176.1	83.61	111.39	201.04	-41.42	314.06	162.21	176.36	253.49	115.62	207.94	216.05	200.17	101.73	208.28	239.52	119.67	50.22	187.06	212.42	199.05
-1811.11	-959.26	-843.7	-162.22	-1316.3	-230.37	-857.04	47.41	-2062.96	-117.78	-828.15	-1380.74	279.26	-1099.26	-868.15	-1460	-2145.93	-62.96	83.7	-1120	-1889.63	911.11	-411.11	-320	-888.89	-1877.78	-597.78	-3.7	-668.15	-438.52	-1048.89	-136.3	577.78	-146.67	980.74	315.56	-1072.59	1066.67	-999.26	-214.81	-1570.37	-454.07	656.3	-1096.3	-997.04	334.07
-171.77	-109.1	17.89	36.92	66.08	-257.19	29.27	41.37	238.16	64.63	92.86	65.36	-50.36	179.11	-68.25	-8.58	-62.98	102.07	-173.63	-10.75	-22.23	-122.65	182.52	-9.93	-26.47	-174.46	-88.42	171.56	-53.57	-120.79	229.16	-17.37	217.99	173.11	60.81	141.68	-156.36	177.04	97.1	-74.66	103.41	-141.16	71.77	40.54	203.31	-24.51
231.8	20.32	27.21	175.09	-22.16	105.74	-107.12	51.44	104.59	174.63	233.52	162.57	35.94	-87.72	-50.06	106.2	350.75	221.7	238.92	182.78	120.44	326.75	26.29	165.33	231.46	149.83	280.25	-44.66	353.85	216.76	157.06	285.65	271.41	322.62	135.48	379.56	221.35	115.73	249.25	278.99	142.37	276.81	292.77	259.93	-136.17	125.26
51.02	41.6	0.42	33.94	36.34	100.06	66.87	-21.31	16.6	-36.34	56.19	49.11	-55.31	68.72	-13.64	38.36	43.1	16.47	15.62	65.74	86.55	40.99	71.35	45.73	-8.83	42.38	5.49	52.32	47.61	48.85	-40.79	11.69	31.05	38.26	17.54	32.02	27.8	42.61	13.87	37.87	60.02	105.33	48	31.44	12.93	-12.37
51.13	222.17	11.61	87.63	412.52	-75.87	-80.39	-135.14	122.93	-65.01	311.61	34.99	261.99	150.23	136.95	236.05	622.47	-17.65	159.43	-365.61	249.92	168.63	377.22	156.86	200.3	76.17	416.44	173	189.74	530.92	107.39	493.51	387.93	409.35	182.81	112.52	150.83	-69.98	86.12	344.8	129.11	320.21	82.96	529.71	127.6	311.76
