"Campanula_persicifolia_I__P_1"	"Campanula_persicifolia_I__P_2"	"Convolvulus_sepium_I__Pr_1"	"Convolvulus_sepium_I__P_2"	"Convolvulus_sepium_I__Pr_3"	"Convolvulus_sepium_I__P_4"	"Helminthia_echioides_I__P_1"	"Helminthia_echioides_I__P_2"	"Mentha_suaveolens_I__P_1"	"Mentha_suaveolens_I__P_2"	"Mentha_suaveolens_I__P_3"	"Mentha_suaveolens_I__P_4"	"Filipendula_ulmaria_I__P_1"	"Filipendula_ulmaria_I__P_2"	"Filipendula_ulmaria_I__P_3"	"Filipendula_ulmaria_I__P_4"	"Spiraea_japonica_I__P_1"	"Spiraea_japonica_I__P_2"	"Spiraea_japonica_I__P_3"	"Spiraea_japonica_I__P_4"	"Anthriscus_sylvestris_I__P_1"	"Anthriscus_sylvestris_I__P_2"	"Anthriscus_sylvestris_I__P_3"	"Anthriscus_sylvestris_I__P_4"	"Anthriscus_sylvestris_I__P_5"	"Impatiens_glandulifera_I__Lr_1"	"Impatiens_glandulifera_I__Er_2"	"Impatiens_glandulifera_I__Lr_3"	"Impatiens_glandulifera_I__Er_4"	"Impatiens_glandulifera_I__Lb_5"	"Impatiens_glandulifera_I__Eb_6"	"Eupatorium_cannabinum_I__P_1"	"Eupatorium_cannabinum_I__P_2"	"Geranium_robertianum_I__P_1"	"Geranium_robertianum_I__P_2"	"Geranium_robertianum_I__P_3"	"Geranium_robertianum_I__P_4"	"Hypericum_perforatum_I__P_1"	"Hypericum_perforatum_I__P_2"	"Lotus_corniculatus_I__P_1"	"Lotus_corniculatus_I__P_2"	"Lotus_corniculatus_I__P_3"	"Reynoutria_japonica_I__P_1"	"Reynoutria_japonica_I__P_2"	"Buddleja_davidii_I__P_1"	"Buddleja_davidii_I__P_2"
62.23	55.18	5.26	5.43	8.81	12.66	8.66	2.47	3.99	3.46	8.1	10.34	1.03	2.91	2.87	1.5	5.29	1.8	0.91	4.11	7.15	1.09	1.74	8.62	1.77	7.07	53.98	34.26	21.64	21.58	66.48	7.79	1.17	18.11	34.51	3.38	48.71	32.04	36.39	9.34	2.26	7.28	2.6	9.33	15	1.31
62.27	55.23	5.42	5.43	8.84	12.59	8.55	2.38	4.01	3.57	8.14	10.5	1.06	2.95	2.83	1.48	5.41	1.73	0.81	4.12	7.16	1.08	1.78	8.61	1.8	7.06	54.42	34.52	21.95	21.67	66.9	7.86	1.13	18.41	35.22	3.43	49.95	31.58	36.01	9.28	2.29	7.18	2.68	9.28	15.14	1.33
62.8	55.49	5.42	5.4	8.89	12.74	8.51	2.36	4.03	3.61	8.22	10.66	0.98	2.89	2.8	1.43	5.29	1.77	0.82	4.11	7.08	1.04	1.7	8.53	1.76	7.14	54.74	34.92	22.1	21.99	67.99	7.79	1.12	18.63	35.91	3.41	51.36	31.52	35.71	9.08	2.22	7.12	2.69	9.38	15.38	1.29
62.95	55.54	5.5	5.5	8.79	12.77	8.49	2.29	4.08	3.56	8.25	10.81	0.94	2.85	2.82	1.42	5.34	1.75	0.81	4.14	7.11	1.04	1.7	8.51	1.77	7.24	55.02	35.32	22.17	22.3	68.26	7.67	1.16	18.87	36.57	3.43	52.53	30.96	35.15	8.94	2.23	6.96	2.65	9.4	15.37	1.36
62.93	55.59	5.59	5.45	8.85	12.83	8.36	2.22	4.03	3.56	8.14	10.9	0.94	2.76	2.69	1.42	5.32	1.73	0.87	4.03	7.08	1.01	1.67	8.33	1.73	7.21	54.83	35.09	22.29	22.08	68.24	7.74	1.09	18.94	36.82	3.45	53.03	30.42	34.54	8.86	2.18	6.78	2.68	9.27	15.52	1.31
63.1	55.78	5.62	5.53	8.95	12.78	8.32	2.15	4	3.65	8.17	10.93	0.89	2.74	2.7	1.36	5.26	1.66	0.77	4.07	6.99	1.03	1.68	8.27	1.72	7.3	54.77	35.17	22.36	22.13	68.33	7.66	1.15	19.08	37.16	3.44	53.92	29.94	33.76	8.68	2.09	6.7	2.68	9.21	15.56	1.3
63.24	55.94	5.78	5.59	9.01	12.85	8.21	2.16	4.09	3.66	8.22	11.19	0.95	2.74	2.73	1.37	5.34	1.71	0.8	4.07	6.94	1.03	1.69	8.32	1.71	7.42	54.92	35.27	22.58	22.35	68.55	7.62	1.15	19.33	37.66	3.4	54.9	29.59	33.43	8.67	2.21	6.62	2.83	9.31	15.7	1.31
63.76	56.32	5.9	5.63	9.09	12.88	8.3	2.12	4.05	3.75	8.34	11.43	0.94	2.8	2.64	1.33	5.33	1.69	0.83	4.16	7.06	1.07	1.67	8.36	1.76	7.62	55.06	35.67	22.77	22.6	69.07	7.69	1.13	19.58	38.35	3.55	56.09	29.33	32.85	8.61	2.1	6.59	2.86	9.3	15.84	1.39
63.62	56.25	6	5.69	9.14	12.94	8.3	2.06	4.11	3.69	8.35	11.48	0.95	2.76	2.63	1.36	5.36	1.77	0.78	4.18	7.04	1.05	1.72	8.41	1.73	7.75	55.27	35.76	22.88	22.69	69.26	7.72	1.15	19.77	38.8	3.45	57.26	28.91	32.7	8.56	2.09	6.41	2.96	9.41	16.01	1.4
64.17	56.85	6.23	5.86	9.24	13.1	8.37	2.13	4.19	3.79	8.5	11.71	0.99	2.74	2.73	1.46	5.47	1.81	0.85	4.28	7.2	1.09	1.7	8.5	1.77	7.96	55.64	36.28	23.25	22.95	69.91	7.81	1.23	20.19	39.66	3.5	58.68	28.65	32.19	8.56	2.14	6.37	3.06	9.53	16.41	1.49
64.29	57.02	6.29	5.81	9.27	13.1	8.25	1.99	4.2	3.91	8.55	11.86	0.89	2.73	2.69	1.31	5.47	1.76	0.79	4.26	7.14	1.03	1.66	8.48	1.74	8.02	55.79	36.29	23.25	23	70.21	7.77	1.12	20.33	40.04	3.48	59.78	28.45	31.79	8.49	2.11	6.3	3.07	9.58	16.51	1.35
64.38	57.16	6.44	5.97	9.41	13.21	8.26	1.94	4.19	3.93	8.68	12.12	0.93	2.77	2.78	1.35	5.63	1.82	0.81	4.36	7.09	1.04	1.71	8.6	1.77	8.18	55.87	36.58	23.58	23.19	70.41	7.87	1.19	20.62	40.7	3.58	60.91	28.04	31.46	8.43	2.03	6.15	3.15	9.76	16.7	1.49
64.49	57.23	6.58	6.06	9.36	13.2	8.22	1.95	4.22	3.95	8.59	12.24	0.96	2.75	2.77	1.34	5.6	1.8	0.88	4.37	7.25	1.06	1.76	8.6	1.76	8.29	55.68	36.57	23.66	23.27	70.77	7.8	1.19	20.94	41.32	3.57	62.23	27.64	31.26	8.34	2.01	6	3.24	9.75	16.87	1.46
64.9	57.38	6.79	6.1	9.53	13.36	8.07	1.92	4.3	3.98	8.72	12.46	0.94	2.76	2.71	1.38	5.73	1.83	0.9	4.4	7.28	1.13	1.77	8.61	1.8	8.44	56.18	36.78	23.86	23.41	71.17	7.78	1.23	21.21	41.97	3.57	63.52	27.43	30.72	8.28	2.03	6.07	3.34	9.76	17.16	1.56
64.76	57.61	6.92	6.2	9.55	13.46	8.08	1.85	4.27	4.04	8.78	12.51	0.93	2.72	2.75	1.32	5.66	1.8	0.9	4.39	7.21	1.07	1.69	8.51	1.82	8.5	56.2	37	24.05	23.64	71.37	7.84	1.2	21.45	42.55	3.67	64.63	27.05	30.44	8.17	2	5.96	3.39	9.88	17.21	1.55
64.63	57.63	7.03	6.28	9.68	13.56	8.09	1.8	4.32	4.08	8.89	12.65	0.92	2.76	2.72	1.4	5.77	1.86	0.88	4.52	7.31	1.07	1.73	8.54	1.82	8.64	56.12	36.99	24.13	23.76	71.45	7.82	1.32	21.68	43.04	3.66	65.53	26.64	30	8.13	1.95	5.8	3.46	9.93	17.4	1.65
64.96	57.89	7.32	6.42	9.81	13.6	8.07	1.79	4.33	4.13	8.95	12.92	0.96	2.8	2.7	1.42	5.79	1.93	0.99	4.62	7.31	1.09	1.78	8.65	1.79	8.82	56.47	37.28	24.39	23.68	71.61	7.88	1.32	21.79	43.41	3.66	66.89	26.41	29.58	8.11	2	5.71	3.61	10.05	17.6	1.7
65.37	58.14	7.52	6.56	9.92	13.76	7.98	1.8	4.38	4.23	9.05	13.2	1.03	2.74	2.73	1.43	5.9	1.93	0.94	4.68	7.54	1.09	1.84	8.75	1.85	9.1	56.63	37.6	24.45	24.07	72.19	8	1.35	22.29	44.25	3.72	68.29	26.23	29.39	8.09	2	5.71	3.72	10.18	17.93	1.7
65.56	58.47	7.72	6.76	10.11	13.95	8.07	1.81	4.43	4.32	9.2	13.38	0.99	2.84	2.79	1.44	6.02	1.94	1	4.84	7.63	1.16	1.84	8.87	1.92	9.15	57.08	38.07	25.02	24.3	72.79	8.03	1.4	22.69	45.07	3.67	70	26.01	29.13	8.08	1.96	5.65	3.85	10.42	18.32	1.78
65.6	58.53	7.91	6.92	10.2	14.05	8	1.73	4.43	4.38	9.26	13.59	1.03	2.83	2.83	1.46	6.13	2.03	1.03	4.81	7.64	1.1	1.86	8.96	1.87	9.43	57.27	38.23	25.13	24.66	73.25	8.05	1.41	23.02	46.02	3.83	71.68	25.98	28.93	8.09	1.97	5.53	3.96	10.56	18.59	1.87
65.53	58.53	8.15	7.13	10.3	14.14	7.97	1.79	4.51	4.43	9.41	13.83	1.01	2.82	2.78	1.46	6.13	2	1.11	4.96	7.69	1.16	1.88	9.04	1.91	9.55	57.7	38.59	25.42	24.9	73.58	8.16	1.46	23.49	46.62	3.82	73.06	25.66	28.77	8.01	1.97	5.56	4.16	10.73	18.89	1.92
66.03	58.61	8.37	7.19	10.44	14.29	7.94	1.7	4.49	4.44	9.53	14.07	1.06	2.86	2.79	1.4	6.3	2.09	1.1	5.08	7.83	1.17	1.89	9.13	1.91	9.76	57.86	39.02	25.76	25.24	74.36	8.21	1.46	23.83	47.72	3.81	74.99	25.71	28.75	8.12	1.96	5.57	4.33	11	19.21	1.99
66.27	59.02	8.56	7.3	10.54	14.48	7.88	1.65	4.47	4.57	9.57	14.26	0.96	2.83	2.82	1.46	6.27	2.04	1.01	5.12	7.87	1.15	1.86	9.07	1.91	9.92	58.4	39.49	26.07	25.4	75.04	8.26	1.46	24.2	48.45	3.87	76.66	25.41	28.44	7.92	1.88	5.37	4.35	11.04	19.65	1.98
66.6	59.43	8.77	7.44	10.74	14.61	7.88	1.62	4.54	4.63	9.68	14.55	0.96	2.81	2.78	1.44	6.39	2.03	1.03	5.21	7.91	1.13	1.84	9.18	1.93	10.09	58.98	39.96	26.35	25.72	75.92	8.29	1.45	24.74	49.61	3.87	78.69	25.45	28.24	7.94	1.88	5.32	4.52	11.2	19.98	2.04
66.45	59.18	9.02	7.57	10.88	14.75	7.86	1.58	4.66	4.7	9.67	14.61	0.98	2.7	2.77	1.35	6.36	2.1	1.06	5.22	7.86	1.17	1.86	9.1	1.95	10.18	58.95	39.82	26.71	25.85	76.26	8.29	1.54	24.95	50.24	3.86	79.71	25.18	27.82	7.84	1.92	5.29	4.62	11.31	20.15	2.09
66.36	59.22	9.17	7.72	10.98	14.72	7.71	1.49	4.6	4.69	9.54	14.54	0.95	2.58	2.74	1.32	6.38	1.99	1.05	5.16	7.75	1.09	1.76	8.85	1.92	10.15	58.91	40.1	26.65	25.88	76.48	8.07	1.48	24.91	50.63	3.87	80.43	24.65	27.38	7.53	1.87	5.13	4.58	11.16	20.22	2.06
66.38	59.19	9.4	7.77	11.11	14.84	7.61	1.41	4.67	4.67	9.46	14.54	0.89	2.59	2.7	1.29	6.31	1.98	1.04	5.18	7.69	1.09	1.79	8.81	1.9	10.2	58.56	39.91	26.49	25.81	75.93	7.99	1.46	24.85	50.7	3.87	80.48	24.07	26.6	7.36	1.81	4.99	4.59	11.17	20.16	2.08
66.25	59.11	9.58	7.86	11.22	14.95	7.56	1.43	4.58	4.72	9.46	14.65	0.92	2.5	2.71	1.3	6.4	1.98	1.08	5.19	7.74	1.12	1.78	8.71	1.91	10.24	58.29	39.62	26.42	25.69	75.14	7.92	1.49	24.94	50.64	3.89	80.72	23.74	26.26	7.27	1.81	4.89	4.73	11.22	20.2	2.12
66.74	59.5	9.98	8.1	11.42	15.2	7.61	1.39	4.6	4.74	9.73	14.92	0.88	2.53	2.73	1.3	6.49	2.07	1.06	5.34	7.88	1.08	1.82	8.93	1.94	10.44	58.16	39.82	26.78	25.76	75.27	8.12	1.47	25.31	51.14	3.91	82.32	23.68	25.93	7.4	1.76	4.87	4.94	11.38	20.44	2.21
67.14	60.14	10.24	8.47	11.75	15.45	7.65	1.49	4.69	4.93	10.06	15.24	0.97	2.65	2.78	1.32	6.77	2.2	1.17	5.54	8.18	1.17	1.89	9.3	2	10.84	58.68	40.15	27.03	26.13	76.17	8.3	1.59	26	52.02	4.03	84.5	23.62	26.06	7.41	1.83	4.84	5.21	11.94	21.15	2.4
67.51	60.61	10.68	8.78	11.98	15.56	7.7	1.48	4.78	5.07	10.23	15.67	1	2.74	2.82	1.37	6.99	2.3	1.27	5.77	8.42	1.22	1.92	9.52	2.03	11.19	59.53	41.18	27.7	26.66	77.38	8.48	1.66	26.66	53.67	4.16	87.16	23.88	26.12	7.6	1.88	4.84	5.51	12.19	21.84	2.51
67.55	60.71	10.99	9.04	12.3	15.85	7.76	1.44	4.84	5.13	10.42	15.9	1.04	2.71	2.87	1.43	7.07	2.29	1.32	5.93	8.54	1.19	1.95	9.55	2.07	11.37	60.36	41.69	28.22	27.12	78.5	8.54	1.67	27.19	54.99	4.12	89.41	23.61	26.03	7.53	1.87	4.86	5.67	12.58	22.55	2.58
67.5	60.53	11.27	9.19	12.44	15.95	7.54	1.37	4.82	5.12	10.31	15.98	0.97	2.67	2.82	1.36	7.11	2.27	1.29	6.01	8.55	1.16	1.93	9.59	2.08	11.48	60.46	41.94	28.41	27.34	78.89	8.43	1.67	27.42	55.71	4.13	90.68	23.41	25.78	7.45	1.81	4.74	5.85	12.71	22.6	2.59
67.29	60.25	11.61	9.39	12.64	16.11	7.43	1.36	4.92	5.26	10.3	16.04	0.97	2.68	2.9	1.33	7.14	2.29	1.34	6.06	8.48	1.15	1.91	9.63	2.13	11.51	60.36	41.91	28.44	27.28	78.94	8.45	1.66	27.4	55.98	4.11	91.25	23.09	25.27	7.29	1.8	4.7	5.96	12.84	22.85	2.71
67.27	60.21	11.92	9.57	12.81	16.2	7.42	1.32	4.9	5.26	10.3	15.97	1.01	2.58	2.8	1.34	7.14	2.29	1.38	6.05	8.59	1.2	1.88	9.47	2.08	11.57	59.81	41.64	28.2	27.25	77.92	8.39	1.73	27.32	55.83	4.03	91.18	22.58	24.67	7.24	1.73	4.57	6.03	12.71	22.74	2.78
67.45	60.28	12.23	9.73	13.03	16.41	7.38	1.36	4.85	5.23	10.35	16.08	1.04	2.63	2.81	1.35	7.3	2.35	1.39	6.21	8.64	1.18	1.93	9.73	2.07	11.7	59.61	41.34	28.39	27.12	77.72	8.44	1.7	27.59	55.91	4.07	92.03	22.28	24.38	7.26	1.74	4.52	6.28	12.84	22.91	2.81
67.48	60.28	12.58	10.07	13.28	16.62	7.46	1.33	4.87	5.38	10.58	16.29	1.05	2.69	2.8	1.36	7.44	2.47	1.46	6.42	8.81	1.2	1.98	9.92	2.1	11.91	59.48	41.54	28.48	27.18	77.48	8.56	1.77	27.89	56.15	4.1	92.84	22	24.22	7.14	1.77	4.54	6.53	13.18	23.35	2.93
67.87	60.61	12.91	10.48	13.66	16.82	7.44	1.33	4.92	5.52	10.81	16.5	1.09	2.71	2.79	1.43	7.69	2.51	1.58	6.62	9.09	1.18	2.02	10.15	2.15	12.17	59.69	41.89	28.8	27.53	78.25	8.63	1.82	28.34	57.26	4.15	95.35	21.99	23.92	7.26	1.73	4.54	6.85	13.44	24.02	3.11
68.12	60.91	13.5	10.8	13.96	17.19	7.54	1.34	4.98	5.66	11.12	16.9	1.08	2.82	2.94	1.5	7.96	2.63	1.68	6.81	9.47	1.18	1.99	10.51	2.23	12.6	60.41	42.42	29.22	27.93	79.05	8.86	1.9	29.02	58.31	4.2	97.39	21.97	23.88	7.46	1.72	4.56	7.36	13.94	24.68	3.28
68.09	61.42	13.86	11.22	14.32	17.44	7.45	1.36	5.05	5.83	11.25	17.07	1.14	2.84	2.94	1.49	8.14	2.71	1.77	7.11	9.7	1.25	2.06	10.89	2.25	12.82	60.99	43.01	29.78	28.43	80.01	9	1.96	29.54	59.31	4.27	99.73	21.88	23.87	7.43	1.73	4.54	7.64	14.31	25.27	3.48
68.07	61.35	14.29	11.46	14.65	17.64	7.49	1.27	5.09	5.87	11.44	17.27	1.09	2.88	2.99	1.48	8.39	2.8	1.78	7.2	9.85	1.2	2.09	11.01	2.22	13.08	61.31	43.39	29.97	28.51	80.69	8.96	1.95	29.86	60.05	4.21	101.22	21.74	23.73	7.42	1.75	4.45	7.94	14.71	25.94	3.65
67.85	61.07	14.72	11.88	14.95	17.98	7.45	1.37	5.09	5.92	11.49	17.33	1.18	2.9	3	1.57	8.49	2.82	1.93	7.5	10.02	1.22	2.1	11.28	2.3	13.25	61.4	43.5	30.25	28.79	80.9	9.08	2.02	30.06	60.54	4.33	102.43	21.56	23.29	7.44	1.75	4.53	8.23	14.98	26.31	3.74
67.88	61.13	15.24	12.24	15.35	18.11	7.36	1.33	5.17	6.01	11.64	17.63	1.18	2.85	3.06	1.55	8.62	2.91	1.96	7.59	10.19	1.16	2.13	11.29	2.38	13.35	61.74	43.81	30.39	28.91	81.23	9.12	2.09	30.47	61.42	4.29	103.97	21.36	23.03	7.43	1.75	4.49	8.5	15.31	26.67	3.86
68.1	61.07	15.59	12.66	15.64	18.57	7.35	1.34	5.21	6.13	11.73	17.86	1.27	2.9	2.99	1.55	8.84	2.89	2.06	7.73	10.36	1.2	2.11	11.52	2.34	13.66	61.94	43.93	30.65	29.16	81.56	9.22	2.11	30.83	62.13	4.37	105.34	21.08	22.86	7.31	1.71	4.47	8.8	15.67	27.34	3.99
67.92	61.23	16	12.98	16.03	18.91	7.3	1.37	5.23	6.2	11.82	17.91	1.24	2.95	3.06	1.61	8.88	2.96	2.14	7.97	10.47	1.27	2.15	11.67	2.45	13.69	62.26	44.3	30.81	29.28	81.84	9.33	2.16	31.12	62.6	4.44	106.62	20.92	22.52	7.32	1.74	4.4	9.07	16.15	27.82	4.1
67.76	60.89	16.49	13.28	16.27	18.96	7.18	1.34	5.14	6.26	11.76	17.86	1.22	2.88	2.99	1.56	8.99	2.93	2.12	7.99	10.52	1.23	2.07	11.73	2.42	13.83	62.06	44.17	30.99	29.27	81.56	9.25	2.18	31.09	62.82	4.35	107.13	20.53	22.26	7.29	1.7	4.34	9.31	16.21	27.99	4.17
67.82	60.96	16.93	13.57	16.62	19.12	7.27	1.29	5.24	6.32	11.95	17.93	1.23	2.84	3.05	1.46	9.12	3.06	2.24	8.19	10.74	1.16	2.09	11.94	2.46	13.91	62.11	44.41	31.03	29.41	81.71	9.27	2.13	31.42	63.36	4.36	107.86	20.16	21.6	7.17	1.68	4.31	9.53	16.46	28.3	4.33
68.02	60.88	17.47	14.15	17.02	19.54	7.15	1.26	5.28	6.43	11.98	18.16	1.22	2.87	3.07	1.54	9.28	3.11	2.34	8.45	10.89	1.18	2.09	12.12	2.47	14.06	61.97	44.19	31.16	29.45	81.68	9.37	2.21	31.71	63.72	4.36	108.84	19.84	21.48	7.15	1.71	4.24	9.9	16.71	28.57	4.5
68.07	61.05	17.94	14.53	17.36	19.87	7.24	1.22	5.25	6.5	12.07	18.26	1.23	2.89	3.07	1.54	9.48	3.11	2.44	8.62	11.11	1.17	2.14	12.27	2.54	14.25	62.07	44.35	31.33	29.62	81.78	9.5	2.19	31.85	64.01	4.37	109.24	19.59	21.02	7.14	1.6	4.21	10.18	16.95	29.16	4.6
67.76	60.97	18.41	14.87	17.84	20.08	7.29	1.23	5.31	6.58	12.16	18.26	1.31	2.86	3.11	1.56	9.67	3.27	2.48	8.74	11.29	1.17	2.22	12.6	2.59	14.36	61.89	44.51	31.22	29.53	81.65	9.5	2.31	32.05	64.25	4.38	110.58	19.29	20.66	7.06	1.72	4.17	10.55	17.31	29.42	4.84
67.85	61	18.9	15.4	18.16	20.45	7.24	1.32	5.34	6.66	12.42	18.44	1.31	2.95	3.19	1.59	9.87	3.33	2.62	9.02	11.64	1.12	2.21	12.86	2.56	14.61	62.05	44.55	31.65	29.69	81.78	9.62	2.34	32.28	64.72	4.45	111.6	19.25	20.45	7.06	1.65	4.2	10.89	17.73	29.99	5.03
67.82	61.32	19.45	15.83	18.69	20.7	7.27	1.33	5.43	6.77	12.51	18.56	1.39	3.03	3.19	1.66	10.12	3.44	2.83	9.27	11.97	1.16	2.2	13.3	2.7	14.74	61.91	44.69	31.69	29.97	82.06	9.76	2.41	32.84	65.16	4.51	112.52	18.98	20.29	7.09	1.7	4.23	11.38	18.19	30.32	5.22
67.76	61.19	20.04	16.37	19.01	21.15	7.24	1.22	5.45	6.88	12.74	18.73	1.36	3.01	3.23	1.66	10.32	3.43	2.89	9.59	12.19	1.13	2.26	13.71	2.69	14.97	62.1	45.04	32.02	29.95	82.4	9.91	2.45	33.06	65.7	4.53	114.28	18.77	19.93	7.12	1.7	4.22	11.77	18.63	31.11	5.44
67.81	61.23	20.67	16.89	19.52	21.53	7.23	1.23	5.45	6.98	12.78	18.95	1.38	3.05	3.29	1.71	10.68	3.53	3.08	9.83	12.5	1.12	2.29	14.04	2.75	15.25	62.73	45.37	32.43	30.24	82.82	9.94	2.45	33.47	66.65	4.55	115.77	18.57	19.7	7.22	1.68	4.21	12.25	19.24	31.85	5.7
68.22	61.38	21.26	17.53	20.12	22.03	7.28	1.3	5.57	7.07	13.08	19.21	1.48	3.11	3.38	1.74	10.94	3.74	3.28	10.15	12.93	1.26	2.38	14.48	2.86	15.46	62.94	45.87	32.76	30.6	83.68	10.09	2.6	33.85	67.3	4.65	117.36	18.41	19.55	7.18	1.73	4.24	12.71	19.67	32.55	5.87
68.04	61.42	21.66	18.03	20.58	22.38	7.25	1.3	5.65	7.16	13.08	19.28	1.54	3.11	3.39	1.76	11.18	3.85	3.41	10.38	13.2	1.21	2.34	14.76	2.94	15.62	63.51	46.1	32.85	30.71	83.98	10.2	2.62	34.19	68.1	4.65	118.63	18.35	19.25	7.17	1.68	4.14	13.16	20.11	33.04	6.17
68.29	61.42	22.53	18.47	21.12	22.87	7.18	1.28	5.55	7.24	13.28	19.38	1.46	3.07	3.39	1.61	11.24	3.91	3.55	10.48	13.4	1.15	2.35	14.97	2.93	15.72	63.5	46.25	33.24	30.83	84.44	10.26	2.62	34.53	68.67	4.69	119.7	18.08	18.99	7.11	1.63	4.13	13.53	20.68	33.7	6.28
68.83	61.75	23.14	19.05	21.63	23.24	7.15	1.19	5.66	7.41	13.47	19.52	1.49	3.05	3.46	1.62	11.61	3.92	3.66	10.76	13.72	1.12	2.32	15.46	2.93	15.91	63.81	46.66	33.59	31.27	85.2	10.38	2.66	35.14	69.7	4.68	121.15	17.87	18.77	7.14	1.61	4.14	13.98	21.28	34.54	6.62
68.68	61.82	23.7	19.73	22.22	23.65	7.17	1.16	5.72	7.46	13.47	19.81	1.53	3.07	3.43	1.67	11.87	4.02	3.74	11.18	13.97	1.11	2.4	15.83	3.07	16.03	64.43	46.92	33.91	31.33	85.8	10.51	2.71	35.47	70.55	4.7	122.49	17.77	18.51	7.07	1.67	4.03	14.61	21.67	35.11	6.84
68.89	62.11	24.51	20.21	22.8	24.23	7.13	1.17	5.75	7.54	13.52	19.82	1.56	3.07	3.49	1.63	12.03	4.03	3.96	11.25	14.12	1.17	2.39	16.07	3.19	16.18	64.35	47.11	33.98	31.5	85.63	10.65	2.69	35.66	70.53	4.73	122.25	17.45	18.1	6.92	1.64	4.06	14.92	22.07	35.67	7.03
68.83	61.96	25.02	20.85	23.28	24.5	7.07	1.15	5.73	7.53	13.54	19.75	1.5	2.97	3.49	1.61	12.2	4.18	4.05	11.45	14.31	1.13	2.34	16.31	3.21	16.18	64.15	47.05	34.01	31.41	85.84	10.58	2.67	35.67	70.61	4.69	121.42	17.12	17.82	6.85	1.61	3.94	15.09	22.26	35.81	7.15
68.71	62.03	25.6	21.33	23.81	25.02	7.05	1.14	5.82	7.66	13.52	19.73	1.54	3	3.5	1.63	12.35	4.18	4.18	11.66	14.49	1.14	2.4	16.54	3.21	16.26	63.97	46.79	34.09	31.29	85.29	10.61	2.7	35.55	70.6	4.67	120.82	16.91	17.45	6.79	1.61	3.9	15.5	22.58	36.03	7.32
68.78	61.85	26.18	21.95	24.22	25.48	7.04	1.12	5.72	7.65	13.58	19.81	1.54	3.01	3.57	1.59	12.53	4.25	4.34	11.9	14.79	1.11	2.34	16.87	3.27	16.26	63.66	46.81	33.98	31.26	84.78	10.54	2.71	35.51	70.25	4.68	120.46	16.58	16.98	6.72	1.56	3.85	15.91	22.96	36.28	7.56
69.12	62.22	26.8	22.6	24.77	25.6	7.03	1.12	5.84	7.79	13.79	19.93	1.63	3.06	3.59	1.67	12.85	4.4	4.58	12.2	15.21	1.03	2.41	17.55	3.42	16.49	63.8	46.8	34.06	31.26	84.82	10.73	2.8	35.88	70.52	4.73	121.42	16.42	16.86	6.75	1.62	3.87	16.48	23.49	36.87	7.8
69.41	62.3	27.46	23.23	25.39	26.16	7.02	1.09	5.83	7.83	13.93	20.03	1.68	3.11	3.61	1.67	13.18	4.48	4.76	12.44	15.74	1	2.47	18.13	3.4	16.65	63.71	46.84	34.42	31.37	84.92	10.84	2.86	36.12	70.65	4.69	122.23	16.14	16.56	6.7	1.57	3.84	17.07	23.9	37.22	8.09
68.96	62.2	28.03	23.91	25.89	26.54	7.02	1.07	5.82	7.83	14.12	20.1	1.71	3.15	3.67	1.68	13.41	4.65	5	12.81	16.18	1.02	2.48	18.76	3.46	16.73	63.84	46.89	34.27	31.36	84.81	10.86	2.88	36.47	70.78	4.7	123.31	16	16.3	6.72	1.55	3.84	17.5	24.35	37.7	8.38
68.99	62.19	28.78	24.58	26.58	26.87	7.03	1.06	5.78	7.93	14.15	20.12	1.82	3.25	3.78	1.71	13.68	4.74	5.21	13.2	16.63	0.99	2.52	19.41	3.55	17.01	63.66	46.97	34.55	31.36	84.85	11.12	2.92	36.41	71.06	4.75	124.39	15.66	16.13	6.69	1.54	3.81	18.08	24.81	38.3	8.69
68.8	62.25	29.21	25.37	27.09	27.34	7.14	1.13	5.89	8.13	14.44	20.4	1.89	3.34	3.91	1.82	14.13	4.92	5.52	13.65	17.15	1.05	2.56	20	3.69	17.05	63.57	46.92	34.61	31.36	84.95	11.18	3.08	36.72	71.26	4.8	125.05	15.58	15.87	6.75	1.57	3.82	18.72	25.26	38.87	9.04
68.69	62.06	29.9	25.91	27.73	27.64	7.17	1.19	5.89	8.24	14.49	20.38	1.95	3.44	3.99	1.82	14.38	5.06	5.82	13.96	17.64	1.06	2.54	20.76	3.78	17.2	63.53	46.78	34.75	31.36	84.81	11.22	3.08	36.78	71.21	4.78	125.79	15.42	15.7	6.74	1.59	3.91	19.24	25.63	39.45	9.34
68.95	62.14	30.68	26.58	28.36	28.47	7.1	1.12	5.97	8.35	14.77	20.54	2.07	3.55	4.15	1.94	14.9	5.28	6.09	14.45	18.26	1.07	2.65	21.6	3.84	17.46	64.01	47.14	34.82	31.67	84.98	11.46	3.18	37.07	71.53	4.81	127.48	15.31	15.51	6.81	1.62	3.82	20	26.42	40.25	9.68
68.83	62.28	31.3	27.4	29.06	28.75	7.1	1.13	6.01	8.53	15.05	20.77	2.15	3.7	4.24	1.99	15.17	5.46	6.45	14.84	18.9	1.09	2.7	22.56	3.97	17.76	64.06	47.26	35.12	31.67	85.37	11.62	3.28	37.4	71.97	4.94	129.13	15.28	15.41	6.85	1.55	3.75	20.83	27.12	40.85	10.1
