"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
5.79	7.15	4.5	3.59	29.93	13.71	11.47	14.35	4.16	5.63	7.22	4.34
5.84	7.28	4.62	3.31	29.66	13.45	11.28	14.3	3.95	5.78	7.19	4.27
5.87	7.13	4.7	3.41	29.49	13.38	11.11	14.14	3.86	5.55	7.18	4.26
6.14	7.24	4.74	3.43	29.6	13.26	11.25	14.06	3.95	5.67	7.26	4.14
6.07	6.89	4.8	3.4	29.33	13.2	11.23	14.06	3.99	5.5	7.31	4.2
6.1	7.22	5.04	3.26	29.21	13.22	11.24	13.8	3.89	5.61	7.12	4.09
6.3	7.08	5.1	3.55	29.64	13.4	11.26	14.21	3.94	5.64	7.18	4.27
6.39	7.1	5.12	3.29	29.19	13.12	11.18	14.11	3.87	5.47	7.06	4.2
6.32	6.81	5.28	3.15	28.85	12.87	10.92	13.82	3.74	5.39	6.88	3.93
6.24	6.95	5.27	3.14	28.9	12.83	10.86	13.48	3.76	5.42	6.83	3.87
6.27	6.87	5.36	3.14	28.72	12.83	11.26	13.81	3.8	5.35	6.84	3.9
6.61	6.97	5.46	3.07	28.68	13	11.01	13.71	3.78	5.26	6.79	4
6.65	7.11	5.77	3.31	28.97	12.95	11.14	13.95	3.88	5.41	6.95	4.12
6.75	7.12	5.8	3.24	28.92	13.02	10.94	13.82	3.65	5.26	7.02	4.02
6.87	7.18	5.9	3.31	28.7	12.95	10.88	13.65	3.75	5.29	6.77	4.07
6.95	7.27	6.09	3.08	28.37	12.67	10.89	13.5	3.75	5.34	6.85	4.03
6.99	6.89	6.1	2.93	28.18	12.41	10.76	13.34	3.61	5.12	6.46	3.89
7.17	6.94	6.37	3.11	28.09	12.53	10.88	13.41	3.79	5.3	6.67	3.98
7.29	6.85	6.31	2.87	27.92	12.16	10.68	13.34	3.54	5.16	6.45	3.83
7.32	6.88	6.4	2.76	27.83	12.19	10.52	13.21	3.48	5.04	6.38	3.75
7.39	6.9	6.55	2.82	27.71	12.16	10.55	13.09	3.66	5.07	6.39	3.68
7.68	7.08	6.76	2.85	27.77	12.21	10.54	13.24	3.65	5.23	6.52	3.88
7.93	7.36	7.23	3.18	28.19	12.72	10.85	13.57	3.77	5.29	6.82	3.96
8.18	7.56	7.36	3.16	28.52	12.63	10.67	13.63	3.71	5.4	6.81	3.97
8.34	7.74	7.54	3.18	28.24	12.74	10.76	13.51	3.67	5.23	6.92	4
8.42	7.81	7.73	3.19	28.48	12.74	10.83	13.58	3.73	5.45	6.83	4.12
8.66	7.94	7.86	3.28	27.95	12.5	10.73	13.28	3.72	5.41	6.88	4.05
8.92	7.84	8.04	3.03	28.17	12.64	10.76	13.34	3.73	5.44	6.86	4.2
9.2	7.81	8.37	3.1	27.95	12.51	10.8	13.42	3.8	5.34	6.91	4.12
9.26	7.82	8.56	3.21	27.68	12.41	10.52	13.3	3.74	5.33	6.75	4.08
9.68	7.76	8.66	3.12	27.76	12.43	10.74	13.28	3.66	5.35	6.53	4.03
9.66	7.76	8.82	3.05	27.45	12.17	10.59	13.24	3.72	5.14	6.66	4.02
9.84	7.81	9.05	3.13	27.52	12.33	10.62	13.11	3.62	5.32	6.68	4.12
10.04	7.89	9.18	3.1	27.37	12.17	10.41	13.17	3.64	5.27	6.67	4.17
10.16	8.04	9.51	3.12	27.8	12.51	10.72	13.26	3.72	5.32	6.82	4.11
10.64	8.45	9.86	3.29	27.91	12.84	10.51	13.39	3.87	5.41	7.11	4.18
10.98	8.31	10.17	3.26	28.18	12.54	10.55	13.36	3.76	5.47	6.97	4.3
11.27	8.54	10.41	3.33	27.95	12.68	10.83	13.53	3.86	5.53	7.1	4.15
11.61	8.78	10.72	3.51	28.21	12.85	10.81	13.44	3.92	5.58	7.21	4.45
11.79	8.61	10.99	3.19	28.05	12.7	10.76	13.36	3.78	5.47	7.01	4.2
11.94	8.4	11.09	3.25	27.57	12.49	10.51	13.32	3.85	5.41	7.06	4.21
12.12	8.42	11.37	3.2	27.76	12.48	10.65	13.26	3.91	5.41	6.82	4.23
12.47	8.35	11.36	3.11	27.54	12.39	10.58	13.22	3.9	5.36	7.02	4.07
12.71	8.5	11.77	3.21	27.53	12.7	10.65	13.14	3.97	5.54	6.97	4.28
12.69	8.51	12.04	3.34	27.71	12.53	10.6	13.35	3.88	5.51	7.01	4.27
12.89	8.13	12.17	3.01	27.35	12.26	10.69	13.1	3.6	5.33	6.84	4.05
13.11	8.14	12.25	3.02	26.95	12.1	10.46	12.74	3.79	5.09	6.58	4.08
13.3	8.1	12.53	3.07	26.98	12.2	10.29	12.84	3.68	5.31	6.64	4.19
13.46	7.89	12.72	2.79	26.64	12	10.31	12.76	3.68	5.14	6.34	3.93
13.69	7.72	12.66	2.77	26.6	11.6	10.29	12.69	3.58	5.03	6.27	3.88
13.71	7.98	13.12	2.85	26.77	11.78	10.29	12.65	3.61	5.13	6.43	4.05
14.12	7.93	13.09	2.79	26.6	11.87	10.25	12.77	3.73	5.14	6.44	3.99
14.23	8.21	13.39	2.77	27.02	11.93	10.27	12.7	3.64	5.18	6.59	4.07
14.55	8.3	13.79	3.02	27.2	12.37	10.33	12.92	3.74	5.4	6.72	4.15
14.84	8.37	13.83	3.03	27.34	12.4	10.54	13.04	3.76	5.35	6.81	4.17
15.13	8.74	14.32	3.21	27.42	12.35	10.58	13.27	3.85	5.51	7.11	4.47
15.21	8.54	14.44	3.21	27.54	12.52	10.47	13.17	3.85	5.42	7.1	4.45
15.56	8.67	14.48	3.31	27.31	12.42	10.52	13.05	3.99	5.55	6.95	4.5
15.38	8.69	14.77	3.28	27.32	12.5	10.59	13	3.9	5.52	7.25	4.48
15.97	8.96	15.03	3.3	27.3	12.6	10.67	13.28	3.91	5.69	7.17	4.55
16.04	8.77	15.06	3.18	27.18	12.27	10.51	13.07	3.86	5.61	7.21	4.41
16.16	8.62	15.18	3.22	27.55	12.33	10.55	13.13	3.94	5.47	7.22	4.44
16.24	8.66	15.49	3.29	27.14	12.43	10.45	12.96	4.02	5.56	7.13	4.35
16.58	8.81	15.39	3.32	27.5	12.51	10.19	13.17	3.92	5.51	7.17	4.47
16.47	8.71	15.28	3.31	27.12	12.3	10.27	12.99	3.89	5.4	7.27	4.39
16.59	8.86	15.58	3.29	27.72	12.49	10.43	13.18	3.98	5.49	7.3	4.49
16.95	8.9	15.55	3.3	26.88	12.24	10.36	12.86	3.71	5.5	7.29	4.37
16.62	8.52	15.63	3.04	26.7	12.24	10.25	12.83	3.78	5.29	7.04	4.33
16.89	8.55	15.63	3.11	26.71	12.12	10.08	12.77	3.95	5.52	7.13	4.27
17.1	8.73	15.71	3.12	27.02	12.12	10.17	12.76	3.76	5.31	7.23	4.38
17.37	8.97	15.97	3.47	27.17	12.39	10.45	13.09	4.09	5.64	7.57	4.49
17.54	8.87	16.03	3.34	27.02	12.47	10.34	13.07	3.97	5.59	7.22	4.45
17.61	9.05	16.28	3.49	27.28	12.41	10.51	13.12	4.12	5.68	7.29	4.6
17.79	9	16.58	3.5	27.16	12.72	10.7	13.21	4.1	5.68	7.57	4.75
17.67	9.16	16.37	3.35	27.03	12.53	10.21	12.87	3.89	5.56	7.39	4.54
17.97	9.15	16.37	3.45	26.96	12.47	10.45	12.94	4.09	5.72	7.36	4.51
18.1	9.22	16.55	3.52	27.26	12.55	10.37	13.07	3.98	5.67	7.57	4.51
18.35	9.13	16.35	3.57	27.15	12.33	10.36	12.97	4.09	5.63	7.66	4.55
18.12	8.99	16.64	3.54	26.88	12.38	10.19	12.76	4.01	5.52	7.34	4.6
18.56	9.23	16.74	3.32	26.92	12.37	10.47	13.01	3.97	5.66	7.57	4.58
18.44	8.78	16.67	3.18	26.44	12.09	10.19	12.71	3.76	5.53	7.2	4.22
18.53	8.68	16.57	3.1	26.36	11.94	9.91	12.54	3.72	5.33	6.83	4.32
18.54	8.57	16.51	3	26.07	11.89	10.09	12.44	3.76	5.32	7.13	4.3
18.37	8.55	16.64	3.03	25.71	11.76	10	12.35	3.7	5.29	6.8	4.27
18.57	8.41	16.78	2.93	25.89	11.64	10.12	12.37	3.77	5.29	6.97	4.36
18.87	8.6	16.79	2.91	25.9	11.63	9.93	12.41	3.73	5.26	6.93	4.38
18.87	8.26	16.89	2.94	25.97	11.69	9.9	12.34	3.65	5.35	6.79	4.25
18.91	8.36	16.9	3.06	25.51	11.65	9.88	12.3	3.77	5.39	6.9	4.41
19.02	8.43	16.9	3	25.36	11.42	9.88	12.18	3.7	5.34	6.74	4.34
19.3	8.33	16.88	2.86	25.36	11.44	9.76	12.23	3.67	5.24	6.88	4.28
19.15	8.44	17.01	2.99	26.23	11.6	9.94	12.21	3.77	5.22	7.06	4.28
19.31	8.88	17.23	3.2	26.09	11.99	10.02	12.44	3.84	5.44	7.32	4.55
19.57	8.87	17.32	3.22	26.6	12.15	10.07	12.72	3.93	5.54	7.26	4.51
19.63	9.06	17.31	3.31	26.39	12.18	10.04	12.46	3.97	5.54	7.41	4.63
19.81	9.02	17.43	3.22	26.15	11.86	9.94	12.32	3.85	5.5	7.37	4.54
20.02	9.17	17.65	3.35	26.3	12.06	10.17	12.64	4.1	5.52	7.29	4.6
20.02	8.86	17.41	3.14	26.02	11.77	9.84	12.24	3.85	5.26	7.16	4.39
20.23	9.1	17.26	3.21	26.04	11.99	9.88	12.36	3.72	5.38	7.28	4.44
20.06	9.07	17.34	3.11	25.98	11.95	9.94	12.52	3.72	5.37	7.07	4.6
19.95	9.17	16.99	3.32	25.97	12.16	10.1	12.56	3.83	5.59	7.38	4.53
20.12	9.31	17.11	3.33	26.18	12.28	10.1	12.52	4.16	5.73	7.47	4.59
20.32	9.65	16.98	3.23	25.99	12.18	10.11	12.49	3.99	5.62	7.51	4.68
20.28	9.23	16.9	3.2	25.99	11.93	9.97	12.44	3.86	5.32	7.48	4.8
20.4	9.35	16.82	3.43	26.1	11.95	9.95	12.31	3.81	5.45	7.81	4.68
20.46	9.3	16.9	3.53	26.4	12.15	10.06	12.84	4.1	5.6	7.86	4.83
20.64	9.68	17.13	3.65	26.51	12.21	9.97	12.93	4.17	5.69	7.92	4.74
20.24	9.52	16.83	3.44	26.71	12.35	9.9	12.73	4.06	5.55	7.7	4.93
20.45	9.7	16.89	3.54	26.6	12.45	10.16	12.69	4.33	5.83	7.95	4.91
20.44	9.39	16.43	3.42	25.98	12.3	9.99	12.74	4.16	5.73	7.93	4.58
20.43	9.25	16.57	3.29	25.71	12.18	9.92	12.51	3.85	5.57	7.64	4.68
20.44	9.19	16.6	3.16	25.48	11.95	9.83	12.18	3.88	5.35	7.43	4.71
20.43	9.44	16.48	3.24	25.68	12.02	9.7	12.46	4.16	5.44	7.48	4.58
20.89	9.52	16.67	3.4	25.49	12.28	9.9	12.55	4.18	5.74	7.92	4.87
21.2	9.52	16.79	3.54	25.59	11.91	9.81	12.32	3.88	5.73	7.65	4.61
21.35	9.53	16.87	3.37	25.97	11.71	9.9	12.67	3.91	5.62	7.71	4.7
21.28	9.65	16.46	3.42	25.59	11.97	9.63	12.16	4.02	5.64	7.81	4.76
21.22	9.51	16.94	3.43	25.47	12.06	9.85	12.51	4.06	5.69	7.86	4.96
21.6	9.62	17.13	3.42	25.7	12.11	9.85	12.45	4.13	5.69	7.93	4.86
21.45	9.37	17.09	3.22	25.62	11.85	9.77	12.29	3.85	5.47	7.66	4.58
21.9	9.38	17.37	3.23	25.36	11.88	9.85	12.2	4.04	5.51	7.76	4.85
21.83	9.19	17.38	3.13	25.24	11.75	9.63	12.09	3.91	5.44	7.51	4.77
21.85	9.12	17.54	3.15	25.03	11.66	9.76	12.01	3.97	5.44	7.37	4.68
22	9.15	17.69	3.07	24.95	11.5	9.59	11.76	4.02	5.28	7.32	4.42
22.12	9.09	17.49	2.86	24.78	11.31	9.38	11.84	3.77	5.26	7.09	4.62
22.46	9.16	17.66	3.06	24.8	11.47	9.38	11.73	3.79	5.4	7.33	4.54
22.24	9.2	17.91	3.05	24.99	11.65	9.6	11.88	3.86	5.47	7.52	4.75
22.91	9.17	18.09	3.02	24.73	11.43	9.33	12.08	3.88	5.5	7.68	4.46
22.49	8.79	17.94	3.02	24.2	11.2	9.24	11.62	3.75	5.18	7.25	4.45
22.77	9.09	17.93	2.94	24.77	11.43	9.41	11.95	3.81	5.35	7.31	4.61
22.77	9.05	17.91	3.03	24.54	11.29	9.48	11.61	3.85	5.32	7.21	4.52
23.11	9	18.28	2.96	24.55	11.42	9.24	11.88	3.72	5.35	7.34	4.57
22.99	9.25	18.49	3.13	24.76	11.67	9.31	12.03	3.99	5.51	7.7	4.74
23.05	9.23	18.24	2.89	24.73	11.33	9.17	11.92	3.84	5.2	7.47	4.59
23.14	9.32	18.17	3.07	24.72	11.6	9.34	12.06	3.87	5.34	7.6	4.73
22.94	9.23	17.85	2.96	24.73	11.43	9.38	11.75	3.75	5.26	7.54	4.7
23.24	9.33	18.03	3.19	24.94	11.44	9.31	11.76	3.82	5.46	7.57	4.71
23.09	9.21	17.84	3.16	24.84	11.29	9.2	11.84	3.87	5.42	7.49	4.6
22.78	9.24	17.61	3.16	24.41	11.32	9.07	11.6	3.74	5.22	7.37	4.56
23.26	9.21	17.77	3.29	24.62	11.86	9.41	11.98	4.05	5.35	7.64	4.77
22.92	9.17	17.47	3.07	24.65	11.41	9.31	11.64	3.96	5.3	7.58	4.71
22.98	9.35	17.45	2.91	24.43	11.35	9.25	11.83	3.85	5.54	7.61	4.58
22.87	9.27	17.1	3.1	24.59	11.45	9.36	11.8	4.11	5.48	7.55	4.85
22.52	9.21	17.08	2.98	24.44	11.41	9.21	11.8	3.96	5.38	7.4	4.77
22.7	9.05	16.6	3	24.26	11.44	9.23	11.67	3.62	5.29	7.4	4.64
22.53	9.3	16.51	3.15	24.41	11.49	9.29	12	3.89	5.47	7.58	4.9
22.48	8.99	16.35	2.69	24.17	11.26	9.07	11.47	3.83	5.27	7.21	4.68
22.66	8.99	16.4	2.95	24.29	11.25	9.3	11.55	3.81	5.47	7.5	4.6
22.39	9.03	16.01	2.87	24.42	11.18	9.16	11.47	3.88	5.32	7.23	4.49
22.69	9.11	15.9	2.88	24.29	11.42	9.08	11.69	3.91	5.4	7.24	4.62
22.03	9.19	15.78	2.86	24.18	11.14	9.08	11.62	3.82	5.32	7.55	4.68
22.03	8.89	15.77	2.8	24.18	11.32	8.94	11.35	3.79	5.37	7.56	4.65
22.12	8.98	15.96	3.08	23.84	11.38	9.09	11.6	3.88	5.19	7.38	4.56
22.46	8.86	15.86	3	24.02	11.41	9.27	11.31	3.82	5.36	7.41	4.71
22.6	9.35	15.93	2.94	24.15	11.4	9.11	11.64	3.94	5.41	7.6	4.81
22.31	9.06	16.03	2.72	24.15	11.37	9.23	11.41	4.01	5.21	7.38	4.65
22.69	8.89	15.7	2.98	23.77	11.35	9.2	11.51	4	5.33	7.52	4.67
22.69	8.91	15.86	2.92	23.77	11.31	8.97	11.45	3.82	5.38	7.53	4.84
22.63	8.84	16.08	2.87	24.05	11.32	9.08	11.36	3.94	5.38	7.58	4.67
23.11	8.95	16.4	2.73	23.66	11.25	9.03	11.41	3.83	5.42	7.34	4.67
23.5	9.06	16.92	2.97	23.84	11.33	9.03	11.52	4.15	5.47	7.53	4.78
23.37	8.87	16.8	2.71	23.51	11.06	9.02	11.32	3.88	5.17	7.41	4.63
23.77	8.9	17.29	2.69	23.97	11.12	8.99	11.48	3.95	5.21	7.67	4.81
23.78	8.89	17.45	2.86	23.71	11.12	9.1	11.3	4.15	5.08	7.47	4.81
24.48	9.08	17.84	2.94	23.81	11.22	8.99	11.5	4.06	5.4	7.51	4.72
24.44	8.81	18.21	2.87	23.89	11.11	8.83	11.39	3.93	5.21	7.35	4.64
25.08	8.89	18.35	2.6	23.52	11.3	8.95	11.38	4.01	5.33	7.56	4.79
25.2	8.81	18.86	2.66	23.32	11.03	8.83	11.16	3.92	5.09	7.4	4.66
25.58	8.88	19.29	2.92	23.27	11.13	9.24	11.17	4.03	5.34	7.51	4.75
25.97	8.71	19.47	2.68	23.54	11.12	8.72	11.31	3.84	5.3	7.37	4.77
26.19	8.91	19.97	2.89	23.61	11.25	8.99	11.32	3.91	5.33	7.39	4.94
26.59	8.63	20.41	2.78	23.44	11.15	8.83	11.35	3.94	5.14	7.22	4.76
26.54	8.81	20.6	2.8	23.42	11.25	8.89	11.5	3.82	5.28	7.49	4.86
26.97	8.92	21.08	2.82	23.5	11.17	8.82	11.32	3.94	5.06	7.5	4.92
27.31	8.77	21.62	2.98	23.61	11.26	8.83	11.39	4.05	5.43	7.45	4.88
27.38	8.94	21.9	2.69	23.36	11.27	8.75	11.32	3.98	5.3	7.49	4.77
27.74	8.79	22.04	2.77	23.49	11.36	8.84	11.07	4.05	5.41	7.39	4.78
27.95	8.59	22.41	2.64	23.08	11.11	8.68	11.1	3.8	5.14	7.3	4.76
28.39	8.54	22.66	2.6	23.26	11.07	8.56	11.07	3.99	5.2	7.36	4.61
28.33	8.65	23	2.75	22.99	10.91	8.51	11.14	3.92	5.31	7.23	4.53
28.49	8.55	23.19	2.7	23.1	11.02	8.78	11.14	4	5.38	7.26	4.56
28.35	8.59	23.3	2.69	22.76	10.76	8.76	10.97	3.86	5.28	7.21	4.76
28.22	8.54	23.39	2.63	22.87	10.88	8.7	10.9	3.75	5.15	7.17	4.63
28.92	8.83	23.99	2.7	23.23	10.94	8.84	11.25	3.97	5.4	7.37	4.85
28.48	8.66	23.73	2.7	23.24	11.02	8.71	11.27	3.96	5.32	7.29	4.87
28.73	8.59	23.62	2.64	23.16	11.23	8.65	11.1	4	5.43	7.44	4.84
28.94	8.55	23.87	2.82	23.02	11.32	8.66	11.14	3.89	5.26	7.37	4.68
29.05	8.95	24.08	2.73	23.25	11.42	8.74	11.23	4.07	5.36	7.55	4.88
28.72	8.84	23.93	2.48	23.12	11.18	8.52	11.21	3.95	5.13	7.38	4.71
28.8	8.81	23.84	2.7	23.18	11.17	8.69	11.25	3.94	5.37	7.57	4.89
28.73	8.65	23.64	2.69	22.49	11.37	8.82	10.98	3.67	5.32	7.61	4.79
28.77	8.29	23.8	2.55	22.86	11.16	8.61	11.19	3.8	5.18	7.37	4.84
29.29	8.57	23.71	2.69	22.87	11.1	8.76	11.07	4.07	5.25	7.28	4.75
29.03	8.61	23.6	2.62	22.77	11.39	8.63	10.96	3.89	5.29	7.19	4.9
28.78	8.62	23.41	2.62	22.87	11.24	8.51	11.27	4.09	5.53	7.43	4.8
29	8.6	23.41	2.63	22.9	11.22	8.5	11.1	3.8	5.26	7.42	4.75
28.8	8.64	23.54	2.81	22.91	11.38	8.56	11.09	3.79	5.39	7.58	4.9
28.67	8.54	23.23	2.51	22.75	11.24	8.52	11.06	3.71	5.08	7.57	4.78
28.44	8.58	23.12	2.63	22.58	11.23	8.58	10.86	3.75	5.14	7.35	4.88
28.48	8.81	23.14	2.76	23.01	11.23	8.61	11.28	3.96	5.28	7.6	5.04
28.5	8.88	22.78	2.75	22.81	11.35	8.74	11.08	4.06	5.34	7.57	5.03
28.13	8.71	22.56	2.51	22.85	11.16	8.54	11.15	3.95	5.29	7.32	4.85
27.82	8.48	22.1	2.63	22.37	11.13	8.51	10.88	3.91	5.24	7.59	4.76
27.96	8.56	22.14	2.56	22.4	11.37	8.57	11.02	3.93	5.19	7.39	4.9
27.79	8.45	21.96	2.5	22.2	11.13	8.47	11.01	3.84	5.29	7.48	4.93
27.6	8.55	21.76	2.52	22.44	11.41	8.48	10.96	4.01	5.31	7.49	4.91
27.4	8.67	22.03	2.4	22.43	11.13	8.45	11.12	4.03	5.2	7.42	4.9
27.23	8.34	21.24	2.38	21.98	11.23	8.48	10.73	3.78	5.13	7.17	4.76
27.13	8.44	21.14	2.39	22.04	11.29	8.43	10.89	3.76	5.03	7.26	4.77
27.11	8.51	21.18	2.54	22.14	11.25	8.67	10.72	4.06	5.22	7.33	4.91
26.93	8.23	20.9	2.39	22.09	11.25	8.52	10.93	3.96	5.23	7.18	4.9
27.02	8.62	20.82	2.47	22.01	11.2	8.5	11.03	4	5.21	7.23	5
26.82	8.33	20.6	2.37	21.96	11.13	8.42	11	3.78	5.05	7.23	4.78
26.76	8.45	20.36	2.45	21.55	11.17	8.36	10.79	3.89	5.27	7.19	4.76
26.87	8.46	20.44	2.51	21.73	11.36	8.63	11.04	4	5.26	7.25	4.86
26.48	8.36	20.25	2.39	21.58	11.15	8.53	10.94	3.8	5.19	7.2	4.98
26.27	8.56	20.18	2.48	22.14	11.36	8.47	11.08	3.94	5.19	7.36	4.93
26.05	8.52	19.77	2.4	22	11.34	8.5	11.02	3.96	5.2	7.46	5.08
26.06	8.59	19.55	2.57	22.22	11.59	8.45	11.25	3.94	5.41	7.64	5.08
25.78	8.45	19.21	2.37	21.73	11.41	8.44	11.09	4.06	5.29	7.37	4.86
25.59	8.56	19.05	2.39	21.46	11.41	8.42	10.9	4	5.12	7.2	4.99
25.28	8.3	18.8	2.23	21.36	11.16	8.29	10.88	3.74	5.04	7.06	4.74
25.42	8.17	18.42	2.1	21.15	11.13	8.26	10.69	3.8	5.01	6.78	4.76
25.28	8.15	18.46	2.28	20.92	11.14	8.26	10.7	3.78	5.05	6.9	4.76
25.3	8.26	18.43	2.25	21.1	11.09	8.4	10.95	3.89	4.93	6.84	4.83
25.06	8.11	18.09	2.2	20.7	11.02	8.32	10.81	3.76	4.92	6.71	4.69
24.94	8.18	18.02	2.21	21.1	11.22	8.36	10.87	3.86	4.98	6.88	4.81
24.86	8.34	18.03	2.24	21.26	11.17	8.2	10.95	3.84	5.12	7.01	4.83
24.39	8.56	18	2.43	21.62	11.37	8.1	11.06	3.87	5.29	7.35	5.21
24.44	8.68	17.45	2.36	21.81	11.53	8.15	11.15	3.93	5.06	7.4	5.15
23.93	8.47	17.15	2.33	21.54	11.38	8.21	10.97	3.75	5.22	7.24	5.11
24.14	8.51	17.08	2.36	21.26	11.48	8.16	11.16	3.91	5.06	7.26	5.09
24.07	8.43	16.8	2.25	21.33	11.36	8.27	11.05	3.98	5.11	7.3	5.07
23.84	8.75	16.92	2.26	21.57	11.67	8.1	11.18	4.01	5.23	7.43	5.14
23.62	8.56	16.37	2.4	21.09	11.5	8.1	11.1	3.9	5.14	7.36	4.98
23.44	8.63	16.29	2.29	21.4	11.58	7.98	10.92	3.85	4.98	7.21	4.9
23.01	8.77	16.02	2.16	20.99	11.5	7.88	11.02	3.68	4.83	7.26	5.01
22.85	8.67	15.74	2.26	21.08	11.36	8.09	11.09	3.72	5.07	7.08	4.97
22.93	8.72	15.72	2.2	21.16	11.55	8.09	11.13	3.74	5.02	7.33	4.92
22.55	8.82	15.37	2.47	21.32	11.51	8.07	11.03	3.88	5.08	7.18	5.15
22.58	8.71	15.23	2.33	21.29	11.53	8.11	11.26	3.77	5.04	7.23	5.03
22.4	8.85	15.08	2.37	21.5	11.7	8.08	11.45	3.77	5.23	7.34	5.22
22.16	8.88	14.77	2.38	21.27	11.8	8.05	11.38	4.01	5.23	7.47	5.23
21.97	8.9	14.66	2.36	21.5	11.74	8	11.33	3.9	5.19	7.45	5.15
21.97	9.08	14.6	2.35	21.41	11.92	8.03	11.58	3.98	5.34	7.48	5.26
21.68	8.93	14.1	2.17	21.17	11.69	7.8	11.4	3.89	5.13	7.45	5.28
21.5	9.01	14.01	2.29	21.37	11.82	8.04	11.38	3.98	5.07	7.5	4.99
21.11	9.13	13.67	2.28	21.16	11.94	8.11	11.55	3.83	5.06	7.49	5.34
21.05	8.81	13.34	2.26	21.1	11.62	7.94	11.34	3.91	5.21	7.47	5.21
20.62	9.04	13.05	2.36	21.01	11.94	7.99	11.52	3.71	5.17	7.44	5.23
20.71	8.81	12.96	2.28	21.06	11.69	7.97	11.41	3.78	5.08	7.21	5.09
20.52	9	12.72	2.22	20.85	11.88	8.05	11.67	3.82	5	7.28	5.21
20.36	9.12	12.55	2.3	21.09	11.86	7.97	11.72	4.1	5.09	7.28	5.3
20.08	9.18	12.47	2.36	21.21	11.98	8.2	11.75	4.05	5.22	7.52	5.36
19.87	9.3	12.25	2.29	21.21	12.04	8.03	11.7	4.01	5.13	7.6	5.34
19.73	9.5	12.34	2.3	21.5	12.22	8.12	11.98	3.99	5.27	7.61	5.34
19.4	9.43	11.86	2.42	21.19	12.33	7.97	11.81	4.1	5.07	7.58	5.41
19.23	9.5	11.67	2.31	21.4	12.37	8.21	12.07	4.04	5.09	7.72	5.49
19.28	9.55	11.5	2.44	21.4	12.45	8.34	12.24	3.95	5.29	7.81	5.49
18.7	9.65	11.38	2.32	21.32	12.53	8.21	12.34	4.03	5.2	7.66	5.54
18.57	9.63	10.88	2.3	21.17	12.43	8.21	12.22	3.88	5.3	7.55	5.56
18.25	9.44	10.71	2.23	20.73	12.27	8.06	12.08	4.06	5.1	7.45	5.39
18.18	9.44	10.49	2.29	20.73	12.09	7.93	12.18	3.96	5.19	7.31	5.29
18.15	9.55	10.43	2.29	20.81	12.18	8.1	12.34	3.89	5.12	7.57	5.46
17.83	9.39	10.18	2.28	20.46	12.31	7.81	12.32	3.96	5.19	7.52	5.48
17.72	9.63	10.11	2.21	20.59	12.38	7.92	12.34	3.89	5.1	7.59	5.51
17.37	9.46	9.83	2.1	20.38	12.26	7.78	12.41	3.86	4.97	7.49	5.24
17.03	9.46	9.75	2.19	20.23	12.07	7.87	12.47	3.82	4.88	7.2	5.32
17.02	9.64	9.55	2.14	20.36	12.38	8.01	12.54	3.82	4.9	7.3	5.29
16.81	9.7	9.32	2.19	20.19	12.23	7.67	12.52	3.78	5.13	7.27	5.45
16.69	10.02	9.36	2.25	20.74	12.4	7.91	12.82	3.93	5.05	7.58	5.44
16.79	9.97	9.31	2.22	20.85	12.64	7.88	12.94	3.96	5.2	7.79	5.57
16.41	9.98	9.13	2.16	20.79	12.46	7.8	12.95	3.93	5.19	7.66	5.53
16.4	10.15	9.01	2.22	20.63	12.54	7.88	13.08	3.89	5.13	7.66	5.57
16.11	10.18	8.91	2.19	20.57	12.7	7.74	13.3	3.92	5.07	7.72	5.55
16.15	10.28	8.77	2.39	20.56	12.72	7.93	13.19	4.14	5.29	7.6	5.72
15.96	10.41	8.58	2.2	20.44	12.71	7.86	13.6	4.12	5.15	7.63	5.44
15.81	10.3	8.6	2.27	20.49	12.93	7.82	13.53	4.04	5.09	7.64	5.56
15.87	10.47	8.58	2.51	20.45	12.92	7.94	13.73	4.15	5.24	7.7	5.65
15.67	10.61	8.45	2.38	20.72	12.94	8.06	13.84	4.12	5.1	7.87	5.7
15.58	10.49	8.33	2.25	20.77	13.06	7.84	13.86	4.05	5.27	7.81	5.7
15.56	10.72	8.08	2.26	20.75	13.08	7.74	14.28	4	5.19	7.95	5.74
15.49	11	8.23	2.29	20.72	13.42	8.01	14.45	4.12	5.33	8.02	5.75
15.48	11.14	8.2	2.5	20.74	13.45	8.11	14.64	4.16	5.64	7.99	5.89
15.19	11.04	7.97	2.4	20.47	13.29	8.06	14.47	4.16	5.29	7.86	5.81
15.25	11.23	7.93	2.35	20.48	13.46	8.15	14.67	4.22	5.34	7.95	5.92
15.09	11.24	7.85	2.3	20.43	13.38	8.1	14.76	4.27	5.28	7.86	5.81
14.98	11.26	7.75	2.32	20.45	13.31	7.99	14.96	4.28	5.41	7.95	5.92
14.99	11.37	7.71	2.28	20.44	13.51	7.99	15.18	4.23	5.39	7.95	5.94
