"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
34.59	74.55	30.4	49.24	52.76	55.09	26.01	39.34	20.95	28.9	54.64	30.97
34.81	75.29	31.77	49.85	56.93	63.34	29.22	46.62	25.44	34.87	59.65	22.83
37.33	85.1	35.08	48.65	61.94	63.44	26.39	42.18	28.45	30.7	57.28	33.43
40.35	69.43	42.1	50.19	57.57	72.39	34.54	38.62	35.12	32.72	57.18	30.72
47.59	70.94	28.14	52.91	60.98	64.46	34.4	50.14	29.64	39.7	58.81	32.11
41.34	77.88	31.7	45.8	58.11	61.54	39.26	49.48	28.12	44.25	54.46	31.8
43.65	81.08	35.95	48.06	65.17	60.65	34.55	43.14	27.03	38.79	52.21	31.64
45.5	80.66	38.13	52.98	65.77	69.65	29.08	45.03	28.46	39.54	57.64	24.43
32.91	72.32	25.43	46.06	53.88	70.44	33	42.41	14.96	33.61	56.21	30.06
36.71	70.46	30.07	42.33	49.1	59.06	28.88	38.68	22.53	31.51	52.9	25.47
41.55	72.52	34.93	49.64	58.86	62.42	30.97	51.87	25.33	36.72	61.75	39.57
35.03	68.23	23.36	46.59	55.6	61.9	32.5	35.59	21.57	26.06	48.94	22.05
36.43	74.41	37.23	45.7	47.31	59.79	32.19	48.3	22.22	29.97	52.37	30.97
36.48	73.25	37.03	53.09	64.72	57.7	30.26	41.36	21.51	32.09	48.96	29.57
28.85	72.89	26.65	46.85	59.42	54.49	34.9	44.03	30.59	33.59	46.66	28.34
47	77.4	45.9	55.7	59.79	67.66	37.54	40.92	28.35	43.6	61.52	33.63
34.36	77.92	30.75	39.99	50.53	60.04	28.88	41.63	22.53	33.06	55.85	32.57
35.57	80.55	43.51	55.12	54.14	66.7	29.91	51.98	28.72	32.8	67.01	40.56
39.74	79.34	42.77	53.55	59.97	64.82	35.66	51.43	31.93	44.92	55.12	32.35
