"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
31.89	22.91	32.94	12.54	49.07	42.73	34.73	40.25
23.11	9.04	34.08	10.92	36.7	31.12	34.15	32.02
32.32	13.6	29.99	18.3	46.89	40.68	49.66	34.18
23.17	2.31	31.68	13.52	40.29	31.65	33.04	46.08
19.3	5.29	18.23	-1.3	34.63	32.27	29.09	14.59
19.84	-0.38	13.84	9.04	45.48	26.45	44.2	28.19
19.51	9.35	26.2	15.78	40.58	32.62	31.79	32.34
24.32	26.2	23.96	7.82	40.13	38.3	38.93	28.96
20.56	7.82	38.31	13.96	44.66	34.53	36.3	34.89
32.82	18.96	28.64	12.43	54.69	34.88	35.5	22.21
14.53	9.53	20.38	2.35	45.48	25.64	27.78	28.67
19.25	20.49	27.62	17.74	42.82	40.94	38.14	37.67
10.26	10.22	16.46	3.07	42.69	42.09	29.5	21.41
21.13	11.52	38.91	11.59	36.23	38.73	33.92	22.96
34.01	36.85	40.54	32.02	58.84	48.21	44.76	36.75
15.42	-0.01	19.28	3.45	40.14	21.29	25.31	31.39
27.15	12.59	36.49	15.15	37.89	32.77	41.69	25.26
23.12	18.52	33.29	13.13	40.4	40.76	41.32	31.32
20.08	9.7	20.61	9.48	38.9	39.64	28.15	26.51
27.58	19.6	27.25	19.45	49.94	34.68	29.51	25.77
16.09	16.65	24.74	13.77	31.62	32.96	26.72	27.62
22.58	9.17	27.7	10.06	29.9	39.28	33.81	36.31
13.05	17.05	25.3	9.12	36.28	34.14	32.67	25.77
9.08	-0.64	22.69	-4.54	29.73	29.61	25.37	21.07
31.95	28.2	32.57	26.2	48.47	45	39.9	32.22
25.95	16.53	23.65	13.65	32.41	27.84	32.12	34.52
18.32	14.97	24.06	9.96	27.19	29.48	26.23	32.94
17.86	10.53	21.72	6.96	33.29	23.32	20.65	22.84
17.23	16.72	23.83	21.51	29.33	30.99	30.08	28.35
19.4	10.22	22.91	11.94	30.85	25.59	22.72	20.52
12.93	11.99	18.62	6.63	24.14	18.29	16.46	19.54
11.77	8.97	15.23	4.05	24.09	18.45	21.9	19.25
9.34	6.45	13.5	3.04	18.55	14.62	13.18	17.08
13.1	5.6	13.84	6.48	14.53	16.69	12.98	12.4
9.64	5.77	9.98	4.4	12.69	15.68	9.71	12.23
7.79	3.21	4.84	0.93	8.06	12.43	6.94	9.51
5.45	3.59	3.01	1.95	8.61	8.79	5.48	10.2
5.59	3.54	2.91	0.17	6.12	7.35	4.23	7.02
6.78	2.95	4.96	2.93	5.81	7.34	3.79	7.13
8.21	3.63	3.11	0.4	5.94	8.01	4.05	7.99
7.38	5.47	5	0.95	7.34	8.15	5.83	10.08
9.64	5.84	4.58	2.97	8.49	10.62	7.13	10.97
5.64	2.6	4.89	0.55	7.54	9.45	4.44	10.54
5.33	2.84	4.38	0.94	6	8	4.81	7.1
8.41	5.58	6.28	2.41	9.17	10.1	10.01	9.02
7.77	4.77	5.73	2.13	6.91	10.84	7.62	9.33
6.27	1.88	2.89	-1.19	7.68	7.44	4.55	6.42
8.85	6.16	5.65	3.27	10.3	10.04	9.37	10.63
8.02	6.61	7.79	3.44	7.89	10.82	9.27	11.12
8.9	5.57	5.33	3.49	8.75	10.49	8.23	9.41
8.17	4.46	4.39	1.59	6.87	7.23	7.33	10.47
6.3	4	5.72	2.75	7.7	7.91	3.77	7.2
6.62	3.94	4.48	1.6	6.91	7.71	4.58	6.58
6.91	3.98	3.2	0.67	4.8	6.62	5.14	8.08
7.27	4.46	5.23	1.95	7.2	8.9	6.34	9.77
8.26	4.47	3.57	2.54	5.05	9.06	6.22	9.59
6.96	3.82	2.27	1.49	5.73	5.26	4.58	8.44
5.05	4.06	2.91	1.07	5.31	7.38	5.55	7.59
6.47	3.55	3.47	0.98	5.67	6.67	4.07	9.18
5.26	3.77	3.2	0.61	3.98	6.75	4.57	7.85
6.32	5.51	4.51	2.13	5.31	7.91	5.83	9.87
6.91	5.07	5.44	2.6	6.75	8.59	6.16	9.04
5.71	3.82	3.26	0.42	3.72	7.14	3.68	6.85
6.46	3.89	4.57	2.36	4.71	8.99	4.33	8.72
7.84	4.43	4.25	0.92	4.82	8.12	4.45	8.9
6.02	3.93	2.69	0.99	3.68	7.1	4.32	7.7
6.01	4.77	3.29	1.17	4.07	6.7	3.52	8.24
6.46	3.57	2.97	1.57	3.42	6.33	2.7	7.39
6.53	3.73	2.49	1.71	2.81	7.03	3.17	7.46
5.09	2.66	1.17	0.31	2.25	5.48	2.36	6.53
5.64	3.36	1.59	0.6	1.97	5.51	2	6.33
4.81	3.28	1.23	0.85	1.49	5.3	1.73	6.56
4.76	3.09	1.05	0.37	1.06	4.95	1.14	6.37
4.53	2.72	0.92	0.43	0.79	4.73	1.11	5.85
5.21	3.04	1.02	0.71	1.28	5.04	1.34	6.3
5.24	3.11	0.92	0.78	1.5	5.55	1.4	6.54
5.36	3.09	1.09	0.61	1.72	5.22	1.7	6.38
6.31	4.24	1.16	1.18	2.4	5.56	1.71	6.69
5.53	3.16	1.6	0.68	2.36	5.63	2.16	6.65
5.49	3.77	1.8	1.21	2.17	5.4	2.53	7.2
5.01	3.31	1.29	0.26	1.63	5.34	1.59	5.98
5.39	3.47	1.42	0.86	2.07	5.56	1.8	5.9
4.69	2.85	0.86	0.53	1.39	5	1.54	6.2
4.32	2.92	0.97	0.6	0.94	4.63	1.32	5.86
4.27	2.78	0.74	0.54	0.64	4.55	0.91	5.86
4.29	2.67	0.54	0.5	0.64	4.4	0.79	5.65
4.5	2.75	0.53	0.22	0.52	4.39	0.66	5.63
4.68	2.94	0.75	0.45	0.66	4.63	0.88	5.88
4.6	2.83	0.55	0.23	0.73	4.71	0.86	5.92
4.68	2.65	0.79	0.34	0.88	4.95	1.12	6.08
5.06	3.19	1.07	0.78	1.29	5.11	1.45	6.48
5.43	3.39	1.25	0.69	1.68	5.23	1.7	6.68
5.19	3.35	1.48	0.85	1.82	5.45	1.69	6.63
5.36	3.64	1.54	0.4	2.12	5.7	1.41	6.6
6.06	4.51	1.83	1.31	2.27	6.1	2.23	7.64
5.27	3.65	1.29	0.44	1.92	5.63	2.25	6.47
5.29	3.37	1.36	1.05	1.94	5.58	1.51	6.33
4.22	2.98	0.97	0.33	1.15	4.93	1.16	6.06
5.02	3.08	1.43	0.61	1.29	5.26	1.54	6.16
4.29	2.93	0.95	0.47	0.99	4.62	1.15	6.06
5.01	3.18	0.98	0.61	1.48	4.98	1.27	6.25
5.58	3.43	1.59	1	1.89	5.62	1.83	6.9
5.24	3.47	2.09	0.53	1.73	5.48	1.67	6.65
5.03	2.95	1.62	0.78	2.29	5.93	2.03	6.94
5.54	3.5	2.4	1.04	2.68	6.28	2.31	7.04
5.52	3.53	2.08	1.15	2.5	6.03	2.71	7.69
5.76	2.82	2.49	1.17	2.7	6.93	2.54	7.51
5.54	2.92	1.89	0.61	2.58	5.74	1.91	6.69
