"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
7.89	3.09	0.69	0.4	1.25	5.46	1.23	6.83
8.17	3.29	0.71	0.77	1.31	5.28	1.63	7.28
7.7	3.07	0.82	0.48	1.53	5.26	1.35	6.78
8.39	2.92	0.71	0.37	1.03	5.33	1.35	6.73
7.79	2.89	0.52	0.31	0.91	5.4	1.09	6.6
8.07	2.78	0.72	0.16	1.16	5.28	1.03	6.46
7.98	2.91	0.56	0.42	1.3	5.37	1.21	6.74
7.72	2.86	0.77	0.3	1.03	5.12	0.96	6.51
7.7	2.9	0.49	0.21	1	4.9	1.1	6.57
8.3	3.13	0.71	0.29	1.37	5.34	1.37	7.04
8.44	3.36	0.85	0.68	1.27	5.41	1.46	6.72
8.31	3.04	0.9	0.61	1.12	5.51	1.19	6.87
8.37	2.8	0.81	0.41	1.24	5.61	1.01	6.84
8.18	2.81	0.62	0.55	1.5	5.28	1.33	6.89
8.26	2.98	0.78	0.69	1.5	5.27	1.25	6.98
8.39	2.84	0.39	0.5	1.19	5.41	1.46	6.78
8.06	3.06	0.93	0.25	1.25	5.5	1.38	7.03
7.95	2.72	0.69	0.03	0.95	5.03	0.93	6.34
8.09	2.47	0.63	0.56	1.48	5.11	1.09	6.93
8.05	2.96	0.74	0.43	1.17	5.32	1.01	6.85
8.18	2.7	0.33	0.14	0.97	5.14	1.15	6.7
8.26	2.88	0.63	0.29	1.38	5.03	0.94	6.93
7.98	2.74	0.28	0.24	1.17	5.03	0.9	6.38
8.06	2.78	0.65	0.47	1.21	5.29	1.08	6.83
7.99	3.06	0.59	0.58	1.16	5.25	1.34	6.73
7.97	3.13	0.87	0.82	1.33	5.28	1.2	6.7
7.91	3.1	0.94	0.53	1.07	5.25	1.4	6.59
7.77	2.98	0.46	0.28	1.06	5.39	1.29	6.52
8.24	2.84	0.3	0.39	0.86	5.27	1.11	6.58
8.07	2.97	0.49	0.42	0.92	5.39	1.08	6.5
8.22	3.04	0.6	0.56	0.99	5.21	1.02	6.66
7.96	2.91	0.53	0.63	1.17	5.24	1.19	6.37
8.13	2.86	0.4	0.2	1.19	5.21	0.97	6.45
8.24	2.91	0.21	0.24	1.27	5.31	1.16	6.57
8.42	2.94	0.7	0.88	1.15	5.89	1.01	6.63
7.97	2.84	0.43	0.38	0.9	5.2	0.83	6.49
8.57	2.94	0.81	0.69	1.08	5.35	1.31	6.82
7.86	2.86	0.56	0.33	1.04	5.71	1.18	6.52
7.99	2.55	0.47	0.44	0.96	5.72	1.17	6.63
8.1	3.01	0.89	0.45	1.2	5.45	1.2	6.65
8.45	3.24	0.88	0.46	1.32	5.36	1.32	6.79
8.29	3.2	0.82	0.5	1.29	6.09	1.27	6.54
8.07	3.09	0.74	0.76	1.37	5.57	1.12	6.78
7.98	2.8	0.37	0.22	1.02	5.46	0.92	6.45
8.17	3.06	0.54	0.48	1.14	5.85	1.1	6.62
8.58	2.91	0.74	0.53	1.05	5.96	1.37	6.77
8.15	2.86	0.6	0.3	0.97	5.75	1.28	6.37
8.15	3.03	0.65	0.45	1.6	6.11	1.22	6.7
8.26	2.89	0.56	0.39	0.95	5.94	0.99	6.64
8.1	3.16	0.56	0.43	1.35	6.05	1.21	6.61
7.9	2.8	0.39	0.21	1.01	5.84	0.89	6.61
7.97	3.1	0.76	0.76	1.08	5.86	1.04	6.55
7.96	2.8	0.55	0.44	1.2	6.17	1.18	6.62
8.01	2.88	0.47	0.42	0.95	6.32	0.94	6.59
7.69	2.95	0.42	0.35	0.87	6.17	1.03	6.7
7.69	2.74	0.37	0.31	1.06	6.05	0.89	6.43
7.68	3.03	0.82	0.75	1.14	6.42	1.36	6.96
7.64	2.91	0.5	0.49	1.11	6.11	0.86	6.35
7.81	3.28	0.58	0.57	1.13	6.35	1.1	6.57
7.69	2.98	0.65	0.29	0.94	6.11	0.83	6.43
7.31	2.59	0.4	0.3	1.02	6.13	0.9	6.22
7.32	2.75	0.31	0.05	0.81	6.09	0.76	6.19
7.27	2.95	0.35	0.61	0.84	6.28	0.95	6.31
7.43	2.63	0.63	0.43	0.97	6.5	0.8	6.31
7.88	2.97	0.49	0.56	0.98	6.49	0.75	6.22
7.65	2.78	0.47	0.39	1.11	6.71	0.93	6.35
7.75	2.95	0.81	0.49	1.05	6.92	1.22	6.46
7.56	3	0.4	0.65	1.19	6.76	0.83	6.25
7.34	3.02	0.81	0.5	1.05	6.5	0.92	6.43
7.17	2.69	0.33	0.58	1.07	7.08	0.95	6.33
7.07	2.77	0.39	0.42	0.8	6.83	0.92	6.19
7.07	2.7	0.39	0.36	0.76	6.98	0.78	6.1
6.81	2.61	0.33	0.41	0.78	6.78	0.62	6.13
6.76	2.49	0.39	0.26	0.72	7.01	0.64	5.8
6.97	2.69	0.39	0.29	0.77	7.05	0.73	6.11
7.43	2.83	0.5	0.36	0.68	7.34	0.85	6.07
7.52	2.92	0.4	0.43	0.87	7.63	0.81	6.21
7.53	2.81	0.5	0.46	0.91	7.85	0.89	6.29
7.24	3	0.44	0.4	0.97	7.86	0.89	6.36
7.33	2.9	0.49	0.31	1.02	7.78	1.01	6.69
7.3	2.99	0.62	0.66	1.14	8.31	1.06	6.75
7.38	2.78	0.45	0.49	1.23	8.36	0.87	6.64
7.55	3.08	0.67	0.51	1.12	8.65	1.1	6.72
7.12	3.04	0.66	0.37	1.22	8.42	1.02	6.69
6.78	2.84	0.4	0.35	0.88	8.38	0.82	6.35
7.18	3.02	0.6	0.54	1.51	8.85	1.09	6.62
7.19	2.72	0.26	0.27	0.98	8.69	1.17	6.59
7.09	3.13	0.51	0.5	0.98	9.16	1.02	6.59
6.87	2.74	0.24	0.19	1	9.21	0.85	6.71
6.94	2.87	0.53	0.54	1	9.23	1.06	6.68
7.07	3.07	0.56	0.51	1.28	9.26	1.04	6.46
6.92	2.79	0.5	0.49	1.38	9.56	0.94	6.72
7.06	2.73	0.38	0.52	1.14	9.78	0.84	6.93
7.3	3.16	0.7	0.9	1.43	9.65	1.31	7.08
6.95	2.93	0.41	0.4	1.08	9.61	1.22	6.91
6.98	2.9	0.47	0.39	1.13	9.66	1.09	6.81
6.68	2.77	0.61	0.53	1.15	9.84	1.07	6.78
6.47	2.6	0.38	0.42	1.02	9.81	0.98	6.62
6.36	2.47	0.32	0.16	0.79	9.82	0.66	6.54
6.38	2.64	0.35	0.47	0.99	10.18	0.79	6.52
6.76	2.72	0.64	0.44	1.16	10.12	0.97	6.7
6.4	2.59	0.29	0.24	1.05	10.36	0.84	6.47
6.65	2.79	0.47	0.34	1.03	10.57	0.94	6.76
6.75	2.89	0.3	0.36	1.3	10.46	0.91	6.79
6.72	2.98	0.63	0.72	1.3	11.03	1.11	6.92
6.57	2.7	0.39	0.08	1.09	10.75	0.8	6.73
6.88	2.94	0.77	0.61	1.39	11.11	1.1	7.15
6.64	2.84	0.53	0.61	1.23	11.43	1.13	7.05
6.41	2.9	0.57	0.59	1.43	11.3	1.14	7.06
6.61	2.75	0.54	0.63	1.21	11.28	1.02	6.86
6.34	2.89	0.51	0.58	1.39	11.52	1.06	6.96
6.25	2.84	0.56	0.34	1.26	11.65	1.13	6.81
5.92	2.59	0.32	0.36	0.94	11.24	0.88	6.88
6.2	2.96	0.51	0.56	1.36	11.43	0.87	6.48
5.86	2.39	0.57	0.05	1.19	11.25	0.84	6.63
5.88	2.61	0.41	0.28	1.2	11.56	0.83	6.57
5.83	2.58	0.33	0.06	0.97	11.6	0.53	6.7
5.99	2.89	0.56	0.45	1.38	11.79	1.03	6.86
5.98	2.71	0.49	0.42	1.14	11.81	0.61	7.05
6.11	2.71	0.31	0.43	1.03	12.23	0.93	6.94
6.11	2.8	0.4	0.05	1.08	12.33	0.76	7.01
6.2	2.65	0.45	0.39	1.26	12.35	0.94	7.12
5.93	2.73	0.44	0.3	1.35	12.34	0.92	7.15
5.82	2.59	0.17	0.24	1.1	12.03	0.58	7.21
5.78	2.74	0.5	0.11	0.97	12.49	0.93	7.03
6.03	2.77	0.4	0.51	1.45	12.47	1.13	7.28
5.73	2.92	0.53	0.45	1.58	12.81	1.22	7.23
5.96	2.77	0.51	0.47	1.26	13.01	1.03	7.44
5.95	2.91	0.67	0.69	1.62	13.27	1.02	7.65
5.67	2.67	0.56	0.55	1.43	13.31	1	7.43
5.69	2.75	0.37	0.36	1.52	12.7	0.94	7.12
5.63	2.73	0.31	0.55	1.54	13.42	0.86	7.33
5.48	2.83	0.45	0.36	1.44	13.25	0.74	7.5
5.61	2.67	0.48	0.27	1.46	13.29	1.06	7.42
5.53	2.82	0.5	0.44	1.43	13.34	0.92	7.37
5.69	2.8	0.68	0.4	1.62	13.49	0.93	7.63
5.39	2.64	0.37	0.22	1.53	13.34	0.93	7.71
5.54	2.75	0.34	0.51	1.61	13.27	0.83	7.63
5.29	2.58	0.46	0.39	1.43	13.75	0.94	7.78
5.09	2.75	0.59	0.31	1.61	13.84	0.91	7.75
5.26	2.74	0.38	0.34	1.66	14.1	0.94	7.68
5.29	2.71	0.63	0.42	1.7	13.97	1.18	7.97
5.47	2.82	0.47	0.38	1.67	14.06	1.01	7.75
5.15	2.44	0.38	0.31	1.45	14.04	1.01	7.72
5.35	2.73	0.8	0.4	1.59	14.19	1.03	8.13
5.46	2.84	0.58	0.64	1.77	14.6	1.21	8.16
5.29	2.95	0.71	0.5	2.03	14.54	1.17	8.45
5.24	2.69	0.5	0.35	1.59	14.82	1.05	7.94
5.27	2.64	0.4	0.27	1.82	14.83	1.07	8.04
5.22	2.73	0.55	0.2	1.98	14.68	1.13	8.22
5.49	2.8	0.47	0.43	2.05	15.03	1.14	8.36
4.99	2.54	0.42	0.35	1.92	15.04	1.02	8.16
5.03	2.69	0.66	0.42	2.02	14.99	1.13	8.5
5	2.84	0.8	0.65	1.91	14.9	1.14	8.37
4.97	2.93	0.65	0.61	1.96	14.81	1.13	8.27
5.05	2.46	0.71	0.47	2.16	14.98	1.02	8.44
4.95	2.76	0.48	0.18	1.77	14.93	1.15	8.36
5.21	2.63	0.55	0.29	1.89	15.37	1.33	8.56
5.14	3.02	0.8	0.56	2.31	15.57	1.35	9.02
4.9	2.77	0.57	0.38	2.05	15.47	1.02	8.81
5.01	2.66	0.59	0.45	2.29	15.37	1.29	8.93
4.87	2.66	0.63	0.44	2.36	15.92	1.26	8.94
5.03	2.53	0.53	0.3	2.21	15.44	1.23	8.95
4.97	2.61	0.54	0.33	2.34	15.92	1.44	9.25
5.16	2.73	0.81	0.61	2.48	16.18	1.39	9.44
5.02	2.73	0.59	0.33	2.59	16.16	1.38	9.28
5.34	2.79	0.71	0.82	2.67	16.64	1.55	9.73
5.04	2.68	0.75	0.39	2.62	16.71	1.49	9.5
5.03	2.98	0.89	0.59	3.22	16.85	1.98	10.2
4.8	2.9	0.8	0.51	2.69	16.88	1.76	10.04
5.18	2.8	0.71	0.59	2.93	16.74	1.68	10.25
4.76	2.83	0.79	0.5	3.05	16.59	1.86	10.22
4.74	2.55	0.85	0.33	2.76	16.66	1.77	10.17
4.74	2.74	0.68	0.45	3.09	17.04	2.12	10.58
5.16	2.91	1.07	0.66	3.39	17.29	2.08	10.84
4.86	2.87	1.04	0.66	3.27	17.2	2.17	10.84
4.96	2.9	1.03	0.67	3.36	17.12	2.25	11.02
4.76	2.68	0.72	0.6	3.31	17.12	2.21	11.12
4.8	2.92	0.84	0.45	3.44	17.33	2.18	11.27
4.7	2.76	0.64	0.42	3.38	17.33	2.33	11.44
4.62	2.84	0.92	0.52	3.65	17.49	2.47	11.64
4.79	2.95	0.97	0.54	3.63	17.14	2.84	11.9
4.82	3.12	0.94	0.76	4.07	17.7	2.84	12.21
4.57	2.93	0.98	0.52	4.11	17.24	2.65	12.16
4.66	2.76	0.98	0.66	3.82	17.51	2.9	12.39
4.76	3.1	1.28	0.76	4.35	17.77	3.35	12.65
4.43	2.75	1.08	0.76	4.1	17.5	3.19	12.86
4.44	2.77	0.82	0.54	3.98	17.31	3.07	12.68
4.52	2.86	1.14	0.53	4.31	17.64	3.32	13.08
4.61	3.08	0.96	0.72	4.35	17.67	3.53	13.34
4.84	3.02	1.19	0.73	4.69	18.15	3.62	13.5
4.57	2.73	0.99	0.62	4.45	17.64	3.48	13.55
4.72	3.05	0.95	0.62	4.45	17.93	3.69	13.89
4.66	3.1	1.18	0.87	4.93	18.15	4.07	14.06
4.52	3	1.08	0.81	4.88	17.82	4.07	14.25
4.59	3.07	1.08	0.58	5	18.08	4.4	14.73
4.72	3.15	1.16	0.8	5.19	18.08	4.8	14.88
4.65	3.1	1.05	0.85	5.4	18.11	4.62	15.4
4.72	3.43	1.34	1.02	5.83	18.44	5.16	15.58
4.83	3.35	1.18	0.89	5.68	18.07	5.23	15.84
4.68	3.25	1.09	0.81	5.89	18.39	5.29	16.14
4.52	3.11	1.36	0.65	5.82	18.27	5.49	16.4
4.79	3.12	1.37	0.92	6.06	18.22	6.06	16.78
4.57	3.2	1.26	0.67	6.14	18.26	6.13	16.72
4.77	3.16	1.29	0.97	6.33	18.32	6.27	17.39
4.56	3.21	1.34	0.95	6.55	18.34	6.33	17.34
4.34	2.87	1.07	0.67	6.29	17.85	6.5	17.49
4.59	3.18	1.26	0.92	6.71	18.34	6.87	17.91
4.66	3.22	1.33	0.8	7.06	18.42	7.12	18.42
4.69	3.28	1.62	0.99	7.1	18.76	7.58	18.71
4.85	3.42	1.38	1.05	7.59	18.73	8.09	19.27
4.75	3.58	1.51	1.3	7.6	18.78	8.41	19.79
4.59	3.33	1.33	0.96	7.61	18.99	8.36	19.47
4.72	3.35	1.48	1.01	7.94	18.73	8.77	20.15
4.58	3.24	1.57	0.93	8.07	18.44	8.92	20.11
4.77	3.51	1.8	1.49	8.41	18.9	9.57	20.68
4.71	3.48	1.55	1.13	8.65	18.68	9.91	20.96
4.6	3.45	1.41	1.13	8.7	18.83	10.15	21.3
4.66	3.5	1.54	1.19	9.03	18.44	10.05	21.72
4.49	3.45	1.29	1.14	8.82	18.36	10.67	21.49
4.79	3.47	1.67	1.35	9.16	18.66	10.97	22.08
4.68	3.48	1.65	1.39	9.3	18.79	11.37	22.32
4.6	3.4	1.66	1.23	9.42	18.37	11.49	22.48
4.53	3.43	1.71	1.25	9.67	18.42	11.87	22.8
4.4	3.55	1.59	1.22	9.58	18.33	12.09	22.88
4.48	3.55	1.68	1.35	10.05	18.22	12.41	23.26
4.44	3.5	1.74	1.3	10.07	18.35	13.04	23.49
4.39	3.6	1.68	1.34	10.13	18.19	13.32	23.62
4.31	3.55	1.63	1.37	10.28	18.08	13.55	24.01
4.42	3.43	1.64	1.33	10.49	18.32	13.87	24.23
4.32	3.64	1.6	1.29	10.72	18.05	14.23	24.38
4.4	3.56	1.74	1.35	10.96	18.25	14.52	24.75
4.3	3.67	1.58	1.44	11.18	18.02	15.09	25.03
4.38	3.62	1.67	1.47	11.4	17.97	15.38	25.08
4.37	3.65	1.62	1.41	11.58	17.98	15.8	25.53
4.37	3.61	1.72	1.44	11.59	17.95	16	25.72
4.32	3.71	1.72	1.55	11.96	18.14	16.46	26.25
4.52	3.83	1.82	1.61	12.37	18.33	17.09	26.69
4.63	3.87	1.91	1.66	12.62	18.52	17.78	26.97
4.75	3.9	1.85	1.65	13.18	18.44	18.2	27.02
4.62	3.85	1.76	1.64	13.28	18.28	18.7	27.41
4.67	4.05	1.91	1.8	13.65	18.45	19.06	27.64
4.57	3.99	1.86	1.78	13.72	18.3	19.53	27.84
4.34	3.81	1.9	1.63	13.72	18.12	19.69	28.26
4.31	3.87	1.93	1.71	13.84	18.06	20.31	28.43
4.35	3.92	1.88	1.71	14.16	18.17	20.57	28.68
4.51	3.91	1.81	1.76	14.66	18.24	21.31	29.06
4.76	4.04	2.05	1.8	15.17	18.64	21.92	29.41
4.7	4.11	1.96	1.81	15.52	18.67	22.65	29.53
4.82	4.14	2.02	1.83	15.89	18.68	23.06	29.75
4.9	4.2	2.08	1.92	16.32	18.82	23.75	30.15
4.88	4.21	2.02	2.04	16.64	18.73	23.95	30.43
5	4.36	2.15	2.16	17.16	18.98	24.83	30.76
4.99	4.34	2.07	1.99	17.16	18.93	25.19	30.8
5.13	4.56	2.52	2.39	17.95	19.29	26.09	31.37
5.1	4.31	2.25	2.15	18.25	19.22	26.25	31.71
5.06	4.39	2.17	2.13	18.3	19.08	26.82	31.69
4.97	4.34	2.23	2.32	18.48	19.11	27.32	32.32
4.95	4.53	2.32	2.18	18.61	19.06	27.31	32.45
4.63	4.38	2.28	2.18	18.82	18.86	27.84	32.3
4.84	4.42	2.09	2.17	19.01	19.08	28.41	32.51
4.98	4.68	2.23	2.3	19.73	18.94	29.1	33.05
4.81	4.57	2.14	2.27	19.73	19.04	29.51	33
5.12	4.71	2.45	2.31	19.86	19.21	29.93	33.31
4.84	4.5	2.3	2.19	19.94	18.99	29.93	33.12
4.72	4.34	2.23	2.27	20.46	19.17	30.57	33.41
4.84	4.39	2.36	2.18	20.31	18.8	30.72	33.77
4.86	4.46	2.26	2.29	20.38	18.83	30.9	33.91
4.75	4.49	2.31	2.39	20.63	18.88	31.31	34.01
4.68	4.29	2.13	2.14	20.5	18.72	31.38	33.87
4.67	4.5	2.28	2.35	20.88	18.82	31.94	34.24
4.64	4.34	2.18	2.22	21.18	18.73	32.43	34.12
4.91	4.6	2.32	2.38	21.63	19.1	33	34.37
4.96	4.61	2.24	2.36	22.16	19.29	33.63	34.72
5.06	4.69	2.46	2.63	22.46	19.37	33.92	34.75
5.19	4.76	2.45	2.49	23.03	19.17	34.47	34.95
5.09	4.6	2.34	2.6	23.35	19.51	34.91	35.28
5.22	4.7	2.48	2.62	23.63	19.51	35.21	35.49
4.88	4.67	2.31	2.65	23.61	19.45	35.48	35.47
4.6	4.53	2.31	2.4	23.55	19.57	35.19	35.44
4.79	4.66	2.38	2.41	23.69	19.36	35.86	35.58
4.92	4.69	2.5	2.83	24.06	19.34	35.89	35.84
4.77	4.66	2.28	2.59	24.08	19.27	36.01	35.91
4.86	4.42	2.33	2.47	24.2	19.16	35.89	35.49
4.85	4.79	2.54	2.57	24.72	19.37	36.42	35.76
4.63	4.44	2.42	2.53	24.37	19.11	36.23	35.76
4.92	4.66	2.45	2.68	24.76	19.36	36.49	35.88
4.8	4.61	2.41	2.56	24.91	19.23	36.67	35.94
4.65	4.51	2.28	2.58	24.69	19.13	36.73	35.83
4.65	4.61	2.34	2.67	25.15	19.31	37	35.88
4.68	4.62	2.38	2.6	25.27	19.14	37.18	35.91
4.74	4.62	2.47	2.8	25.52	19.39	37.21	36.27
4.98	4.77	2.42	2.85	26.02	19.65	37.73	36.19
4.86	4.68	2.32	2.76	26.64	19.6	38.11	36.19
5.01	4.82	2.43	2.78	27.38	20.01	38.85	36.37
5.08	4.87	2.5	2.76	27.84	20.2	39.12	36.71
5.21	4.93	2.45	2.83	28.2	20.14	39.09	36.66
5.11	4.88	2.53	2.9	28.32	20.16	39.14	36.66
5.03	4.89	2.66	2.93	28.56	20.04	39.29	36.71
5.09	4.94	2.58	2.91	28.59	20.11	39.07	36.71
4.74	4.74	2.49	2.88	28.57	20.07	38.8	36.48
5.08	4.79	2.53	2.84	28.93	20.21	38.99	36.99
4.75	4.89	2.49	3	28.83	20	39.01	37.08
4.81	4.85	2.52	3.08	29.04	20.13	38.81	36.81
4.88	4.6	2.44	2.97	29.16	20.04	38.71	36.94
4.77	4.72	2.47	2.94	29.4	20.24	38.8	36.96
4.8	4.73	2.42	2.98	29.58	20.23	38.85	37.09
5.03	4.79	2.47	3.1	30.36	20.54	39.43	37.29
4.9	4.82	2.48	3.04	30.66	20.54	39.47	37.06
5.17	4.96	2.61	3.19	31.33	21.05	39.92	37.34
5.24	5.07	2.67	3.17	31.89	21.02	40.11	37.27
5.19	4.85	2.62	3.13	32.37	21.28	40.3	37.5
5.42	5.14	2.58	3.31	32.81	21.38	40.46	37.37
5.48	5.15	2.69	3.43	33.75	21.54	40.81	37.91
5.44	5.17	2.77	3.32	34	21.65	41.19	37.99
5.53	5.3	2.84	3.44	34.41	21.78	41.35	38.27
5.44	5.03	2.8	3.35	34.96	21.82	41.11	38.28
5.44	5.24	2.68	3.38	35.29	21.94	41.37	38.55
5.62	5.56	2.92	3.65	35.65	22.27	41.64	38.43
5.47	5.32	2.83	3.47	35.71	22.18	41.4	38.18
5.35	5.08	2.88	3.63	36.09	22.09	41.05	38.67
5.37	5.17	2.98	3.52	35.51	22.09	40.8	38.19
5.41	5.3	2.98	3.62	35.86	22.17	40.87	38.34
5.32	5.21	2.85	3.47	35.77	22.08	40.85	38.41
5.46	5.45	2.81	3.67	36.41	22.32	40.91	38.7
5.49	5.25	2.82	3.68	36.79	22.55	41.18	38.76
5.7	5.53	3.02	3.72	37.35	22.7	41.53	38.69
5.65	5.38	2.91	3.74	37.62	22.89	41.54	38.74
5.64	5.35	2.88	3.49	37.8	22.57	41.64	38.67
5.68	5.54	2.88	3.62	37.97	22.91	41.84	39.05
5.59	5.52	2.96	3.73	38.12	22.79	41.34	38.85
5.45	5.48	3.06	3.74	38.18	22.95	41.47	39.16
5.66	5.48	2.96	3.91	38.23	22.92	41.66	39.15
5.59	5.46	3.01	3.81	38.75	23	41.73	39.15
5.58	5.5	3.07	3.88	39.13	23.02	41.57	38.99
5.61	5.53	2.98	3.97	39.08	23.02	41.5	39.21
5.47	5.64	3.06	3.66	38.82	22.91	41.67	39.01
5.77	5.72	3.06	3.88	39.14	23.03	41.2	39.28
5.45	5.44	2.93	3.64	38.61	23.09	41.32	38.88
5.49	5.41	2.87	3.68	38.43	22.75	41.23	38.74
5.31	5.33	2.87	3.74	38.3	22.61	40.78	38.97
5.21	5.28	2.94	3.68	37.82	22.47	40.48	38.69
5.14	5.23	2.68	3.62	37.53	22.1	39.88	38.42
5.13	5.26	2.8	3.66	36.97	22.08	39.83	38.39
5.05	5.24	2.81	3.7	37.47	22.33	39.93	38.82
5.13	5.3	2.74	3.65	38.09	22.45	40.41	38.78
5.4	5.47	2.91	3.85	39.05	22.97	41.38	38.97
5.75	5.63	3.07	4.03	39.89	23.35	41.76	39.03
5.87	5.73	3	4.07	40.57	23.57	42.24	39.27
6.06	5.73	3.02	4.12	41.33	23.75	42.61	39.27
5.88	5.61	2.89	4	41.31	23.81	42.42	39.49
6.04	5.66	3.17	4.11	41.59	23.86	42.86	39.67
5.99	5.77	3.03	4.12	41.1	24.17	42.8	39.41
6	5.62	3.14	4.01	41.3	24.15	42.29	39.84
5.87	5.72	3.15	4.19	41.41	23.94	42.29	39.77
5.76	5.74	3.22	4.12	41.2	23.75	41.95	39.58
5.9	5.69	3.11	4.13	41.22	23.59	42.13	39.62
5.66	5.71	3.04	3.97	40.59	23.64	41.67	39.46
5.64	5.72	3.03	3.94	40.43	23.33	41.64	39.43
5.61	5.58	2.91	3.86	40.5	23.68	41.27	39.72
5.66	5.55	3	3.95	41.06	23.85	41.96	39.99
5.71	5.61	3.15	4	41.02	23.9	41.92	39.59
5.86	5.61	3.16	4.2	41.27	24.06	42.24	39.78
5.55	5.62	2.97	3.85	41.48	23.93	42.29	39.77
5.75	5.63	3.25	4.2	41.33	24.1	42.47	40.18
5.77	5.57	3.05	4.14	41.78	23.99	42.22	40.18
5.76	5.74	3.15	4.08	41.88	24.26	42.4	40.3
5.9	5.63	3.11	4.12	42.06	23.95	42.56	40.19
5.8	5.79	3.04	4.07	41.9	24.34	42.53	40.02
5.79	5.68	3.12	3.99	42.19	24.58	42.52	40.13
5.86	5.63	3.1	4.01	42	24.07	41.82	39.93
5.84	5.78	3.1	4.15	41.93	24.18	42.27	39.89
5.94	5.64	3.17	4.2	41.75	24.48	42.03	39.92
5.85	5.63	3.18	3.94	41.83	24.3	41.85	39.91
5.77	5.49	3.03	4.02	41.82	24.1	41.96	39.63
5.9	5.54	2.93	4	41.79	24.16	42.1	39.88
5.92	5.57	2.96	3.96	41.61	24.03	41.55	39.67
5.84	5.66	3.02	4.1	41.9	24	41.78	39.84
5.77	5.62	2.92	4.13	41.95	24.31	41.95	39.4
5.96	5.63	3.09	4.27	42.41	24.41	41.87	39.79
5.72	5.66	2.94	4.07	42.46	24.46	41.73	39.92
5.91	5.65	3.18	4.17	42.27	24.56	41.75	39.9
5.7	5.7	3.04	4.15	42.62	24.34	41.79	40.19
5.68	5.46	2.96	4.02	42.52	24.41	41.62	39.77
5.96	5.62	3.13	4.26	42.86	24.57	41.86	39.89
6.13	5.52	2.93	3.99	42.61	24.7	41.96	39.7
5.92	5.54	2.96	4.23	42.8	24.71	41.68	39.67
5.71	5.64	2.99	4.01	42.88	24.31	41.53	39.37
6.07	5.63	3.23	4.29	42.79	24.69	41.41	39.42
5.86	5.52	3.05	4.2	42.54	24.48	41.17	39.2
5.77	5.53	2.96	4.02	42.07	24.41	40.93	39.47
5.92	5.64	3.05	4.15	41.82	24.31	40.83	39.29
5.82	5.62	3.16	4.09	41.84	24.15	40.49	39.41
5.97	5.71	3.06	4.23	42.01	24.36	40.67	39.22
5.75	5.61	3	4.03	42.32	24.33	40.48	39.24
5.75	5.67	2.99	4.15	42.41	24.25	40.37	39.24
5.84	5.67	2.97	4.14	42.36	24.66	40.27	39.07
5.84	5.6	2.94	4.12	42.53	24.51	40.46	39.07
5.87	5.69	3.13	4.12	42.87	24.5	40.72	39.44
6	5.77	2.97	4.17	43.13	24.81	40.7	39.4
5.97	5.66	2.97	4.05	43.33	24.84	40.88	39.54
5.85	5.68	3.09	4.21	43.31	24.88	40.42	39.48
6.02	5.72	3.25	4.32	43.22	24.88	40.51	39.72
5.92	5.55	3.09	4.07	42.83	24.56	40.29	39.25
5.79	5.54	3	4.1	42.35	24.53	39.76	38.88
5.75	5.53	2.84	3.98	42.16	24.2	39.36	38.82
5.6	5.51	2.88	3.96	41.75	24.12	39.3	38.47
5.64	5.49	2.89	4	41.23	24	38.79	38.17
5.58	5.41	2.78	3.88	41.08	23.74	38.48	38.08
5.41	5.39	2.82	3.81	40.23	23.42	37.68	37.42
5.15	5.23	2.62	3.73	39.72	23.24	37.51	37.88
5.24	5.41	2.7	3.88	41.42	24.8	39.5	40.39
5.6	5.89	2.96	4.2	45.23	27.28	43.03	44.66
5.96	6.1	3.13	4.38	46.7	27.94	44.26	45.4
6.04	5.96	3.02	4.32	45.56	26.75	42.59	42.64
6.35	5.97	2.98	4.27	44.98	25.73	41.49	40.1
6.68	5.97	3.07	4.33	45.15	25.63	40.97	38.83
6.68	5.99	3.02	4.32	45.32	25.47	40.54	38.46
6.57	5.86	2.96	4.22	44.92	25.23	39.72	38.09
6.17	5.74	2.97	4.09	43.4	24.8	38.84	37.82
5.77	5.52	2.87	3.93	41.87	24.17	37.89	37.86
5.49	5.44	2.71	3.85	41.29	24.09	37.29	38
5.51	5.51	2.74	3.91	41.56	24.5	37.81	38.76
5.56	5.48	2.74	3.87	42.2	24.85	38.3	39.2
5.76	5.68	2.83	4.05	42.64	25.14	38.55	39.17
5.91	5.72	2.86	4.09	43.19	25.16	38.79	38.92
6.18	5.84	2.95	4.17	43.94	25.27	38.97	38.59
6.51	5.99	3	4.27	44.83	25.56	39.2	38.49
6.76	6.03	3.16	4.36	45.42	25.71	39.15	38.25
6.6	6.07	3.14	4.36	45.43	25.59	39.02	38.29
6.41	5.95	3.13	4.28	45.02	25.51	38.48	38.05
6.17	5.8	3	4.12	43.99	25.04	37.55	37.89
5.81	5.65	3.02	3.95	42.49	24.62	36.6	37.56
5.49	5.52	2.77	3.81	41.97	24.57	36.16	37.89
5.5	5.59	2.84	3.9	41.99	24.82	36.38	38.49
