"Lamium_maculatum_J__La_1"	"Lamium_maculatum_J__La_2"
7.42	1.86
7.39	1.94
7.56	1.94
7.49	2.02
7.37	1.8
7.51	1.92
7.44	1.89
7.44	1.93
7.53	1.88
7.39	1.79
7.38	1.75
7.17	1.81
7.27	1.83
7.1	1.75
7.03	1.64
7.14	1.75
7.2	1.67
7.15	1.62
7.18	1.69
7.01	1.58
7.21	1.62
7.05	1.66
7.04	1.61
7.06	1.59
6.99	1.56
6.92	1.54
7.09	1.68
6.98	1.6
6.97	1.57
7.09	1.66
6.99	1.69
7.09	1.54
7.24	1.75
7.15	1.62
7.05	1.58
7.01	1.57
6.85	1.49
6.95	1.52
6.99	1.64
7.02	1.6
6.97	1.61
6.94	1.5
6.97	1.51
6.74	1.39
6.73	1.37
6.66	1.37
6.56	1.28
6.71	1.42
6.66	1.38
6.72	1.36
6.73	1.44
6.85	1.45
6.93	1.48
7.06	1.58
7.07	1.5
7.12	1.54
7.03	1.43
6.93	1.38
6.86	1.48
6.94	1.45
6.71	1.38
6.89	1.44
6.87	1.47
6.97	1.52
6.99	1.48
6.92	1.46
6.86	1.4
6.89	1.42
6.86	1.43
6.79	1.38
6.75	1.35
6.74	1.33
6.75	1.3
6.84	1.27
6.64	1.27
6.56	1.19
6.61	1.22
6.68	1.22
6.48	1.22
6.28	1.12
6.34	1.17
6.34	1.16
6.47	1.2
6.66	1.24
6.77	1.24
6.73	1.17
6.67	1.1
6.56	1.05
6.5	0.99
6.36	0.99
6.22	0.97
6.1	0.93
6.01	0.94
6.19	1.03
6.52	1.09
6.58	1.12
6.78	1.23
6.85	1.17
6.85	1.22
6.93	1.21
7.1	1.26
7.13	1.32
7.15	1.26
7.2	1.22
7.24	1.31
7.19	1.35
7.28	1.34
7.47	1.37
7.6	1.5
7.64	1.46
7.87	1.48
7.92	1.48
8.03	1.47
8.14	1.48
8.16	1.57
8.25	1.51
8.28	1.51
8.23	1.55
8.25	1.56
8.36	1.57
8.63	1.7
8.87	1.77
9.14	1.89
9.21	1.93
9.25	1.81
9.54	1.94
9.75	1.95
9.97	2.11
10.13	2
10.36	2.15
10.43	2.18
10.56	2.16
10.75	2.17
10.66	2.18
10.81	2.34
11.06	2.44
11.37	2.58
12	2.84
12.4	2.98
12.86	3.09
13.26	3.28
13.5	3.3
13.8	3.54
14.14	3.61
14.49	3.83
14.95	4.09
15.66	4.38
16.16	4.56
16.69	4.76
17.16	4.94
17.44	5.11
17.75	5.26
18.27	5.45
18.81	5.84
19.36	6.11
19.98	6.44
20.47	6.71
21.22	7.17
21.8	7.39
22.43	7.8
22.88	8.14
23.49	8.57
23.96	8.88
24.73	9.4
25.66	9.92
26.3	10.5
27.4	10.91
28.33	11.51
29.18	11.99
30.31	12.73
30.96	13.01
31.38	13.29
31.5	13.66
31.8	13.95
32.68	14.54
33.99	15.45
35.39	16.47
36.58	17.31
37.38	17.76
37.83	18.27
37.92	18.59
38.35	19.15
39.33	19.72
40.29	20.83
41.81	21.89
43.12	22.84
44.28	23.66
45.03	24.42
46.06	25.23
47.06	26.04
47.74	26.75
48.4	27.41
48.93	28.19
49.71	28.94
50.32	29.31
51.08	30.1
51.79	31.05
52.65	31.82
53.95	32.71
54.77	33.7
55.96	34.59
56.84	35.52
58.04	36.36
59.09	37.4
60.25	38.22
60.8	38.71
60.84	39.14
61.1	39.44
61.34	39.73
61.83	40.43
62.4	41.19
62.94	41.75
63.45	42.63
63.89	43.09
64.41	43.82
65.41	44.65
65.91	45.56
66.78	46.22
67.78	47.16
68.94	48.32
70.08	48.96
70.95	49.85
70.99	49.82
70.8	49.76
70.21	49.74
70.34	50.01
70.64	50.7
71.57	51.73
72.26	52.15
72.88	52.82
73.26	53.45
74.12	53.98
74.54	54.62
74.97	55.05
75.42	55.46
76.31	56.18
77.1	56.92
77.58	57.24
77.86	57.59
78.04	57.63
78.39	58.08
79.24	58.8
80.23	59.78
81.54	60.82
82.77	61.63
84.01	62.85
84.87	63.72
85.55	64.74
86.07	65.51
87.38	67.27
88.75	69.11
90.07	71.5
90.55	72.95
90.59	74.05
90.71	74.49
90.43	74.32
88.78	71.59
88.66	70.92
89.39	71.47
90.3	72.49
91.2	74.38
91.69	76.02
91.83	76.54
91.58	76.24
90.15	74.37
88.59	71.38
87.47	69.2
86.13	67.34
84	65.15
82.01	63.2
81.51	62.94
80.97	62.33
81.25	62.79
81.87	63.3
82.68	63.54
83.3	64.14
83.37	64.35
83.51	64.5
83.41	64.61
83.59	64.84
84.17	65.01
84.51	65.59
85.23	66.13
86.08	67.09
87.25	68.03
88.14	68.48
88.41	69.04
88.78	69.5
88.18	69.04
87.18	68.4
86.33	67.74
84.96	66.58
84.3	66.16
84.14	65.98
84.32	66.17
84.74	66.48
85.55	66.93
85.8	67.31
86.61	67.77
86.99	68.47
87.63	68.76
88.27	69.26
89.64	70.72
90.17	71.27
91.19	72.65
91.94	74.75
92.08	75.03
92	75.16
91.7	75.41
90.73	74.23
89.62	72.86
87.76	70.23
87.18	69.28
86.65	68.78
85.93	67.59
87.03	68.39
87.6	69.02
89.29	70.42
90.51	71.52
91.97	73.46
92.69	75.13
93.6	77.86
93.9	79.43
94.03	80.95
93.69	80.76
93.65	80.78
92.47	79.17
91.19	76.53
90.19	74.34
89.44	72.71
88.23	70.58
87.2	69.4
86.61	68.47
85.87	67.58
84.78	66.99
84.64	66.65
85.34	67.19
86.36	68.08
87.67	68.83
87.94	68.83
87.64	68.74
86.91	67.87
86.13	67.55
85.55	67.05
85.5	66.95
85.95	67.59
85.82	66.98
85.76	67.12
85.4	66.8
85.29	66.56
85.15	66.42
85.32	66.73
85.6	66.79
86	67.24
86.64	67.76
87.42	68.38
88.52	69.2
89.89	70.24
91.74	72.4
94.14	75.89
94.61	78.71
93.91	79.94
93.7	80.25
90.82	76.35
89.72	74.27
88.19	71.38
86.74	69.35
85.45	67.99
84.96	67.08
85.26	67.1
84.67	66.59
84.78	66.6
85.05	66.88
85.99	67.65
86.36	67.57
86.43	67.39
85.2	66.42
84.87	66.58
85.66	67.24
87.14	68.45
87.85	69.26
88.82	69.97
88.1	69.7
87.12	68.77
86.27	67.92
86.17	68.26
86.32	68.02
86.12	67.91
86.39	67.9
86.09	67.39
86.03	67.36
85.76	67.23
85.4	66.98
85.2	66.83
85.49	66.91
85.59	66.87
86.2	67.55
87.25	68.26
87.61	68.57
87.41	68.59
86.14	67.58
85.45	67.21
84.95	66.54
85.26	66.86
85.23	66.81
85.75	67.14
86.32	67.5
87.36	68.08
87.48	67.99
87.33	67.9
86.98	67.77
87.43	68.46
88.31	68.92
88.53	69.63
88.24	69.3
87.47	68.63
87.31	68.22
87.9	68.99
88.49	69.44
89.38	70.64
90.64	72.18
91.65	73.73
92.11	75
92.73	77.15
93.63	79.81
97.25	84.62
100.85	92.38
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	99.83
100.85	96.87
100.85	98.6
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.85
100.85	100.06
100.85	92.63
100.73	86.84
97.23	84.01
97.45	84.53
100.8	89.48
100.85	96.81
100.85	100.85
100.85	100.85
100.85	100.85
100.85	96.28
100.85	89.72
97.9	82.8
91.21	76.11
86.26	69.27
86.38	67.41
85.75	66
85.2	64.93
85.71	65.09
86.5	65.82
88.33	67.79
89.36	69.35
89.13	70.15
88.73	69.94
87.73	68.78
87.1	67.8
87.03	67.29
86.64	66.64
86.03	65.5
84.92	63.92
83.89	62.81
82.92	61.63
82.15	60.91
81.46	60.17
80.65	59.42
79.8	58.66
79.58	58.54
79.13	57.96
78.82	57.68
79	57.57
79.52	57.79
79.95	57.93
80.44	58.26
80.49	58.14
80	57.71
79.26	57.1
78.42	56.49
77.9	55.88
77.79	55.8
77.2	55.19
77.24	55.16
77.59	55.32
78.07	55.63
79.21	56.31
80.04	56.65
80.98	57.49
81.35	57.76
81.11	57.66
80.98	57.53
80.42	56.67
79.93	56.33
79.03	55.46
78.37	54.89
77.76	54.29
78.34	54.53
78.62	54.72
78.41	54.48
78.17	53.9
77.12	53.19
75.55	52.12
74.66	51.27
73.65	50.29
72.58	49.79
71.71	49
71.03	48.53
70.56	47.87
70.41	47.7
70.42	47.42
70.95	47.71
71.89	48.3
73.79	49.34
75.39	50.38
77.9	51.96
80.75	54.49
84.6	57.86
85.84	59.26
85.11	58.33
81.68	55.06
78.11	52.24
74.2	49.3
72.54	47.9
70.51	46.51
69	45.17
67.92	44.36
66.87	43.72
66.33	42.98
65.97	42.62
65.81	42.31
65.51	42.18
65.38	42
66.17	42.29
67.21	42.75
69.74	44.33
73.38	46.18
78.19	49.75
82.35	53
83.46	53.98
81.7	52.5
79.89	50.98
79.92	51.13
82.97	53.66
91.47	62.81
100.69	77.46
100.85	89.41
100.85	92.54
100.85	90.79
100.85	83.35
100.79	74.99
93.52	65.67
87.05	58.13
81.31	52.18
76.16	47.79
73.07	45.21
72.97	44.7
75.25	46.02
81.83	50.62
89.62	58.2
94.46	64.33
93.92	63.74
89.98	58.7
82.26	51.25
74.41	45.43
67.41	41.09
62.77	38.16
64.25	38.57
67.33	40.09
72.42	42.91
75.45	44.62
73.2	43.09
67.45	39.74
61.16	36.06
57.81	34.22
56.37	33.36
55.08	32.58
54.92	32.19
55.75	32.43
57.48	33.33
61.47	35.38
69.13	39.91
83.13	49.33
91.97	58.15
94.46	61.5
91.44	58.14
85.57	51.82
79.09	46.91
75.48	44.16
72.18	41.92
68.29	39.37
62.13	35.62
56.66	32.47
55.28	31.54
54.98	31.32
55.22	31.46
