"Lamium_maculatum_J__La_1"	"Lamium_maculatum_J__La_2"
125.88	112.85
124.82	111.95
126.09	113.64
127.94	114.55
123.65	113.95
125.4	113.65
125.81	113.24
127.02	115.39
131.82	119.39
132.15	119.41
131.05	121.73
130.68	117.95
131.13	118.47
129.93	118.11
127.8	116.11
126.52	116.32
128.11	115.97
130.03	116.14
127.49	116.15
127.25	115.54
127.39	115.36
125.1	113.85
128.14	114.4
128.93	116.56
128.62	115.45
124.73	111.6
127.46	113.89
127.12	114.63
129.13	116.51
128.31	115.43
129.58	117.55
128.57	114.29
130.58	115.4
127.03	118.08
129.53	117.68
130.09	118.76
131.4	118.8
131.19	119.35
130.9	117.66
131.48	118.03
130.39	116.5
129.67	117.93
128.11	114.14
127.26	115.11
127.89	115.8
127.44	113.6
127.47	115.56
128.44	116.56
126.57	115.26
126.79	115.47
126.33	113.54
127.24	114.26
128.19	116.1
128.57	115.21
125.59	114.75
126.61	114.75
128.14	116.54
127.24	113.9
125.75	113.93
127.29	113.05
128.23	115.09
126.55	113.35
129.23	114.55
128.51	115.93
128.21	115.88
127.72	113.77
130.04	116.54
127.57	116.6
131.47	119.09
127.68	115.93
128.26	116.55
129.52	117.83
128.36	116.26
127.79	116.98
129.92	117.19
131.3	114.92
130.65	118.91
129.29	115.17
128.47	115.2
126.53	112.85
125.49	114.93
130.06	115.67
125.7	114.46
132.53	117.78
126.98	116.52
130.19	116.54
127.41	112.88
127.17	115.24
127.81	113.19
130.07	116.9
129.95	115.59
128.62	117.85
130.4	118.05
131.96	120.13
132.83	117.29
129.37	115.49
133.83	118.1
130.04	117.42
131.82	118
133.77	121.43
132.54	119.38
133.39	119.09
134.36	119.25
136.62	121.76
134.62	121.69
135.47	123.57
136.03	124.94
133.7	119.57
136.13	123.61
135.96	121.75
138.41	122.28
140.32	124.35
139.82	127.11
140.53	127.44
143	129.88
145.14	130.47
144.77	131.95
146.71	132.68
151.48	139.02
164.54	150.29
176.23	162.84
180.84	167.66
176.88	162.05
166.09	154.39
154.9	144.69
149.7	140.3
145.15	138.99
145.57	138.89
144.16	139.12
142.95	138.85
142.83	138.63
141.6	135.79
138.5	134.15
140.13	132.21
142.16	134.96
147.58	135.82
150.65	140.26
161.47	149.33
158.4	146.96
154.24	143.03
149.23	138.55
144.74	136.02
142.89	134.28
141.02	134.47
144.51	137.5
140.75	134.68
137.59	132.86
137.35	131.83
133.06	127.4
134.29	129.11
133.73	127.12
131.8	122.37
134.47	124.87
135.53	124.97
138.68	128.23
142.59	128.22
144.22	130.3
144.28	131.93
147.67	135.5
153.56	138.89
153.32	140.52
151.42	138.94
149.23	138.02
145.84	132.84
141.69	129.53
140.57	129.42
137.28	128.91
135.62	129.43
135.07	129.35
132.26	124.46
135.09	126.94
133.16	124.38
133.77	122.04
131.41	121.72
134.57	125.32
132.43	122.83
131.67	118.17
132.33	123.16
133.16	117.67
133.54	122.86
137.76	125.19
141.2	131.03
143.32	129.67
139.23	124.71
139.07	126.77
134.09	125.46
135.31	126.27
130.37	122.22
136.03	126.41
132.65	121.18
129.92	124.28
129.02	114.35
127.06	117.45
123.64	114.62
128.74	118.04
123.96	114.91
131.56	119.03
127.55	115.36
128.37	115.88
130.05	117.92
121.61	110.75
120.78	113.1
128.27	110.3
124.39	114.66
129.49	120.61
123.5	117.58
127.93	114.5
130.66	117.16
120.92	103.74
133	123.32
127.19	118.36
133.32	121.25
132.25	117.98
124.2	110.39
133.81	116.71
121.69	115.03
125.85	111.02
119.76	110.96
120.7	110.86
126.45	112.54
125.57	109.09
128.5	111.74
125.26	115.26
129.64	125.07
132.89	124.97
121.33	109.17
124.03	111.24
127.88	109.65
126.73	112.78
120.54	109.72
121.37	118.6
132.09	118.3
124.81	112.9
136.07	124.3
127.82	115.58
137.03	118.09
122.51	112.03
125.47	114.29
123.67	106.49
128.68	115.37
126.24	111.49
123.24	110.92
128.62	115.31
127.52	115.17
128.84	122.6
129.65	119.6
134.35	111.37
123.07	121.22
124.17	112.04
124.24	107.29
130.69	118.38
133.36	119.89
139.38	118.17
136.16	121.85
124.73	113.96
134.28	120.81
129.07	115.43
132.17	110.06
122.22	117.16
128.22	118.75
133.5	120.71
134.49	119.81
131.68	116.92
146.2	118.92
130.32	115.58
132.98	112.78
132.28	126.24
134.08	121.55
130.32	112.65
129.01	126.63
135.09	124.2
126.35	120.02
133.27	117.55
131.95	122.51
142.82	121.47
137.4	129.76
129.84	123.7
137.59	124.6
122.87	113.91
127.72	116.69
135.45	118.15
130.9	113.36
137.11	119.5
142.8	131.25
140.63	121.17
134.67	124.77
134.41	111.9
140.44	124.88
131.48	112.73
136.36	138.67
140.8	127.88
120.36	115.14
133.82	124.57
133.61	112.3
131.08	117.58
131.56	126.74
136.01	125.47
131.4	119.72
130.09	118.57
143.12	119.12
135.11	123
138.25	125.81
137.26	122.23
139.31	138.32
133.21	125.66
140.83	134.6
137.09	130.57
145.47	133.63
133.51	120.54
130.48	119.09
130.48	119.09
130.48	119.09
