"Clinopodium_vulgare_L__P_1"	"Clinopodium_vulgare_L__P_2"	"Clinopodium_vulgare_L__P_3"	"Clinopodium_vulgare_L__P_4"	"Hypericum_perforatum_L__P_1"	"Hypericum_perforatum_L__P_2"	"Hypericum_perforatum_L__P_3"	"Hypericum_perforatum_L__P_4"	"Galium_verum_L__P_1"	"Galium_verum_L__P_2"	"Trifolium_pratense_L__P_1"	"Trifolium_pratense_L__P_2"	"Trifolium_pratense_L__P_3"	"Leucanthemum_vulgare_L__P_1"	"Leucanthemum_vulgare_L__P_2"	"Leucanthemum_vulgare_L__P_3"	"Leucanthemum_vulgare_L__P_4"	"Leucanthemum_vulgare_L__P_5"	"Achillea_millefolium_L__P_1"	"Achillea_millefolium_L__P_2"	"Achillea_millefolium_L__P_3"	"Ranunculus_repens_L__P_1"	"Jasione_montana_L__P_1"	"Jasione_montana_L__P_2"	"Eupatorium_cannabinum_L__P_1"	"Eupatorium_cannabinum_L__P_2"	"Erica_tetralix_L__P_1"	"Erica_tetralix_L__P_2"	"Ulex_europaeus_L__P_1"	"Ulex_europaeus_L__P_2"	"Achillea_millefolium_L__P_4"	"Achillea_millefolium_L__P_5"	"Reynoutria_japonica_L__P_1"	"Reynoutria_japonica_L__P_2"	"Reynoutria_japonica_L__P_3"	"Reynoutria_japonica_L__P_4"	"Reynoutria_japonica_L__P_5"	"Reynoutria_japonica_L__P_6"	"Reynoutria_japonica_L__P_7"	"Reynoutria_japonica_L__P_8"	"Reynoutria_japonica_L__P_9"	"Reynoutria_japonica_L__P_10"	"Reynoutria_japonica_L__P_11"	"Thymus_praecox_L__P_1"	"Thymus_praecox_L__P_2"	"Trifolium_pratense_L__P_4"	"Trifolium_pratense_L__P_5"	"Centaurea_nigra_L__P_1"	"Centaurea_nigra_L__P_2"	"Centaurea_nigra_L__P_3"	"Centaurea_nigra_L__P_4"	"Rhinanthus_angustifolius_L__P_1"	"Rhinanthus_angustifolius_L__P_2"	"Prunella_vulgaris_L__P_1"
-116.4	211.62	-90.89	155.13	524.15	84.97	368.11	-153.99	-139.86	123.69	-122.55	67.43	552.62	-321.87	-267.2	106.15	-135.08	-196.13	-423.01	-220.5	-181.32	-199.77	-43.51	211.85	-20.5	164.24	-54.21	87.93	374.03	-305.69	134.17	234.4	45.1	-269.7	-113.21	-98.63	69.25	143.96	-225.74	-348.29	-66.51	-190.66	233.26	270.62	174.49	159.23	422.1	-67.2	-41.91	-283.37	144.42	-9.34	-92.48	-343.74
60	79.15	-60.34	105.13	287.69	-88.38	112.14	364.44	-29.06	-10.77	-140.51	277.61	-26.32	219.66	-168.72	259.49	-54.53	177.26	-174.87	80.68	259.15	-90.77	338.97	264.96	302.56	163.93	169.23	155.56	47.52	43.42	-248.38	-0.85	-107.69	114.87	-21.71	254.53	254.36	206.5	278.8	-44.96	181.2	77.44	123.08	78.63	33.16	164.96	391.62	107.86	94.36	212.65	52.99	143.76	340.17	277.09
-8188.89	14388.89	1944.44	5766.67	19233.33	7055.56	-15644.44	-13644.44	9133.33	-4433.33	-9311.11	23911.11	-10777.78	-7944.44	-6166.67	10466.67	9966.67	26633.33	-3188.89	6488.89	-16044.44	12766.67	25766.67	7622.22	-955.56	-9611.11	-15133.33	12600	9666.67	-4822.22	-17566.67	1722.22	-5400	5511.11	-1588.89	4100	-2311.11	-1866.67	12255.56	6677.78	1822.22	5033.33	-9600	-2711.11	2155.56	13388.89	5900	8611.11	5955.56	-933.33	-10955.56	10588.89	-13800	2366.67
12.4	78.31	83.43	-48.01	8.19	77.39	177.94	54.37	69.84	109.15	119.08	34.78	-11.44	47.09	30.25	78.26	-4.35	73.82	80.59	-12.08	7.87	35.01	8.01	39.45	110.3	57.8	30.66	74.6	76.43	56.29	-0.59	25.4	51.72	49.06	81.33	78.4	57.85	114.6	82.7	121.97	41.19	122.52	41.74	63.52	35.97	29.52	135.61	46.45	97.03	20.32	51.53	32.63	11.99	16.34
60.63	-57.62	15.63	89.4	81.82	46.76	56.51	52.58	128.06	136.1	127.27	196.21	100.85	107.06	175.08	95.09	147.61	18.64	210.4	115.63	-58.86	160.95	88.88	37.54	108.44	99.35	102.42	108.7	128.06	113.93	160.3	19.56	117.85	-27.21	77.5	86.92	105.69	23.54	8.31	68.61	145.72	69.39	181.03	10.2	50.36	221.12	72.4	150.1	131.33	32.18	54.81	58.14	202.35	99.74
75.35	103.14	183.87	76.01	163.03	184.86	129.69	5.62	77.25	292.56	101.41	152.85	205.62	22.91	32.18	133.5	154.92	67.25	15.96	73.45	167.74	166.5	84.62	191.73	236.39	193.13	259.22	113.65	56.08	83.21	152.44	61.79	77.58	131.02	218.44	127.13	50.29	230.93	134.9	96.03	78.41	149.96	111.17	251.12	198.68	99.67	-40.78	57.49	-107.86	134.66	124.9	101.32	140.78	98.35
17	141.12	42.77	138.75	61.59	59.22	61.72	82.58	137.43	4.71	89.78	53.24	54.68	54.73	-15.81	29.93	20.98	55.74	90.84	32.9	8.99	142.56	91.61	130.31	76.9	56.34	49.6	120.14	101.48	49.6	111.78	31.41	87.75	99.03	51.5	119.33	-50.87	102.08	27.17	78.97	117.17	20.14	80.71	110.05	55.53	122.55	56.85	31.58	6.44	80.88	101.48	71.51	32.98	116.45
-277.02	13.89	93.48	-204.29	-134.99	66.72	-263.46	325.9	-77.87	-104.46	-86.79	190.74	-80.62	89.71	377.87	-87.48	106.86	36.19	-236.19	-267.58	39.11	-76.33	178.56	68.95	75.13	137.39	266.55	184.22	174.61	233.62	117.5	352.14	6.52	194.85	-63.29	-156.6	255.23	160.55	307.55	333.28	-85.76	84.22	-54.89	50.09	-8.58	-53	81.82	-69.81	-97.43	179.07	100.51	121.96	147.17	177.53
-296.81	-189.46	250.16	150.48	-106.39	376.68	-122.68	-126.52	-161.66	-107.03	-538.66	-135.46	-18.53	-381.79	-611.82	-971.88	-214.38	-455.91	-388.18	69.01	34.5	-190.1	-368.37	-36.42	-564.22	-393.93	-92.65	-961.66	-361.02	-394.25	103.19	-257.19	-53.04	291.37	-158.15	-331.95	-996.81	38.34	-659.74	13.1	-44.73	-228.43	-143.13	-307.99	-132.27	-13.74	-556.23	-28.43	-2.56	-589.14	-166.77	345.37	-49.2	-473.8
90.77	53.42	12.51	-51.08	1.61	-44.19	55.14	-67.82	-15.45	53.31	50.14	97.39	17.45	-47.42	-43.86	-49.69	68.43	14.4	-31.18	-7.56	23.35	39.3	42.75	-30.13	184.44	-3.5	40.13	-16.79	-42.13	-19.46	-49.97	17.18	51.92	40.91	-30.29	-4.5	21.35	99.17	61.42	63.54	26.46	74.43	-13.34	111.4	0.78	45.08	-87.33	46.75	75.15	26.01	46.8	2.17	25.46	19.29
