"Clinopodium_vulgare_L__P_1"	"Clinopodium_vulgare_L__P_2"	"Clinopodium_vulgare_L__P_3"	"Clinopodium_vulgare_L__P_4"	"Hypericum_perforatum_L__P_1"	"Hypericum_perforatum_L__P_2"	"Hypericum_perforatum_L__P_3"	"Hypericum_perforatum_L__P_4"	"Galium_verum_L__P_1"	"Galium_verum_L__P_2"	"Trifolium_pratense_L__P_1"	"Trifolium_pratense_L__P_2"	"Trifolium_pratense_L__P_3"	"Leucanthemum_vulgare_L__P_1"	"Leucanthemum_vulgare_L__P_2"	"Leucanthemum_vulgare_L__P_3"	"Leucanthemum_vulgare_L__P_4"	"Leucanthemum_vulgare_L__P_5"	"Achillea_millefolium_L__P_1"	"Achillea_millefolium_L__P_2"	"Achillea_millefolium_L__P_3"	"Ranunculus_repens_L__P_1"	"Jasione_montana_L__P_1"	"Jasione_montana_L__P_2"	"Eupatorium_cannabinum_L__P_1"	"Eupatorium_cannabinum_L__P_2"	"Erica_tetralix_L__P_1"	"Erica_tetralix_L__P_2"	"Ulex_europaeus_L__P_1"	"Ulex_europaeus_L__P_2"	"Achillea_millefolium_L__P_4"	"Achillea_millefolium_L__P_5"	"Reynoutria_japonica_L__P_1"	"Reynoutria_japonica_L__P_2"	"Reynoutria_japonica_L__P_3"	"Reynoutria_japonica_L__P_4"	"Reynoutria_japonica_L__P_5"	"Reynoutria_japonica_L__P_6"	"Reynoutria_japonica_L__P_7"	"Reynoutria_japonica_L__P_8"	"Reynoutria_japonica_L__P_9"	"Reynoutria_japonica_L__P_10"	"Reynoutria_japonica_L__P_11"	"Thymus_praecox_L__P_1"	"Thymus_praecox_L__P_2"	"Trifolium_pratense_L__P_4"	"Trifolium_pratense_L__P_5"	"Centaurea_nigra_L__P_1"	"Centaurea_nigra_L__P_2"	"Centaurea_nigra_L__P_3"	"Centaurea_nigra_L__P_4"	"Rhinanthus_angustifolius_L__P_1"	"Rhinanthus_angustifolius_L__P_2"	"Prunella_vulgaris_L__P_1"
3.62	6.18	4.51	2.8	4.16	36.16	0.79	38.16	4.4	2.09	10.11	0.23	18.48	1.01	2.85	5.19	4.41	0.62	1.32	1.51	4.99	0.95	3.06	0.57	4.2	0.77	8.12	5.77	2.48	11.13	1.74	2.13	9.07	2.38	4.82	0.56	4.09	3.81	1.18	4	1.05	1.49	1.01	5.95	2.06	3.72	0.88	0.49	1.48	4.52	0.43	0.84	5.16	0.53
3.28	6.36	4.4	2.62	4.06	36.26	0.71	37.92	4.47	1.78	10.09	0.18	18.31	0.88	2.73	5.05	4.15	0.58	1.11	1.38	4.79	0.62	3.14	0.53	4.05	0.49	8.3	5.58	2.15	11.21	1.57	2.21	9.38	2.23	4.84	0.57	3.93	3.64	0.98	3.92	0.65	1.49	0.98	5.82	2.08	3.6	0.96	0.63	1.16	4.49	0.33	0.79	5.11	0.57
3.4	6.19	4.62	2.74	4.15	36.17	0.65	37.88	4.33	1.8	10.02	0.27	18	0.84	2.7	5.14	4.3	0.52	0.94	1.53	5.07	0.94	3.1	0.39	3.84	0.67	7.98	5.75	2.31	11.08	1.73	2.19	9.31	2.45	4.97	0.66	4.08	3.7	0.94	4.11	0.81	1.34	1.19	5.74	2.13	3.57	0.79	0.59	1.47	4.73	0.48	0.64	5.04	0.4
3.68	6.27	4.59	2.94	4.24	35.88	0.67	38.22	4.65	2.13	10.13	0.49	18.73	1.13	2.97	5.34	4.4	0.71	1.32	1.67	4.94	1.09	3.07	0.73	4.16	0.65	8.43	6.01	2.45	11.33	1.82	2.6	9.59	2.53	5.11	0.94	4.44	3.92	1.24	4.14	1	1.44	1.19	6.13	2.4	3.72	0.95	0.8	1.55	4.88	0.77	0.94	5.37	0.75
3.63	6.28	4.44	2.74	4.02	35.89	0.65	37.81	4.51	1.87	10.01	0.31	18.62	1.09	2.7	5.28	4.44	0.68	1.05	1.38	4.87	0.79	3.09	0.57	4.19	0.76	8.12	5.94	2.33	11.05	1.67	2.31	9.43	2.37	5.08	0.94	4.18	3.87	1.14	3.77	1.06	1.35	1.09	5.83	2.13	3.6	0.86	0.49	1.69	4.64	0.62	0.76	5.16	0.52
3.36	6.03	4.26	2.78	3.97	35.5	0.51	38.11	4.3	1.97	10.02	0.2	18.15	0.78	2.78	5.16	4.38	0.65	1.06	1.4	4.82	0.75	2.96	0.53	4.15	0.66	8.13	5.79	2	11	1.68	2.28	9.38	2.17	4.99	0.69	3.95	3.59	0.91	3.85	1.12	1.53	1.01	5.85	1.93	3.65	0.79	0.62	1.31	4.5	0.62	0.67	5	0.6
3.36	6.15	4.44	2.66	4.14	35.68	0.54	37.64	4.4	1.82	10.25	0.14	18.25	0.7	3.07	5.11	4.28	0.61	1.34	1.37	4.69	0.81	2.89	0.54	4.2	0.56	8.23	5.91	2.13	10.93	1.67	2.24	9.33	2.4	4.85	0.6	3.8	3.79	1.02	3.92	0.66	1.49	0.98	6.04	2.13	3.54	0.75	0.52	1.33	4.49	0.56	0.62	5.17	0.65
3.55	6.17	4.61	2.91	4.58	36.51	0.7	37.99	4.3	1.98	10.15	0.26	18.46	0.97	2.95	5.12	4.63	0.51	1.13	1.46	5.15	0.86	3.14	0.45	4.33	0.66	8.51	6.01	2.39	11.25	1.78	2.44	9.49	2.31	5.03	0.76	4.03	3.86	0.94	3.99	1.03	1.62	1.08	6.07	2.17	3.63	1.1	0.71	1.25	4.76	0.67	0.77	5.34	0.56
3.46	5.96	4.35	2.68	4.12	36.29	0.63	37.74	4.19	1.8	9.99	0.08	18.03	0.7	2.8	5.13	4.37	0.54	0.92	1.45	4.76	0.79	2.83	0.58	4.22	0.71	8.2	5.91	2.2	11.02	1.6	2.05	9.44	2.06	4.71	0.81	4.05	3.57	0.88	3.82	0.79	1.37	0.95	6.11	1.99	3.5	0.73	0.46	1.24	4.72	0.5	0.64	5.18	0.35
3.67	6.22	4.4	2.83	4.04	36.04	0.61	38.48	4.73	2.02	9.99	0.21	18.32	0.9	2.88	5.27	4.49	0.81	1.12	1.53	5.06	0.95	3.24	0.68	4.08	0.69	8.43	5.95	2.17	11.44	1.71	2.39	9.67	2.37	4.95	0.71	4.09	3.73	0.83	4.07	0.97	1.45	1.22	6.15	2.24	3.71	0.76	0.63	1.37	4.59	0.64	0.68	5.4	0.57
3.7	6.46	4.61	2.87	4.5	36.13	0.75	38.55	4.54	2.04	10.22	0.26	18.6	1.07	3.08	5.34	4.58	0.78	1.32	1.59	5.03	1.07	3.14	0.63	4.43	0.59	8.58	6.31	2.6	11.71	1.7	2.47	9.46	2.42	5.13	0.83	4.17	3.9	1.18	3.93	1.04	1.64	1.11	6.35	2.35	3.75	1.01	0.75	1.56	4.66	0.65	0.83	5.46	0.46
3.78	6.3	4.62	3.13	4.34	36.11	0.74	38.61	4.57	2.14	10.15	0.41	18.64	1.05	2.96	5.36	4.4	0.72	1.27	1.47	5.05	0.98	3.24	0.74	4.31	0.78	8.78	6.1	2.56	11.47	1.67	2.43	9.76	2.54	5.1	0.87	4.23	3.83	1.07	4.04	0.97	1.66	1.05	6.28	2.48	3.73	1.05	0.64	1.66	4.81	0.82	0.84	5.52	0.7
3.7	6.27	4.54	2.93	4.1	36	0.46	38.23	4.65	2.03	10.03	0.02	18.43	0.8	2.79	5.2	4.56	0.77	1.01	1.57	4.78	0.96	2.97	0.55	4.4	0.81	8.83	5.92	2.38	11.27	1.51	2.22	9.47	2.34	5.05	0.97	4.01	3.77	0.89	3.87	0.85	1.39	1.01	6.06	2.14	3.49	0.92	0.7	1.42	4.59	0.72	0.73	5.39	0.43
3.55	6.08	4.43	2.86	4.36	35.59	0.7	37.95	4.61	1.97	10.24	0.35	18.09	0.84	2.96	4.94	4.4	0.83	1.19	1.45	4.74	0.93	2.98	0.55	4.31	0.69	8.58	5.97	2.42	11.17	1.83	2.26	9.64	2.47	4.82	0.96	4.09	3.72	0.96	3.77	1.05	1.47	0.88	6.21	2.32	3.5	1	0.71	1.37	4.66	0.83	0.55	5.13	0.57
3.5	6.03	4.44	2.58	4.16	35.46	0.53	37.73	4.19	1.64	10.08	0.24	17.76	0.89	2.77	5.04	4.42	0.56	1.05	1.26	4.86	0.64	2.91	0.65	4.22	0.74	8.51	5.9	2.19	11.16	1.53	2.22	9.35	2.35	4.98	0.86	4.07	3.59	0.98	4	0.92	1.52	1.05	5.92	2.04	3.36	0.71	0.48	1.19	4.63	0.5	0.63	5.11	0.43
3.31	5.73	4.28	2.58	3.72	35.58	0.36	37.66	4.04	1.57	9.55	-0.05	17.61	0.69	2.53	4.76	4.01	0.52	0.88	1.03	4.75	0.6	2.81	0.48	3.89	0.41	8.35	5.96	2.04	10.88	1.47	2.06	9.17	2.22	4.77	0.49	3.74	3.52	0.84	3.69	0.6	1.31	0.83	5.54	1.81	3.27	0.43	0.25	1.04	4.29	0.47	0.44	4.95	0.24
3.29	6.29	4.46	2.63	4.31	35.97	0.55	37.67	4.46	1.72	10.05	0.33	17.66	0.92	2.59	4.74	4.28	0.5	0.97	1.16	4.56	0.91	2.91	0.35	4.16	0.52	8.54	5.89	2.15	11.1	1.75	2.23	9.09	2.12	4.8	0.78	4.06	3.54	0.95	3.86	1	1.48	0.92	5.8	2.1	3.54	0.82	0.53	1.35	4.69	0.63	0.71	4.88	0.46
3.35	5.96	4.34	2.65	4.12	35.39	0.64	37.86	4.35	1.74	9.94	0.25	17.66	0.85	2.8	4.92	4.27	0.59	1.02	1.27	4.55	0.89	2.93	0.45	3.99	0.57	8.67	5.84	2.18	11.23	1.65	2.15	9.12	2.15	4.85	0.67	3.95	3.54	0.71	3.76	0.83	1.42	0.87	5.76	2.05	3.49	0.76	0.57	1.28	4.52	0.36	0.7	5.1	0.43
3.43	6.11	4.48	2.82	4.36	35.99	0.72	37.83	4.37	1.85	9.84	0.09	18.08	1.1	3	5.06	4.58	0.59	1.16	1.49	4.93	0.96	3.05	0.48	4.01	0.63	8.84	6.15	2.18	11.48	1.72	2.49	9.33	2.41	4.94	0.76	4.11	3.62	0.99	4.04	0.9	1.51	0.99	5.77	2.35	3.61	0.86	0.57	1.44	4.64	0.71	0.62	5.22	0.38
3.41	6.05	4.56	2.89	4.22	35.35	0.47	37.65	4.19	1.86	9.6	0.24	17.74	0.61	2.83	5.17	4.26	0.77	1.11	1.37	4.95	0.93	3.16	0.33	4	0.71	8.75	5.98	2.2	11.54	1.73	2.19	9.58	2.27	5.05	0.69	4.16	3.68	1.01	3.78	0.65	1.36	0.77	6.05	2.06	3.44	0.88	0.57	1.56	4.74	0.69	0.61	5.1	0.4
3.45	5.91	4.44	2.67	4.22	35.11	0.53	37.7	4.29	1.81	9.45	0.27	17.68	0.99	2.73	4.93	4.06	0.54	0.84	1.08	4.77	0.88	2.94	0.48	4	0.62	8.7	5.95	2.12	11.3	1.56	2.21	9.26	2.17	4.87	0.72	3.9	3.59	0.97	3.94	0.6	1.4	1.06	5.83	2.16	3.53	0.78	0.48	1.09	4.74	0.57	0.76	4.93	0.35
3.45	6.2	4.56	2.88	4.43	35.54	0.72	37.48	4.37	1.93	9.92	0.26	17.84	0.94	3.03	5.18	4.41	0.82	0.99	1.34	4.79	0.77	3.07	0.59	4.1	0.8	8.8	6.16	2.44	11.42	1.83	2.33	9.29	2.28	5.16	0.67	4.06	3.61	0.94	3.92	0.72	1.56	0.97	5.74	2.15	3.51	0.82	0.54	1.28	4.89	0.63	0.72	4.98	0.69
3.22	5.98	4.41	2.79	4.28	35.7	0.58	37.21	4.38	1.98	9.81	0.14	17.52	0.64	2.83	4.84	4.4	0.79	1.14	1.3	4.79	0.92	3	0.33	4.18	0.76	8.93	5.98	2.26	11.37	1.57	2.33	9.11	2.2	5.04	0.88	4.08	3.38	0.97	3.82	0.89	1.31	1.17	6.01	2.16	3.44	0.93	0.65	1.29	4.54	0.57	0.82	5.04	0.34
3.33	5.76	4.48	2.66	4.33	34.83	0.57	36.9	4.06	1.94	9.78	0.06	17.43	0.88	2.74	5.07	4.08	0.57	0.84	1.09	4.41	0.78	2.78	0.37	4.09	0.7	8.58	5.95	2.18	11.31	1.52	2.09	9.14	2.02	4.96	0.76	4.01	3.58	0.76	3.54	0.64	1.31	0.87	5.73	2.23	3.68	0.87	0.45	1.33	4.53	0.65	0.56	4.86	0.48
3.31	5.43	4.32	2.58	4.04	34.92	0.35	36.52	3.8	1.6	9.55	0.21	17.03	0.56	2.43	4.7	4.01	0.35	0.91	1	4.48	0.71	2.86	0.31	3.79	0.46	8.68	5.85	1.89	11.13	1.6	2.05	8.87	2.08	4.64	0.76	3.98	3.2	0.55	3.82	0.63	1.3	0.82	5.45	1.91	3.26	0.62	0.37	1.06	4.41	0.36	0.62	4.79	0.36
3.3	5.89	4.41	2.67	4.13	35.2	0.52	36.32	4.24	1.51	9.6	0	16.82	0.74	2.5	4.74	4.25	0.44	0.89	1.05	4.38	0.85	2.96	0.55	3.86	0.44	8.61	5.98	1.99	11.3	1.62	2.19	8.96	2.17	4.77	0.68	3.76	3.23	0.54	3.71	0.6	1.34	0.81	5.57	1.9	3.53	0.83	0.44	1.1	4.58	0.41	0.68	4.65	0.42
3.27	5.78	4.43	2.69	4.34	35.09	0.59	36.99	4.16	1.75	9.7	0.24	17.15	0.66	2.55	4.65	4.07	0.59	0.83	1.22	4.45	0.75	3.05	0.37	3.86	0.51	8.74	6.05	2.07	11.54	1.63	2.09	8.83	2.26	4.85	0.6	4.03	3.54	0.82	3.72	0.58	1.28	0.79	5.57	2.03	3.39	0.76	0.3	1.22	4.5	0.57	0.59	4.87	0.44
3.32	5.71	4.51	2.7	4.27	35.1	0.67	37.2	4.15	1.7	9.75	0.28	17.45	0.68	2.62	4.65	4.05	0.79	0.95	1.33	4.67	0.9	3.05	0.46	4.05	0.61	9	5.99	2.11	11.44	1.75	2.22	9	2.18	4.86	0.68	3.96	3.52	0.91	3.78	0.72	1.59	0.79	5.66	2	3.51	0.83	0.42	1.2	4.5	0.29	0.77	4.9	0.31
3.17	5.95	4.33	2.56	4.23	35.04	0.41	37.44	4.08	1.61	9.78	0.24	17.43	0.76	2.59	4.83	3.99	0.5	0.95	1.2	4.56	0.86	3.1	0.17	3.96	0.34	8.81	5.99	2.25	11.51	1.63	1.92	9.05	2.13	4.86	0.57	3.88	3.37	0.89	3.72	0.6	1.25	0.82	5.73	1.96	3.51	0.82	0.45	1.14	4.45	0.47	0.72	4.89	0.45
3.18	5.69	4.27	2.37	4.02	35.38	0.36	37.24	4.11	1.48	9.33	0.3	17.07	0.5	2.3	4.69	3.89	0.5	0.83	0.92	4.32	0.55	2.84	0.22	4.07	0.36	9.18	6.07	1.98	11.5	1.55	1.91	9.13	1.93	4.61	0.61	3.96	3.23	0.83	3.65	0.42	1.33	0.68	5.6	1.77	3.36	0.51	0.3	1.04	4.61	0.36	0.4	4.78	0.21
3.25	5.7	4.45	2.55	4.24	34.94	0.44	37.31	4.27	1.5	9.63	0.12	17.35	0.5	2.65	4.74	4.06	0.44	1	1.27	4.51	0.78	2.79	0.33	3.99	0.51	9.23	6.42	1.94	11.61	1.68	2.01	8.9	2.3	4.95	0.62	3.91	3.53	0.67	3.6	0.73	1.32	0.75	5.8	2.07	3.45	0.67	0.39	1.1	4.57	0.48	0.59	5.05	0.43
3.41	6.02	4.49	2.92	4.29	35.09	0.43	37.39	4.18	1.81	9.89	0.16	17.57	0.99	2.57	5.1	4.21	0.58	1.17	1.32	4.71	0.88	3.15	0.41	4.1	0.51	9.21	6.13	2.17	11.58	1.73	2.22	9.3	2.3	4.93	0.77	3.9	3.55	0.7	3.81	0.77	1.42	0.9	5.89	2.18	3.69	0.82	0.52	1.21	4.66	0.4	0.77	5.01	0.4
3.65	6.03	4.55	3.13	4.16	35.33	0.66	37.47	4.4	1.87	9.56	0.39	17.79	0.87	2.6	5.03	4.39	0.9	1.12	1.23	4.85	1.03	3.16	0.46	4.2	0.77	9.42	6.54	2.31	11.92	1.65	2.21	9.29	2.27	5.14	0.72	4.11	3.71	0.91	3.92	0.84	1.47	0.9	5.86	2.22	3.45	0.83	0.57	1.46	4.72	0.67	0.73	5.25	0.42
3.45	5.92	4.57	2.9	4.5	34.98	0.54	37.31	4.32	1.77	9.53	0.12	17.85	0.81	2.83	5.09	4.19	0.56	1.14	1.27	4.71	0.76	3.14	0.44	4.04	0.53	9.48	6.37	2.13	11.72	1.7	2.48	9.04	2.33	4.99	0.58	3.87	3.76	0.8	3.86	0.79	1.4	0.82	5.96	2.28	3.44	0.66	0.81	1.33	4.57	0.75	0.42	5.06	0.63
3.63	6.01	4.64	3.05	4.51	35.3	0.75	37.04	4.49	1.81	9.84	0.4	17.59	1.14	3.01	5.08	4.34	0.95	1.06	1.23	5.01	1.16	3.2	0.8	4.43	0.74	9.58	6.82	2.31	11.99	1.91	2.51	9.6	2.48	4.87	0.71	4.23	3.76	1.08	3.91	1.06	1.57	1.08	6.35	2.19	3.51	0.9	0.64	1.34	4.79	0.71	0.88	5.42	0.68
3.49	5.92	4.4	2.98	4.28	34.79	0.71	36.8	4.37	1.62	9.55	0.03	17.21	0.7	2.56	4.98	4.06	0.65	0.84	1.27	4.67	0.78	2.85	0.41	3.88	0.6	9.69	6.28	1.98	11.65	1.73	2.17	8.95	2.16	4.66	0.68	3.84	3.34	0.97	3.63	0.86	1.35	0.81	5.78	1.88	3.61	0.61	0.47	1.13	4.62	0.41	0.56	4.84	0.3
3.43	5.71	4.81	3	4.2	34.85	0.57	36.72	4.21	1.88	9.74	0.2	17.55	0.82	2.73	5.09	4.23	0.48	0.97	1.36	4.67	0.94	3.11	0.59	4.26	0.47	9.61	6.32	2.2	11.76	1.71	2.14	9.11	2.16	4.85	0.69	3.99	3.52	0.93	3.73	0.87	1.53	0.99	5.91	2.14	3.69	0.63	0.52	1.24	4.52	0.62	0.87	4.97	0.47
3.42	5.68	4.56	2.83	4.09	34.64	0.41	36.76	4.15	1.77	9.47	0.02	17.33	0.84	2.6	4.85	4.03	0.46	1.1	1.2	4.76	0.7	2.7	0.36	3.95	0.32	9.6	6.24	1.91	11.52	1.53	2.22	9.04	2.18	4.84	0.64	3.93	3.61	0.94	3.56	0.68	1.25	1.01	5.85	2.26	3.37	0.74	0.38	1.14	4.44	0.48	0.85	4.73	0.44
3.09	5.68	4.43	2.69	4.1	34.49	0.28	36.66	3.94	1.59	9.37	-0.11	16.96	0.47	2.46	4.57	3.94	0.4	1.09	1.08	4.31	0.64	2.79	0.28	3.92	0.27	9.34	6.04	1.82	11.5	1.4	1.9	8.84	1.77	4.68	0.42	3.72	3.42	0.6	3.48	0.48	1.25	0.87	5.6	2.13	3.27	0.64	0.25	1.11	4.55	0.45	0.51	4.68	0.23
3.26	5.77	4.34	2.97	4.29	34.42	0.54	36.82	4.08	1.7	9.48	0.15	17.08	0.76	2.61	4.88	4.09	0.41	0.88	0.86	4.51	0.85	2.87	0.37	3.79	0.44	9.58	6.27	1.97	11.82	1.59	2.03	9	2.28	4.85	0.52	3.93	3.47	0.71	3.64	0.63	1.36	0.93	5.98	1.92	3.57	0.69	0.52	1.02	4.55	0.37	0.54	4.83	0.35
3.22	5.77	4.43	2.86	4.14	34.49	0.59	36.61	4.12	1.87	9.51	0.02	17.24	0.71	2.54	4.9	4.04	0.53	1.09	1.23	4.58	1.04	3.02	0.43	4.1	0.57	9.79	6.51	1.85	11.83	1.6	2.25	9.24	2.18	4.69	0.71	4.03	3.44	0.69	3.9	0.68	1.42	0.64	5.9	2.12	3.4	0.67	0.38	1.2	4.82	0.68	0.61	4.8	0.28
3.26	5.73	4.68	2.73	4.45	34.63	0.51	36.54	4.1	1.8	9.54	0.26	17.31	0.62	2.7	4.92	4.18	0.63	1.05	1.27	4.6	0.9	3.02	0.39	4.16	0.28	10.06	6.44	2.1	12.19	1.78	2.21	8.97	2.23	4.82	0.55	4.07	3.61	0.88	3.76	0.72	1.51	0.92	5.98	1.94	3.8	0.64	0.5	1.21	4.62	0.47	0.66	5.03	0.48
3.4	5.66	4.67	2.57	4.25	34.17	0.57	36.28	4.15	1.84	9.43	0.02	17.34	0.67	2.66	4.61	4.09	0.51	0.92	1.14	4.47	0.81	2.83	0.47	3.92	0.33	9.69	6.55	1.92	11.78	1.61	2.14	8.94	2.01	4.85	0.73	3.88	3.33	0.77	3.72	0.56	1.21	0.81	5.87	2.08	3.51	0.84	0.35	1.05	4.34	0.4	0.61	4.98	0.25
3.26	5.75	4.63	2.57	4.05	34.24	0.17	36.6	3.84	1.65	9.56	-0.18	16.88	0.54	2.52	4.74	3.94	0.33	0.73	0.92	4.37	0.6	2.77	0	3.97	0.39	9.62	6.48	1.79	11.95	1.72	2.03	8.89	2.2	4.46	0.55	3.66	3.48	0.74	3.58	0.48	1.31	0.69	5.55	2.05	3.3	0.38	0.21	1.04	4.42	0.27	0.63	4.77	0.1
3.49	6.09	4.91	2.94	4.32	34.7	0.4	36.57	4.25	1.78	9.57	0.28	17.44	0.74	2.84	5.05	4.41	0.54	0.95	1.24	4.47	1.01	3.03	0.24	4.24	0.39	9.79	6.51	2.13	12.12	1.61	2.26	9.35	2.34	5.07	0.47	4.19	3.68	0.93	3.91	0.76	1.31	1.06	5.93	2.17	3.78	0.75	0.41	1.22	4.78	0.5	0.75	5.12	0.56
3.48	5.8	4.83	2.71	4.2	33.89	0.44	36.47	4.17	1.65	9.42	0.09	17	0.66	2.55	4.68	4.39	0.3	0.9	1.22	4.54	1.08	3.14	0.46	4.07	0.48	9.64	6.41	2.03	11.73	1.66	2.18	9.3	2.29	4.84	0.58	3.96	3.48	0.76	3.68	0.82	1.28	0.84	5.99	2.03	3.62	0.68	0.51	1.21	4.6	0.52	0.76	4.89	0.39
3.53	5.93	4.87	2.95	4.34	34.66	0.73	36.14	4.17	1.88	9.72	0.25	17.09	0.86	2.69	5.11	4.23	0.65	1.02	1.37	4.77	0.91	3.17	0.59	4.13	0.46	9.91	6.76	2.19	11.88	1.53	2.31	9.11	2.36	5	0.69	4.19	3.41	0.94	3.85	0.81	1.59	1.01	5.96	2.14	3.63	0.83	0.59	1.49	4.78	0.63	0.83	4.96	0.56
3.54	5.99	4.93	2.96	4.23	33.96	0.53	36.2	4.3	2.08	9.6	0.44	17.34	0.91	3.07	5.05	4.46	0.78	1.11	1.39	4.74	1.16	3.14	0.57	4.12	0.69	10.09	6.63	2.04	12.2	1.78	2.38	9.12	2.29	4.92	0.91	4.05	3.59	1.04	3.89	0.83	1.49	1.42	6.13	2.2	3.67	0.92	0.84	1.29	4.63	0.78	0.96	4.99	0.46
3.3	5.86	4.73	2.75	4.14	33.88	0.57	35.28	4.29	1.75	9.32	0.19	16.73	0.85	2.53	4.76	4.26	0.72	1.01	1.23	4.43	1.06	2.9	0.53	4.16	0.51	9.98	6.55	1.87	11.66	1.79	2.26	8.94	2.14	4.94	0.51	4.02	3.31	0.81	3.71	0.7	1.39	0.93	5.77	2.33	3.5	0.88	0.46	1.39	4.48	0.56	0.64	4.99	0.48
3.06	5.54	4.64	2.65	3.84	33.74	0.41	35.56	3.96	1.41	9.26	-0.09	16.44	0.52	2.36	4.52	4	0.21	0.73	0.97	4.38	0.79	2.71	0.16	3.67	0.34	9.83	6.36	1.65	11.67	1.54	2.05	8.62	2.03	4.74	0.32	3.89	3.03	0.59	3.51	0.62	1.19	0.74	5.48	1.97	3.3	0.6	0.24	1	4.29	0.23	0.32	4.62	0.18
3.3	5.66	4.73	2.73	3.99	33.63	0.48	35.74	3.91	1.65	9.38	0.35	16.76	0.7	2.5	4.66	4.21	0.47	1.02	1.26	4.36	0.94	2.91	0.33	3.94	0.41	10.02	6.54	1.74	11.72	1.75	2.11	8.65	2.14	4.85	0.75	3.94	3.48	0.77	3.49	0.81	1.42	1	5.7	2.05	3.48	0.87	0.55	1.2	4.5	0.42	0.41	4.79	0.44
3.34	5.58	4.77	2.6	4.12	33.37	0.51	35.25	3.99	1.47	9.31	-0.01	16.37	0.6	2.39	4.59	3.96	0.5	0.94	1.12	4.2	0.78	2.75	0.29	4.02	0.32	9.73	6.48	1.91	11.81	1.63	2.15	8.56	2.08	4.54	0.56	3.85	3.31	0.51	3.47	0.8	1.18	0.75	5.49	2.04	3.27	0.67	0.31	1.04	4.46	0.42	0.49	4.7	0.32
3.41	5.7	5.01	3.01	4.09	33.77	0.59	35.35	4.17	1.9	9.45	0.19	16.8	0.85	2.7	4.89	4.38	0.59	1.07	1.17	4.36	0.98	3.1	0.43	4.22	0.6	9.94	6.54	2.02	12.14	1.8	2.14	8.94	2.28	5.01	0.75	4.17	3.45	0.75	3.63	0.8	1.65	1.04	5.87	2.08	3.44	0.79	0.44	1.21	4.71	0.63	0.89	4.84	0.4
3.4	5.57	4.68	2.74	3.9	32.95	0.42	34.58	4.02	1.61	9.24	0.22	16.17	0.49	2.36	4.55	4	0.44	0.82	0.91	4.32	0.82	2.9	0.31	4	0.34	9.76	6.58	1.72	11.61	1.67	2.07	8.48	2.09	4.52	0.58	3.84	3.23	0.75	3.53	0.58	1.31	0.71	5.46	2.08	3.35	0.67	0.38	1.13	4.38	0.23	0.57	4.67	0.22
3.45	5.75	4.88	2.9	3.95	33.2	0.63	34.56	4.14	1.63	9.34	0.35	16.34	0.77	2.68	4.75	4.08	0.69	1.01	1.22	4.42	0.96	3.04	0.45	3.9	0.55	10.18	6.79	1.78	11.92	1.75	2.3	8.65	2.19	4.91	0.79	4.05	3.41	0.88	3.52	0.68	1.57	0.81	5.88	2.08	3.61	0.94	0.64	1.3	4.59	0.76	0.79	4.99	0.39
3.2	5.51	4.86	2.49	3.9	32.89	0.56	34.28	4.02	1.36	9.21	0.12	16.09	0.62	2.44	4.7	3.86	0.38	0.81	0.99	4.27	0.81	2.7	0.27	3.75	0.3	9.71	6.5	1.74	11.93	1.66	2.01	8.24	2.03	4.54	0.51	3.85	3.21	0.61	3.52	0.53	1.25	0.71	5.59	1.95	3.32	0.63	0.37	1.01	4.38	0.37	0.61	4.71	0.31
3.22	5.6	4.93	2.61	4	32.82	0.41	34.48	3.92	1.63	9.29	0.05	16.02	0.64	2.52	4.37	3.76	0.49	0.84	0.94	4.24	0.9	2.81	0.24	3.85	0.49	9.71	6.59	1.75	11.77	1.69	2.23	8.5	2.29	4.71	0.57	3.99	3.25	0.84	3.54	0.71	1.24	0.67	5.55	1.96	3.39	0.65	0.33	1.1	4.35	0.59	0.5	4.63	0.45
3.37	5.36	4.82	2.82	3.9	32.97	0.58	34.07	3.88	1.68	9.29	0.19	16.23	0.73	2.42	4.54	3.92	0.65	1.05	0.91	4.21	0.84	3.01	0.3	3.96	0.5	9.92	6.55	1.83	11.79	1.6	2.08	8.52	2.3	4.76	0.67	4	3.32	0.75	3.65	0.67	1.37	0.84	5.39	2.14	3.55	0.76	0.47	1.12	4.54	0.53	0.7	4.74	0.31
3.3	5.6	4.97	2.8	4.06	32.71	0.46	33.73	3.96	1.61	9.33	0.21	15.84	0.72	2.49	4.39	4	0.56	0.86	0.91	4.14	1.01	2.78	0.39	3.86	0.45	9.96	6.65	1.66	11.98	1.81	2.23	8.47	2.17	4.75	0.64	3.9	3.37	0.91	3.65	0.72	1.41	0.75	5.64	2.11	3.33	0.83	0.49	1.21	4.48	0.6	0.67	4.71	0.35
3	5.14	4.72	2.53	3.77	32.41	0.4	33.05	3.87	1.45	9.14	0.08	15.52	0.59	2.31	4.28	3.72	0.3	0.63	0.84	3.98	0.96	2.68	0.22	3.64	0.33	9.5	6.37	1.49	11.6	1.42	2.01	8.13	2	4.6	0.45	3.66	3.01	0.71	3.46	0.51	1.27	0.58	5.29	1.98	3.29	0.48	0.26	0.95	4.18	0.33	0.63	4.56	0.42
