"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
37.43	29.59	58.3	37.47	12.69	25.52	52.25	31.98	23.71	47.08	55.89	40.08	38.7	62.73	38.84	56.6	42.04	55.66	90.96	54.79	60.51	49.1	46.75	69.76	34.53	40.74
14.33	40.54	47.13	22.73	-2.88	-2.68	37	18.41	21.68	36.6	41.13	38.3	27.82	48.36	26.31	54.05	36.41	65.79	63.36	49.75	72.67	36.88	44.72	64.41	13.44	26.55
12	47.31	53.64	41.81	-0.66	2.67	29	34.1	8.82	66.54	35.11	51.66	36.96	55.89	26.13	31.89	44.49	84.64	90.23	52.36	66.02	40.59	45.04	69.34	13.02	38.46
34.82	41.3	60.1	30.82	10.09	1.05	55.43	20.09	36.25	39.99	43.61	45.18	31.22	72.67	39.76	67.06	35.93	83.97	91.08	70.19	92.79	50.26	45.53	76.94	9.94	47.95
24.29	50.7	35.99	43.87	7.99	2.26	57.49	25.33	22.51	45.55	49.74	29.14	38.45	52.49	34.44	52.09	27.69	62.77	77.31	60.54	68.32	34.85	47.38	67.84	24.62	45.02
30.41	32.92	59.07	41.74	-0.4	10.31	41.9	24.71	13.27	42.32	50.81	38.15	27.57	54.18	33.98	56.65	37.73	61.43	83.58	47.39	72.81	37.28	37.91	64.61	7.67	38.06
27.41	39.91	42.95	40.81	10.06	-1.8	42.73	20.23	19.2	46.55	42.12	46.69	29.37	39.62	23.98	55.95	22.79	53.65	66.67	53.1	60.96	38.14	37.98	72.85	16.56	26.63
20.8	33.52	52.26	35.88	10.73	9.9	46.59	23.3	32.32	25.53	40.39	37.32	25.15	48.04	33.32	60.41	37.79	65.93	79.86	49.02	69.02	38.44	43.82	65.83	15.18	26.56
31.95	50.72	62.48	35.32	19.74	9.3	42.01	16.21	21.97	40.36	54.46	44.78	37.36	63.08	37.69	53.67	46.63	69.43	75.48	49.88	66.1	44.55	54.28	65.63	13.72	52.59
43.64	43.38	61.78	34.32	22.48	13.43	31.97	13.69	34.58	40.49	45.71	34.56	39.34	61.72	35.51	50.96	59.02	72.45	84.57	59.54	86.5	52.06	55.09	77.64	14.58	43.55
