"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
0.66	6.66	11.77	0.95	0.79	0.55	7.3	1.93	6.32	7.4	20.84	22.43	16.83	11.55	3.81	54.8	6.08	2.78	5.54	6.23	4.01	4.76	4.96	4.4	2.98	3.73
0.77	6.64	11.91	1.04	0.95	0.64	7.66	2.11	6.23	7.67	21.37	22.14	16.86	11.81	3.68	55.11	6.09	2.82	5.46	5.88	4.18	4.78	4.99	4.63	3.19	3.81
0.55	6.69	11.73	1.04	0.75	0.41	7.38	1.91	6.42	7.35	21.35	22.74	16.96	11.56	3.63	55.23	6.08	2.82	5.48	5.92	4.1	4.55	4.89	4.3	2.83	3.59
0.53	6.46	11.59	0.74	0.63	0.56	7.32	1.7	6.16	7.22	21.31	22.69	16.78	11.16	3.48	55.33	5.88	2.73	5.47	5.65	3.68	4.68	4.45	4.19	2.38	3.51
0.92	6.77	11.97	1.1	0.93	0.79	7.64	2.03	6.48	7.43	21.74	23.19	17.35	11.49	3.68	55.25	6.07	2.8	5.32	6.18	4.21	4.71	4.96	4.37	3	3.78
0.61	6.52	11.81	0.9	0.83	0.46	7.32	1.93	6.34	7.36	21.75	22.91	17.14	11.47	3.49	55.56	5.81	2.72	5.15	5.78	3.83	4.77	4.79	4.2	2.79	3.5
0.55	6.65	11.89	1.29	0.9	0.53	7.29	1.9	6.29	7.42	22.02	23.29	17.31	11.55	3.61	55.67	5.95	2.63	5.35	5.86	3.89	4.6	4.82	4.08	2.87	3.46
0.64	6.46	11.66	1.09	0.92	0.65	7.32	2.02	6.59	7.45	21.96	23.25	17.53	11.49	3.72	56.1	5.98	2.72	5.38	5.83	4.02	4.46	4.79	4.48	2.92	3.72
0.91	6.78	11.68	1.38	0.84	0.69	7.7	2.02	6.4	7.61	22.1	23.34	17.55	11.62	3.64	56.48	6.14	2.95	5.78	6.17	4.14	4.55	5.08	4.42	3.06	3.69
0.74	6.75	11.8	1.06	0.83	0.52	7.76	1.89	6.42	7.85	22.5	23.4	17.4	11.47	3.5	56.01	6.22	2.81	5.55	5.94	4.32	4.42	4.79	4.16	2.91	3.75
0.83	7.04	12.59	1.04	0.89	0.58	7.84	1.82	6.66	7.92	23.14	24.15	17.71	11.8	3.42	56.69	6.44	2.95	6.02	6.22	4.38	4.91	5.32	4.64	3.15	4.13
0.98	7.22	12.26	1.31	0.97	0.89	8.05	2.26	6.46	7.95	22.99	23.91	17.76	11.95	3.93	56.55	6.58	3.57	6.27	6.49	4.54	5.08	5.55	4.53	3.25	3.87
0.6	6.86	11.87	0.84	0.8	0.55	7.69	1.96	6.47	8.12	22.76	24.31	17.83	11.68	3.72	55.61	6.24	3.14	6.11	6.38	4.32	4.58	5.22	4.64	3.05	3.75
0.96	6.92	12.47	1.15	1.16	0.81	7.52	2.4	6.38	7.8	22.79	23.87	17.38	11.82	3.72	56.07	6.39	3.23	5.94	6.25	4.5	4.79	5.2	4.72	3.05	3.92
0.8	6.68	12.16	1.13	0.55	0.34	7.66	1.73	6.18	7.68	22.59	23.35	17.34	11.25	3.26	56.05	6.47	2.98	5.6	6.23	4.51	4.79	5.05	4.54	2.93	3.39
0.78	7.02	11.66	1.19	0.96	0.46	7.64	1.87	6.3	7.75	22.85	23.49	17.3	11.48	3.72	56	6.32	3.13	5.87	6.37	4.31	4.94	5.31	4.6	2.88	3.85
0.72	6.78	11.61	0.68	0.65	0.52	7.49	1.73	6.49	7.48	22.4	23.69	16.88	11.37	3.38	55.51	6.15	3.16	5.82	6.12	4.36	4.9	5.16	4.04	2.71	3.83
1.07	6.75	12.32	1.13	1.01	0.71	7.98	1.89	6.79	7.81	23.05	24.06	17.61	11.7	3.67	56.9	6.91	3.18	5.84	6.63	4.63	4.95	5.47	4.76	2.96	4.14
1.14	6.64	12.49	1.34	0.87	0.64	7.61	2.32	6.57	7.78	22.91	24.03	17.75	11.84	3.95	57.07	6.56	3.56	6.32	6.83	4.89	5.15	5.35	4.88	3.17	4.08
1.28	7.31	12.98	1.38	1.39	1.2	8.19	2.39	6.98	8.06	23.24	24.76	18.08	12.32	4.27	57.78	6.86	3.75	6.59	7.19	4.91	5.37	5.73	5.33	3.35	4.48
0.5	6.74	12.26	1.38	0.72	0.38	8.04	2.09	6.46	7.94	23.12	23.8	17.4	11.77	3.81	57.08	6.46	3.4	6.18	6.44	4.61	4.77	5.54	4.99	2.85	3.64
0.66	6.96	11.99	1.22	0.82	0.53	7.97	1.76	6.57	7.85	22.63	24.21	17.67	11.58	3.5	56.66	6.23	3.3	6.19	6.53	5.06	4.65	5.35	4.54	2.7	4.03
0.75	7.07	12.35	1.26	0.82	0.67	8.23	1.7	6.65	7.81	23.25	24.28	17.54	11.8	3.52	56.32	6.59	3.47	5.57	6.43	4.72	4.63	5.3	4.59	2.94	3.94
1.23	7.06	12.83	1.8	1.07	1.14	8.13	2.21	6.87	7.95	23.36	24.55	18.13	11.97	4.05	56.97	6.84	3.79	6.71	6.83	5.03	5.15	5.83	4.91	3.37	4.39
1.15	7.33	12.76	1.91	1.11	1.01	8.32	2.51	7.07	8.18	23.29	24.53	18.27	12.19	4.13	57.16	7.16	3.72	6.6	7.1	5.34	5.2	5.58	5.03	3.68	4.2
1.49	7.22	12.53	1.62	1.4	1.11	8.34	2.62	6.97	8.67	24.31	25.03	17.89	12.45	4.04	57.3	7.01	4.29	6.9	7.16	5.38	5.35	5.76	5.49	3.66	4.49
1.01	7.08	12.61	1.68	1.07	0.96	7.89	2.39	7.05	8.05	24.12	24.76	18.01	11.92	3.88	56.56	6.49	3.6	6.45	6.67	5.1	5.39	5.52	5.02	3.19	4.22
1.09	6.67	11.87	1.23	0.82	0.73	7.99	1.8	6.33	7.68	23.47	24.56	17.64	11.67	3.96	56.73	6.69	3.67	6.28	6.9	5.1	5.16	5.61	4.93	2.83	3.89
0.83	6.84	12.17	1.39	0.85	0.21	7.55	1.99	6.28	7.58	23.46	24.7	17.65	11.67	3.8	56.92	6.06	3.34	6.14	6.31	4.67	4.8	5.19	4.63	3.16	3.93
0.75	6.75	12.65	1.1	0.83	0.54	7.9	2.03	6.44	7.85	24.12	25.38	18.32	11.9	3.68	56.28	6.38	3.4	6.05	6.54	5.03	5.14	5.15	4.76	2.9	3.73
1.26	7.06	12.68	1.78	1	0.96	8.19	2.54	7.04	8.02	24.55	25.55	18.46	12.16	4.16	56.46	6.41	3.89	6.63	6.72	5.3	5.06	5.79	5.36	3.48	4.51
1.15	7.12	12.43	1.44	1.51	0.69	8.29	2.19	6.86	7.73	24.41	25.66	18.71	12.01	4.3	57.18	6.37	3.56	6.5	6.6	5.22	4.99	5.68	5.26	3.47	4.31
1.49	7.4	12.84	2.07	1.47	0.78	8.24	2.42	6.9	8.03	24.93	26.27	19.09	12.24	4.02	57.14	6.74	4.03	6.97	6.92	5.18	5.81	6.01	5.29	3.45	4.21
0.54	6.89	12.19	1.34	0.9	0.57	7.71	1.94	6.31	7.71	24.68	26.23	18.67	11.66	3.85	57.41	6.44	3.25	6.33	6.52	5.27	4.8	5.2	5.08	3.07	3.99
1.07	7.1	12.56	1.32	1.09	0.73	7.8	2.14	6.66	7.95	25.25	26.79	18.96	11.71	3.89	57.34	6.82	3.68	6.43	6.58	5.28	5.4	5.49	5.15	3.01	3.97
1.06	6.78	12.21	1.44	1.2	0.7	7.81	2.28	6.64	7.99	25.31	26.65	19.14	11.89	3.81	58.2	6.61	3.54	6.53	6.86	4.96	5.17	5.29	5.01	3.24	3.92
1.08	6.54	11.82	1.3	0.96	0.45	7.91	2.12	6.29	7.75	25.34	26.72	18.98	11.62	3.76	56.69	6.27	3.41	5.95	6.39	4.77	4.98	5.18	4.87	2.99	3.68
1.19	6.63	12.23	1.67	0.83	0.73	7.98	2.02	6.64	7.56	25.93	27.14	19.64	11.45	3.82	56.74	6.56	3.59	6.14	6.24	4.76	5.39	5.3	4.83	3.31	3.81
0.66	6.93	11.79	1.1	0.52	0.54	7.55	1.85	6.27	7.29	25.59	27.01	19.21	11.11	3.44	56.18	6.17	3.17	5.73	6.17	4.5	4.72	5.16	4.55	2.71	3.76
0.96	6.49	12.23	1.02	0.68	0.44	7.22	1.85	6.19	7.53	26.16	27.71	19.43	11.26	3.53	56.8	6.36	3.14	6.25	6.31	4.75	4.66	4.9	4.74	3.17	3.61
0.82	6.75	11.88	1.34	0.71	0.88	7.55	2.14	6.64	7.69	26.45	28.23	19.66	11.13	3.58	56.77	6.04	3.31	5.69	6.2	4.76	4.88	5.05	4.56	2.94	3.76
0.52	6.45	11.73	1.09	0.56	0.26	7.25	1.8	6.07	7.24	26.45	28.32	19.78	10.67	3.51	56.36	6.16	3.05	5.4	6.05	4.53	4.48	5.11	4.31	2.93	3.68
0.91	6.41	12.27	1.37	1.06	0.67	7.76	1.94	6.61	7.74	26.76	28.49	20.02	11.14	3.7	56.45	6.34	3.27	5.87	6.39	4.89	4.87	5.12	4.57	2.93	3.76
0.93	6.73	12.24	1.34	1.11	0.88	7.85	2.16	6.45	7.53	27.18	28.52	19.91	11.55	3.96	56.29	6.07	3.18	5.91	6.53	4.85	4.79	5.33	4.92	3.06	3.92
0.81	6.34	11.97	1.19	0.65	0.54	7.47	1.65	6.31	7.4	27.27	28.56	19.94	11.23	3.65	56.76	6.17	2.97	5.82	6.19	4.72	4.73	5.16	4.51	3.01	3.67
1.02	6.48	12.06	1.05	0.84	0.7	7.64	1.78	6.21	7.55	26.84	28.8	20	11.27	3.79	56.38	6.32	3.2	5.82	6.13	4.72	4.45	5.05	4.49	2.67	3.78
1.02	6.59	11.97	1.24	0.79	0.93	7.7	2.08	6.62	7.45	27.49	29.38	20.04	11.62	3.66	56.93	6.18	3.03	5.8	6.29	5.05	4.86	5.36	4.33	2.88	3.62
0.73	6.27	12.1	1.2	0.87	0.64	7.19	1.94	6.2	7.28	27.13	28.95	19.61	10.83	3.3	56.07	5.91	2.94	5.57	5.93	4.44	4.37	4.83	4.33	2.9	3.37
1	6.52	11.79	1.35	0.96	0.91	7.64	1.99	6.49	7.61	27.56	28.8	20.15	10.93	3.56	56.45	6.36	3.5	5.87	6.31	5.07	4.7	5.27	4.52	3.2	3.79
1.07	6.96	12.18	1.28	1.27	1.12	8.03	2.2	6.98	7.75	27.28	29.21	20.36	11.58	3.7	56.26	6.51	3.47	6.3	6.69	5.23	4.9	5.6	4.88	3.07	3.77
0.7	6.71	12.36	1.28	0.75	0.7	7.77	2.29	6.6	7.82	27.17	28.81	19.74	11.12	3.7	56.56	6.55	3.54	5.96	6.46	5.16	4.71	5.41	4.76	3.16	3.88
1.07	6.87	12.28	1.3	1.04	0.56	7.79	2.07	6.44	7.49	27.67	29.22	20.06	11.39	3.78	56.66	6.51	3.28	6.22	6.46	5.22	4.86	5.34	4.5	3.12	3.82
0.78	6.85	12.36	1.42	0.86	0.79	8.14	2.02	6.34	7.51	27.33	28.75	19.6	11.29	3.87	56.33	6.28	3.53	6.15	6.36	5.04	4.77	5.58	4.96	3.42	4.12
0.85	6.38	12.21	1.45	0.92	0.81	7.82	1.79	6.42	7.47	26.65	28.02	19.75	11.2	3.69	56.04	6.42	3.54	5.94	6.17	4.88	4.77	5.46	4.61	3.06	3.79
1.1	6.67	12.21	1.44	0.92	0.71	7.75	2.1	6.36	7.64	26.21	28.18	19.66	11	3.96	56.47	6.66	3.41	6.08	6.67	5.04	4.85	5.67	4.9	3.04	3.6
0.92	6.88	12.56	1.61	1	0.81	7.92	2.14	6.54	7.96	26.42	28.03	19.45	11.32	3.75	56.95	6.37	3.53	6.17	6.32	4.78	5.05	5.16	4.78	3.29	3.97
0.96	6.92	12.66	1.53	1.4	0.83	8.05	2.29	6.67	7.83	26.51	27.81	19.45	11.46	4.18	56.38	6.36	3.51	6.38	6.66	5.32	4.88	5.94	5.2	3.24	4.23
1.13	6.96	12.2	1.47	0.91	1.02	8.02	2.56	6.62	7.95	26.08	27.41	19.23	11.29	3.71	55.92	6.58	3.52	6.08	6.94	5.25	4.95	5.24	4.95	2.93	3.95
1	6.72	12.1	1.23	0.59	0.95	7.87	2.56	6.74	7.52	25.74	27.03	18.6	11.11	3.82	56.24	6.55	3.49	6.14	6.25	5.03	5.17	5.37	4.75	3.02	3.81
0.71	6.7	12.17	0.91	0.8	0.56	7.66	1.85	6.38	7.43	25.15	26.98	18.41	11.11	3.79	55.92	6	2.87	6.08	6.16	4.79	4.65	4.96	4.39	3.03	3.84
0.81	7.04	12.02	1.47	0.77	0.62	7.68	2.2	6.4	7.7	25.14	26.84	18.11	10.99	3.79	56.06	6.51	3.58	5.97	6.24	5.23	5.25	5.43	4.48	3.19	3.9
1.12	6.82	12.35	1.23	1.23	0.75	7.88	2.03	6.7	7.63	25.07	26.46	17.95	11.18	3.86	56.34	6.51	3.38	6.16	6.38	4.77	5.06	5.35	4.48	3.13	3.74
1.07	6.48	11.98	1.27	0.87	0.51	8.02	1.87	6.34	7.38	25.31	26.19	18.04	11.09	3.94	55.86	6.35	3.3	6	6.59	5.22	4.72	5.53	4.57	2.96	3.84
0.95	6.51	12.34	1.44	1.25	1.25	8.02	2.49	6.77	7.63	25.13	26.66	18.06	11.24	4.1	56.18	6.57	3.27	6	6.35	5.3	5.16	5.19	4.74	3.2	4
0.88	6.4	12.12	0.89	0.72	0.39	7.69	2.06	6.06	7.22	24.61	25.78	17.54	10.66	3.62	55.75	6.24	3.15	5.54	5.98	5.09	4.91	5.05	4.29	3.32	3.5
0.98	6.49	11.8	1.13	0.88	0.63	7.72	2.09	6.33	7.45	24.87	26.16	17.69	10.83	3.62	56.15	6.02	3.13	5.66	6.17	4.9	4.48	5.27	4.4	2.69	3.66
0.9	6.41	12.09	1.37	1.14	0.68	8.12	2.18	6.33	7.81	24.94	26.62	17.93	10.8	3.67	55.97	6.22	3.38	5.86	6.15	4.94	4.64	5.5	4.72	3.16	3.84
0.78	6.52	11.9	1.26	1.11	0.52	7.75	1.97	6.39	7.22	24.51	25.92	17.72	10.79	3.59	56.17	6.21	2.99	5.72	6.25	4.85	4.39	4.76	4.53	2.73	3.73
0.58	6.58	11.6	1.06	0.73	0.61	7.55	1.86	6.06	7.31	24.97	26.35	17.84	10.67	3.37	54.93	6.11	3.14	5.71	6.17	4.72	4.44	5.06	4.18	2.81	3.7
1.09	6.44	12.21	1.38	1.04	0.7	7.75	2.35	6.26	7.44	24.82	26.46	18.11	10.8	3.63	55.67	6.3	3.3	6.01	6.43	5	4.89	5.36	4.66	2.86	3.8
0.62	6.11	11.61	0.86	0.85	0.78	7.57	1.99	5.97	7.04	25.21	26.79	18.1	10.63	3.47	55.52	5.89	3.18	5.82	6.05	5	4.46	5.12	4.2	2.72	3.43
0.82	6.51	12.2	1.12	0.93	0.67	7.54	2.32	6.41	7.12	25.67	27.69	18.54	11.23	3.57	55.8	5.88	3.11	5.74	6.33	5.06	4.8	5.08	4.57	2.94	3.61
0.76	6.15	12.01	1.15	0.94	0.77	7.74	2.03	6.08	7.45	26.07	27.76	18.78	10.54	3.54	56.05	6.25	2.98	5.67	6.51	4.93	4.45	4.99	4.11	2.94	3.52
0.47	6.17	11.69	1.06	0.66	0.35	7.43	1.93	6.15	7.12	26.4	28.29	18.94	10.62	3.29	55.67	6.14	2.47	5.29	5.69	4.8	4.41	4.79	4.08	2.5	3.44
0.52	6.35	12.12	1.13	0.81	0.51	7.68	2	6.11	7.07	27.19	28.37	19.29	10.69	3.38	56.2	6.33	3.2	5.57	5.88	5	4.7	5.18	4.22	3.13	3.37
0.94	6.48	12.1	1.32	0.77	0.63	7.47	2.08	6.19	7.14	27.17	29.3	19.4	10.43	3.65	56.65	5.91	3.06	5.26	6.24	5.13	4.73	4.85	4.01	2.75	3.46
0.78	6.35	11.95	1.01	0.79	0.59	7.6	1.86	6.14	7.26	27.68	29.63	19.72	10.39	3.49	55.45	5.87	3.1	5.45	6.13	4.8	4.54	4.86	4.25	2.66	3.19
0.97	6.44	11.85	0.87	0.78	0.83	7.61	2.19	6.49	7.48	28.2	30.43	20.6	10.41	3.57	55.97	6.35	2.99	5.59	6.19	5.03	4.61	5.22	4.42	3.07	3.56
0.79	6.3	11.77	1.22	1	0.68	7.82	2.09	6.4	7	28.78	31.04	20.87	10.63	3.62	55.78	6.03	2.94	5.71	6.14	5.25	4.76	5.06	4.31	2.82	3.62
1.02	6.62	12.18	1.39	0.56	0.56	7.72	2.18	6.36	7.43	29.47	31.73	21.39	10.57	3.83	55.97	6.37	3.14	5.53	6.03	5.06	4.85	5.13	4.42	2.83	3.61
0.65	6.25	11.89	0.91	0.91	0.8	7.82	2.17	6.2	7.09	29.99	32.59	21.49	10.33	3.67	56.09	6.02	2.94	5.5	6.05	4.96	4.44	5	4.09	2.73	3.4
0.72	6.67	12.07	0.88	0.95	0.69	7.62	2.1	5.95	7.25	30.73	32.85	22.16	10.55	3.68	55.38	6.06	3.04	5.57	6.1	4.8	4.27	4.97	4.3	2.71	3.66
0.76	6.15	12.06	1.07	1.09	0.81	7.69	2.4	6.34	7.5	31.38	33.47	23.06	10.64	3.56	56.03	5.91	3.27	5.67	6.14	5.13	4.44	5.12	4.24	3.06	3.6
0.82	6.86	12.32	1.37	1.43	0.82	7.95	2.43	6.17	7.35	31.25	34.56	23.23	10.82	3.62	56.12	6.16	3.32	5.52	6.16	5.36	4.69	4.88	4.21	2.95	3.69
0.77	6.65	12.36	1.51	1.42	1.1	7.88	2.63	6.41	6.99	32.58	35.38	23.83	10.66	3.9	56.31	6.38	3.37	6.23	6.67	5.85	4.8	5.29	4.55	3.21	3.54
0.68	5.92	12.25	0.91	0.72	0.53	7.76	2.16	6.34	7	32.64	35.79	24.46	10.41	3.25	55.83	5.92	3.01	5.4	5.91	5.18	4.43	4.78	3.85	2.8	3.29
0.77	6.09	11.68	0.96	0.97	0.37	7.78	1.76	5.63	6.75	32.91	36.31	23.95	10.26	3.46	55.41	5.83	2.83	5.41	5.74	5.25	4.53	4.79	4	2.62	3.03
0.58	6.08	12.02	0.91	1	0.75	7.85	1.93	6.11	6.74	33.76	36.85	24.72	10.39	3.2	56.2	5.96	2.84	5.46	5.95	4.99	4.1	4.85	4.01	2.61	3.21
0.71	6.36	12.17	1.15	1.04	0.98	7.74	2.11	6.4	7.24	34.26	37.39	25	10.71	3.48	55.75	6.38	3.06	6.01	6.33	5.36	4.57	4.89	4.62	3.17	3.56
0.67	6.4	12.07	1.22	0.93	0.83	7.79	2.37	6.17	7.37	34.57	37.61	24.92	10.4	3.54	55.52	6.11	3.4	5.76	6.47	5.46	4.58	4.85	4.35	3.07	3.46
0.65	6.14	11.82	1.23	0.92	0.5	7.77	1.91	6.19	6.83	34.59	37.59	25.27	10.18	3.37	55.05	6	2.87	5.32	5.89	5.19	4.48	5.03	4.04	2.76	3.34
0.92	6.83	12.03	1.27	1.33	0.89	7.97	2.34	6.28	6.81	35.27	38.42	25.68	10.45	3.65	55.51	5.95	3.24	5.54	5.91	5.67	4.69	5.22	4.3	3.07	3.37
0.83	6.58	12.02	1.27	1.13	0.83	8.33	2.3	6.31	7.34	36.12	39.24	26.43	10.38	3.36	55.45	6.09	3.16	5.7	6.15	5.74	5.02	4.84	4.15	2.91	3.52
0.83	6.42	12.08	1.19	1.19	0.87	8.05	2.48	6	6.99	35.99	39.49	26.21	10.45	3.66	55.37	5.97	3.08	5.31	5.98	5.42	4.55	5.36	4.26	2.91	3.64
0.76	6.43	11.71	1.11	1.16	0.95	8.03	2.1	6.06	7.04	36.11	39.16	26.03	10.23	3.6	54.84	5.93	2.94	5.15	6.08	5.16	4.36	4.89	3.97	2.77	3.12
0.66	6.08	12.02	0.88	1.01	0.81	7.88	2.1	6.08	6.92	36.46	39.94	26.57	9.95	3.19	55.28	5.98	2.62	5.02	5.89	5.39	4.09	4.92	4.13	2.68	3.2
0.53	6.02	11.88	0.91	0.82	0.45	7.83	1.84	5.78	6.95	36.53	39.62	26.31	10.02	3.29	54.71	5.67	3	5.22	6.03	5.32	4.17	4.79	3.74	2.65	3.01
0.59	6.09	11.69	0.92	1.05	0.57	8.15	2.46	5.75	6.85	36.97	40.25	26.83	9.95	3.32	55.04	5.92	2.58	5.1	5.81	5.2	4.16	4.86	3.94	2.82	3.23
1.01	6.46	11.72	1.48	1.49	0.82	8.16	2.44	6.27	7.25	37.42	40.34	27.01	10.35	3.53	55.1	6.21	3.04	5.36	6.19	5.76	4.63	5.2	4.23	2.93	3.38
0.58	6.35	11.76	0.91	0.92	0.88	8.13	2.13	5.89	6.79	37.1	40.3	26.68	9.97	3.44	54.59	5.87	2.8	5.23	5.93	5.53	4.29	4.67	3.64	2.74	3.07
0.8	6.45	11.91	0.93	1.16	0.45	7.95	2.3	5.85	7.17	37.12	40.78	27.01	10.36	3.2	54.41	5.83	2.72	5.69	5.92	5.51	4.24	4.93	4.01	2.72	3.5
0.5	6.38	11.73	1.02	1.26	0.53	8	2.2	6.14	6.9	37.35	40.79	26.79	10.13	3.45	54.45	5.6	2.78	5.48	5.87	5.73	4.46	4.96	3.84	2.76	3.13
0.57	6.31	12.09	1.09	1.36	0.68	8.16	2.32	6.14	7.06	37.68	40.73	27.35	10.21	3.27	54.56	5.94	2.92	5.31	6.01	5.97	4.07	4.66	3.83	3	3.36
0.73	6.68	12.48	1.31	1.61	0.76	8.71	2.54	6.44	7.3	37.76	41.4	27.53	10.65	3.63	54.53	6.25	3.11	5.77	6.64	6.53	4.75	5.11	4.43	3	3.26
0.97	6.48	12.5	1.16	1.43	0.84	8.59	2.29	6.6	7.37	37.98	41.37	27.53	10.32	3.84	54.45	6	3.25	5.8	6.17	6.29	4.53	5.23	4.16	3.01	3.82
0.67	6.52	12.1	1.03	1.2	0.52	8.38	2.47	6.04	7.01	37.55	40.79	27.18	10.22	3.4	54.81	6.06	2.69	5.51	5.95	6.06	4.47	4.75	4.12	2.74	3.18
0.78	6.32	12.17	1.17	1.62	0.83	8.7	2.67	6.35	7	37.62	40.83	27.04	10.12	3.82	54.53	5.98	3.02	5.77	6.14	6.18	4.7	5.11	4.02	3.02	3.55
0.5	6.11	12.12	0.99	1.21	0.59	8.64	2.39	5.89	6.9	37.54	41.01	27.21	10.29	3.42	54.28	5.97	2.61	5.54	5.88	5.7	4.23	4.36	3.94	2.77	3.3
0.74	6.38	11.88	1.25	1.4	0.7	8.58	2.65	6.04	7.13	37.16	40.54	27.09	10.14	3.35	54.65	6.05	2.93	5.33	6.19	6.27	4.58	4.96	4.05	2.65	3.35
0.99	6.55	12.21	1.18	1.58	1.03	8.68	2.67	5.83	7.18	37.64	40.57	27.08	10.35	3.48	54.12	6.14	3.14	5.47	6.19	6.25	4.71	4.85	4.15	2.85	3.39
0.58	6.5	12.24	1.43	1.59	0.87	8.55	2.8	6.13	7.24	37.71	41.04	27.22	10.07	3.58	54.23	6.22	2.79	5.34	6.06	6.47	4.43	4.99	4.12	2.69	3.28
0.46	6.53	12.07	0.8	1.5	0.76	8.48	2.38	6.11	6.67	37.5	40.8	26.71	9.85	3.49	53.76	5.92	2.56	5.13	5.88	6.23	4.34	4.75	4.19	2.66	2.97
0.22	6.37	11.93	0.98	1.45	0.82	8.6	2.48	6.11	6.79	37.42	40.38	27.01	9.77	3.2	53.7	5.84	2.9	5.13	5.68	6.41	4.24	4.88	3.75	2.49	3.17
0.17	6.46	11.91	0.52	0.98	0.74	8.76	2.19	5.79	6.5	37.03	40.3	26.3	10.02	3	53.6	5.83	2.58	5.09	5.8	6.13	4.19	4.6	3.83	2.65	2.8
0.39	6.32	11.85	1.05	1.33	0.65	8.78	2.76	5.91	6.94	37.14	39.97	26.49	9.82	3.31	53.68	5.76	2.76	5.07	5.78	6.1	4.09	4.83	3.86	2.44	3.03
0.6	6.31	12.06	1.09	1.4	0.85	8.79	2.71	6.03	6.78	36.44	39.8	26.32	9.94	3.33	53.32	5.58	2.88	5.31	6.03	6.44	4.34	5.21	3.64	2.96	3.21
0.81	6.72	12.19	1.28	1.65	1.27	9.27	3.07	6.2	7.12	36.57	39.84	26.43	10.09	3.64	53.78	6.39	3.17	5.57	6.34	6.9	4.55	4.91	4.08	2.78	3.54
0.62	6.51	12.12	0.93	1.68	0.94	9.39	2.72	5.89	7.02	36.53	39.64	26.32	10.22	3.47	53.31	6.17	2.67	5.34	5.96	6.69	4.25	5.03	3.86	2.73	3.14
0.82	6.44	11.83	0.92	1.76	1.11	9.32	2.8	6.21	7.04	36.73	39.22	26.18	9.96	3.48	53.41	5.92	3.05	5.6	6.18	6.57	4.24	4.98	3.97	2.9	3.18
0.48	6.61	11.42	0.65	1.45	0.72	9.12	2.63	5.93	6.68	35.92	39.12	25.26	10.03	2.94	52.9	5.64	2.7	4.99	5.61	6.75	4.23	4.65	3.7	2.4	2.95
0.57	6.45	11.74	0.8	1.66	1	9.14	2.9	5.83	6.68	35.64	38.52	25.49	9.93	3.16	52.16	5.62	2.7	5.12	6.11	6.82	4.58	4.89	3.83	2.71	3.29
0.79	6.5	12.18	1.18	1.73	1	9.41	2.85	6.15	7.01	36.08	38.65	25.48	9.66	3.52	52.61	5.59	3.02	5.1	6.18	7.12	4.47	4.95	3.93	2.63	3.2
0.88	6.61	12.18	1.03	1.99	1.16	9.4	3.22	6.04	6.98	35.56	38.77	25.34	10.13	3.42	52.63	5.87	2.99	5.4	6.06	7.4	4.32	4.87	4.02	2.93	3.38
0.8	6.61	12.15	0.83	1.65	0.96	9.48	2.82	5.71	6.99	35.44	38.51	24.71	10.3	3.21	51.99	5.68	2.51	5.26	5.92	7.11	4.53	4.79	3.93	2.72	3.29
0.78	6.12	11.57	0.92	1.66	0.93	9.67	2.95	5.99	6.9	34.9	37.56	24.49	9.92	3.36	51.37	5.74	2.55	4.86	6.07	7.5	4.11	4.74	3.84	2.63	3.21
0.5	6.66	11.79	0.78	1.75	1.01	9.64	3.06	5.74	6.52	35.06	38.11	24.68	9.75	3.26	52.21	5.79	2.81	4.83	5.62	7.37	4.18	4.83	3.73	2.59	3.18
0.56	6.55	12.11	1.04	2.03	0.96	9.85	3.18	6.16	6.74	35.2	37.75	24.31	9.91	3.35	52.19	5.71	2.62	5.37	5.95	7.37	4.3	4.74	3.85	3.05	2.95
0.66	6.58	11.82	0.76	1.74	0.85	9.85	3.06	5.69	6.69	34.44	36.96	24.35	9.43	3.41	51.14	5.46	2.58	4.96	5.68	7.53	4.11	4.58	3.77	2.62	3.01
0.68	6.76	11.97	0.94	1.92	1.07	9.79	3.26	5.87	6.72	34.28	36.84	24.27	9.8	3.54	51.23	5.56	2.7	5.28	6.05	7.53	4.19	4.51	3.88	2.93	3.17
0.67	6.67	11.93	1.03	1.98	1.16	10.04	3.15	5.99	6.8	33.81	36.89	23.71	9.93	3.46	50.83	5.59	2.68	5.09	5.81	7.58	4.36	4.69	3.96	2.79	2.88
