"Rubus_caesius_F_1"	"Taraxacum_officinale_F_1"	"Corylus_avellana_F_1"	"Impatiens_glandulifera_F_1"	"Buddleja_davidii_F_1"	"Buddleja_davidii_F_2"	"Buddleja_davidii_F_3"	"Reynoutria_japonica_F_1"	"Reynoutria_japonica_F_2"	"Taraxacum_officinale_F_2"	"Prunus_cerasifera_F_1"	"Eupatorium_cannabinum_F_1"	"Fraxinus_excelsior_F_1"	"Plantago_major_F_1"	"Impatiens_glandulifera_F_2"	"Rosa_canina_F_1"	"Rubus_caesius_F_2"	"Hedera_helix_F_1"	"Hedera_helix_F_2"	"Corylus_avellana_F_2"	"Plantago_major_F_2"	"Cornus_sanguinea_F_1"	"Prunus_cerasifera_F_2"	"Juglans_regia_F_1"	"Prunus_spinoza_F_1"	"Wavelength"
40.5	31.27	20.3	41.96	32.21	26.8	33.57	33.7	26.86	37.51	43.35	30.34	30.94	46.89	52.2	37.27	49.42	29.09	42.59	31.02	20	30.01	17.5	21.49	30.75	188.404
19.7	14.96	6.8	20.3	4.32	9.81	24.97	23.09	21.54	36.07	28.22	20.08	30.3	33.95	35.37	40.79	31.93	8.06	18.26	3.85	8.31	3.68	24.06	21.81	6.77	188.788
31.55	34.92	-3.15	13.5	22.63	29.15	36.3	33.46	30.29	31.07	19.27	33.7	29.97	52.86	46.41	35.04	39.03	25.28	18.92	17.58	8.6	12.85	11.43	17.11	20.06	189.172
27.48	25.49	21.71	26.63	41.7	34.65	45.3	21.99	35.44	32.23	36.09	31.34	35.5	46.02	60.91	47.36	39.41	38.61	46.96	23.24	23.53	31.59	28.21	30.15	33.6	189.556
30.05	19.96	22.75	31.6	17.84	22.87	33.61	22	26.11	41.48	43.54	36.12	35.02	46.33	53.78	35.5	38.47	18.94	43.26	36.16	15.43	28.45	27.11	26.17	28.56	189.94
33.21	1.64	0.66	11.16	13.23	15.06	33.21	12.85	27.46	24.01	35.14	5.74	28.38	34.76	50.46	21.14	24.75	19.5	6.02	-0.89	-1.22	2.84	-1.43	3.31	-8.58	190.323
60.12	47.25	35.6	36.94	44.56	45.93	48.62	43.98	47.69	64.94	42.8	56.86	52.56	56.92	55.31	50.67	51.97	44.66	42.05	38.94	38.67	38.67	35.5	42.5	44.17	190.707
30.72	26.14	9.83	19.7	4.42	19.88	31.16	12.99	24.42	22.36	23.57	22.37	23.84	42.67	55.31	23.12	31.5	12.5	21.44	12.12	10.3	10.29	12.28	9.2	-14.32	191.091
7.23	14.13	13.88	12.2	26.62	19.51	39.57	28.05	24.18	25.97	31	46.84	2.17	36.56	50.99	19.61	33.57	11.95	25.36	16.57	11.91	2.65	15.4	-3.16	15.74	191.474
2.72	11.6	-4.51	13.05	16.73	15.74	21.2	21.39	12.3	19.6	30.34	22.7	17.39	29.53	38.92	18.81	9.36	2.41	12.02	1.55	15.83	2.71	-6.49	-0.61	-4.77	191.858
26.75	35.47	23.73	30.51	29.65	24.98	33.55	32.63	30.79	49.96	28.7	29.84	34.49	42.52	47.24	44.87	35.58	22.49	24.29	23.74	21.49	32.89	23.78	31.43	25.97	192.241
30.31	14.2	-0.64	13.5	14.2	20.24	24.38	9.19	17.85	19.89	25.49	22.27	19.78	33.02	36.52	27.26	20.59	13.73	17.9	7.67	6.08	-7.56	5.68	0.99	8.82	192.625
44.05	15.91	26.87	25.81	39.71	32.95	30.84	42.05	43	55.95	26.68	41.71	36.42	72.16	53.51	36.2	52.31	23.95	33.92	12.37	34.76	14.87	20.8	32	17.55	193.008
43.44	37.96	32.22	30.81	37.16	36.71	38.31	40.42	39.43	42.64	48.18	40.45	32.22	46.37	53.19	49.63	41.85	31.93	32.61	44.88	35.84	34.63	39.65	31.56	25.8	193.392
18.08	16.61	10.42	16.08	12.33	12.86	16.48	11.01	15.68	19.53	17.14	9.59	12.31	19.75	36.34	29.12	17.51	13.37	21.31	10.94	3.11	12.69	16.13	11.74	3.94	193.775
19.73	-0.29	5.2	12.79	19.19	13.02	16.59	12.45	10.99	21.92	13.19	17.91	18.74	19.56	30.42	20.52	14.16	20.45	15.58	8.7	10.03	13.34	7.87	9.58	-6.62	194.159
29.78	21.37	22.98	15.7	12.66	36.24	43.91	18.18	23.12	28.96	14.33	20.48	23.8	35.72	45.18	40.53	45.26	8.92	29.42	16.03	22.71	30.59	20.89	19.93	20.8	194.542
23.45	23.16	-2.73	19.64	16.9	18.09	24.17	18.23	20.49	13.33	23.28	13.43	22.61	31.24	26.26	33.21	32.87	12.37	24.93	10.53	-1.9	20.75	7.62	4.18	12.82	194.925
31.2	37.23	34.37	34.13	36.19	36.5	35.79	45.59	42.47	46.6	40.97	32.14	30.66	42.71	53.54	42.24	42.19	30.23	39.71	29.26	25.56	31.54	26.79	32.7	32.21	195.309
30.07	27	17.26	22.85	21.79	28.42	34.07	25.91	29.94	36.3	29.06	26.32	34.05	38.71	38.61	26.82	33.64	28.11	31.56	25.47	25.48	26.63	22.58	23.12	15.14	195.692
19.25	22.01	7.76	6.19	10.56	11.19	21.59	20.52	17.51	27.05	21.77	11.54	16.09	37.2	46.26	14.74	14.67	10.51	17.82	7.42	3.8	12.56	-6.59	11.68	16.59	196.075
32.51	26.74	11.08	19.93	32.02	16.12	37.79	17.21	28.26	28.08	27.9	17.44	34.93	34.59	42.35	23.84	24.8	15.47	22	12.4	8.09	6.01	14.05	14.11	14.54	196.458
22.71	6.95	-17.7	0.28	10.03	3.43	1.52	7.05	14.06	21.17	14.32	17.88	12.13	8.15	35.66	18.45	38.72	-13.01	7.98	11.08	1.87	5.89	7.58	-3.59	1.21	196.841
8.43	10.24	-1.52	7.61	12.42	6.79	19.75	7.97	15.48	23.58	27.25	14.19	5.96	24.1	43.9	33.07	23.86	-2.08	8.39	7.71	5.64	9.03	5.66	-5.34	9.59	197.225
26.91	21.47	5.86	13.5	20.69	16.85	31.17	30.65	17.41	35.33	25.56	30.21	24.16	38.33	46.7	34.46	26.83	15.6	28.89	20.87	19.73	21.57	16.56	6.17	16.09	197.608
31.99	29.46	15.7	24.02	29.26	23.98	29.08	33.16	34.69	53.06	23.38	39.83	28.84	36.51	59.82	42.63	37.13	5.23	24.42	29.85	15.33	18.74	17.56	26.15	24.6	197.991
18.48	21.37	13.49	15.92	8.69	14.82	16.49	24.88	23.9	34.6	22.77	20.32	26.02	28.57	40.06	20.24	26.44	20.11	28.99	12.65	19.7	17.02	11.16	11.36	10.56	198.374
15.02	5.42	-14.85	9.99	8.69	-5.21	9.81	8.56	2.16	22.66	11.28	5.09	14.97	4.83	38.71	16.47	16.62	3.17	9.5	-7.45	-7.18	-8.52	-3.63	-20.89	-11.01	198.757
22.72	21.48	9.44	18.54	9.27	19.72	11.73	27.66	29.75	37.93	24.61	18.31	28.88	34.46	35.24	26.1	32.03	8.65	17.41	15.08	10.13	15.66	11.18	4.38	17.77	199.139
30.71	33.25	18.32	29.87	21.34	23.75	31.68	32.63	22.14	37.16	34.96	35.22	30.59	50.31	45.49	29.74	38.76	31.35	43.03	28.92	17.73	26.29	12.98	27.87	24.65	199.522
22.9	15.02	13.23	25.22	17.97	20.95	33.92	20.91	21.82	30.77	9.05	27.54	27.29	40.9	52.25	28.51	34.92	12.8	23.64	25.33	21.32	7.94	20.46	13.44	30.21	199.905
21.25	39.26	10.73	27.88	23.81	24.51	32.88	25.04	31.92	39.85	39.95	40.81	29.51	45.38	41.79	39.08	44.15	23.66	23.87	24.65	12.76	29.34	14.98	11.32	15.66	200.288
-5.51	16.95	-18.42	-4.95	5.58	-11.49	10.72	1.57	-11.14	13.1	12.74	9.12	13.8	16.97	26.63	12.85	1.38	-24.84	7.79	-2.3	-17.13	-0.16	-4.61	-5.66	-8.09	200.671
35.83	45.03	30.41	33.6	28.55	39.04	35.67	40.1	33.17	44.73	37.56	26.78	42.12	41.14	56.86	36.77	30.69	31.94	44.46	37.91	37.85	30.43	24.76	28.16	20.24	201.054
34.14	34.4	10.53	33.06	20.74	32.56	38.35	28.31	39.84	51.92	26.76	27.13	40.94	48.08	53.54	27.4	37.15	17.98	37.18	26.06	23.65	25.52	31.44	19.71	19.85	201.436
4.79	-10.51	-18.66	11.3	-2.19	2.55	11.74	8.97	9.97	15.37	3.13	-0.2	3.97	11.65	24.32	12.04	9.51	-14.58	1.6	-1.81	-5.9	-12.37	3.83	-10.81	-8.8	201.819
21.92	21.71	3.79	20.1	17.18	12.2	15.82	9.79	22.21	25.26	21.93	28.82	25.52	27.43	43.2	33.23	25.28	7.29	14.3	18.84	-1.89	7.55	9.15	12.46	13.39	202.202
1.01	12.74	0.51	3.86	11.62	11.09	17.89	13.76	15.46	18.07	8.3	7.64	23.26	15.56	43.56	25.62	13.52	4.02	19.24	-9.08	2.13	-0.96	6.25	5.75	-1.1	202.584
31.35	33.37	14.15	35.3	25.89	32.55	27.18	31.58	23.86	47.24	39.86	28.3	31.65	46.9	56.19	38.74	39.52	23.97	29.69	22.14	23.95	39.58	26.26	25.81	13.27	202.967
18.97	7.66	4.12	7.24	10.23	20.1	17.05	7.09	18.56	17.85	16.18	23.54	9.65	25.62	42.06	16.25	18.02	2.09	10.92	7.89	21.13	12.63	5.53	6.54	8.26	203.349
29.99	15.92	11.05	23.8	27.77	19.82	30.22	18.88	26.87	27.33	22.18	26.43	27.53	41.15	40.95	29.08	29.4	20.97	18.71	25.48	11	17.83	18.91	16.53	11.56	203.732
13.65	15.82	2.22	19.55	21.14	14.54	15.08	19.43	12.55	16.85	19.32	16.66	11.37	24.23	30.06	16.17	16.66	11.55	14.77	6.8	6.61	13.3	2.94	13.22	9.37	204.114
28.57	30.69	13.65	27.07	27.18	23.19	29.51	15.19	27.02	29.08	22.67	37.56	29.3	27.8	40.06	37.81	40.82	17.55	21.59	20.16	21.12	15.38	29.18	21.79	22.09	204.497
7.83	12.91	5.14	13.19	10.03	9.54	12.93	24.44	20.24	21.8	13.68	26.46	17.63	36.88	39.2	21.21	19.82	1.19	11.49	12.09	11.81	17.87	5.03	-1.5	11.84	204.879
17.52	18.42	10.03	17.69	16.38	16.47	31.03	11.02	18.92	19.21	11.97	18.93	27.91	20.47	30.56	29.2	21.05	13.52	13.68	14.82	15.4	2.52	11.62	9.2	11.84	205.261
30.98	25.11	10.48	23.32	22.42	25.9	29.21	30.46	23.21	47.71	26.12	32.05	33.07	32.95	40.18	35.35	25.56	20.41	28.12	30.11	9.52	26.1	20.4	22.07	17.31	205.644
13.61	-2.28	-0.48	2.46	13.42	8.07	16.73	4.91	17.07	15.26	22.73	10.84	28.32	20.64	21.45	7.1	13.28	-2.16	9.57	-0.21	2.76	5.18	-1.38	-0.29	-9.7	206.026
37.07	31.62	19.77	15.02	16.45	26.65	43.03	29.42	27.68	39.52	29.28	33.31	28.45	37.16	52.88	40.66	42.26	10.18	19.41	21.7	27.77	20.67	23.76	25.92	16.76	206.408
21.52	28.64	-0.76	13.49	20.86	32.98	26.13	26.4	19.14	26.42	29.16	22.83	17.25	32.97	35.45	30.38	27.73	23.12	13.56	15.59	12.44	20.86	21.53	13.59	15.71	206.791
36.01	44.41	36.83	34.02	41.15	38.3	36.2	40.23	42.98	49.9	39.6	38.88	37.42	48.86	65.98	49.51	49.65	38.31	43.15	39.7	43.63	32.21	37.91	26.79	34.26	207.173
20.05	20.65	-6.85	15.93	11.79	23.7	23.08	14.13	10.74	20.74	10.52	13.33	20.86	29.22	37.95	16.5	9.09	0.16	4.19	4.74	1.42	7.93	4.7	4.29	-3.47	207.555
25.95	25.1	15.53	24.69	25.36	14.53	19.81	15.02	24.72	25.24	21.82	15.95	24.89	24.98	37.66	23.17	31.38	15.89	24.75	15.34	14.39	16.9	25.25	20.13	19.83	207.937
9.44	5.21	-11.93	2.47	1.28	-3.74	17.95	-4.44	2.32	14.87	-1.22	6.36	15.67	12.06	21.92	11.12	18.44	1.88	3.12	-8.93	-10.31	-1.33	-4.3	2.22	-9.34	208.319
23.06	20.62	19.4	19.77	23.11	17.19	31.95	24.19	24.21	36.87	29.85	27.8	26.04	31.82	40.09	16.16	30.87	4.74	19.2	17.1	16.99	14.43	16.24	16.02	17.59	208.701
24.8	24.01	9.18	9.85	10.66	19.9	31.43	16.85	21.95	30.4	33.6	21.19	33.73	34.71	53.78	32.3	27.49	12.42	18.64	26.15	19.97	27.37	15.86	11.69	14.66	209.083
