"wl" "Geranium_robertianum_G__W_1" "Geranium_robertianum_G__W_2" "Achillea_millefolium_G__W_1" "Achillea_millefolium_A__W_1" "Aegopodium_podagraria_G__W_1" "Agrimonia_eupatoria_G__T_1" "Agrimonia_eupatoria_G__C_1" "Anthriscus_sylvestris_G__W_1" "Anthriscus_sylvestris_N__W_1" "Anthriscus_sylvestris_A__W_1" "Convolvulus_sepium_G__B_1" "Campanula_persicifolia_G__B_1" "Campanula_persicifolia_G__B_2" "Campanula_persicifolia_G__B_3" "Campanula_persicifolia_G__B_4" "Campanula_persicifolia_G__B_5" "Cirsium_arvense_G__W_1" "Clinopodium_vulgare_G__W_1" "Daucus_carota_S__W_1" "Eupatorium_cannabinum_G__W_1" "Filipendula_ulmaria_G__W_1" "Galium_verum_G__W_1" "Hypericum_maculatum_A__T_1" "Hypericum_maculatum_A__C_1" "Hypericum_perforatum_G__T_1" "Hypericum_perforatum_G__C_1" "Hypericum_perforatum_G__C_2" "Hypericum_perforatum_G__C_3" "Jasione_montana_G__W_1" "Lamium_maculatum_A__L_1" "Lamium_maculatum_A__L_2" "Lamium_maculatum_A__L_3" "Lamium_maculatum_G__L_1" "Lamium_maculatum_G__L_2" "Lamium_maculatum_G__L_3" "Leucanthemum_vulgare_G__W_1" "Leucanthemum_vulgare_A__T_1" "Origanum_vulgare_A__L_1" "Prunella_vulgaris_G__W_1" "Ranunculus_repens_A__C_1" "Ranunculus_repens_A__T_1" "Rubus_caesius_G__W_1" "Trifolium_pratense_G__T_1" "Trifolium_pratense_G__B_1" "Trifolium_pratense_N__W_1" "Trifolium_pratense_I__W_1" "Trifolium_repens_A__W_1" "Trifolium_repens_I__L_1" "Trifolium_repens_S__W_1" "Trifolium_repens_N__W_1" "Valeriana_officinalis_A__W_1" "Rhinanthus_angustifolius_A__W_1" "Lotus_corniculatus_G__W_1" "Lotus_corniculatus_G__W_2" "Lotus_corniculatus_G__W_3" "Lotus_corniculatus_I__W_1" "Lotus_corniculatus_I__W_2" "Taraxacum_officinale_A__P_1" "Taraxacum_officinale_N__C_1" "Taraxacum_officinale_N__C_2" "Veronica_chamaedrys_G__C_1" "Veronica_chamaedrys_G__T_1" "Veronica_chamaedrys_G__T_2" "Veronica_chamaedrys_A__T_1" "Veronica_chamaedrys_G__T_3" "Sinapis_arvensis_I__T_1" "Sinapis_arvensis_G__T_1" "Malva_alcea_I__T_1" "Malva_alcea_I__W_1" "Malva_alcea_I__C_1" "Malva_sylvestris_G__T_1" "Malva_sylvestris_G__T_2" "Malva_sylvestris_G__C_1" "Malva_sylvestris_I__T_1" "Alliaria_petiolata_G__W_1" "Angelica_sylvestris_A__W_1" "Bellis_perennis_A__T_1" "Galium_aparine_G__W_1" "Lapsana_communis_G__W_1" "Lathyrus_pratensis_A__W_1" "Lathyrus_pratensis_A__P_1" "Lathyrus_pratensis_A__P_2" "Lathyrus_pratensis_G__W_1" "Lathyrus_pratensis_G__W_2" "Lathyrus_pratensis_G__P_1" "Lathyrus_pratensis_G__P_2" "Lathyrus_pratensis_N__W_1" "Lathyrus_pratensis_N__P_1" "Myosotis_arvensis_G__T_1" "Potentilla_crantzii_N__T_1" "Potentilla_erecta_N__T_1" "Potentilla_erecta_A__T_1" "Potentilla_erecta_A__C_1" "Potentilla_reptans_G__T_1" "Potentilla_reptans_G__C_1" "Sambucus_nigra_G__W_1" "Sambucus_nigra_G__W_2" "Solanum_nigrum_G__W_1" "Tussilago_farfara_A__P_1" "Tussilago_farfara_A__T_1" "Tussilago_farfara_G__C_1" "Veronica_arvensis_G__W_1" "Veronica_persica_A__W_1" "Veronica_persica_S__W_1" "Veronica_persica_S__W_2" "Veronica_persica_S__W_3" "Vicia_sepium_G__W_1" "Vicia_sepium_G__W_2"
"1" 300 2.74133577320327 6.23905274862426 2.56665476795067 2.56665476795067 0.289887419660332 26.4591595434192 20.0013934331924 3.28071701970461 1.13209252992931 5.24224490481397 2.18650202901787 7.3430119086708 13.2791450811857 0.637826401399286 12.9461361344522 5.57418359084157 4.33063298261907 0.885593900876062 1.74057755821542 2.0777168908225 1.46161162122523 2.52818501301536 30.4854523521918 30.7022271466502 16.1389197381986 19.8441464992037 28.9577249605199 32.5390123021346 0 0.703729530096065 6.52222483951632 2.38440524501504 6.35564735124457 3.67546690139745 4.63268168703519 4.90519105611079 4.28009636241373 3.58359923740718 2.25121026561694 10.6206541044163 19.2631994010853 5.54798529063734 6.15548894093788 11.9764245910666 0 12.439842105394 1.37920013865358 1.9027132666745 0.329106113958369 3.72403357916244 1.79083048274012 3.91047579403615 1.32255439458277 3.83876614183449 1.35636118455356 2.9431708134903 3.1989027315157 6.32368416017692 0 0 0 7.46544361289211 8.00269108091527 2.59919625878888 1.12247751119115 22.307793825688 24.4501047055542 6.96352192362913 3.97476424684139 5.79271827743143 7.88612014494063 8.47584252524141 9.97810997701824 10.7572157055276 2.41917483103948 0.746841831032151 8.49232906986006 1.17610724364732 3.08206961341441 3.16975998203762 3.92462465281058 4.30243898955482 0.485119034875501 3.51601472506753 6.93232863289179 3.41123841109327 0 0 1.85119918215818 0 6.88631077518934 16.7968204354759 7.90704111602639 13.5668892754607 6.7750439087479 6.76575802998673 2.23132572527368 1.96498531911631 1.5305207050595 4.55514150235377 8.69386902336982 2.90477216159546 5.12586746684614 0.463009763565736 0.343951131907 0.659284689958886 7.60222769656275 0.619577387334295
"2" 301 2.89037272375179 6.04110206145791 2.41271401365413 2.41271401365413 0.357781744960401 26.6183176850659 20.3002221193847 3.24033462787022 1.20213752280833 5.0818993169938 2.10860142396827 7.17181205137724 12.7528573305818 0.706626862623955 12.4612766799064 5.39353659110708 4.22400746950659 0.962002267237323 1.72505415254333 1.95312460130799 1.42818673315481 2.42635378066566 30.6659334124464 30.6278611778608 16.307067628531 19.8688860044757 29.027883631391 32.6128468732632 0.0685979471387784 0.7268023615027 6.59759754007595 2.4191549845219 6.18908353304926 3.54263268451733 4.60859778207186 4.71851638594924 4.12715302217192 3.59844312457634 2.16374999075305 10.3436113679756 19.0015636117581 5.28134028735638 6.07895282895197 11.9633864489362 0.0550027831182303 12.3328575803529 1.44265823236399 1.96828091772459 0.329106113958369 3.70563573713873 1.91406049535955 3.8530068440197 1.2646755308176 3.7827118483434 1.32584814268383 2.96194171422573 3.31513559512579 6.03658766309769 0.0807834362631822 0.83093691352492 0.131883478003368 7.13400965858087 7.60559125975662 2.49297443008095 0.995648607676343 22.4951304883524 24.4793454872533 6.871104115023 3.96961594036553 5.77352657723972 7.77563471691966 8.35093476965438 9.63361766208058 10.6159088394922 2.41338785933899 0.80646837805818 8.19896116540986 1.27876646491685 2.96610077891212 3.27303934882125 3.97942941508311 4.36202973023469 0.652304122262271 3.50046407308717 6.61841616568646 3.39868607768756 0.140299577465541 0.0272077957633787 1.90803642476033 0.0594009171812776 6.90208213254713 16.8199230725989 8.03243554644086 13.4600340880937 6.78109503756916 6.47077861739604 2.18978654238729 1.87022719365745 1.52242057169607 4.6398279327678 8.7848441253951 2.92919480331343 4.86702942155384 0.462268857245989 0.338671102805142 0.606867243809753 7.51548333411613 0.588968807264414
"3" 302 3.03536456274949 5.84817430519288 2.26322597683308 2.26322597683308 0.425325781893914 26.7733482346822 20.5930376531138 3.20000346115637 1.26941821367621 4.92417153962072 2.03267074635161 7.01096925824048 12.244543506736 0.778105917642415 11.9952496877579 5.21902665027129 4.11890938140446 1.03536724174272 1.70997092240336 1.83259310661604 1.39765618548556 2.32735649531187 30.8375914303607 30.5519453319033 16.4681819433335 19.8895426159977 29.0939690284337 32.682025835088 0.135113373227658 0.751522144520536 6.67415466728202 2.45477164792758 6.02647386758655 3.41325692083078 4.58624085555638 4.53831313173797 3.97843407317264 3.61409194478757 2.07995216374567 10.0736013210099 18.7455754868046 5.02259568912961 6.00371048090093 11.9485643098114 0.109566974166219 12.2269714976712 1.50631186868376 2.03213879689902 0.329106113958369 3.68634837012749 2.0353624703929 3.79840689221477 1.2096587649587 3.73173853308435 1.29772005324167 2.98010684607699 3.42648059871488 5.75669490544566 0.162114576254651 1.64201082059919 0.264867093097191 6.81591632266177 7.22493455015866 2.3938737801087 0.876985485939105 22.6789339909712 24.5083739347318 6.78219350753249 3.96566893357033 5.75442772228444 7.67134189627897 8.23141998359655 9.29931837069335 10.4806340928529 2.40918562062014 0.866733942852468 7.91267333692916 1.37955714924358 2.85555092573967 3.37442922710711 4.03414758726631 4.4211168051114 0.814893926566901 3.48502160065055 6.31424657722193 3.38985539495633 0.277131950679836 0.053969779849342 1.96143672933816 0.117139120639112 6.91981625286732 16.8491327374874 8.16018625717035 13.3581918105534 6.78755372146835 6.18466761146092 2.15017612214751 1.78039650457189 1.51521532765041 4.72701909540285 8.87953750984041 2.95288974663605 4.62010112296302 0.461565622311983 0.333657616959324 0.557165475929043 7.43231413161793 0.56212619350908
"4" 303 3.17630532064233 5.66008684489604 2.11839828804129 2.11839828804129 0.492509506352809 26.9247037375369 20.8801528019877 3.15972084466272 1.33375993202652 4.76909610300246 1.95877912268455 6.86033728182382 11.7543127271613 0.852267327440124 11.5480326438541 5.05076113093122 4.01534784130581 1.10558696161857 1.69536531074059 1.71624018866329 1.37043816530036 2.23138822341674 31.0002669000244 30.4745037620153 16.6223732304862 19.9062138066127 29.1561033863481 32.74665063873 0.199527453570115 0.778036770410516 6.75202977738793 2.49138916755132 5.86789304498491 3.28751148898746 4.56554997577591 4.36498156877829 3.83401241274007 3.63060956888354 2.00005009200324 9.8108416991916 18.4953683205698 4.77208423883546 5.92984511795946 11.9319155425321 0.163923424075051 12.1222961380377 1.57028109109907 2.09428714220889 0.329106113958369 3.66603206650913 2.15478101194203 3.74676427643512 1.15772477078481 3.68607673612376 1.27218587272433 2.99778479918236 3.53299716218414 5.48415737022419 0.244241521572448 2.43300975973801 0.398819592129491 6.51118964366364 6.86081860759987 2.30175925739276 0.766367059807736 22.8593263682118 24.5373851626224 6.69652073825362 3.96288652036909 5.73542497271321 7.57318223210247 8.11706793619517 8.97509339358865 10.3510631350156 2.40657546675394 0.927832590409309 7.63359477094478 1.47846535321529 2.75068245146158 3.47396566673639 4.08888022255482 4.47984686832887 0.972652652514275 3.46970659614228 6.02027371863114 3.38494233508021 0.410477367704905 0.0802262287902651 2.01117829901756 0.173196671759702 6.93980564210626 16.8850043123008 8.29062331705 13.2617487077073 6.79452879072816 5.907834715275 2.11250191765956 1.69577387137052 1.50887678915213 4.81690806396973 8.97852502334604 2.97599383097316 4.38499431785923 0.460896460727702 0.328887868786123 0.510065424434966 7.35287455509189 0.539189950426196
"5" 304 3.31318902787629 5.47665704563426 1.97843857783254 1.97843857783254 0.559322894229019 27.0728367388989 21.1618803336144 3.11948410348894 1.39498800735285 4.61670753744676 1.88699567948376 6.71976987469052 11.2822741093708 0.929114853002543 11.1196030340421 4.88884739568391 3.91333197220379 1.17255956409117 1.68127476050007 1.60418362936638 1.34695085968213 2.13864403144306 31.1538003155272 30.3955606214342 16.7697520378692 19.9189970491636 29.2144089398347 32.8068227353104 0.261821363469629 0.80649413043358 6.83135642664711 2.52914147571234 5.71341575537283 3.16556826763703 4.54646421101761 4.1989219723715 3.69396093819839 3.64805986770692 1.92427708293419 9.55555023819304 18.2510754073988 4.53013867935238 5.85743996130228 11.9133975159382 0.218302983775809 12.0189437821413 1.63468594309614 2.15472619166531 0.329106113958369 3.64454741466406 2.27236072410878 3.69816733449453 1.10909422207468 3.64595699752808 1.24945455762902 3.01509416368008 3.63474470543474 5.21912654043664 0.327412373814617 3.20372176945657 0.533609721948289 6.21985566011528 6.51334108755869 2.21649581045373 0.663672243110529 23.0364296547418 24.5665742855577 6.61381644428244 3.96123199467513 5.71652158867364 7.48109627347407 8.00764839657751 8.66082402149857 10.2268676353865 2.40556474961138 0.989958385722996 7.36185465398354 1.57547713341978 2.65175775364239 3.57168471755026 4.1437283741433 4.53836657403101 1.12534450482928 3.45453834794697 5.73695144104705 3.38414287023988 0.540316076602765 0.105917419118523 2.05703933692443 0.227555631929244 6.96234280622031 16.9280926791985 8.42407679491495 13.1710910444232 6.8021290756313 5.64068963193192 2.07677138202866 1.61663991356422 1.50337677243087 4.90968791217924 9.08238251255233 2.99864389573458 4.16162075302803 0.460257774457131 0.324339052702117 0.465453127445734 7.27731907056171 0.520300482373666
"6" 305 3.44600971489735 5.29770227247442 1.84355447676062 1.84355447676062 0.625755921414481 27.218199784037 21.4385330156021 3.0792905627347 1.45292776914878 4.46704037326138 1.8173895432659 6.58912078940386 10.8285367708775 1.00865225531513 10.7099383441691 4.73339280712637 3.81287089709152 1.23618318638686 1.66773671462688 1.49654121064196 1.32761245571375 2.04931898585357 31.2980321709589 30.3151400633974 16.9104289133624 19.9279898164931 29.2690079235935 32.8626435759501 0.321976278229677 0.837042115850669 6.91226817131296 2.56816250472988 5.56311668887878 3.04759913542915 4.52892262956863 4.04053461781892 3.55835254687181 3.66650671210039 1.85286644394694 9.30794467368656 18.0128300416369 4.2970917535588 5.78657823210411 11.8929675988695 0.272936504199579 11.9170267106708 1.69964646816117 2.21345618327937 0.329106113958369 3.62175500297268 2.38814621099502 3.65270440420678 1.06398779260705 3.61160985736373 1.22973506445298 3.03215352970844 3.73178264836785 4.96175389908639 0.411875234579201 3.95393488827006 0.669106229401606 5.94194041054553 6.18259964551357 2.13794838781224 0.568779949675778 23.2103658852285 24.5961364181703 6.53381126271497 3.96066865040177 5.69772083031336 7.39502456947767 7.90293113387083 8.3563915451552 10.1077192633718 2.40616082106347 1.05330539378782 7.09758217257228 1.67057854644482 2.55903922984663 3.66762242938991 4.19879309522641 4.59682257636176 1.2727336882368 3.43953614444921 5.46473359560263 3.38765297261596 0.666628325435434 0.130983627366492 2.09879804618467 0.280198062533937 6.98772025116584 16.9789527203402 8.56087675960035 13.0866050855688 6.81046340646046 5.38364206452533 2.04299196836001 1.54327525066387 1.49868709371623 5.00555171374218 9.19168582409958 3.02097678033016 3.94989217525498 0.459645965464254 0.319988363123882 0.423214623079558 7.20580214405114 0.505598193709395
"7" 306 3.57476141215149 5.12303989048336 1.71395361537931 1.71395361537931 0.691798563801129 27.36124541822 21.7104236155587 3.03913754749967 1.5074045469079 4.32012914075403 1.75002984054763 6.46824377852713 10.3932098291947 1.09088329536335 10.3190160600824 4.58450472785565 3.71397373896215 1.29635596573192 1.65478861606606 1.39343071440668 1.31284114047812 1.96360815311106 31.4328029604091 30.2332662411425 17.0445144048461 19.9332895814443 29.3200225723251 32.9142146117703 0.379973373153736 0.869828617922726 6.99489856763889 2.60858618692319 5.41707053563124 2.93377597101349 4.51286429971614 3.89021978042186 3.42726013608451 3.68601397290662 1.78605148244995 9.06824274134449 17.7807655176292 4.07327620433317 5.71734315153964 11.8705831601658 0.328054836277445 11.816657204315 1.76528270978035 2.27047735506218 0.329106113958369 3.5975154198154 2.50218207670261 3.61046382338564 1.02262615616066 3.58326585569713 1.21323634969344 3.04908148740569 3.82417041088465 4.71219092917679 0.497878205464241 4.68343715469368 0.805177861337463 5.67746993348319 5.86869193694299 2.06598193798889 0.481569093331779 23.3812570943395 24.6262666750927 6.45623583064725 3.96115978146233 5.67902595777998 7.31490766919718 7.80268591720239 8.06167725529064 9.9932896883774 2.40837103298122 1.11806767959808 6.84090651323781 1.7637556488782 2.47278927763881 3.76181485209652 4.2541754389988 4.65536152946505 1.41458440746171 3.42471927403363 5.20407403343083 3.39566861438913 0.789394362264931 0.155365130066547 2.13623262992416 0.331106024959977 7.01623048289921 17.0381393178852 8.70135327994131 13.0086770960118 6.81964061349834 5.13710171614885 2.01117112975883 1.47596050218035 1.49477956923785 5.10469254236937 9.30701080462812 3.0431293241697 3.74972033132564 0.459057435713055 0.315812994467995 0.38323594945465 7.13847824158389 0.495223488791286
"8" 307 3.69943815008466 4.95248726472797 1.5898436242424 1.5898436242424 0.757440797280899 27.5024261867168 21.9778649010924 2.99902238288351 1.55824367012379 4.17600837023247 1.68498569784561 6.3569925946236 9.97640240183522 1.17581173413265 9.94681366762919 4.44229052046876 3.6166496208088 1.35297603935269 1.64246790776269 1.29496992257717 1.30305510105813 1.88170659967828 31.5579531779677 30.1499633079069 17.1721190602003 19.9349938168598 29.3675751207295 32.961637293892 0.435793823545285 0.90500152791069 7.07938117187833 2.6505464546115 5.2753519857587 2.8242706530397 4.49822828974729 3.74837773548162 3.30075660316068 3.70664552096828 1.72406550585163 8.83666217683919 17.5550151297207 3.85902477455392 5.6498179407836 11.8462015686669 0.383888830940491 11.7179475437629 1.8317147114399 2.32578994502485 0.329106113958369 3.57168925357262 2.6145129253334 3.57153392984488 0.985229986514243 3.56115553259472 1.20016736984762 3.06599662691009 3.91196741288632 4.47058911371121 0.585669388067781 5.39201660724261 0.941693364603881 5.42647026745708 5.57171561732538 2.00046140950429 0.401918587906826 23.5492253167422 24.6571601709577 6.38082078517532 3.96266868177011 5.66044023122113 7.2406861217165 7.70668251569946 7.77656244263699 9.88325057980954 2.41220273723562 1.18443930814806 6.59195686250696 1.85499449730771 2.39327029458348 3.85429803551126 4.30997645865513 4.71413008748479 1.55066086722892 3.41010702508481 4.95542660566462 3.40838576774003 0.908594435153273 0.179002203751062 2.1691212912688 0.380261580593564 7.04816600737677 17.1062073539931 8.845836424773 12.93769334062 6.82976952702764 4.90147828989614 1.98131631933035 1.41497628762453 1.49162601522534 5.20730347177161 9.42893330077825 3.06523836666306 3.56101696802558 0.458488587167518 0.311790141151033 0.345403144689221 7.07550182918368 0.489316771977243
"9" 308 3.82003395914286 4.78586176027511 1.47143213390367 1.47143213390367 0.822672597745726 27.6421946347962 22.2411696398111 2.95894239398588 1.60527046829002 4.03471259200443 1.62232624167651 6.25522099025656 9.57822360631225 1.2634413326085 9.5933086526566 4.30685754756274 3.52090766562461 1.40594154447546 1.63081203266182 1.20127661707009 1.29867252453669 1.80380939201801 31.6733233177244 30.0652554169282 17.2933534273051 19.9331999955827 29.4117878035071 33.0050130734364 0.489418804707801 0.942708737075504 7.16584954028469 2.69417724011404 5.13803572938964 2.71925506015745 4.48495366794924 3.61540875829952 3.17891484542451 3.72846522712805 1.66714182156043 8.61342071584298 17.3357121722565 3.6546702070995 5.58408582101069 11.8197801932127 0.440669339119802 11.6210100097034 1.89906251662601 2.37939419117847 0.329106113958369 3.54413709262476 2.72518336098925 3.53600306139829 0.952019957446546 3.54550942812293 1.19073708141276 3.08301753835992 3.99523307427403 4.23709993569301 0.675496883987863 6.07946128443204 1.07852148604888 5.18896745099603 5.29176834213921 1.94125175087908 0.329707347229212 23.7143925871039 24.6890120203977 6.3072967633952 3.96515864523844 5.64196691078443 7.17230047611955 7.61469069848929 7.50092839792635 9.7772736070743 2.41766328569768 1.25261434443206 6.35086240690655 1.94428114832113 2.32074467824517 3.94510802947533 4.36629720739005 4.77327490456491 1.68072727226329 3.39571868598737 4.71924516343694 3.42600040484932 1.02420879216248 0.201835124952414 2.19724223334449 0.427646790820894 7.0838193305549 17.1837117108234 8.99465626293054 12.8740400842609 6.84095897733106 4.67718148886083 1.95343499017976 1.36060322650731 1.48919824790833 5.3135775756597 9.5580291591903 3.08744074722006 3.38369383214035 0.457935821791627 0.307896997589574 0.309602246901483 7.01702737287424 0.488018447625169
"10" 309 3.93654286977205 4.62298074219165 1.35892677491691 1.35892677491691 0.887483941087545 27.781003307727 22.5006505993229 2.91889490590645 1.6483102709002 3.89627633637766 1.56212059855699 6.16278271798928 9.19878256013883 1.35377585177636 9.2584785010119 4.17831317173462 3.42675699640272 1.45515061832656 1.61985843370852 1.11246857980208 1.30011159799669 1.73011159659301 31.7787538737688 29.9791667214437 17.4083280540406 19.9280055904558 29.4527828553583 33.0444434015245 0.540829491944761 0.983098136678108 7.25443722911137 2.73961247575005 5.00519645665254 2.61890107101639 4.47297950260916 3.49171312417686 3.0618077602002 3.75153696222859 1.61551373698478 8.39873609402822 17.1229899395818 3.46054524484836 5.52023001339562 11.7912764026431 0.498627211746462 11.5259568828252 1.9674461688249 2.43129033153414 0.329106113958369 3.51471952535222 2.83423798777202 3.50395955585962 0.92321674273631 3.53655808234817 1.18515444088607 3.10026281189343 4.07402681494895 4.01187487812556 0.76760879482253 6.74555922477718 1.21553097252048 4.96498752262884 5.02894776686292 1.88821791063385 0.264814285127233 23.8768809400923 24.7220173380454 6.23539440240294 3.96859296578062 5.6236092566175 7.10969128149021 7.52648023469914 7.23465641189081 9.67503043957778 2.4247600302384 1.32278685344438 6.1177523329634 2.03160165850624 2.25547482618839 4.0342808838299 4.42323873839821 4.83294263484934 1.80454782728971 3.38157354512591 4.49598355788077 3.44870849789764 1.13621768135457 0.223804170202977 2.22037365927713 0.473243717028165 7.12348295838994 17.2712072705355 9.14814286324908 12.8181035918024 6.85331779469129 4.46462101613656 1.9275345954123 1.31312193833955 1.48746808351642 5.42370792774444 9.69487422650458 3.10987330525053 3.21766267045551 0.457395541549367 0.304110758200193 0.275719294209646 6.96320933867929 0.49146892009297
